r993067.fit is not a target (FLAT)
r993068.fit is not a target (FLAT)
r993069.fit is not a target (FLAT)
r993070.fit is not a target (FLAT)
r993071.fit is not a target (FLAT)
r993072.fit is not a target (FLAT)
r993073.fit is not a target (FLAT)
r993074.fit is not a target (FLAT)
r993075.fit is not a target (FLAT)
r993076.fit is not a target (FLAT)
r993077.fit is not a target (FLAT)
r993078.fit is not a target (FLAT)
r993079.fit is not a target (FLAT)
r993080.fit is not a target (FLAT)
r993081.fit is not a target (FLAT)
r993082.fit is not a target (FLAT)
r993083.fit is not a target (FLAT)
r993084.fit is not a target (FOCUS)
r993085.fit  3.50  1.16 0.106    65.5 from  52 sources of ST_PG1525 60s Ha
r993086.fit  4.54  1.50 0.103    93.3 from  55 sources of ST_PG1525 8s r
r993087.fit  3.33  1.10 0.077    69.9 from  47 sources of ST_PG1525 5s i
r993088.fit  3.39  1.12 0.107    64.6 from  57 sources of ST_L107 120s Ha
r993089.fit  3.99  1.32 0.109   121.1 from 112 sources of ST_L107 30s r
r993090.fit  3.29  1.09 0.137    80.4 from  65 sources of ST_L107 10s i
r993091.fit  3.53  1.16 0.121    29.1 from  69 sources of ST_PG1657 60s Ha
r993092.fit  3.72  1.23 0.139    79.7 from 152 sources of ST_PG1657 15s r
r993093.fit  3.82  1.26 0.155    34.4 from  73 sources of ST_PG1657 5s i
r993102.fit  4.72  1.56 0.086    20.4 from   9 sources of Test
r993103.fit  5.10  1.68 0.109    41.3 from 146 sources of intphas_4556 Ha
r993104.fit  4.33  1.43 0.112   124.0 from 645 sources of intphas_4556 r
r993105.fit  4.39  1.45 0.119   112.3 from 669 sources of intphas_4556 i
r993106.fit  4.73  1.56 0.114    41.9 from 187 sources of intphas_4556o Ha
r993107.fit  4.52  1.49 0.103   124.2 from 642 sources of intphas_4556o r
r993108.fit  4.73  1.56 0.092   115.2 from 558 sources of intphas_4556o i
r993109.fit  5.10  1.68 0.106    48.7 from 167 sources of intphas_4557 Ha
r993110.fit  4.31  1.42 0.128   110.0 from 806 sources of intphas_4557 r
r993111.fit  3.90  1.29 0.137    76.4 from 1090 sources of intphas_4557 i
r993112.fit  4.39  1.45 0.148    41.6 from 252 sources of intphas_4557o Ha
r993113.fit  4.16  1.37 0.155    99.9 from 1017 sources of intphas_4557o r
r993114.fit  5.02  1.66 0.100   122.1 from 614 sources of intphas_4557o i
r993115.fit  4.17  1.38 0.106    22.7 from 268 sources of intphas_4630o Ha
r993116.fit  4.58  1.51 0.127    55.5 from 613 sources of intphas_4630o r
r993117.fit  4.45  1.47 0.123    46.6 from 671 sources of intphas_4630o i
r993118.fit  4.58  1.51 0.119    38.4 from 172 sources of intphas_4631 Ha
r993119.fit  4.78  1.58 0.114   122.5 from 519 sources of intphas_4631 r
r993120.fit  4.05  1.34 0.132   108.4 from 826 sources of intphas_4631 i
r993121.fit  4.58  1.51 0.101    45.3 from 126 sources of intphas_4704o Ha
r993122.fit  4.62  1.52 0.112   130.3 from 409 sources of intphas_4704o r
r993123.fit  4.78  1.58 0.124   103.8 from 499 sources of intphas_4704o i
r993124.fit  4.55  1.50 0.109    48.1 from 101 sources of intphas_4761 Ha
r993125.fit  4.48  1.48 0.144    59.5 from 309 sources of intphas_4761 r
r993126.fit  4.22  1.39 0.130   119.9 from 426 sources of intphas_4761 i
r993127.fit  4.55  1.50 0.131    43.1 from 103 sources of intphas_4761o Ha
r993128.fit  4.43  1.46 0.143   132.7 from 319 sources of intphas_4761o r
r993129.fit  4.58  1.51 0.102    97.0 from 313 sources of intphas_4761o i
r993130.fit  5.24  1.73 0.185    38.5 from  92 sources of intphas_4762 Ha
r993131.fit  4.55  1.50 0.147   120.2 from 388 sources of intphas_4762 r
r993132.fit  4.57  1.51 0.137   115.4 from 478 sources of intphas_4762 i
r993133.fit  4.76  1.57 0.162    35.2 from 108 sources of intphas_4762o Ha
r993134.fit  4.71  1.55 0.122   102.0 from 297 sources of intphas_4762o r
r993135.fit  4.68  1.54 0.104    95.5 from 413 sources of intphas_4762o i
r993136.fit  4.74  1.56 0.106    37.3 from  87 sources of intphas_4763 Ha
r993137.fit  4.42  1.46 0.125   119.3 from 258 sources of intphas_4763 r
r993138.fit  4.55  1.50 0.145   114.0 from 423 sources of intphas_4763 i
r993139.fit  4.36  1.44 0.165    40.0 from 106 sources of intphas_4763o Ha
r993140.fit  4.44  1.47 0.117   120.2 from 272 sources of intphas_4763o r
r993141.fit  4.59  1.51 0.142   120.2 from 363 sources of intphas_4763o i
r993142.fit  5.48  1.81 0.146    35.9 from  87 sources of intphas_4764 Ha
r993143.fit  5.57  1.84 0.120   134.2 from 243 sources of intphas_4764 r
r993144.fit  5.60  1.85 0.149   119.1 from 287 sources of intphas_4764 i
r993145.fit  5.05  1.67 0.088    36.3 from 124 sources of intphas_4789o Ha
r993146.fit  5.69  1.88 0.094   105.0 from 310 sources of intphas_4789o r
r993147.fit  4.89  1.61 0.114   109.4 from 472 sources of intphas_4789o i
r993148.fit  5.15  1.70 0.104    37.8 from  87 sources of intphas_4805 Ha
r993149.fit  5.16  1.70 0.144   112.5 from 216 sources of intphas_4805 r
r993150.fit  4.65  1.53 0.092   117.6 from 326 sources of intphas_4805 i
r993151.fit  4.60  1.52 0.088    42.8 from 105 sources of intphas_4805o Ha
r993152.fit  5.51  1.82 0.086   109.0 from 170 sources of intphas_4805o r
r993153.fit  4.87  1.61 0.094   104.8 from 292 sources of intphas_4805o i
r993154.fit  4.76  1.57 0.105    30.2 from 288 sources of intphas_4846 Ha
r993155.fit  4.47  1.48 0.127    95.5 from 1110 sources of intphas_4846 r
r993156.fit  4.82  1.59 0.118   108.7 from 695 sources of intphas_4846 i
r993157.fit  5.18  1.71 0.095    38.4 from 215 sources of intphas_4846o Ha
r993158.fit  5.73  1.89 0.101   119.6 from 631 sources of intphas_4846o r
r993159.fit  5.11  1.69 0.107   110.7 from 642 sources of intphas_4846o i
r993160.fit  5.49  1.81 0.086    14.9 from 178 sources of intphas_5032 Ha
r993161.fit  6.06  2.00 0.115   100.7 from 508 sources of intphas_5032 r
r993162.fit  5.29  1.75 0.136   106.2 from 742 sources of intphas_5032 i
