r1025685.fit is not a target (BIAS)
r1025686.fit is not a target (SKY)
r1025687.fit is not a target (SKY)
r1025689.fit is not a target (SKY)
r1025690.fit is not a target (SKY)
r1025691.fit is not a target (SKY)
r1025692.fit is not a target (SKY)
r1025693.fit is not a target (SKY)
r1025694.fit is not a target (SKY)
r1025696.fit is not a target (SKY)
r1025697.fit is not a target (SKY)
r1025698.fit is not a target (SKY)
r1025699.fit is not a target (SKY)
r1025700.fit is not a target (SKY)
r1025701.fit is not a target (SKY)
r1025702.fit is not a target (SKY)
r1025703.fit is not a target (SKY)
r1025704.fit is not a target (SKY)
r1025705.fit is not a target (SKY)
r1025706.fit is not a target (SKY)
r1025707.fit is not a target (FOCUS)
r1025708.fit is not a target (FOCUS)
r1025709.fit 13.27  4.38 0.086   109.8 from  30 sources of ceph
r1025710.fit  9.92  3.27 0.083   107.9 from  49 sources of ceph
r1025711.fit 10.57  3.49 0.076   107.5 from  50 sources of ceph
r1025712.fit 13.35  4.41 0.098   110.3 from  28 sources of ceph
r1025713.fit  9.04  2.98 0.058   214.3 from 122 sources of ceph
r1025714.fit  9.07  2.99 0.057   211.3 from 124 sources of ceph
r1025715.fit  7.10  2.34 0.063   209.0 from 181 sources of ceph
r1025716.fit  9.33  3.08 0.055   208.6 from 118 sources of ceph
r1025717.fit 10.09  3.33 0.075   209.2 from  98 sources of ceph
r1025718.fit  7.03  2.32 0.071   207.5 from 193 sources of ceph
r1025719.fit  6.96  2.30 0.085   207.0 from 204 sources of ceph
r1025720.fit  8.31  2.74 0.069   206.1 from 145 sources of ceph
r1025721.fit  8.10  2.67 0.066   199.7 from 147 sources of ceph
r1025722.fit  6.30  2.08 0.073   195.8 from 232 sources of ceph
r1025723.fit  7.36  2.43 0.057   201.8 from 181 sources of ceph
r1025724.fit  8.49  2.80 0.059   202.3 from 143 sources of ceph
r1025725.fit  9.52  3.14 0.062   203.9 from 113 sources of ceph
r1025726.fit  7.69  2.54 0.059    80.0 from  94 sources of intphas_0677 Ha
r1025727.fit  8.32  2.75 0.066   177.5 from 225 sources of intphas_0677 r
