night,ext_r,hours_phot,hours_nonphot
20030101,0.241:,8.53,2.95
20030102,0.215:,6.12,5.51
20030103,0.106,11.39,0.0
20030104,0.106,10.4,1.01
20030105,0.116,8.65,0.0
20030106,0.115,11.02,0.28
20030107,0.117,10.66,0.74
20030108,,0.0,0.0
20030109,0.255:,9.04,0.32
20030110,,4.29,4.45
20030111,,0.0,0.0
20030112,,0.0,0.0
20030113,,0.0,0.0
20030114,,0.0,0.0
20030115,,0.0,0.0
20030116,0.085,11.21,0.0
20030117,0.085,11.36,0.0
20030118,,0.0,1.19
20030119,0.106:,4.86,6.45
20030120,0.107,11.21,0.0
20030121,0.105:,5.93,3.6
20030122,0.119,11.22,0.0
20030123,0.094,11.07,0.0
20030124,0.270:,11.05,0.0
20030125,0.525:,3.51,7.39
20030126,0.099:,7.67,3.57
20030127,,0.0,11.04
20030128,0.091,10.5,0.28
20030129,,0.0,0.0
20030130,,0.0,0.77
20030131,,0.0,0.0
20030201,,0.0,0.0
20030202,,0.0,0.0
20030203,,0.0,0.0
20030204,,0.0,0.0
20030205,0.089,3.77,0.9
20030206,0.079,5.46,2.37
20030207,,0.0,0.0
20030208,0.108,5.71,0.62
20030209,0.092,10.67,0.0
20030210,0.091,10.59,0.0
20030211,0.091,10.59,0.0
20030212,0.310:,7.6,2.95
20030213,0.107,4.67,0.0
20030214,0.094,6.73,0.28
20030215,0.093,10.35,0.0
20030216,0.097,10.35,0.31
20030217,0.104,10.21,0.43
20030218,0.119:,5.79,0.58
20030219,,0.0,0.0
20030220,0.118:,3.43,0.0
20030221,0.100,9.96,0.0
20030222,0.115,7.35,2.95
20030223,,0.0,0.0
20030224,,1.29,1.63
20030225,0.094,7.74,0.27
20030226,0.096,9.04,0.86
20030227,0.097,9.75,0.28
20030228,0.092,9.75,0.38
20030301,0.122,9.05,1.28
20030302,0.095,9.97,0.0
20030303,0.095,9.77,0.27
20030304,0.119,6.37,3.83
20030305,0.082,6.42,3.74
20030306,0.088:,2.17,7.97
20030307,,0.28,9.82
20030308,0.101,9.95,0.0
20030309,0.092,8.64,1.33
20030310,0.123,8.52,1.36
20030311,0.114,9.02,0.85
20030312,,0.0,0.0
20030313,,1.29,8.52
20030314,,0.0,9.88
20030315,,0.0,0.0
20030316,0.115:,1.37,0.59
20030317,0.104,8.58,0.91
20030318,0.118,8.86,0.78
20030319,0.111,2.52,1.5
20030320,,0.0,0.0
20030321,,0.0,0.0
20030322,0.127:,4.67,4.79
20030323,,0.0,0.0
20030324,,0.0,1.87
20030325,,0.46,4.93
20030326,0.130,9.14,0.0
20030327,0.104,2.9,0.58
20030328,0.125,6.39,2.9
20030329,0.131:,2.82,6.58
20030330,0.319:,1.8,7.53
20030331,0.103:,7.36,1.86
20030401,0.392:,2.63,6.5
20030402,0.166:,4.95,4.3
20030403,0.197:,2.45,1.35
20030404,0.093,3.81,0.33
20030405,,0.0,0.0
20030406,,0.0,0.0
20030407,,0.0,0.0
20030408,0.094,4.76,0.0
20030409,0.076,8.85,0.28
20030410,0.089,9.13,0.0
20030411,0.091:,8.63,0.4
20030412,,0.0,0.0
20030413,0.075:,1.44,1.95
20030414,0.081,8.59,0.29
20030415,0.071,8.95,0.0
20030416,0.073,6.33,2.66
20030417,0.132,5.97,1.44
20030418,0.125:,2.18,6.6
20030419,0.092,5.34,0.42
20030420,,0.0,0.0
20030421,0.103,1.81,1.29
20030422,0.103,8.35,0.28
20030423,,1.5,7.24
20030424,0.115:,3.82,4.92
20030425,0.102,8.3,0.28
20030426,0.092,8.84,0.0
20030427,0.096,4.5,0.0
20030428,0.091,8.91,0.0
20030429,,0.0,0.0
20030430,,0.0,7.54
20030501,0.093,8.64,0.0
20030502,0.068,8.37,0.3
20030503,0.107:,2.86,5.74
20030504,,2.42,0.0
20030505,0.068,8.42,0.0
20030506,0.059,8.54,0.0
20030507,0.070,8.51,0.0
20030508,,2.97,5.55
20030509,0.161,7.85,0.45
20030510,0.084,8.38,0.0
20030511,0.062,8.17,0.0
20030512,0.078,8.39,0.0
20030513,0.063,8.25,0.0
20030514,0.083:,3.93,4.34
20030515,0.159,7.38,0.69
20030516,0.086,6.75,1.34
20030517,0.086,8.14,0.0
20030518,0.082,5.23,0.0
20030519,0.188:,7.98,0.29
20030520,0.092:,3.2,5.0
20030521,0.197,8.08,0.0
20030522,0.234,7.89,0.29
20030523,0.383,7.86,0.02
20030524,0.215,7.06,0.0
20030525,0.115,6.98,0.0
20030526,0.099,8.16,0.0
20030527,,0.33,6.74
20030528,0.134,6.69,0.66
20030529,0.103,7.3,0.29
20030530,0.100,7.51,0.48
20030531,0.111,5.14,2.99
20030601,0.088,8.04,0.0
20030602,0.097,5.73,2.43
20030603,0.116,8.1,0.0
20030604,0.102,8.15,0.0
20030605,0.092,8.18,0.0
20030606,0.096:,5.07,0.08
20030607,0.128,8.07,0.0
20030608,0.108,8.06,0.0
20030609,0.100,7.86,0.0
20030610,0.086,7.85,0.0
20030611,0.114:,3.12,4.65
20030612,0.101,7.5,0.37
20030613,0.095,7.27,0.53
20030614,0.097,7.59,0.0
20030615,0.079,7.66,0.0
20030616,0.089,7.56,0.29
20030617,0.084,7.87,0.0
20030618,0.087,7.84,0.0
20030619,0.083,7.89,0.0
20030620,,0.0,0.0
20030621,0.088,7.44,0.34
20030622,0.099,7.78,0.0
20030623,0.101,7.54,0.29
20030624,,0.92,6.94
20030625,0.110,7.59,0.0
20030626,0.107,7.55,0.0
20030627,0.085,7.82,0.0
20030628,0.086,7.25,0.38
20030629,0.332:,7.56,0.0
20030630,0.207:,2.74,4.9
20030701,,1.73,5.99
20030702,0.123,7.2,0.47
20030703,0.076,6.76,1.01
20030704,0.072,7.46,0.07
20030705,0.084,7.3,0.28
20030706,0.080,6.43,1.27
20030707,0.237,7.04,0.74
20030708,0.122,7.67,0.0
20030709,0.077,7.93,0.0
20030710,0.672:,3.68,4.21
20030711,,0.77,6.75
20030712,0.442:,2.0,5.58
20030713,0.100,6.99,0.47
20030714,0.084,7.25,0.51
20030715,0.097,7.16,0.37
20030716,0.089,7.32,0.7
20030717,0.266:,6.81,1.13
20030718,0.373:,4.53,3.31
20030719,0.959:,0.97,6.71
20030720,0.495:,5.13,2.62
20030721,0.422,5.89,2.06
20030722,0.430,7.5,0.55
20030723,0.323,7.42,0.59
20030724,0.254,7.82,0.29
20030725,0.100,7.35,0.81
20030726,0.121,7.63,0.38
20030727,0.109,7.77,0.29
20030728,0.088,8.17,0.0
20030729,0.094,8.25,0.0
20030730,0.102,8.22,0.0
20030731,,0.0,0.0
20030801,0.132,8.27,0.0
20030802,0.195,8.13,0.0
20030803,0.128,8.11,0.0
20030804,0.110,8.33,0.0
20030805,0.104,8.31,0.0
20030806,0.330,7.94,0.28
20030807,0.308,8.11,0.2
20030808,0.256,7.78,0.6
20030809,0.103,8.15,0.06
20030810,,0.0,0.0
20030811,,0.0,0.0
20030812,,0.0,0.0
20030813,,0.0,0.0
20030814,,0.0,0.0
20030815,,0.0,0.0
20030816,,0.0,0.0
20030817,,0.0,0.0
20030818,,0.0,0.0
20030819,,0.0,7.87
20030820,0.093,8.94,0.0
20030821,0.080,8.72,0.01
20030822,0.098,8.12,0.61
20030823,0.100,7.16,1.35
20030824,0.103,8.25,0.62
20030825,0.086,8.93,0.0
20030826,0.096,8.7,0.29
20030827,0.091,7.45,0.88
20030828,0.085,9.13,0.0
20030829,0.080,9.02,0.0
20030830,0.092,8.32,0.63
20030831,,0.67,8.41
20030901,0.300,4.73,4.4
20030902,0.570:,3.03,6.19
20030903,0.384:,8.97,0.3
20030904,0.083,9.28,0.0
20030905,0.075,9.33,0.0
20030906,0.089,9.2,0.0
20030907,0.084,9.25,0.0
20030908,0.341:,3.27,5.77
20030909,0.268:,3.52,5.87
20030910,,0.0,9.3
20030911,0.202:,2.86,6.63
20030912,0.124:,2.91,6.49
20030913,0.275:,9.44,0.0
20030914,0.163,9.47,0.0
20030915,0.105,9.48,0.0
20030916,0.090,9.48,0.0
20030917,0.102,9.17,0.43
20030918,0.109,9.12,0.5
20030919,0.090,8.92,0.44
20030920,0.115,5.12,4.34
20030921,0.103,7.02,2.78
20030922,0.098:,6.76,2.69
20030923,0.097,9.61,0.0
20030924,0.178:,6.09,3.58
20030925,0.230:,9.37,0.1
20030926,0.162,9.67,0.0
20030927,0.116,8.77,0.94
20030928,0.137,9.33,0.42
20030929,0.234:,10.04,0.0
20030930,0.213:,2.46,4.91
20031001,0.317:,1.75,8.23
20031002,,0.54,0.32
20031003,,0.27,7.17
20031004,,0.0,0.0
20031005,,0.0,0.0
20031006,,0.0,0.0
20031007,,0.0,0.07
20031008,0.096,8.3,1.54
20031009,,0.0,7.06
20031010,,0.72,0.09
20031011,0.074:,4.94,5.32
20031012,0.094,9.96,0.14
20031013,0.109:,4.79,5.51
20031014,0.121,5.83,4.4
20031015,0.088,10.34,0.0
20031016,0.095,7.89,0.04
20031017,0.092,8.57,1.73
20031018,0.093,10.45,0.0
20031019,0.095,9.97,0.28
20031020,,0.0,0.0
20031021,,0.0,0.0
20031022,,0.0,0.0
20031023,,0.0,0.0
20031024,,0.41,0.09
20031025,,0.98,0.0
20031026,,0.0,7.9
20031027,,0.0,5.68
20031028,0.135:,4.95,5.43
20031029,,0.29,10.34
20031030,0.084,10.64,0.0
20031031,0.083,3.35,0.0
20031101,0.082,10.31,0.29
20031102,0.083,1.49,0.93
20031103,0.098,9.88,0.13
20031104,0.088,10.56,0.28
20031105,,0.0,0.0
20031106,,0.0,0.0
