night,run,field,filter,seeing,ellipt,sky,sources
20120802,r922737,V380_OPH,,1.37,0.184,1729.6,672
20120802,r922738,V380_OPH,,0.79,0.166,18760.2,2707
20120802,r922739,V380_OPH,,0.66,0.142,9052.8,1479
20120802,r922740,V380_OPH,,0.73,0.171,5333.7,1044
20120802,r922741,V380_OPH,,0.63,0.133,5336.6,1160
20120802,r922742,V380_OPH,,0.64,0.097,5416.8,1171
20120802,r922743,V380_OPH,,0.61,0.102,5427.3,1198
20120802,r922744,V380_OPH,,0.64,0.116,5372.1,1161
20120802,r922745,V380_OPH,,0.73,0.168,5315.2,1081
20120802,r922746,V380_OPH,,1.02,0.257,5369.2,877
20120802,r922747,V380_OPH,,0.63,0.111,6447.0,1152
20120802,r922748,V380_OPH,,0.76,0.186,5393.3,1047
20120802,r922749,V380_OPH,,0.76,0.178,5470.1,1028
20120802,r922750,V380_OPH,,0.69,0.162,5444.3,1137
20120802,r922751,V380_OPH,,0.82,0.239,22.9,1025
20120802,r922752,V380_OPH,,0.75,0.176,5503.5,1034
20120802,r922753,V380_OPH,,0.78,0.167,5579.4,1028
20120802,r922754,V380_OPH,,0.68,0.122,6632.7,1085
20120802,r922755,V380_OPH,,0.64,0.124,5574.7,1168
20120802,r922756,V380_OPH,,0.61,0.097,6604.2,1197
20120802,r922757,V380_OPH,,0.61,0.126,6613.1,1178
20120802,r922758,V380_OPH,,0.61,0.122,6513.3,1238
20120802,r922759,V380_OPH,,0.66,0.149,17.4,1124
20120802,r922760,V380_OPH,,0.66,0.168,6644.5,1097
20120802,r922761,V380_OPH,,0.72,0.176,5604.2,1058
20120802,r922762,V380_OPH,,0.64,0.113,6669.7,1153
20120802,r922763,V380_OPH,,0.83,0.217,5723.5,1005
20120802,r922764,V380_OPH,,0.78,0.187,23.6,1011
20120802,r922765,V380_OPH,,0.83,0.196,5738.5,987
20120802,r922766,V380_OPH,,0.83,0.185,5761.2,980
20120802,r922767,V380_OPH,,0.72,0.150,6780.9,1072
20120802,r922768,V380_OPH,,0.71,0.155,5804.2,1040
20120802,r922769,V380_OPH,,0.57,0.094,6889.9,1236
20120802,r922770,V380_OPH,,0.64,0.115,6938.5,1134
20120802,r922771,V380_OPH,,0.61,0.094,6976.0,1147
