id,time,moon_altitude,moon_azimuth,moon_separation,moon_phase,moon_ra,moon_dec
0001_aug2003,2003-08-15T05:17:28.8,48.8,219.2,65.9,90.1,0.028,-4.914
0001_jul2007,2007-06-29T03:36:42.7,12.3,227.3,120.4,97.7,258.230,-28.642
0001_oct2006,2006-10-01T23:13:14.2,22.8,219.8,99.3,66.3,300.002,-25.731
0001o_aug2003,2003-08-15T05:22:29.8,48.1,220.7,66.0,90.1,0.051,-4.893
0001o_jul2007,2007-06-29T03:41:07.2,11.6,227.9,120.5,97.7,258.263,-28.638
0001o_oct2006,2006-10-01T23:17:58.7,22.2,220.7,99.4,66.3,300.036,-25.715
0002_aug2003,2003-08-15T05:27:29.5,47.4,222.2,63.7,90.0,0.075,-4.873
0002_jul2007,2007-06-29T03:27:46.7,13.7,225.9,120.3,97.7,258.163,-28.649
0002_oct2006,2006-10-01T23:22:44.9,21.5,221.6,97.9,66.4,300.071,-25.698
0002o_aug2003,2003-08-15T05:32:28.6,46.7,223.7,63.7,90.0,0.099,-4.853
0002o_jul2007,2007-06-29T03:32:11.9,13.0,226.6,120.4,97.7,258.196,-28.645
0002o_oct2006,2006-10-01T23:27:30.5,20.9,222.5,98.0,66.4,300.106,-25.681
0003_aug2003,2003-08-15T05:37:24.2,46.0,225.1,71.9,90.0,0.122,-4.833
0003_jul2007,2007-06-29T03:18:37.3,15.0,224.5,120.9,97.7,258.095,-28.656
0003_oct2006,2006-10-01T23:32:25.4,20.2,223.3,102.9,66.4,300.143,-25.664
0003o_aug2003,2003-08-15T05:42:03.8,45.3,226.3,71.9,90.0,0.145,-4.814
0003o_jul2007,2007-06-29T03:23:02.0,14.4,225.2,120.9,97.7,258.127,-28.653
0003o_oct2006,2006-10-01T23:37:09.5,19.5,224.2,103.0,66.5,300.178,-25.647
0003o_oct2009,2009-10-30T23:06:22.0,65.2,198.2,62.1,90.9,0.555,5.002
0004_aug2003,2003-08-15T05:46:53.8,44.6,227.6,66.7,90.0,0.168,-4.794
0004_aug2004b,2004-08-28T03:29:45.8,12.6,233.9,93.8,94.6,311.813,-23.559
0004o_aug2004b,2004-08-28T03:34:35.9,11.7,234.7,93.9,94.7,311.854,-23.539
0005_nov2003b,2003-11-14T22:55:29.4,3.4,63.0,82.0,71.7,120.395,25.152
0005_oct2012,2012-10-06T01:05:07.1,31.4,82.0,66.1,71.1,78.248,20.742
0005o_nov2003b,2003-11-14T23:00:09.1,4.3,63.5,81.9,71.7,120.441,25.153
0005o_oct2012,2012-10-06T01:09:41.6,32.3,82.5,66.1,71.1,78.281,20.747
0006_nov2003b,2003-11-14T23:04:47.8,5.1,64.0,80.2,71.6,120.487,25.153
0006o_nov2003b,2003-11-14T23:09:26.2,6.0,64.5,80.1,71.6,120.533,25.153
0007_nov2003b,2003-11-14T23:14:06.6,6.9,65.0,83.5,71.6,120.578,25.153
0007o_nov2003b,2003-11-14T23:18:45.1,7.8,65.4,83.4,71.6,120.623,25.154
0008_nov2003b,2003-11-14T23:23:25.5,8.6,65.9,79.6,71.5,120.668,25.154
0008_sep2010,2010-08-30T00:23:56.3,29.2,85.4,51.2,76.2,31.874,17.219
0008o_nov2003b,2003-11-14T23:28:03.8,9.5,66.4,79.5,71.5,120.712,25.154
0008o_oct2012,2012-10-06T01:14:33.8,33.4,83.0,66.0,71.1,78.316,20.752
0008o_sep2010,2010-08-30T00:28:35.3,30.2,85.9,51.2,76.1,31.907,17.235
0009_aug2010,2010-08-03T04:05:58.7,50.9,94.9,48.9,50.5,36.955,19.037
0009_nov2003b,2003-11-14T23:32:42.4,10.4,66.9,81.6,71.5,120.756,25.155
0009_oct2009,2009-10-30T23:11:18.4,64.9,200.9,55.6,90.9,0.577,5.021
0009o_aug2010,2010-08-03T04:10:36.6,51.9,95.5,48.9,50.5,36.983,19.052
0009o_nov2003b,2003-11-14T23:37:22.8,11.3,67.3,81.5,71.4,120.799,25.155
0009o_oct2009,2009-10-30T23:15:55.5,64.5,203.4,55.7,90.9,0.598,5.038
0010_aug2009,2009-08-10T03:41:49.6,66.2,166.7,59.2,84.6,1.691,5.479
0010_nov2003b,2003-11-14T23:42:00.9,12.2,67.8,79.1,71.4,120.843,25.155
0010_nov2008,2008-11-23T20:28:36.7,-62.8,303.4,126.3,13.6,195.383,-11.975
0010o_aug2009,2009-08-10T03:46:35.1,66.4,169.6,59.3,84.6,1.711,5.497
0010o_nov2003b,2003-11-14T23:46:39.2,13.1,68.3,79.0,71.4,120.885,25.155
0010o_nov2008,2008-11-23T20:33:09.0,-63.6,305.0,126.3,13.6,195.433,-11.990
0011_nov2003b,2003-11-14T23:51:19.6,14.1,68.7,83.0,71.4,120.928,25.156
0011_nov2008,2008-11-23T21:06:01.7,-68.9,319.1,132.3,13.4,195.805,-12.099
0011o_nov2003b,2003-11-14T23:55:58.5,15.0,69.2,82.9,71.3,120.970,25.156
0011o_nov2008,2008-11-23T21:10:31.7,-69.5,321.5,132.2,13.4,195.856,-12.114
0012_nov2003b,2003-11-15T00:00:41.4,15.9,69.6,78.6,71.3,121.012,25.156
0012_nov2008,2008-11-23T19:51:39.6,-55.9,293.1,125.4,13.8,194.974,-11.856
0012o_nov2003b,2003-11-15T00:05:19.7,16.8,70.1,78.5,71.3,121.054,25.156
0012o_nov2008,2008-11-23T19:56:14.4,-56.8,294.2,125.3,13.7,195.024,-11.871
0013_nov2003b,2003-11-15T00:09:58.2,17.7,70.5,81.1,71.2,121.095,25.156
0013_nov2008,2008-11-23T21:15:14.9,-70.1,324.2,129.4,13.4,195.909,-12.130
0013o_nov2003b,2003-11-15T00:14:36.6,18.7,70.9,81.0,71.2,121.135,25.157
0013o_nov2008,2008-11-23T21:19:46.0,-70.6,326.9,129.3,13.4,195.961,-12.145
0014_aug2010,2010-08-02T04:37:17.2,65.2,118.2,47.5,60.2,24.620,15.260
0014_nov2003b,2003-11-15T00:19:14.9,19.6,71.4,82.4,71.2,121.176,25.157
0014_oct2012,2012-10-08T01:48:36.1,19.4,78.7,80.5,52.5,104.070,18.786
0014o_nov2003b,2003-11-15T00:23:56.2,20.5,71.8,82.3,71.2,121.216,25.157
0014o_oct2012,2012-10-06T01:19:28.6,34.4,83.4,65.9,71.0,78.351,20.758
0015_aug2009,2009-08-10T03:32:19.5,65.6,161.2,60.7,84.6,1.649,5.442
0015_nov2003b,2003-11-15T00:28:37.6,21.5,72.2,78.3,71.1,121.256,25.157
0015o_aug2009,2009-08-10T03:37:04.6,65.9,163.9,60.8,84.6,1.670,5.460
0015o_nov2003b,2003-11-15T00:33:16.5,22.4,72.6,78.2,71.1,121.296,25.157
0015o_nov2008,2008-11-23T20:23:60.9,-62.0,301.9,124.9,13.6,195.331,-11.960
0016_nov2003b,2003-11-15T00:37:55.5,23.4,73.1,80.5,71.1,121.335,25.157
0016_oct2012,2012-10-06T01:24:17.5,35.4,83.9,66.0,71.0,78.385,20.763
0016o_nov2003b,2003-11-15T00:42:44.2,24.3,73.5,80.4,71.0,121.375,25.157
0016o_oct2012,2012-10-06T01:28:55.1,36.4,84.4,65.9,71.0,78.417,20.767
0017_jul2012,2012-07-30T03:31:46.8,0.9,244.6,110.7,88.5,266.546,-21.822
0017_nov2003b,2003-11-15T00:47:22.6,25.3,73.9,83.2,71.0,121.413,25.156
0017o_jul2012,2012-07-30T03:36:29.4,0.1,245.2,110.7,88.5,266.592,-21.812
0017o_nov2003b,2003-11-15T00:51:60.9,26.2,74.3,83.1,71.0,121.451,25.156
0018_jul2012,2012-07-31T02:55:20.5,18.8,232.7,102.5,94.6,281.591,-20.401
0018_nov2003b,2003-11-15T00:56:39.0,27.2,74.7,81.9,70.9,121.488,25.156
0018_oct2009,2009-10-30T23:20:36.5,64.1,205.9,55.2,91.0,0.620,5.056
0018o_jul2012,2012-07-31T03:00:05.6,18.0,233.5,102.6,94.6,281.630,-20.389
0018o_nov2003b,2003-11-15T01:01:16.8,28.1,75.1,81.8,70.9,121.526,25.156
0018o_oct2009,2009-10-30T23:25:14.5,63.6,208.3,55.3,91.0,0.641,5.074
0019_nov2003b,2003-11-15T01:05:54.8,29.1,75.5,80.0,70.9,121.563,25.155
0019_nov2012,2012-11-19T23:00:27.5,14.9,249.1,80.0,43.2,319.974,-10.303
0019o_nov2003b,2003-11-15T01:10:34.7,30.0,75.9,79.9,70.9,121.599,25.155
0020_nov2003b,2003-11-15T01:15:13.7,31.0,76.3,78.0,70.8,121.636,25.154
0020o_nov2003b,2003-11-15T01:19:55.5,32.0,76.8,77.9,70.8,121.672,25.154
0021_nov2003b,2003-11-15T01:24:36.7,33.0,77.2,79.5,70.8,121.708,25.153
0021_oct2009,2009-10-30T23:30:05.5,63.1,210.7,59.2,91.0,0.663,5.092
0021o_nov2003b,2003-11-15T01:29:17.5,33.9,77.6,79.4,70.7,121.744,25.152
0021o_oct2009,2009-10-30T23:34:44.4,62.6,212.9,59.3,91.0,0.685,5.109
0022_jul2012,2012-07-30T03:41:33.3,-0.7,245.8,111.6,88.5,266.643,-21.802
0022_nov2003b,2003-11-15T01:33:59.7,34.9,78.0,78.9,70.7,121.779,25.152
0022o_jul2012,2012-07-30T03:46:13.3,-1.3,246.3,111.6,88.5,266.690,-21.793
0022o_nov2003b,2003-11-15T23:11:07.1,-3.6,61.1,85.0,62.3,133.742,22.504
0023_nov2003b,2003-11-15T23:15:45.6,-2.4,61.7,88.1,62.3,133.790,22.499
0023o_nov2003b,2003-11-15T23:20:25.7,-1.8,62.2,88.0,62.3,133.837,22.495
0024_nov2003b,2003-11-16T22:07:38.3,-26.4,46.9,97.0,52.8,145.888,18.860
0024_nov2006c,2006-11-13T22:37:15.6,-36.8,47.2,107.6,38.7,157.592,10.832
0024_oct2005b,2005-10-28T01:43:29.8,-17.0,66.5,108.1,23.0,161.157,11.106
0024o_nov2003b,2003-11-16T22:12:24.8,-25.6,47.8,96.9,52.7,145.943,18.850
0024o_nov2006c,2006-11-13T22:42:17.0,-36.1,48.4,107.6,38.7,157.644,10.816
0024o_oct2005b,2005-10-28T01:48:13.0,-16.1,67.2,108.0,23.0,161.200,11.092
0025_aug2009,2009-08-10T04:20:35.1,66.5,190.5,61.6,84.4,1.859,5.628
0025_nov2003b,2003-11-16T22:17:09.6,-24.9,48.6,90.1,52.7,145.997,18.840
0025_nov2008,2008-11-23T20:56:36.6,-67.5,314.5,124.0,13.5,195.698,-12.067
0025_oct2005b,2005-10-28T01:53:07.9,-15.2,67.9,100.4,23.0,161.245,11.077
0025_oct2006b,2006-10-10T23:35:15.5,26.1,72.4,56.9,80.2,68.766,26.709
0025o_aug2009,2009-08-10T04:25:16.3,66.3,193.4,61.7,84.4,1.880,5.646
0025o_nov2003b,2003-11-16T22:21:52.2,-24.2,49.5,90.0,52.7,146.051,18.830
0025o_nov2008,2008-11-23T21:01:08.4,-68.2,316.7,124.0,13.4,195.749,-12.083
0025o_oct2005b,2005-10-28T01:57:52.0,-14.3,68.6,100.3,22.9,161.287,11.062
0025o_oct2006b,2006-10-10T23:39:59.0,27.1,72.8,56.8,80.2,68.811,26.724
0026_nov2003b,2003-11-16T22:26:30.5,-23.4,50.3,94.4,52.6,146.103,18.820
0026_oct2005b,2005-10-28T02:02:41.6,-13.3,69.2,105.2,22.9,161.330,11.047
0026_oct2006,2006-10-03T01:09:03.6,17.0,233.5,90.7,77.3,315.578,-21.020
0026o_nov2003b,2003-11-16T22:31:08.8,-22.7,51.1,94.3,52.6,146.156,18.811
0026o_oct2005b,2005-10-28T02:07:26.9,-12.4,69.9,105.1,22.9,161.372,11.033
0026o_oct2006,2006-10-03T01:13:47.9,16.2,234.2,90.8,77.4,315.615,-20.998
0027_nov2003b,2003-11-16T22:35:46.9,-21.9,51.9,98.1,52.6,146.208,18.801
0027_oct2005b,2005-10-28T02:12:15.9,-11.4,70.5,109.4,22.9,161.415,11.018
0027_oct2006b,2006-10-10T23:44:53.5,28.1,73.2,55.8,80.2,68.857,26.740
0027o_nov2003b,2003-11-16T22:40:27.7,-21.2,52.7,98.0,52.5,146.260,18.791
0027o_oct2005b,2005-10-28T23:25:51.9,-49.9,32.7,115.5,16.1,170.521,6.121
0028_nov2003b,2003-11-16T22:45:05.7,-20.4,53.4,96.3,52.5,146.312,18.782
0028_oct2005b,2005-10-28T23:30:36.5,-49.4,34.2,113.4,16.1,170.572,6.104
0028o_nov2003b,2003-11-16T22:49:44.1,-19.6,54.2,96.2,52.5,146.363,18.772
0028o_oct2005b,2005-10-28T23:35:21.1,-48.8,35.7,113.4,16.1,170.622,6.086
0029_nov2003b,2003-11-16T22:54:23.2,-18.8,54.9,93.7,52.4,146.414,18.763
0029_oct2005b,2005-10-28T23:40:06.7,-48.3,37.2,110.4,16.1,170.673,6.068
