INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2003 10 12 07:45

TELESCOPE             INT
DATE                  20031011
OBSERVER/S            Witham
PROGRAMME             C6/P14  (IPHAS)
PROPOSAL REF          C6/P14
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    Hopewell

TEL STATION / FOCUS   Prime  / 43.94
INSTRUMENT/S          WFC

SUNSET (UT)           18:55
EVENING TWILIGHT (UT) 20:06
MORNING TWILIGHT (UT) 05:52
SUNRISE (UT)          07:03
%ILLUM. LUNAR DISK    97
DARK TIME (HRS)       09:46
TWILIGHT TIME (HRS)   02:22
MOONRISE (UT)         19:30
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00  10.9   20    20.4  24.0  261   770.7   10.9  13.6    12.7   20    31 
20:00   9.7   16    25.1  26.7  250   770.8    9.7  12.1    12.6   16    15 
21:00   9.5   17    28.2  29.0  255   771.2    9.5  11.2    12.6   17    14 
22:00  10.0   15    19.8  21.1  253   771.6   10.0  10.7    12.5   15    16 
23:00  11.1   10    17.3  18.9  223   771.7   11.1  11.5    12.5   10     9 
00:00  11.0   10    17.1  18.0  236   771.8   11.0  12.0    12.6   10     9 
01:00  11.5   12    16.4  17.2  238   771.6   11.5  12.2    12.5   12    11 
02:00  11.3   13    19.3  21.3  237   771.6   11.3  11.7    12.4   13    13 
03:00  11.6   14    23.3  26.4  228   771.3   11.6  11.6    12.3   14    14 
04:00  11.4   14    26.3  29.3  231   771.0   11.4  12.0    12.4   14    13 
05:00  10.9   16    19.3  21.7  178   770.7   10.9  11.7    12.3   16    14 
06:00  10.8   16    20.4  25.1  235   770.6   10.8  11.7    12.2   16    13 
07:00  10.9   15    22.0  27.9  203   770.6   10.9  11.6    12.1   15    13 

TIME LOST weather           00:20
TIME LOST Technical         00:40
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
fewclouds at start of night, cleared completely by 22:00UT

COMMENTS (causes of time lost, setup information eg CCD windows):
Problem with TCS disrupted taking standards at the end of the night



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 367192 Flat field       19:21:29.00 +12:27:48.9 J2000.00 19:01 1.043  WFC    3.4  180  Halpha                           
 367193 flat Ha          19:21:29.68 +12:27:59.0 J2000.00 19:03 1.043  WFC    5.1  180  Halpha                           
 367194 flat Ha          19:21:30.36 +12:28:08.8 J2000.00 19:04 1.042  WFC    8.1  180  Halpha                           
 367195 flat r           19:21:30.36 +12:28:09.0 J2000.00 19:09 1.042  WFC    3.6  180  r                                
 367196 flat r           19:21:29.68 +12:27:59.0 J2000.00 19:11 1.042  WFC    5.1  180  r                                
 367197 flat r           19:21:29.00 +12:27:48.9 J2000.00 19:13 1.042  WFC    7.1  180  r                                
 367198 flat r           19:21:28.31 +12:27:39.0 J2000.00 19:16 1.042  WFC   20.1  180  r                                
 367199 Focus run        19:21:28.99 +12:30:19.2 J2000.00 19:36 1.046  WFC   10.1  180  r                                
 367200 Wolf1346 Ha      20:38:21.83 +25:03:49.6 J2000.00 19:47 1.016  WFC   10.1  180  Halpha                           
 367201 Wolf1346 r       20:38:21.83 +25:03:49.6 J2000.00 19:49 1.014  WFC    5.1  180  r                                
 367202 Wolf1346 i       20:38:21.84 +25:03:49.5 J2000.00 19:51 1.013  WFC   10.1  180  i                                
 367203 SA112-250 i      20:42:26.40 +00:07:42.1 J2000.00 19:54 1.156  WFC   10.1  180  i                                
 367204 SA112-250 r      20:42:26.40 +00:07:42.1 J2000.00 19:56 1.154  WFC    5.1  180  r                                
 367205 SA112-250 i      20:42:26.40 +00:07:42.2 J2000.00 19:57 1.153  WFC    4.5  180  i                                
 367206 SA112-250 Ha     20:42:26.39 +00:07:42.2 J2000.00 19:59 1.152  WFC   40.1  180  Halpha                           
 367207 intphas_6124o Ha 20:43:10.64 +35:35:59.7 J2000.00 20:11 1.011  WFC  120.1  180  Halpha                           
 367208 intphas_6124o r  20:43:10.64 +35:35:59.7 J2000.00 20:14 1.010  WFC   10.1  180  r                                
 367209 intphas_6124o i  20:43:10.65 +35:35:59.7 J2000.00 20:15 1.010  WFC   10.1  180  i                                
 367210 intphas_6125 Ha  20:43:06.22 +36:58:59.6 J2000.00 20:16 1.012  WFC  120.0  180  Halpha                           
 367211 intphas_6125 r   20:43:06.21 +36:58:59.6 J2000.00 20:19 1.012  WFC   10.1  180  r                                
 367212 intphas_6125 i   20:43:06.22 +36:58:59.7 J2000.00 20:20 1.012  WFC   10.1  180  i                                
 367213 intphas_6125o Ha 20:43:31.28 +37:03:59.7 J2000.00 20:21 1.012  WFC  120.0  180  Halpha                           
 367214 intphas_6125o r  20:43:31.27 +37:03:59.7 J2000.00 20:23 1.011  WFC   10.1  180  r                                
 367215 intphas_6125o i  20:43:31.28 +37:03:59.7 J2000.00 20:24 1.011  WFC   10.1  180  i                                
 367216 intphas_6126 Ha  20:43:09.48 +45:46:59.6 J2000.00 20:25 1.046  WFC  120.0  180  Halpha                           
