INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2003 10 13 08:15

TELESCOPE             INT
DATE                  20031012
OBSERVER/S            Witham/Knigge
PROGRAMME             C6/P14  (IPHAS)
PROPOSAL REF          C6/P14
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    Hopewell

TEL STATION / FOCUS   Prime  / 43.96
INSTRUMENT/S          WFC

SUNSET (UT)           18:53
EVENING TWILIGHT (UT) 20:05
MORNING TWILIGHT (UT) 05:52
SUNRISE (UT)          07:04
%ILLUM. LUNAR DISK    93
DARK TIME (HRS)       09:47
TWILIGHT TIME (HRS)   02:24
MOONRISE (UT)         20:01
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00   9.7   22    24.8  30.8  231   770.3    9.7  14.0    13.2   22    19 
20:00   9.2   19    22.0  26.1  225   770.4    9.2  13.6    13.3   19    15 
21:00  10.0   16    26.2  30.3  220   770.8   10.0  11.7    13.1   16    14 
22:00  10.0   16    23.5  26.5  225   771.2   10.0  11.5    13.1   16    14 
23:00  10.1   15    23.6  25.7  226   771.3   10.1  11.2    12.8   15    13 
00:00   9.9   16    25.2  26.1  245   771.3    9.9  11.3    12.7   16    13 
01:00  10.2   15    29.9  31.2  233   770.9   10.2  11.2    12.5   15    13 
02:00  10.2   16    28.7  31.2  235   770.6   10.2  11.0    12.6   16    14 
03:00  10.0   16    27.3  28.7  225   770.3   10.0  11.1    12.3   16    13 
04:00   9.9   16    21.5  25.8  244   770.1    9.9  11.1    12.3   16    13 
05:00   9.7   16    19.2  22.5  262   769.8    9.7  11.0    12.2   16    14 
06:00  10.3   19    27.0  31.2  227   769.6   10.3  11.4    12.3   19    15 
07:00  10.0   19    26.0  30.4  266   769.8   10.0  11.1    12.1   19    15 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Fine for most of the night, some clouds near the end

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 367572 Bias              0:00:00.00 +00:00:00.0 A        12:57 1.037  WFC    0.0  180  g                                
 367573 Light             0:00:00.00 +00:00:00.0 A        13:02 2.893  WFC    2.0  180  g                                
 367574 Less Light        0:00:00.00 +00:00:00.0 A        13:30 4.494  WFC    1.5  180  Halpha                           
 367575 Flat field       19:21:29.00 +12:27:49.0 J2000.00 19:13 1.042  WFC  128.2  180  Halpha                           
 367576 Flat field       19:21:29.00 +12:27:49.0 J2000.00 19:16 1.042  WFC   25.1  180  r                                
 367578 Flat field       19:21:29.68 +12:27:59.0 J2000.00 19:26 1.045  WFC  199.9  180  Halpha                           
 367579 Focus run        19:21:29.00 +12:30:19.1 J2000.00 19:37 1.048  WFC   10.1  180  i                                
 367580 Wolf1346 Ha      20:38:21.84 +25:03:49.6 J2000.00 19:47 1.013  WFC   40.1  180  Halpha                           
 367581 Wolf1346 Ha      20:38:21.83 +25:03:49.7 J2000.00 19:50 1.012  WFC    5.1  180  r                                
 367582 Wolf1346 i       20:38:21.84 +25:03:49.7 J2000.00 19:52 1.011  WFC    5.1  180  i                                
