INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2003 12 16 08:01

TELESCOPE             INT
DATE                  20031215
OBSERVER/S            Pohlen
PROGRAMME             Truncations
PROPOSAL REF          C10
TELESCOPE OPERATOR    Leisy
SUPPORT ASTRONOMER    Mislis

TEL STATION / FOCUS   Prime  / 44.05
INSTRUMENT/S          WFC

SUNSET (UT)           18:24
EVENING TWILIGHT (UT) 19:40
MORNING TWILIGHT (UT) 06:33
SUNRISE (UT)          07:49
%ILLUM. LUNAR DISK    58
DARK TIME (HRS)       10:53
TWILIGHT TIME (HRS)   02:32
MOONRISE (UT)         00:16
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00   8.0   16     2.7   2.9  111   771.9    8.0  10.6    11.0   16    17 
20:00   8.1   11     7.8   8.4   30   772.2    8.1   9.3    10.9   11    25 
21:00   7.6   11     8.2   8.4   41   772.3    7.6   9.0    10.8   11    22 
22:00   8.1   10    12.2  12.6   48   772.2    8.1   9.0    10.8   10    15 
23:00   6.7   12    12.4  13.8    1   772.2    6.7   8.7    10.5   12    15 
00:00   6.6   12     7.0   8.0   51   771.7    6.6   8.4    10.6   12    14 
01:00   6.6   12     5.2   5.5   42   771.3    6.6   8.2    10.5   12    15 
02:00   6.4   13     3.0   3.2  122   770.8    6.4   8.0    10.1   13    15 
03:00   6.3   14     4.9   5.3  132   770.2    6.3   7.7    10.3   14    15 
04:00   5.8   16     9.9  10.1  143   770.0    5.8   7.4    10.1   16    17 
05:00   5.6   17     8.7   9.6  160   769.8    5.6   7.1     9.9   17    17 
06:00   5.8   15    10.8  11.6  147   769.5    5.8   7.4     9.8   15    17 
07:00   5.8   15    10.1  11.4  154   769.6    5.8   7.5     9.7   15    16 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
light to thick cirrus mainly all the night

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 381866 Bias                                              14:48        WFC    0.0       stromgren y                      
 381867 Flat field       23:15:48.00 +11:26:31.9 J2000.00 18:41 1.048  WFC    3.5  180  B                                
 381868 Flat field       23:15:48.68 +11:26:42.0 J2000.00 18:43 1.048  WFC    5.2  180  B                                
 381869 Flat field       23:15:48.67 +11:26:42.0 J2000.00 18:44 1.048  WFC    6.0  180  B                                
 381870 Flat field       23:15:48.00 +11:26:11.9 J2000.00 18:46 1.047  WFC    8.9  180  B                                
 381871 Flat field       23:15:46.97 +11:26:32.0 J2000.00 18:48 1.047  WFC   15.9  180  B                                
 381872 Flat field       23:15:46.97 +11:26:31.9 J2000.00 18:49 1.047  WFC   17.7  180  r                                
 381873 Flat field       23:15:48.00 +11:26:12.0 J2000.00 18:51 1.047  WFC   25.4  180  r                                
 381874 Flat field       23:15:48.68 +11:26:31.9 J2000.00 18:53 1.047  WFC   38.2  180  r                                
 381875 Flat field       23:15:48.33 +11:26:46.9 J2000.00 18:55 1.047  WFC   59.5  180  r                                
 381876 Flat field       23:15:46.98 +11:26:47.0 J2000.00 18:57 1.048  WFC  103.9  180  r                                
 381877 Focus run        23:15:48.00 +11:29:01.9 J2000.00 19:06 1.049  WFC   10.1  180  r                                
 381878 PG0231 r 8s       2:33:41.29 +05:18:45.0 J2000.00 19:18 1.456  WFC    7.5  180  r                                
 381879 PG0231 B 15s      2:33:41.30 +05:18:45.0 J2000.00 19:21 1.440  WFC   15.1  180  B                                
 381880 PG2331 r 8s      23:33:44.40 +05:46:39.9 J2000.00 19:23 1.088  WFC    7.1  180  B                                wrong header !
 381881 PG2331 B 15s     23:33:44.40 +05:46:40.0 J2000.00 19:24 1.088  WFC   15.1  180  B                                
 381882 PG2331 r 8s      23:33:44.39 +05:46:40.0 J2000.00 19:26 1.089  WFC    7.5  180  r                                
 381883 PG2213 r 8s      22:16:28.30 -00:21:12.9 J2000.00 19:28 1.254  WFC    8.1  180  r                                
 381884 PG2213 B 15s     22:16:28.30 -00:21:12.9 J2000.00 19:29 1.257  WFC   15.1  180  r                                wrong header !
 381885 PG2213 r 8s      22:16:28.30 -00:21:13.0 J2000.00 19:33 1.266  WFC    8.1  180  r                                focus corrected !!
 381886 PG2213 B 15s     22:16:28.30 -00:21:13.3 J2000.00 19:39 1.282  WFC   15.1  180  B                                
 381887 NGC524 B 900s     1:24:47.80 +09:32:19.9 J2000.00 19:44 1.104  WFC  899.5  180  B                                
 381888 NGC524 B 900s     1:24:47.80 +09:32:19.9 J2000.00 20:04 1.081  WFC  899.6  180  B                                
 381889 NGC524 B 900s     1:24:47.80 +09:32:20.0 J2000.00 20:21 1.068  WFC  899.1  180  B                                
 381890 NGC524 B 900s     1:24:47.80 +09:32:20.0 J2000.00 20:38 1.061  WFC  899.6  180  B                                
 381891 NGC524 B 900s     1:24:47.79 +09:32:20.0 J2000.00 20:55 1.059  WFC  899.6  180  B                                
 381892 NGC524 B 900s     1:24:47.80 +09:32:20.0 J2000.00 21:12 1.063  WFC  899.7  180  B                                
 381893 NGC524 B 900s     1:24:47.80 +09:32:20.0 J2000.00 21:29 1.072  WFC  899.5  180  B                                
 381894 NGC524 B 900s     1:24:47.80 +09:32:19.9 J2000.00 21:45 1.086  WFC  899.5  180  B                                
 381895 NGC524 B 900s     1:24:47.80 +09:32:20.0 J2000.00 22:02 1.106  WFC  899.5  180  B                                
 381896 NGC524 B 900s     1:24:47.80 +09:32:19.9 J2000.00 22:19 1.133  WFC  899.5  180  B                                
 381897 NGC524 B 900s     1:24:47.79 +09:32:20.0 J2000.00 22:37 1.169  WFC  899.5  180  B                                
 381898 NGC524 B 120s     1:24:47.80 +09:32:19.9 J2000.00 22:53 1.193  WFC  119.5  180  B                                
 381899 NGC1550 r 120s    4:19:37.99 +02:24:35.9 J2000.00 23:00 1.146  WFC  120.0  180  r                                
 381900 NGC1550 r 600s    4:19:38.00 +02:24:36.0 J2000.00 23:04 1.137  WFC  599.7  180  r                                
 381901 NGC1550 r 300s    4:19:38.00 +02:24:35.9 J2000.00 23:18 1.128  WFC  299.9  180  r                                
 381902 NGC1550 r 900s    4:19:37.99 +02:24:35.9 J2000.00 23:26 1.120  WFC  899.8  180  r                                
 381903 NGC1550 r 900s    4:19:38.00 +02:24:35.9 J2000.00 23:43 1.116  WFC  899.6  180  r                                
 381904 NGC1550 r 900s    4:19:37.99 +02:24:36.0 J2000.00 23:59 1.117  WFC  899.6  180  r                                
 381905 NGC1550 r 900s    4:19:38.00 +02:24:36.0 J2000.00 00:16 1.125  WFC  899.6  180  r                                
 381906 NGC1550 r 900s    4:19:38.00 +02:24:35.8 J2000.00 00:33 1.139  WFC  899.5  180  r                                
 381907 NGC1550 r 900s    4:19:38.00 +02:24:36.0 J2000.00 00:50 1.159  WFC  899.0  180  r                                
 381908 NGC1550 r 900s    4:19:38.00 +02:24:36.0 J2000.00 01:07 1.186  WFC  899.5  180  r                                
 381909 NGC1550 r 900s    4:19:38.00 +02:24:36.0 J2000.00 01:25 1.224  WFC  898.9  180  r                                
 381910 NGC1550 r 900s    4:19:38.00 +02:24:35.9 J2000.00 01:41 1.268  WFC  899.5  180  r                                
 381911 NGC1550 r 900s    4:19:37.99 +02:24:35.9 J2000.00 01:57 1.321  WFC  899.5  180  r                                
 381912 NGC2681 r 120s    8:53:32.69 +51:18:49.3 J2000.00 02:18 1.190  WFC  120.0  180  r                                
 381913 NGC2681 r 60s     8:53:32.70 +51:18:49.2 J2000.00 02:22 1.184  WFC   60.1  180  r                                
 381914 NGC2681 r 30s     8:53:32.69 +51:18:49.2 J2000.00 02:25 1.180  WFC   30.1  180  r                                
 381915 NGC2681 r 10s     8:53:32.70 +51:18:49.3 J2000.00 02:27 1.177  WFC   10.1  180  r                                
 381916 NGC2681 r 600s    8:53:32.70 +51:18:49.2 J2000.00 02:28 1.167  WFC  599.7  180  r                                
 381917 NGC2681 r 600s    8:53:32.70 +51:18:49.2 J2000.00 02:39 1.150  WFC  599.8  180  r                                
 381918 NGC2681 r 600s    8:53:32.70 +51:18:49.2 J2000.00 02:51 1.135  WFC  599.7  180  r                                
 381919 NGC2681 r 600s    8:53:32.70 +51:18:49.3 J2000.00 03:03 1.122  WFC  599.7  180  r                                
 381920 NGC2681 r 600s    8:53:32.69 +51:18:49.3 J2000.00 03:15 1.111  WFC  599.7  180  r                                
 381921 NGC2681 r 600s    8:53:32.70 +51:18:49.4 J2000.00 03:27 1.102  WFC  599.7  180  r                                
 381922 NGC2681 r 600s    8:53:32.70 +51:18:49.2 J2000.00 03:38 1.094  WFC  599.7  180  r                                
 381923 NGC2681 r 600s    8:53:32.70 +51:18:49.2 J2000.00 03:50 1.089  WFC  599.8  180  r                                
 381924 NGC2681 r 600s    8:53:32.70 +51:18:49.3 J2000.00 04:02 1.085  WFC  599.8  180  r                                
 381925 NGC2681 r 600s    8:53:32.69 +51:18:49.3 J2000.00 04:14 1.083  WFC  599.8  180  r                                
 381926 NGC2681 r 600s    8:53:32.69 +51:18:49.3 J2000.00 04:27 1.083  WFC  599.7  180  r                                
 381927 NGC2681 r 600s    8:53:32.69 +51:18:49.3 J2000.00 04:41 1.085  WFC  599.7  180  r                                
 381928 NGC2681 r 600s    8:53:32.70 +51:18:49.3 J2000.00 04:52 1.088  WFC  599.8  180  r                                
 381929 Focus run         8:53:32.70 +51:21:19.3 J2000.00 05:07 1.092  WFC    9.6  180  r                                
 381930 NGC2681 r 600s    8:53:32.69 +51:18:49.3 J2000.00 05:13 1.099  WFC  599.8  180  r                                
 381931 NGC2681 r 600s    8:53:32.70 +51:18:49.3 J2000.00 05:24 1.107  WFC  599.8  180  r                                
 381932 UGC4599 r 120s    8:47:41.70 +13:25:09.0 J2000.00 05:38 1.092  WFC  120.0  180  r                                
 381933 UGC4599 r 600s    8:47:41.70 +13:25:08.9 J2000.00 05:43 1.106  WFC  599.6  180  r                                
 381934 UGC4599 r 600s    8:47:41.69 +13:25:08.9 J2000.00 06:11 1.164  WFC  599.8  180  r                                
 381935 UGC4599 r 600s    8:47:41.70 +13:25:08.9 J2000.00 06:22 1.193  WFC  599.8  180  r                                
