INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2004 01 25 07:53

TELESCOPE             INT
DATE                  20040124
OBSERVER/S            J.A.Tedds, M.Rosenthal, N Loaring
PROGRAMME             XMM SSC XID imaging
PROPOSAL REF          WFS3 
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS   Prime  / 44.13
INSTRUMENT/S          WFC

SUNSET (UT)           18:50
EVENING TWILIGHT (UT) 20:05
MORNING TWILIGHT (UT) 06:42
SUNRISE (UT)          07:56
%ILLUM. LUNAR DISK    12
DARK TIME (HRS)       10:37
TWILIGHT TIME (HRS)   02:29
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          21:48

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00   4.1   44    12.5  20.3  126   770.8    4.1   6.7     6.8   44    40 
20:00   3.7   51     8.8  10.6   12   771.3    3.7   5.7     6.6   51    50 
21:00   3.0   57    28.6  31.7   43   771.3    3.0   5.4     6.6   57    53 
22:00   2.7   57    22.8  29.3   26   771.7    2.7   5.2     6.3   57    53 
23:00   3.5   50    35.2  38.6   47   771.7    3.5   5.7     6.3   50    46 
00:00   3.5   46    29.5  31.3   39   771.6    3.5   5.4     6.3   46    44 
01:00   4.2   43    35.5  38.5   57   771.3    4.2   5.6     6.2   43    43 
02:00   4.0   49    38.9  43.3   39   770.5    4.0   6.1     6.2   49    44 
03:00   4.1   53    39.8  43.6   47   770.0    4.1   5.8     6.2   53    51 
04:00   4.1   54    40.9  43.8   58   770.0    4.1   5.7     6.2   54    50 
05:00   4.0   53    41.3  42.9   53   769.8    4.0   5.6     6.1   53    51 
06:00   4.1   50    31.5  34.2   50   770.0    4.1   5.5     6.1   50    50 
07:00   3.8   58    23.4  29.6   75   770.1    3.8   5.3     6.2   58    55 

TIME LOST weather           00:00
TIME LOST Technical         00:30
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
clear

COMMENTS (causes of time lost, setup information eg CCD windows):
obsys3 server problems had to restart obssys twice.



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 387132 Flat field        1:47:36.00 +02:20:02.9 J2000.00 19:16 1.126  WFC   18.4  180  i                                
 387133 Flat field        1:47:36.66 +02:20:12.9 J2000.00 19:18 1.128  WFC   29.7  180  i                                
 387134 Flat field        1:47:37.33 +02:20:13.0 J2000.00 19:20 1.130  WFC   47.1  180  i                                
 387135 Flat field        1:47:37.33 +02:20:12.9 J2000.00 19:23 1.132  WFC   91.5  180  r                                
 387136 Flat field        1:47:37.33 +02:20:12.9 J2000.00 19:26 1.135  WFC  116.9  180  g                                
 387137 Focus run         1:55:05.09 +00:48:12.1 J2000.00 19:47 1.162  WFC   10.1  180  g                                
 387138 93-333            1:55:05.10 +00:45:42.0 J2000.00 19:56 1.176  WFC    9.5  180  i                                satd
 387139 93-333            1:55:05.10 +00:45:42.0 J2000.00 19:57 1.179  WFC    9.6  180  r                                satd
 387140 93-333            1:55:05.09 +00:45:42.0 J2000.00 19:59 1.181  WFC    5.1  180  i                                30000cts sg=1.4
 387141 93-333            1:55:05.09 +00:45:41.9 J2000.00 20:00 1.183  WFC    5.1  180  r                                20000cts
 387142 93-333            1:55:05.10 +00:45:42.0 J2000.00 20:01 1.185  WFC    5.1  180  g                                30000cts sg=1.2
 387143 93-333            1:55:05.10 +00:45:41.9 J2000.00 20:03 1.188  WFC   14.5  180  z                                24000 cnts sg=1.6
 387144 93-333            1:55:05.10 +00:45:42.0 J2000.00 20:05 1.191  WFC   20.0  180  U                                4000 cnts
 387145 STEPHANSQUINTE   22:36:15.35 +34:01:07.8 J2000.00 20:11 1.913  WFC  119.5  180  r                                sg=1.3
 387146 1SAXJ2331.9+1938 23:32:04.32 +19:40:03.0 J2000.00 20:18 1.648  WFC  120.0  180  r                                sg=1
 387147 HD108             0:06:25.54 +63:42:48.0 J2000.00 20:26 1.475  WFC  120.0  180  U                                sg=1.2
 387148 HD108             0:06:25.55 +63:42:47.9 J2000.00 20:30 1.489  WFC  119.5  180  Halpha                           sg=1
 387149 NGC7770          23:51:33.14 +20:07:46.9 J2000.00 20:37 1.635  WFC  120.0  180  r                                sg=1.1
 387150 G133-69POS_1      1:04:34.06 -06:21:59.9 J2000.00 20:43 1.643  WFC  120.0  180  r                                sg=1.5
 387151 HTCAS             1:10:33.05 +60:06:35.0 J2000.00 20:51 1.338  WFC  120.0  180  r                                sg=1
 387152 HTCAS             1:10:33.05 +60:06:35.0 J2000.00 20:57 1.354  WFC  120.1  180  U                                sg=1.1
 387153 HTCAS             1:10:33.04 +60:06:35.0 J2000.00 21:01 1.362  WFC  120.0  180  Halpha                           sg=1.1
 387154 NGC720            1:53:11.29 -13:42:14.0 J2000.00 21:10 1.712  WFC  120.0  180  r                                sg=1.4
 387155 A189              1:25:43.24 +01:47:37.5 J2000.00 21:16 1.534  WFC  120.0  180  r                                sg=1.3
 387156 MRK1014           2:00:00.20 +00:25:41.1 J2000.00 21:23 1.415  WFC  120.1  180  r                                sg=1.3
 387157 NAB0205+024       2:07:59.86 +02:44:56.0 J2000.00 21:28 1.366  WFC  120.0  180  r                                sg=1.1
 387158 MS0205.7+3509     2:08:50.37 +35:25:11.9 J2000.00 21:34 1.180  WFC  120.0  180  r                                sg=1.3
 387159 MRK1044           2:30:15.12 -08:57:53.1 J2000.00 21:40 1.541  WFC  120.0  180  r                                sg=1.1
 387160 96-36             4:51:42.40 -00:10:10.1 J2000.00 21:44 1.142  WFC    5.1  180  r                                satd
 387161 96-36             4:51:42.40 -00:10:10.0 J2000.00 21:45 1.142  WFC    5.1  180  i                                
