INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2004 01 29 06:40

TELESCOPE             INT
DATE                  20040128
OBSERVER/S            M.Rosenthal, N Loaring
PROGRAMME             XMM SSC XID imaging
PROPOSAL REF          WFS3 
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS   Prime  / 44.09
INSTRUMENT/S          WFC

SUNSET (UT)           18:54
EVENING TWILIGHT (UT) 20:08
MORNING TWILIGHT (UT) 06:40
SUNRISE (UT)          07:54
%ILLUM. LUNAR DISK    48
DARK TIME (HRS)       10:32
TWILIGHT TIME (HRS)   02:28
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          01:34

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00   4.6    7    31.1  35.6  258   768.1    4.6   7.7     8.8    7    10 
20:00   4.0    8    22.7  24.2  241   768.7    4.0   6.7     8.6    8    10 
21:00   2.9   15    22.3  26.3  247   768.9    2.9   5.4     8.4   15    14 
22:00   3.2   20    27.6  29.7  273   768.9    3.2   5.0     8.2   20    19 
23:00   2.4   26    35.4  36.7  278   768.8    2.4   4.2     7.7   26    23 
00:00   1.2   41    34.1  36.6  283   768.4    1.2   3.8     7.6   41    35 
01:00   0.6   95    35.4  38.2  280   768.0    0.6   3.8     7.7   95    78 
02:00   1.2   95    34.4  37.6  280   767.9    1.2   4.9     7.8   95    77 
03:00   1.6   95    32.4  34.2  274   767.7    1.6   6.0     7.6   95    75 
04:00   2.0   96    34.4  36.2  274   767.5    2.0   5.8     7.7   96    78 
05:00   1.1   96    35.2  40.1  296   767.3    1.1   6.0     7.7   96    73 
06:00   1.5   96    32.4  37.6  305   767.5    1.5   5.9     7.9   96    72 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
most of night clouded out. seeing poor due to cloud, 1.8 on average

COMMENTS (causes of time lost, setup information eg CCD windows):
6.30-7.30pm lost due to cloud. 
 Closed again at 12.30am due to low cloud. 
Remained closed for rest of night (still enveloped at 6.45 am)

 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 387722 Bias frame        0:00:00.00 +00:00:00.0 A        14:07 4.667  WFC    0.0  179  U                                
 387723 02+00             1:56:56.38 -00:14:27.7 J2000.00 19:43 1.189  WFC   15.1  180  r                                test exposure
 387724 94-251            2:57:47.00 +00:16:03.0 J2000.00 19:52 1.139  WFC   10.1  180  r                                test exposure
 387725 Focus run         2:57:47.00 +00:18:32.9 J2000.00 19:59 1.140  WFC    9.5  180  r                                focus = 44.09
 387726 94-251            2:57:47.00 +00:16:03.0 J2000.00 20:05 1.145  WFC   10.1  180  r                                satd
 387727 94-251            2:57:47.00 +00:16:03.0 J2000.00 20:07 1.146  WFC    5.0  180  r                                satd
 387728 94-401            2:56:30.79 +00:40:07.0 J2000.00 20:10 1.144  WFC   10.1  180  r                                12000 cts
 387729 94-401            2:56:30.80 +00:40:06.9 J2000.00 20:12 1.146  WFC   15.0  180  r                                15000 cts
 387730 94-401            2:56:30.80 +00:40:07.0 J2000.00 20:13 1.147  WFC   15.1  180  i                                8000 cts
 387731 94-401            2:56:30.79 +00:40:07.0 J2000.00 20:15 1.148  WFC   45.1  180  i                                34000 cts
 387732 94-401            2:56:30.79 +00:40:07.0 J2000.00 20:17 1.150  WFC   45.1  180  r                                32000 cts
 387733 94-401            2:56:30.80 +00:40:07.0 J2000.00 20:19 1.152  WFC   30.1  180  g                                12000 cts
 387734 94-401            2:56:30.80 +00:40:07.0 J2000.00 20:22 1.154  WFC   60.1  180  g                                40000 cts
 387735 94-401            2:56:30.80 +00:40:07.0 J2000.00 20:24 1.157  WFC   60.1  180  z                                14000 cts
 387736 94-401            2:56:30.79 +00:40:07.0 J2000.00 20:27 1.160  WFC  100.0  180  U                                2500 cts
 387737 94-401            2:56:30.80 +00:40:06.9 J2000.00 20:30 1.165  WFC  199.9  180  U                                4100 cts
 387738 94-401            2:56:30.79 +00:40:07.0 J2000.00 20:35 1.170  WFC  200.0  180  Halpha                           8000cts
 387739 MRK1044           2:30:15.11 -08:57:52.9 J2000.00 20:43 1.395  WFC  599.2  180  g                                sg=1.7
 387740 XMDSSSC_5         2:22:50.03 -05:08:00.0 J2000.00 20:55 1.406  WFC 1199.1  180  i                                sg 1.4
 387741 XMDSSSC_4         2:24:10.03 -05:08:00.0 J2000.00 21:18 1.500  WFC 1199.4  180  i                                sg 1.8 cloud on chip 3?
 387742 XMDSSSC_4         2:24:10.04 -05:07:59.8 J2000.00 21:39 1.587  WFC  599.2  180  g                                sg=1.8 cloud on chip 3?
