INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2004 07 31 07:39

TELESCOPE             INT
DATE                  20040730
OBSERVER/S            Janet Drew
PROGRAMME             IPHAS
PROPOSAL REF          P8
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    n/a

TEL STATION / FOCUS   Prime  / 44.05
INSTRUMENT/S          WFC

SUNSET (UT)           20:12
EVENING TWILIGHT (UT) 21:33
MORNING TWILIGHT (UT) 05:04
SUNRISE (UT)          06:24
%ILLUM. LUNAR DISK    99
DARK TIME (HRS)       07:31
TWILIGHT TIME (HRS)   02:41
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          06:02

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  16.9   31     3.1   3.4   23   775.8   n.a.  n.a.    n.a.  n.a.   n.a.
22:00  16.6   32     3.7   3.8   42   776.1   n.a.  n.a.    n.a.  n.a.   n.a.
23:00  16.3   28     6.7   6.9    6   776.8   n.a.  n.a.    n.a.  n.a.   n.a.
00:00  16.0   29     8.8   8.9   18   776.9   n.a.  n.a.    n.a.  n.a.   n.a.
01:00  15.8   30    11.2  11.4    2   776.8   n.a.  n.a.    n.a.  n.a.   n.a.
02:00  15.4   31    10.0  10.4  336   776.5   n.a.  n.a.    n.a.  n.a.   n.a.
03:00  15.3   30    10.4  10.6  321   775.9   n.a.  n.a.    n.a.  n.a.   n.a.
04:00  15.3   33    14.5  15.9  327   775.5   n.a.  n.a.    n.a.  n.a.   n.a.
05:00  15.3   34    11.0  11.6  313   775.3   n.a.  n.a.    n.a.  n.a.   n.a.
06:00  14.9   34    11.8  12.2  324   775.3   n.a.  n.a.    n.a.  n.a.   n.a.

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
occasional scattered cloud throughout night, some extinction, seeing 1 arcsec or better

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 411672 Bias frame        0:00:00.00 +00:00:00.0 A        12:58 1.626  WFC    0.0  180  [OIII]5007                       
 411673 Flat field       16:24:33.00 +55:43:58.9 J2000.00 20:17 1.133  WFC    3.4  180  Halpha                           
 411674 Flat field       16:24:34.18 +55:44:09.0 J2000.00 20:18 1.132  WFC   10.5  180  Halpha                           
 411675 Flat field       16:24:34.18 +55:43:49.0 J2000.00 20:19 1.132  WFC    4.0  180  Halpha                           
 411676 Flat field       16:24:31.81 +55:44:09.0 J2000.00 20:20 1.131  WFC    5.9  180  Halpha                           
 411677 Flat field       16:24:31.81 +55:43:48.9 J2000.00 20:21 1.131  WFC    6.6  180  Halpha                           
 411678 Flat field       16:24:33.00 +55:43:59.0 J2000.00 20:27 1.128  WFC    2.9  180  i                                
 411679 Flat field       16:24:34.18 +55:44:09.0 J2000.00 20:28 1.128  WFC    4.0  180  i                                
 411680 Flat field       16:24:34.18 +55:43:49.0 J2000.00 20:29 1.127  WFC    4.7  180  i                                
 411681 Flat field       16:24:31.81 +55:44:08.9 J2000.00 20:30 1.127  WFC    5.8  180  i                                
 411682 Flat field       16:24:31.81 +55:43:49.0 J2000.00 20:31 1.127  WFC    7.0  180  i                                
 411683 Flat field       16:24:32.99 +55:43:58.9 J2000.00 20:33 1.126  WFC    8.3  180  r                                
 411684 Flat field       16:24:34.18 +55:44:09.0 J2000.00 20:34 1.126  WFC   11.3  180  r                                
 411685 Flat field       16:24:34.18 +55:43:49.0 J2000.00 20:35 1.125  WFC   16.6  180  r                                
 411686 Flat field       16:24:31.81 +55:44:08.9 J2000.00 20:37 1.125  WFC   23.8  180  r                                
 411687 Flat field       16:24:31.81 +55:43:48.9 J2000.00 20:38 1.124  WFC   34.9  180  r                                
 411688 Focus run        17:45:19.90 -00:24:00.8 J2000.00 20:51 1.244  WFC    4.1  180  r                                looks unreliable - try one more time
 411689 Focus run        17:45:19.90 -00:24:01.0 J2000.00 21:03 1.219  WFC    5.1  180  r                                
 411690 SA109-231 r      17:45:19.89 -00:25:51.0 J2000.00 21:09 1.204  WFC    5.1  180  r                                
 411691 SA109-231 i      17:45:19.89 -00:25:51.0 J2000.00 21:11 1.201  WFC    5.1  180  i                                
 411692 SA109-231 Ha     17:45:19.89 -00:25:51.0 J2000.00 21:12 1.198  WFC   40.1  180  Halpha                           
