INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2004 08 19 09:34

TELESCOPE             INT
DATE                  20040817
OBSERVER/S            Amornrat Aungwerojwit
PROGRAMME             P10
PROPOSAL REF          ITP7               
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           19:57
EVENING TWILIGHT (UT) 21:14
MORNING TWILIGHT (UT) 05:18
SUNRISE (UT)          06:35
%ILLUM. LUNAR DISK    4
DARK TIME (HRS)       08:04
TWILIGHT TIME (HRS)   02:34
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          21:08

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00  13.7   19    29.0  36.8  275   772.1   13.7  17.8    18.6   19    19 
21:00  13.0   16    25.4  27.6  294   772.2   13.0  16.1    18.7   16    16 
22:00  12.3   41    25.0  26.7  277   772.6   12.3  14.4    18.5   41    36 
23:00  12.4   42    24.2  26.4  311   772.9   12.4  14.1    18.2   42    38 
00:00  12.5   27    18.3  20.9  280   773.1   12.5  13.9    18.0   27    25 
01:00  12.6   30    22.1  23.6  280   772.9   12.6  13.8    17.7   30    28 
02:00  12.7   27    22.6  23.4  274   772.5   12.7  14.1    17.5   27    25 
03:00  12.5   28    24.8  25.8  267   772.1   12.5  14.0    17.3   28    25 
04:00  12.3   27    21.5  23.4  267   771.7   12.3  14.0    17.1   27    24 
05:00  12.4   22    19.2  19.7  263   771.3   12.4  13.7    17.0   22    20 
06:00  13.3    9    13.6  13.8  260   771.3   13.3  13.7    16.7    9    12 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
clear at the beginning, seeing ~0.9-1.3"  

COMMENTS (causes of time lost, setup information eg CCD windows):
focus ddin't change when filter has changed



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 416423 Flat field       17:59:44.00 +66:21:18.9 J2000.00 20:08 1.293  WFC    6.2  180  Halpha                           
 416424 Flat field       17:59:45.66 +66:21:29.0 J2000.00 20:10 1.292  WFC   11.2  180  Halpha                           
 416425 Flat field       17:59:42.33 +66:21:28.9 J2000.00 20:11 1.290  WFC   17.7  180  Halpha                           
 416426 Flat field       17:59:42.34 +66:21:09.0 J2000.00 20:13 1.288  WFC   30.0  180  Halpha                           
 416427 Flat field       17:59:44.00 +66:21:18.9 J2000.00 20:16 1.287  WFC    5.8  180  r                                
 416428 Flat field       17:59:45.66 +66:21:28.9 J2000.00 20:17 1.286  WFC    5.7  180  r                                
 416429 Flat field       17:59:42.33 +66:21:29.0 J2000.00 20:18 1.285  WFC   10.1  180  r                                
 416430 Flat field       17:59:45.66 +66:21:08.9 J2000.00 20:20 1.284  WFC   14.7  180  r                                
 416431 Flat field       17:59:42.33 +66:21:08.9 J2000.00 20:21 1.283  WFC   19.6  180  r                                
 416432 Flat field       17:59:44.00 +66:21:19.0 J2000.00 20:23 1.282  WFC   27.4  180  i                                
 416433 Flat field       17:59:42.34 +66:21:08.9 J2000.00 20:25 1.280  WFC   41.8  180  i                                
 416434 Flat field       17:59:42.33 +66:21:29.0 J2000.00 20:27 1.279  WFC   62.7  180  i                                
 416435 Focus run        18:00:15.06 +00:12:43.8 J2000.00 20:42 1.160  WFC    9.5  180  r                                
 416436 ST_NGC7006 Ha    21:01:29.27 +16:11:07.0 J2000.00 20:55 1.545  WFC  120.0  180  Halpha                           
 416437 ST_NGC7006 r     21:01:29.27 +16:11:07.0 J2000.00 20:58 1.532  WFC   30.1  180  r                                
 416438 ST_NGC7006 i     21:01:29.27 +16:11:07.1 J2000.00 20:59 1.525  WFC   10.1  180  i                                
 416439 ST_Draco Ha      17:20:23.28 +57:54:01.0 J2000.00 21:02 1.146  WFC  120.0  180  Halpha                           
 416440 ST_Draco r       17:20:23.28 +57:54:01.1 J2000.00 21:05 1.147  WFC   30.1  180  r                                
 416441 ST_Draco i       17:20:23.27 +57:54:01.0 J2000.00 21:06 1.147  WFC   10.1  180  i                                
 416442 intphas_4690 Ha  19:15:04.49 +17:00:00.1 J2000.00 21:15 1.082  WFC  120.0  180  Halpha                           
 416443 intphas_4690 r   19:15:04.49 +16:59:59.9 J2000.00 21:18 1.079  WFC   30.1  180  r                                
 416444 intphas_4690 i   19:15:04.49 +17:00:00.0 J2000.00 21:19 1.078  WFC   10.1  180  i                                
 416445 intphas_4690o Ha 19:15:25.41 +17:04:59.9 J2000.00 21:20 1.075  WFC  120.0  180  Halpha                           
 416446 intphas_4690o r  19:15:25.42 +17:04:59.9 J2000.00 21:23 1.072  WFC   30.1  180  r                                
 416447 intphas_4690o i  19:15:25.41 +17:04:59.9 J2000.00 21:24 1.071  WFC   10.1  180  i                                
 416448 intphas_4691 Ha  19:15:08.31 +15:32:00.0 J2000.00 21:25 1.075  WFC  120.0  180  Halpha                           
 416449 intphas_4691 r   19:15:08.31 +15:32:00.0 J2000.00 21:28 1.073  WFC   29.5  180  r                                
 416450 intphas_4691 i   19:15:08.31 +15:31:59.9 J2000.00 21:29 1.071  WFC   10.1  180  i                                
 416451 intphas_4691o Ha 19:15:29.08 +15:36:59.9 J2000.00 21:30 1.069  WFC  120.0  180  Halpha                           
 416452 intphas_4691o r  19:15:29.08 +15:37:00.0 J2000.00 21:33 1.066  WFC   29.5  180  r                                
