INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2004 12 31 08:07

TELESCOPE             INT
DATE                  20041230
OBSERVER/S            Mansura Jaigirdar
PROGRAMME             DNIght
PROPOSAL REF          DNight          
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    Romano Corradi

TEL STATION / FOCUS    / 44.01
INSTRUMENT/S          WFC

SUNSET (UT)           18:32
EVENING TWILIGHT (UT) 19:48
MORNING TWILIGHT (UT) 06:40
SUNRISE (UT)          07:56
%ILLUM. LUNAR DISK    84
DARK TIME (HRS)       10:52
TWILIGHT TIME (HRS)   02:32
MOONRISE (UT)         21:47
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00   6.8   34    35.6  39.2   23   773.0    6.8   8.7     8.3   34    29 
20:00   7.5   28    32.5  41.3   21   773.3    7.5   8.7     8.2   28    24 
21:00   7.7   24    42.0  46.6   37   773.4    7.7   8.7     8.1   24    22 
22:00   7.5   26    37.2  44.8   52   773.4    7.5   8.2     8.2   26    23 
23:00   8.0   22    30.5  36.7   56   773.4    8.0   8.9     8.3   22    19 
00:00   8.6   19    25.0  32.5   99   773.1    8.6   9.5     8.9   19    14 
01:00   8.3   21    22.3  26.0  140   772.6    8.3   9.5     8.7   21    18 
02:00   7.8   19    21.4  32.2    1   772.4    7.8   9.2     9.2   19    13 
03:00   8.0   18    11.3  13.7  191   772.3    8.0   9.3     9.3   18    12 
04:00   7.0   22    24.8  31.8  137   771.6    7.0   8.1     9.0   22    18 
05:00   6.8   21    31.6  34.8  100   771.8    6.8   8.3     8.8   21    20 
06:00   5.6   27    24.9  30.1  131   771.5    5.6   7.5     8.6   27    22 
07:00   6.0   22    32.9  38.3   80   770.1    6.0   7.2     8.4   22    20 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
photometric. Good seeing at beginning of night & bad seeing for last half of night

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 435694 TEST             20:00:00.00 +19:59:59.9 2004.996 14:47 1.013  WFC    5.1  180  i                                
 435695 Bias             20:00:00.00 +19:59:59.9 2004.996 14:49 1.014  WFC    0.0  180  i                                
 435696 Skyflat Ha 4s    19:19:09.00 +12:22:05.0 1950.00  18:44 2.726  WFC    4.1  180  Halpha                           
 435697 Skyflat Ha 6s    19:19:09.68 +12:22:15.0 1950.00  18:45 2.770  WFC    6.1  180  Halpha                           
 435698 Skyflat Ha 7s    19:19:08.31 +12:21:55.0 1950.00  18:47 2.812  WFC    7.1  180  Halpha                           
 435699 Skyflat OIII 7s  19:19:08.31 +12:21:54.8 1950.00  18:48 2.857  WFC    7.1  180  [OIII]5007                       
 435700 Skyflat OIII 25s 19:19:09.00 +12:22:05.2 1950.00  18:50 2.911  WFC   25.1  180  [OIII]5007                       
 435701 Skyflat OIII 45s  0:00:00.00 +00:00:00.0 1950.00  18:52 2.913  WFC   45.1  180  [OIII]5007                       
 435702 Skyflat i 4s     21:26:54.39 -08:51:40.9 1950.00  18:57 1.794  WFC    4.1  180  i                                
 435703 Skyflat i 7s     21:26:55.07 -08:51:31.0 1950.00  18:58 1.804  WFC    7.1  180  i                                
 435704 Skyflat i 7s     21:26:53.72 -08:51:50.9 1950.00  18:59 1.817  WFC    7.1  180  i                                
 435705 Skyflat i 8s     21:26:55.07 -08:51:50.9 1950.00  19:01 1.827  WFC    8.1  180  i                                
 435706 Skyflat g 9s     21:26:55.07 -08:51:51.0 1950.00  19:02 1.837  WFC    9.1  180  g                                
 435707 Skyflat g 11s    21:26:54.40 -08:51:40.9 1950.00  19:03 1.847  WFC   11.0  180  g                                
 435708 Skyflat g 14s    21:26:55.07 -08:51:30.9 1950.00  19:04 1.855  WFC   14.1  180  g                                
 435709 Skyflat g 18s    21:26:53.75 -08:51:50.0 1950.00  19:05 1.866  WFC   18.1  180  g                                
 435710 Skyflat r 32s    21:26:53.72 -08:51:51.0 1950.00  19:06 1.879  WFC   31.6  180  r                                
 435711 Skyflat r 40s    21:26:54.39 -08:51:40.9 1950.00  19:07 1.893  WFC   40.1  180  r                                
 435712 Skyflat r 60s    21:26:55.07 -08:51:31.0 1950.00  19:09 1.909  WFC   60.1  180  r                                
 435713 Focus run         0:57:16.99 +00:36:48.0 2000.00  20:00 1.141  WFC   20.0  180  i                                
 435714 NGC185 i 180s     0:38:57.70 +48:20:11.9 2000.00  20:24 1.096  WFC  180.0  180  i                                
 435715 NGC185 i 600s     0:38:57.70 +48:20:12.0 2000.00  20:39 1.116  WFC  599.8  180  i                                
 435716 NGC185 i 600s     0:38:57.70 +48:20:11.9 2000.00  20:50 1.131  WFC  599.7  180  i                                
