INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 01 20 08:01

TELESCOPE             INT
DATE                  20050119
OBSERVER/S            Suzanne Aigrain
PROGRAMME             P19
PROPOSAL REF          P19                
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    James Furness

TEL STATION / FOCUS   Prime  / 44.30
INSTRUMENT/S          WFC

SUNSET (UT)           18:47
EVENING TWILIGHT (UT) 20:02
MORNING TWILIGHT (UT) 06:42
SUNRISE (UT)          07:57
%ILLUM. LUNAR DISK    76
DARK TIME (HRS)       10:40
TWILIGHT TIME (HRS)   02:30
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          04:17

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00   5.5   72    17.8  20.3   87   772.9    5.5   8.2     7.2   72    73 
20:00   5.0   78    18.2  21.3  162   772.9    5.0   6.8     7.0   78    75 
21:00   4.9   78     6.6   8.0  108   773.5    4.9   7.5     7.1   78    73 
22:00   4.6   68    17.4  20.5  148   773.4    4.6   8.0     7.1   68    65 
23:00   5.0   58    18.0  24.6  137   773.2    5.0   8.1     7.2   58    54 
00:00   4.9   56     8.6   9.8  153   773.3    4.9   8.3     7.2   56    51 
01:00   5.3   56    11.4  12.6  112   772.8    5.3   7.2     7.2   56    50 
02:00   5.1   55    12.1  13.2   25   772.3    5.1   6.6     7.1   55    52 
03:00   5.4   46    15.4  16.0   80   772.0    5.4   6.8     6.9   46    49 
04:00   5.4   47    12.2  13.6   51   771.9    5.4   6.6     6.9   47    47 
05:00   5.8   42     9.8  13.0   74   771.6    5.8   6.7     6.8   42    32 
06:00   6.3   54    13.3  13.9   77   771.3    6.3   7.0     6.9   54    53 
07:00   6.1   52     7.1   9.5   88   771.6    6.1   7.1     6.9   52    49 

TIME LOST weather           06:00
TIME LOST Technical         00:30
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
cloudy 1st half, 2nd half clear, seeing 0.7", humidity 55%, fairly stable

COMMENTS (causes of time lost, setup information eg CCD windows):
Had to power cycle the MCA twice.



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 439248                   0:00:00.00 +00:00:00.0 2005.050 14:14 1.521  WFC    3.1  180  Halpha                           
 439249                   0:00:00.00 +00:00:00.0 2005.050 14:30 1.521  WFC    2.0  180  Halpha                           
 439250 Bias              0:00:00.00 +00:00:00.0 2005.050 14:34 1.521  WFC    0.0  180  r                                
 439251 Bias              0:00:00.00 +00:00:00.0 2005.051 17:22 1.479  WFC    0.0  180  i                                
 439252 Bias              0:00:00.00 +00:00:00.0 2005.051 17:22 1.479  WFC    0.0  180  i                                
 439253 Bias              0:00:00.00 +00:00:00.0 2005.051 17:23 1.479  WFC    0.0  180  i                                
 439254 Bias              0:00:00.00 +00:00:00.0 2005.051 17:23 1.479  WFC    0.0  180  i                                
 439255 Bias              0:00:00.00 +00:00:00.0 2005.051 17:24 1.479  WFC    0.0  180  i                                
 439256 Bias              0:00:00.00 +00:00:00.0 2005.051 18:41 4.402  WFC    0.0  180  V                                
 439257 Bias              0:00:00.00 +00:00:00.0 2005.051 18:42 4.402  WFC    0.0  180  V                                
 439258 Bias              0:00:00.00 +00:00:00.0 2005.051 18:43 4.402  WFC    0.0  180  V                                
 439259 Bias              0:00:00.00 +00:00:00.0 2005.051 18:43 4.402  WFC    0.0  180  V                                
 439260 Bias              0:00:00.00 +00:00:00.0 2005.051 18:44 4.402  WFC    0.0  180  V                                
 439261 Bias              0:00:00.00 +00:00:00.0 2005.051 18:47 4.402  WFC    0.0  180  Halpha                           
 439262 Bias              0:00:00.00 +00:00:00.0 2005.051 18:48 4.402  WFC    0.0  180  Halpha                           
 439263 Bias              0:00:00.00 +00:00:00.0 2005.051 18:48 4.402  WFC    0.0  180  Halpha                           
 439264 Bias              0:00:00.00 +00:00:00.0 2005.051 18:49 4.402  WFC    0.0  180  Halpha                           
 439265 Bias              0:00:00.00 +00:00:00.0 2005.051 18:49 4.402  WFC    0.0  180  Halpha                           
 439266 flat V 55s        2:14:59.99 -10:00:00.0 2000.00  19:16 1.283  WFC   55.1  180  V                                
 439267 flat V 70s        2:15:00.00 -09:59:59.9 2000.00  19:18 1.283  WFC   70.0  180  V                                no offset
 439268 flat V 110s       2:15:00.67 -09:59:49.9 2000.00  19:21 1.282  WFC  109.5  180  V                                
 439269 scratch           0:00:00.00 +00:00:00.0 2000.00  20:23 2.469  WFC    1.0  180  i                                
 439270 scratch           0:00:00.00 +00:00:00.0 2000.00  20:23 2.469  WFC   10.1  180  i                                
 439271 scratch           0:00:00.00 +00:00:00.0 2000.00  20:28 1.000  WFC   10.1  180  i                                
 439272 scratch           0:00:00.00 +00:00:00.0 2000.00  20:29 1.000  WFC   10.1  180  i                                
 439273 scratch           0:00:00.00 +00:00:00.0 2000.00  20:31 1.000  WFC   10.1  180  i                                
 439274 scratch           0:00:00.00 +00:00:00.0 2000.00  20:32 1.000  WFC   10.1  180  i                                
 439275 Dome flat 1       0:00:00.00 +00:00:00.0 2000.00  20:34 1.000  WFC    2.1  180  i                                dome open - doh!
 439276 Dome flat 2       0:00:00.00 +00:00:00.0 2000.00  20:34 1.000  WFC    3.1  180  i                                dome open - doh!
 439277 scratch           0:00:00.00 +00:00:00.0 2000.00  20:40 1.000  WFC   10.1  180  i                                
 439278 scratch           0:00:00.00 +00:00:00.0 2000.00  20:41 1.000  WFC   10.1  180  i                                
 439279 scratch           0:00:00.00 +00:00:00.0 2000.00  20:43 1.000  WFC   10.1  180  i                                
 439280 Dome flat 1       0:00:00.00 +00:00:00.0 2000.00  20:44 1.000  WFC    2.1  180  i                                
 439281 Dome flat 2       0:00:00.00 +00:00:00.0 2000.00  20:45 1.000  WFC    2.5  180  i                                
 439282 Dome flat 3       0:00:00.00 +00:00:00.0 2000.00  20:45 1.000  WFC    4.1  180  i                                
 439283 Dome flat 4       0:00:00.00 +00:00:00.0 2000.00  20:46 1.000  WFC    5.1  180  i                                
 439284 Dome flat 5       0:00:00.00 +00:00:00.0 2000.00  20:47 1.000  WFC    6.1  180  i                                
 439285 Dome flat 6       0:00:00.00 +00:00:00.0 2000.00  20:48 1.000  WFC    7.1  180  i                                
 439286 Dome flat 7       0:00:00.00 +00:00:00.0 2000.00  20:48 1.000  WFC    8.1  180  i                                
 439287 Dome flat 8       0:00:00.00 +00:00:00.0 2000.00  20:49 1.000  WFC    9.1  180  i                                
 439288 Dome flat 9       0:00:00.00 +00:00:00.0 2000.00  20:50 1.000  WFC    9.5  180  i                                
 439289 Dome flat 10      0:00:00.00 +00:00:00.0 2000.00  20:51 1.000  WFC   11.1  180  i                                
 439290 Dome flat 11      0:00:00.00 +00:00:00.0 2000.00  20:52 1.000  WFC   12.1  180  i                                
 439291 Dome flat 12      0:00:00.00 +00:00:00.0 2000.00  20:53 1.000  WFC   13.1  180  i                                
 439292 Dome flat 13      0:00:00.00 +00:00:00.0 2000.00  20:53 1.000  WFC   13.5  180  i                                
 439293 Dome flat 14      0:00:00.00 +00:00:00.0 2000.00  20:54 1.000  WFC   15.1  180  i                                
 439294 Dome flat 15      0:00:00.00 +00:00:00.0 2000.00  20:55 1.000  WFC   16.1  180  i                                
 439295 Dome flat 16      0:00:00.00 +00:00:00.0 2000.00  20:56 1.000  WFC   17.1  180  i                                
 439296 Dome flat 17      0:00:00.00 +00:00:00.0 2000.00  20:57 1.000  WFC   18.0  180  i                                
 439297 Dome flat 18      0:00:00.00 +00:00:00.0 2000.00  20:58 1.000  WFC   19.1  180  i                                
 439298 Dome flat 19      0:00:00.00 +00:00:00.0 2000.00  20:59 1.000  WFC   20.0  180  i                                
 439299 Dome flat 20      0:00:00.00 +00:00:00.0 2000.00  21:00 1.000  WFC   21.1  180  i                                
 439300 Dome flat 21      0:00:00.00 +00:00:00.0 2000.00  21:01 1.000  WFC   21.6  180  i                                
 439301 Dome flat 22      0:00:00.00 +00:00:00.0 2000.00  21:02 1.000  WFC   23.1  180  i                                
 439302 Dome flat 23      0:00:00.00 +00:00:00.0 2000.00  21:03 1.000  WFC   24.1  180  i                                
 439303 Dome flat 24      0:00:00.00 +00:00:00.0 2000.00  21:04 1.000  WFC   25.1  180  i                                
