INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 01 30 08:19

TELESCOPE             INT
DATE                  20050129
OBSERVER/S            Almenara
PROGRAMME             Sample Definition for Exoplanet detection by the COROT Space Craft
PROPOSAL REF          C9         
TELESCOPE OPERATOR    Mansura Jairgiridar
SUPPORT ASTRONOMER    Robert Grei

TEL STATION / FOCUS   Prime  / 44.01
INSTRUMENT/S          WFC

SUNSET (UT)           18:55
EVENING TWILIGHT (UT) 20:09
MORNING TWILIGHT (UT) 06:40
SUNRISE (UT)          07:54
%ILLUM. LUNAR DISK    82
DARK TIME (HRS)       10:31
TWILIGHT TIME (HRS)   02:28
MOONRISE (UT)         22:27
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00  -3.1   99     0.0   0.0  334   764.3   -3.1   5.2     7.1   99    68 
20:00  -3.5   99     0.0   0.0  334   764.5   -3.5   5.0     7.1   99    67 
21:00  -3.7   99     0.0   0.0  334   764.8   -3.7   4.8     7.1   99    66 
22:00  -3.9   98     0.0   0.0  334   765.0   -3.9   5.1     7.0   98    63 
23:00  -3.9   98     0.0   0.0  334   765.2   -3.9   5.1     7.0   98    64 
00:00  -4.3   98     0.0   0.0  334   765.0   -4.3   4.9     7.0   98    61 
01:00  -4.6   98     0.0   0.0  334   764.5   -4.6   4.8     6.9   98    59 
02:00  -4.7   97     0.0   0.0  334   764.2   -4.7   3.5     6.7   97    63 
03:00  -5.1   97     0.0   0.0  334   764.0   -5.1   3.8     6.7   97    60 
04:00  -5.1   96     0.0   0.0  334   763.9   -5.1   3.8     6.8   96    58 
05:00  -4.8   95     0.0   0.0  334   763.7   -4.8   2.4     6.5   95    55 
06:00  -5.1   93     0.0   0.0  334   763.7   -5.1  -1.4     5.9   93    68 
07:00  -4.7   90     0.0   0.0  334   764.2   -4.7  -0.9     4.7   90    57 

TIME LOST weather           8:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
high clouds and humidity > 90% first half-night, clear after. 

COMMENTS (causes of time lost, setup information eg CCD windows):
open the telescope at 4:15h



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 441040 Flat field        0:00:00.00 +00:00:00.0 2005.078 14:03 1.500  WFC    5.1  180  Hbeta narro                      
 441041 Flat field       21:00:00.00 +20:00:00.0 2005.078 14:10 1.022  WFC    2.1  180  r                                
 441042 Bias             21:00:00.00 +20:00:00.0 2005.078 14:12 1.022  WFC    0.0  180  r                                
 441043 Focus run        14:36:10.00 +04:40:00.0 2000.00  05:13 1.251  WFC    9.5  180  r                                
 441044 Focus run        14:36:10.00 +04:39:59.9 2000.00  05:23 1.223  WFC   10.1  180  r                                
 441045 M101_2           14:03:12.99 +54:20:53.0 2000.00  05:32 1.133  WFC   60.1  180  r                                
 441046 M101_2           14:03:13.00 +54:20:53.0 2000.00  05:36 1.129  WFC  150.1  180  r                                
 441047 M101_2           14:03:13.00 +54:20:52.9 2000.00  05:40 1.127  WFC  150.0  180  V                                
 441048 M101_2           14:03:13.00 +54:20:52.9 2000.00  05:43 1.124  WFC  150.0  180  i                                
 441049 M101_2           14:03:13.00 +54:20:52.9 2000.00  05:46 1.122  WFC  180.0  180  B                                
 441050 M101_2           14:03:14.14 +54:21:03.3 2000.00  05:50 1.120  WFC  180.0  180  B                                
 441051 M101_2           14:03:15.28 +54:21:13.2 2000.00  05:54 1.118  WFC  150.0  180  i                                
 441052 M101_2           14:03:15.28 +54:21:13.0 2000.00  05:58 1.117  WFC  150.0  180  V                                
 441053 M101_2           14:03:15.28 +54:21:12.9 2000.00  06:01 1.115  WFC  149.5  180  r                                
 441054 M51S             13:29:51.99 +47:10:00.1 2000.00  06:05 1.054  WFC   20.1  180  i                                
 441055 M51S             13:29:52.00 +47:10:00.0 2000.00  06:07 1.054  WFC  150.0  180  i                                
 441056 M51S             13:29:51.99 +47:09:59.9 2000.00  06:10 1.054  WFC  150.0  180  B                                
 441057 M51S             13:29:52.00 +47:10:00.0 2000.00  06:13 1.054  WFC  149.5  180  r                                
 441058 M51S             13:29:51.99 +47:09:59.9 2000.00  06:17 1.055  WFC  150.0  180  V                                
 441059 M3               13:42:11.00 +28:22:32.1 2000.00  06:21 1.000  WFC   10.1  180  r                                
 441060 M3               13:42:10.99 +28:22:31.9 2000.00  06:23 1.001  WFC   24.5  180  r                                
 441061 M3               13:42:11.00 +28:22:32.0 2000.00  06:24 1.001  WFC   30.1  180  V                                
 441062 M3               13:42:11.00 +28:22:32.0 2000.00  06:26 1.001  WFC   40.1  180  B                                
 441063 M3               13:42:11.00 +28:22:32.0 2000.00  06:28 1.001  WFC   20.1  180  i                                
 441064 M106             12:18:57.99 +47:18:14.2 2000.00  06:30 1.118  WFC   30.1  180  i                                
 441065 M106             12:18:57.99 +47:18:14.0 2000.00  06:33 1.123  WFC   75.0  180  i                                
 441066 M106             12:18:57.99 +47:18:14.0 2000.00  06:35 1.127  WFC  149.5  180  r                                
 441067 M106             12:18:57.99 +47:18:13.9 2000.00  06:39 1.131  WFC  100.0  180  V                                
 441068 M106             12:18:58.00 +47:18:14.0 2000.00  06:41 1.136  WFC  150.0  180  B                                
