INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 02 26 15:49

TELESCOPE             INT
DATE                  20050225
OBSERVER/S            Nigel Douglas, Javier Mendez
PROGRAMME             WINT Project
PROPOSAL REF          D                  
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    Mansura Jaigidar

TEL STATION / FOCUS   Prime  / 44.04
INSTRUMENT/S          WFC

SUNSET (UT)           19:15
EVENING TWILIGHT (UT) 20:27
MORNING TWILIGHT (UT) 06:21
SUNRISE (UT)          07:33
%ILLUM. LUNAR DISK    97
DARK TIME (HRS)       09:54
TWILIGHT TIME (HRS)   02:24
MOONRISE (UT)         20:22
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00   1.3   47    12.2  12.9  245   762.7    1.3   4.7     5.3   47    38 
21:00   1.4   54    10.4  11.4  232   763.0    1.4   4.2     5.1   54    50 
22:00   1.2   25    13.3  15.0  221   763.4    1.2   3.2     4.5   25    20 
23:00   2.5   26    11.9  13.6  223   763.6    2.5   3.9     4.4   26    21 
00:00   2.2   16    13.2  15.0  213   763.2    2.2   3.8     4.6   16    23 
01:00   4.0    6    15.2  17.2  227   763.2    4.0   4.5     4.6    6     7 
02:00   3.7    8    11.8  13.6  200   762.7    3.7   4.7     4.7    8     8 
03:00   3.7   19    16.3  19.9  197   761.9    3.7   4.7     4.8   19    23 
04:00   2.8   30    14.6  19.2  177   761.7    2.8   4.0     4.7   30    28 
05:00   2.8   36    19.7  24.4  193   761.3    2.8   4.4     4.8   36    34 
06:00  -0.9   95    19.1  25.8  160   761.3   -0.9   2.2     4.7   95    82 
07:00   1.8   61    24.6  27.6  115   761.4    1.8   3.8     4.7   61    58 

TIME LOST weather           01:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
1.5 seeing at the beginning of the night. The fluctuating from 1 to 2 arcsec.

COMMENTS (causes of time lost, setup information eg CCD windows):
Time lost due to high humidity.



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 441538 Bias frame        0:00:00.00 +00:00:00.0 2005.152 14:36 1.516  WFC    0.0  180  Halpha                           
 441539 Bias frame        0:00:00.00 +00:00:00.0 2005.152 14:37 1.516  WFC    0.0  180  Halpha                           
 441540                   0:00:00.00 +00:00:00.0 2005.152 14:37 1.516  WFC    1.7  180  Halpha                           
 441541 Bias              0:00:00.00 +00:00:00.0 2005.152 17:41 4.258  WFC    0.0  180  [OIII]5007                       
 441542 Focus run         6:51:29.50 -00:25:06.0 2000.00  20:38 1.190  WFC   10.1  180  V                                
 441543 plei6_B           3:45:58.54 +24:19:59.1 2000.00  20:56 1.179  WFC   60.1  180  B                                
 441544 plei6_V           3:45:58.54 +24:19:59.1 2000.00  20:59 1.187  WFC   59.5  180  V                                
 441545 plei6_B 3s        3:45:58.54 +24:19:59.1 2000.00  21:01 1.194  WFC    3.1  180  B                                
 441546 plei6_B 2s        3:45:58.53 +24:19:59.2 2000.00  21:04 1.201  WFC    2.0  180  B                                
 441547 plei6_V 2s        3:45:58.54 +24:19:59.3 2000.00  21:06 1.209  WFC    2.1  180  V                                
 441548 plei6_B 2s        3:48:01.45 +24:19:59.2 2000.00  21:10 1.213  WFC    2.1  180  B                                
 441549 plei6_V 2s        3:48:01.46 +24:19:59.1 2000.00  21:11 1.218  WFC    2.1  180  V                                
 441550 plei_B 2s         3:45:58.76 +23:51:59.2 2000.00  21:18 1.251  WFC    2.1  180  B                                
 441551 plei_V 2s         3:45:58.76 +23:51:59.2 2000.00  21:21 1.259  WFC    2.1  180  V                                
 441552 plei_B 2s         3:48:01.23 +23:51:59.2 2000.00  21:23 1.260  WFC    2.1  180  B                                
 441553 plei_V 2s         3:48:01.23 +23:51:59.3 2000.00  21:24 1.266  WFC    2.1  180  V                                
 441554 plei_B 2s         3:45:58.31 +24:47:59.0 2000.00  21:27 1.280  WFC    2.0  180  B                                
 441555 plei_V 2s         3:45:58.31 +24:47:59.0 2000.00  21:29 1.287  WFC    1.5  180  V                                
 441556 plei_V 2s         3:48:01.68 +24:47:59.0 2000.00  21:31 1.288  WFC    2.1  180  V                                
 441557 plei_B 2s         3:48:01.68 +24:47:59.1 2000.00  21:33 1.293  WFC    2.1  180  B                                
 441558 plei_B 2s         3:43:55.63 +24:19:52.9 2000.00  21:35 1.325  WFC    1.6  180  B                                
 441559 plei_V 2s         3:43:55.63 +24:19:53.0 2000.00  21:41 1.348  WFC    2.1  180  V                                
 441560 plei_V 2s         3:50:04.36 +24:19:53.0 2000.00  21:42 1.328  WFC    2.1  180  V                                
 441561 plei_B 2s         3:50:04.36 +24:19:53.1 2000.00  21:44 1.335  WFC    2.1  180  B                                
 441562 plei_B 2s         3:50:03.69 +23:51:53.2 2000.00  21:46 1.347  WFC    2.1  180  B                                
 441563 plei_V 2s         3:50:03.69 +23:51:53.1 2000.00  21:47 1.354  WFC    2.1  180  V                                
 441564 plei_B 2s         3:48:01.01 +23:23:59.4 2000.00  21:49 1.377  WFC    1.6  180  B                                
 441565 plei_V 2s         3:48:01.01 +23:23:59.3 2000.00  21:51 1.382  WFC    2.1  180  V                                
