INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 03 11 07:12

TELESCOPE             INT
DATE                  20050310
OBSERVER/S            James
PROGRAMME             WIDE FIELD SURVEY OF VIRGO CLUSTER
PROPOSAL REF          P6
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS   Prime  / 44.05
INSTRUMENT/S          WFC

SUNSET (UT)           19:24
EVENING TWILIGHT (UT) 20:35
MORNING TWILIGHT (UT) 06:08
SUNRISE (UT)          07:19
%ILLUM. LUNAR DISK    1
DARK TIME (HRS)       09:33
TWILIGHT TIME (HRS)   02:22
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          19:45

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00   6.2   33    26.6  34.8  139   769.7    6.2   7.4     9.0   33    32 
21:00   6.1   31    25.0  30.9  168   769.9    6.1   1.3     8.8   31    27 
22:00   6.3   35    31.7  36.3  148   770.2    6.3   5.6     8.7   35    32 
23:00   6.4   35    31.5  36.7  161   770.1    6.4   7.7     8.7   35    33 
00:00   6.3   36    36.6  45.1  153   769.9    6.3   7.4     0.8   36    38 
01:00   6.4   48    35.4  44.3  161   769.0    6.4   7.7     8.6   48    48 
02:00   6.7   33    35.6  40.8  177   768.6    6.7   7.8     3.4   33    35 
03:00   6.1   48    39.7  48.7  137   767.7    6.1   7.4     8.6   48    44 
04:00   6.5   38    27.2  34.4  134   768.1    6.5   7.6     3.4   38    34 
05:00   5.7   51    27.0  32.3  149   767.8    5.7   7.3     3.3   51    43 
06:00   5.1   57    26.6  37.9  134   767.4    5.1   6.5     3.2   57    50 
07:00   5.8   23    25.2  30.9  141   768.9    5.8   6.8     8.0   23    20 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
some cloud cover throughout night

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 442352 Bias             23:39:59.99 +19:59:59.9 2005.187 14:03 1.017  WFC    0.0  180  V                                
 442353 Bias              0:00:00.00 +00:00:00.0 2005.188 19:03 1.000  WFC    0.0  180  i                                
 442354 Bias              0:00:00.00 +00:00:00.0 2005.188 19:04 1.000  WFC    0.0  180  B                                
 442355 Bias              0:00:00.00 +00:00:00.0 2005.188 19:05 1.000  WFC    0.0  180  B                                
 442356 Bias              0:00:00.00 +00:00:00.0 2005.188 19:05 1.000  WFC    0.0  180  B                                
 442357 Bias              0:00:00.00 +00:00:00.0 2005.188 19:06 1.000  WFC    0.0  180  B                                
 442358 Bias              0:00:00.00 +00:00:00.0 2005.188 19:07 1.000  WFC    0.0  180  B                                
 442359 Bias              0:00:00.00 +00:00:00.0 2005.188 19:07 1.000  WFC    0.0  180  B                                
 442360 Bias              0:00:00.00 +00:00:00.0 2005.188 19:08 1.000  WFC    0.0  180  B                                
 442361 Bias              0:00:00.00 +00:00:00.0 2005.188 19:08 1.000  WFC    0.0  180  B                                
 442362 Bias              0:00:00.00 +00:00:00.0 2005.188 19:09 1.000  WFC    0.0  180  B                                
 442363 Bias              0:00:00.00 +00:00:00.0 2005.188 19:10 1.000  WFC    0.0  180  B                                
 442364 Flat field        5:55:59.99 +04:09:00.0 2000.00  19:38 1.102  WFC    3.4  180  B                                
 442365 Flat field        5:56:00.00 +04:09:00.0 2000.00  19:40 1.101  WFC    4.1  180  B                                not offset
 442366 skyflat 5s B      5:55:59.99 +04:09:00.0 2000.00  19:42 1.101  WFC    5.1  180  B                                not offset
 442367 skyflat 6s B      5:56:00.67 +04:09:10.0 2000.00  19:43 1.101  WFC    6.1  180  B                                
 442368 Flat field        5:56:00.67 +04:09:00.0 2000.00  19:45 1.100  WFC   10.6  180  B                                
 442369 Flat field        5:56:00.33 +04:09:14.7 2000.00  19:46 1.100  WFC   16.3  180  B                                
 442370 Flat field        5:56:01.33 +04:09:19.9 2000.00  19:47 1.100  WFC   21.1  180  B                                
 442371 skyflat 35s B     5:55:59.66 +04:08:54.9 2000.00  19:50 1.100  WFC   34.6  180  B                                
 442372 Flat field        5:56:00.00 +04:09:09.8 2000.00  19:51 1.100  WFC   62.2  180  B                                
 442373 Flat field        5:55:59.99 +04:09:04.7 2000.00  19:54 1.100  WFC  103.8  180  B                                
 442374 Focus run         5:58:25.09 +00:05:14.0 2000.00  20:16 1.143  WFC   19.5  180  B                                
 442375 96-36             4:51:42.40 -00:10:10.0 2000.00  20:29 1.260  WFC   10.0  180  B                                
 442376 98-650            6:52:04.39 -00:19:39.3 2000.00  20:31 1.147  WFC   20.1  180  B                                
 442377 101-363           9:58:18.69 -00:25:37.0 2000.00  20:34 1.790  WFC   10.1  180  B                                
 442378 V143             12:13:59.00 +07:50:00.0 2000.00  21:39 2.410  WFC  749.7  180  B                                
 442379 V144             12:16:04.20 +07:49:59.9 2000.00  22:00 2.088  WFC  748.7  180  B                                
 442380 V145             12:18:09.39 +07:49:59.7 2000.00  22:16 1.905  WFC  749.7  180  B                                
 442381 V146             12:20:14.50 +07:49:59.9 2000.00  22:37 1.712  WFC  749.7  180  B                                
 442382 V150             12:28:35.19 +07:49:59.5 2000.00  23:05 1.558  WFC  749.6  180  B                                
 442383 V151             12:30:40.39 +07:49:59.8 2000.00  23:20 1.473  WFC  749.6  180  B                                
 442384 V152             12:32:45.49 +07:50:00.1 2000.00  23:36 1.401  WFC  749.6  180  B                                
 442385 V153             12:34:50.69 +07:50:00.0 2000.00  23:52 1.336  WFC  749.7  180  B                                
 442386 V155             12:39:00.99 +07:49:59.6 2000.00  00:11 1.281  WFC  749.7  180  B                                
 442387 V156             12:41:06.19 +07:49:59.5 2000.00  00:29 1.229  WFC  749.6  180  B                                
 442388 V157             12:43:11.39 +07:50:00.1 2000.00  00:47 1.186  WFC  749.6  180  B                                
 442389 V158             12:45:16.50 +07:50:00.1 2000.00  01:04 1.154  WFC  749.2  180  B                                
 442390 V159             12:47:21.70 +07:49:59.7 2000.00  01:20 1.129  WFC  749.7  180  B                                
 442391 V160             12:49:26.89 +07:50:00.1 2000.00  01:36 1.110  WFC  749.2  180  B                                
 442393 V147             12:22:19.72 +07:49:59.7 2000.00  02:01 1.072  WFC  749.1  180  B                                
 442394 V148             12:24:24.88 +07:50:00.3 2000.00  02:26 1.072  WFC  749.7  180  B                                
 442395 103-626          11:56:46.09 -00:23:14.0 2000.00  02:41 1.171  WFC   20.1  180  B                                
 442396 106-1024         14:40:06.99 +00:01:45.0 2000.00  02:43 1.292  WFC   14.6  180  B                                
 442397 107-1006         15:38:33.30 +00:14:19.9 2000.00  02:46 1.530  WFC   19.5  180  B                                
 442398 V181             12:09:46.68 +08:29:59.0 2000.00  02:59 1.101  WFC  749.7  180  B                                
 442399 V182             12:11:52.00 +08:30:00.1 2000.00  03:16 1.121  WFC  749.6  180  B                                
 442400 V183             12:13:57.40 +08:29:59.8 2000.00  03:32 1.144  WFC  749.6  180  B                                
 442401 V184             12:16:02.79 +08:30:00.0 2000.00  03:47 1.171  WFC  749.6  180  B                                
 442402 V185             12:18:08.20 +08:30:00.0 2000.00  04:04 1.206  WFC  749.7  180  B                                
 442403 V186             12:20:13.59 +08:29:59.8 2000.00  04:19 1.246  WFC  749.7  180  B                                
 442404 V187             12:22:18.90 +08:30:00.1 2000.00  04:36 1.295  WFC  749.6  180  B                                
 442405 V188             12:24:24.30 +08:30:00.0 2000.00  04:52 1.353  WFC  749.6  180  B                                
 442406 V189             12:26:29.70 +08:29:59.6 2000.00  05:09 1.422  WFC  749.7  180  B                                
 442407 V190              0:00:00.00 +00:00:00.0 2000.00  05:24 1.496  WFC  749.6  180  B                                ra:12:28:35.1, dec:08:30:0.0 (checked obsvd field with DSS)
 442408 V191             12:30:40.39 +08:30:00.0 2000.00  05:40 1.589  WFC  749.6  180  B                                
 442409 V192             12:32:45.80 +08:30:00.1 2000.00  05:57 1.715  WFC  749.7  180  B                                
 442410 108-1848         16:36:58.40 +00:05:55.0 2000.00  06:14 1.143  WFC   20.1  180  B                                
 442411 110-340          18:41:28.39 +00:15:23.8 2000.00  06:17 1.386  WFC    9.6  180  B                                
 442412 108-475          16:37:00.60 -00:34:39.3 2000.00  06:20 1.148  WFC   15.1  180  B                                
 442413 Flat field       16:52:33.00 -15:25:56.9 2000.00  06:46 1.394  WFC  151.2  180  B                                
 442414 Flat field       16:52:32.99 -15:25:56.9 2000.00  06:50 1.394  WFC   68.6  180  B                                
 442415 Flat field       16:52:33.69 -15:25:47.0 2000.00  06:52 1.394  WFC   40.3  180  B                                
 442416 Flat field       16:52:34.38 -15:25:37.0 2000.00  06:54 1.394  WFC   26.0  180  B                                
 442417 Flat field       16:52:33.35 -15:25:42.0 2000.00  06:55 1.395  WFC   18.1  180  B                                
 442418 Flat field       16:52:32.30 -15:25:47.3 2000.00  06:57 1.395  WFC   13.9  180  B                                
 442419 Flat field       16:52:31.62 -15:25:47.0 2000.00  06:58 1.395  WFC   11.0  180  B                                
 442420 skyflat 5s B     16:52:31.61 -15:25:46.9 2000.00  07:00 1.396  WFC    5.1  180  B                                
 442421 skyflat 3s B     16:52:32.65 -15:25:51.9 2000.00  07:01 1.396  WFC    3.1  180  B                                
