INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 03 29 07:29

TELESCOPE             INT
DATE                  20050328
OBSERVER/S            P James
PROGRAMME             Imaging  survey of the Virgo cluster
PROPOSAL REF          P6
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS   Prime  / 44.08
INSTRUMENT/S          WFC

SUNSET (UT)           19:34
EVENING TWILIGHT (UT) 20:46
MORNING TWILIGHT (UT) 05:46
SUNRISE (UT)          06:58
%ILLUM. LUNAR DISK    89
DARK TIME (HRS)       09:00
TWILIGHT TIME (HRS)   02:24
MOONRISE (UT)         22:08
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00  13.1   18     0.2   0.3  324   773.1   13.1  13.5    11.3   18    32 
21:00  12.1    8     0.2   0.3  311   773.4   12.1  13.3    11.8    8     6 
22:00  12.2   10     9.8  10.0  325   774.0   12.2  12.9    11.7   10     6 
23:00  12.4   10     8.8   9.8  349   774.3   12.4  12.8    11.6   10     4 
00:00  12.3   19     8.4   8.8  309   774.5   12.3  12.5    11.7   19    14 
01:00  11.9   20     5.2   5.6  320   774.3   11.9  12.4    11.8   20    16 
02:00  12.0   18     8.6   9.1  317   774.2   12.0  12.3    11.9   18    12 
03:00  11.7   17     7.5   7.6  325   773.7   11.7  12.1    11.9   17    14 
04:00  11.6   21     5.0   5.1  318   773.4   11.6  11.9    11.7   21    18 
05:00  11.9   23     4.8   5.0  286   772.9   11.9  12.4    11.7   23    19 
06:00  11.8   22     6.7   6.9  247   772.5   11.8  11.5    11.7   22    20 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Seeing mostly around 1.1".  Occasional thin cloud.

COMMENTS (causes of time lost, setup information eg CCD windows):
none



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 444085 Flat field       23:00:00.00 +20:00:00.0 2005.237 12:46 1.041  WFC    2.0  180  I                                
 444086 Bias             22:59:59.99 +19:59:59.9 2005.237 12:49 1.043  WFC    0.0  180  I                                
 444087 Bias              0:00:00.00 +00:00:00.0 2005.237 18:55 1.000  WFC    0.0  180  [SII]6725                        
 444088 Bias              0:00:00.00 +00:00:00.0 2005.237 18:55 1.000  WFC    0.0  180  [SII]6725                        
 444089 Bias              0:00:00.00 +00:00:00.0 2005.237 18:56 1.000  WFC    0.0  180  [SII]6725                        
 444090 Bias              0:00:00.00 +00:00:00.0 2005.237 18:56 1.000  WFC    0.0  180  [SII]6725                        
 444091 Bias              0:00:00.00 +00:00:00.0 2005.237 18:57 1.000  WFC    0.0  180  [SII]6725                        
 444092 Flat field        5:55:59.99 +04:09:00.0 2000.00  19:40 1.135  WFC    2.5  180  [SII]6725                        
 444093 Flat field        5:56:00.66 +04:09:09.9 2000.00  19:42 1.136  WFC    3.1  180  [SII]6725                        
 444094 Flat field        5:55:59.32 +04:09:10.0 2000.00  19:43 1.138  WFC    5.2  180  [SII]6725                        
 444095 Flat field        5:56:00.00 +04:08:59.9 2000.00  19:44 1.139  WFC    5.9  180  Halpha                           
 444096 Flat field        5:56:00.67 +04:09:10.0 2000.00  19:45 1.141  WFC    9.8  180  Halpha                           
 444097 Flat field        5:55:59.32 +04:09:10.0 2000.00  19:46 1.143  WFC   13.7  180  Halpha                           
 444098 Flat field        5:55:59.99 +04:09:00.0 2000.00  19:49 1.146  WFC    3.0  180  R                                
 444099 Flat field        5:56:00.66 +04:09:10.0 2000.00  19:50 1.148  WFC    3.8  180  R                                
 444100 Flat field        5:55:59.33 +04:09:10.0 2000.00  19:52 1.150  WFC    4.9  180  R                                
 444101 Flat field        5:56:00.00 +04:09:00.0 2000.00  19:53 1.152  WFC    5.2  180  B                                
 444102 Flat field        5:56:00.66 +04:09:10.0 2000.00  19:54 1.154  WFC    5.5  180  B                                
 444103 Flat field        5:55:59.33 +04:09:09.9 2000.00  19:55 1.156  WFC    9.2  180  B                                
 444104 Flat field        5:56:00.00 +04:09:00.0 2000.00  19:57 1.158  WFC   19.9  180  V                                
 444105 Focus run         5:57:37.29 +00:13:44.0 2000.00  20:10 1.220  WFC   10.1  180  R                                
 444106 pg0918+029 R      9:21:28.29 +02:46:04.0 2000.00  20:17 1.250  WFC    4.1  180  R                                
 444107 pg0918+029 B      9:21:28.30 +02:46:04.0 2000.00  20:18 1.248  WFC    4.1  180  B                                
 444108 pg0918+029 SII    9:21:28.30 +02:46:04.0 2000.00  20:19 1.244  WFC   30.1  180  [SII]6725                        
 444109 pg0918+029 Ha     9:21:28.30 +02:46:03.9 2000.00  20:20 1.241  WFC   30.1  180  Halpha                           
 444110 ugc4078 Ha        8:04:24.70 +84:38:28.9 2000.00  20:25 1.780  WFC  299.4  180  Halpha                           Not guided but fine
 444111 ugc4078 Ha        8:04:24.69 +84:38:29.0 2000.00  20:30 1.779  WFC  299.8  180  Halpha                           
 444112 ugc4078 Ha        8:04:24.70 +84:38:29.0 2000.00  20:36 1.779  WFC  299.9  180  Halpha                           
 444113 ugc4078 R         8:04:24.70 +84:38:29.0 2000.00  20:42 1.779  WFC  300.0  180  R                                
 444114 ugc4436 R         8:29:50.30 +48:46:52.1 2000.00  20:53 1.067  WFC  299.9  180  R                                
 444115 ugc4436 SII       8:29:50.29 +48:46:52.1 2000.00  21:00 1.065  WFC  899.0  180  [SII]6725                        
 444116 ngc2742 R         9:07:33.49 +60:28:46.0 2000.00  21:17 1.182  WFC  299.9  180  R                                
