INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 04 02 07:55

TELESCOPE             INT
DATE                  20050401
OBSERVER/S            K Kovac
PROGRAMME             A search for the lowest mass gaaxies
PROPOSAL REF          I05An006
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS   Prime  / 
INSTRUMENT/S          WFC

SUNSET (UT)           19:36
EVENING TWILIGHT (UT) 20:49
MORNING TWILIGHT (UT) 05:41
SUNRISE (UT)          06:53
%ILLUM. LUNAR DISK    50
DARK TIME (HRS)       08:52
TWILIGHT TIME (HRS)   02:25
MOONRISE (UT)         02:29
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00   6.9   26    26.5  27.8  252   767.6    6.9  10.3     9.7   26    23 
21:00   5.8   15    21.3  23.6  250   767.7    5.8   7.9     9.6   15    10 
22:00   6.2   13    29.0  29.8  269   768.2    6.2   7.3     9.3   13     9 
23:00   6.8   11    32.3  33.2  276   768.5    6.8   7.6     9.2   11     8 
00:00   7.1   11    25.5  27.5  273   768.5    7.1   7.9     9.2   11     8 
01:00   7.3    9    22.4  24.2  284   768.5    7.3   8.0     9.3    9     6 
02:00   8.3    9    16.6  21.3  340   768.2    8.3   8.6     9.1    9     5 
03:00   7.7    8    18.8  21.1  292   768.0    7.7   8.7     9.1    8     4 
04:00   7.7   10    16.4  18.5  349   767.8    7.7   8.9     9.2   10     5 
05:00   8.1   10    16.4  17.8  350   767.7    8.1   9.0     9.4   10     5 
06:00   7.2    9    16.3  18.4  326   767.7    7.2   8.5     9.2    9     4 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
photometric; seeing 1.0 - 1.2 arcsec

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 444422 TEST              1:00:00.00 +20:00:00.0 2005.248 13:54 1.016  WFC    3.1  180  r                                
 444423 Bias              0:59:59.99 +19:59:59.9 2005.248 13:58 1.018  WFC    0.0  180  r                                
 444424 Bias              0:00:00.00 +00:00:00.0 2005.248 18:54 1.000  WFC    0.0  180  r                                
 444425 Bias              0:00:00.00 +00:00:00.0 2005.248 18:55 1.000  WFC    0.0  180  r                                
 444426 Bias              0:00:00.00 +00:00:00.0 2005.248 18:55 1.000  WFC    0.0  180  r                                
 444427 Bias              0:00:00.00 +00:00:00.0 2005.248 18:56 1.000  WFC    0.0  180  r                                
 444428 Bias              0:00:00.00 +00:00:00.0 2005.248 18:56 1.000  WFC    0.0  180  r                                
 444429 Flat field        9:13:48.99 +46:13:57.9 2000.00  19:45 1.144  WFC    4.9  180  Halpha                           
 444430 Flat field        9:13:49.96 +46:14:07.9 2000.00  19:46 1.142  WFC    6.1  180  Halpha                           
 444431 Flat field        9:13:48.03 +46:14:08.0 2000.00  19:48 1.140  WFC    8.8  180  Halpha                           
 444432 Flat field        9:13:49.96 +46:13:48.0 2000.00  19:49 1.138  WFC   15.5  180  Halpha                           
 444433 Flat field        9:13:48.03 +46:13:47.9 2000.00  19:50 1.135  WFC   19.2  180  Halpha                           
 444434 Flat field        9:13:48.99 +46:13:57.9 2000.00  19:51 1.133  WFC    6.3  180  R                                
 444435 Flat field        9:13:49.96 +46:14:08.0 2000.00  19:52 1.132  WFC   11.2  180  R                                
 444436 Flat field        9:13:48.03 +46:14:07.9 2000.00  19:54 1.130  WFC    5.4  180  R                                
 444437 Flat field        9:13:48.03 +46:14:08.0 2000.00  19:55 1.128  WFC   24.7  180  R                                
 444438 Flat field        9:13:48.03 +46:13:47.9 2000.00  19:56 1.126  WFC   14.0  180  R                                
 444439 Flat field        9:13:49.96 +46:13:48.0 2000.00  19:57 1.124  WFC   11.1  180  R                                
 444440 Flat field        9:13:48.99 +46:13:58.0 2000.00  19:59 1.122  WFC   17.9  180  B                                
 444441 Flat field        9:13:49.96 +46:14:07.9 2000.00  20:00 1.120  WFC   26.4  180  B                                
 444442 Flat field        9:13:48.03 +46:14:07.9 2000.00  20:02 1.116  WFC   50.1  180  B                                
 444443 Flat field        9:13:49.96 +46:13:48.0 2000.00  20:04 1.114  WFC   65.0  180  B                                
 444444 Flat field        9:13:48.03 +46:13:47.9 2000.00  20:06 1.109  WFC  196.0  180  B                                
 444445 Focus run         9:56:26.95 -00:23:09.5 2000.00  20:22 1.347  WFC   15.1  180  R                                
 444446 Bias              0:00:00.00 +00:00:00.0 2000.00  20:30 4.720  WFC    0.0  180  i                                
 444447 test             12:47:59.99 +44:59:08.2 2000.00  20:35 1.825  WFC  120.0  180  R                                
 444448 KVC55 R 60 0     12:48:05.64 +44:59:08.0 2000.00  20:47 1.703  WFC  599.8  180  R                                
 444449 KVC55 B 60 0     12:48:05.64 +44:59:08.1 2000.00  20:58 1.626  WFC  599.7  180  B                                
 444450 KVC55 B 120 0    12:48:11.30 +44:59:08.1 2000.00  21:11 1.549  WFC  599.8  180  B                                
 444451 KVC55 R 120 0    12:48:11.30 +44:59:08.1 2000.00  21:23 1.486  WFC  599.8  180  R                                
 444452 KVC55 R -180 0   12:47:43.02 +44:59:07.9 2000.00  21:36 1.422  WFC  599.8  180  R                                
 444453 KVC55 B -180 0   12:47:43.02 +44:59:08.1 2000.00  21:47 1.375  WFC  599.8  180  B                                
 444454 KVC44 B test     12:30:03.60 +42:10:04.8 2000.00  21:59 1.276  WFC  119.5  180  B                                
