INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 04 04 06:47

TELESCOPE             INT
DATE                  20050403
OBSERVER/S            K Kovac
PROGRAMME             A search for the lowest mass galaxies
PROPOSAL REF          I05An006
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 44.04
INSTRUMENT/S          WFC

SUNSET (UT)           19:38
EVENING TWILIGHT (UT) 20:50
MORNING TWILIGHT (UT) 05:38
SUNRISE (UT)          06:51
%ILLUM. LUNAR DISK    28
DARK TIME (HRS)       08:48
TWILIGHT TIME (HRS)   02:25
MOONRISE (UT)         04:12
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00  11.8   11     8.1   9.4  181   771.2   11.8  14.7    12.6   11    18 
21:00  11.8    7     6.7   7.4  154   771.6   11.8  13.1    12.8    7     6 
22:00  11.9   10     7.8   9.1  159   772.2   11.9  12.9    12.8   10     8 
23:00  11.6    3     7.3   8.2  178   772.4   11.6  12.7    12.8    3     2 
00:00  11.8    4     8.4  10.3  183   772.4   11.8  12.7    12.8    4     2 
01:00  10.5    4     8.9   9.4  173   772.2   10.5  12.0    12.6    4     2 
02:00  10.5    3     7.4   8.0  120   771.7   10.5  11.7    12.6    3     1 
03:00  11.5    3    13.6  15.6  180   771.6   11.5  12.2    12.5    3     1 
04:00  11.5   12    11.3  14.0  211   771.5   11.5  12.2    12.6   12     8 
05:00  11.6    9    14.7  17.0  171   771.0   11.6  12.1    12.5    9     6 
06:00  10.9    3    14.0  15.6  174   770.8   10.9  11.8    12.5    3     1 

TIME LOST weather           02:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
photometric most of the night, not photometric ~25% of the time. seeing in images 1.0-1.2 arcsec

COMMENTS (causes of time lost, setup information eg CCD windows):
for about 2 hr light cirrus



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 444640 Bias frame        0:00:00.00 +00:00:00.0 2005.253 13:06 4.706  WFC    0.0  180  i                                
 444641 Bias              0:00:00.00 +00:00:00.0 2005.254 18:57 4.706  WFC    0.0  180  i                                
 444642 Bias              0:00:00.00 +00:00:00.0 2005.254 18:58 4.706  WFC    0.0  180  i                                
 444643 Bias              0:00:00.00 +00:00:00.0 2005.254 18:58 4.706  WFC    0.0  180  i                                
 444644 Bias              0:00:00.00 +00:00:00.0 2005.254 18:59 4.706  WFC    0.0  180  i                                
 444645 Bias              0:00:00.00 +00:00:00.0 2005.254 19:00 4.706  WFC    0.0  180  i                                
 444646 Flat field        9:13:49.00 +46:13:57.9 2000.00  19:41 1.138  WFC    5.6  180  Halpha                           
 444647 Flat field        9:13:48.99 +46:13:58.0 2000.00  19:42 1.136  WFC    3.4  180  Halpha                           
 444648 Flat field        9:13:48.99 +46:13:57.9 2000.00  19:43 1.133  WFC    3.8  180  Halpha                           
 444649 Flat field        9:13:49.96 +46:14:08.2 2000.00  19:45 1.132  WFC    4.9  180  Halpha                           
 444650 Flat field        9:13:48.03 +46:13:47.9 2000.00  19:46 1.130  WFC    6.5  180  Halpha                           
 444651 Flat field        9:13:49.00 +46:13:57.9 2000.00  19:51 1.122  WFC    3.4  180  R                                
 444652 Flat field        9:13:49.96 +46:14:07.9 2000.00  19:52 1.120  WFC    3.8  180  R                                
 444653 Flat field        9:13:48.03 +46:13:48.0 2000.00  19:54 1.118  WFC    4.8  180  R                                
 444654 Flat field        9:13:49.00 +46:13:57.9 2000.00  19:55 1.116  WFC    5.5  180  B                                
 444655 Flat field        0:00:00.00 +00:00:00.0 2000.00  19:56 1.115  WFC    6.1  180  B                                
 444656 Flat field        9:13:48.03 +46:13:48.0 2000.00  19:57 1.113  WFC    9.1  180  B                                
 444657 Flat field        9:13:48.03 +46:14:07.9 2000.00  19:59 1.111  WFC   22.5  180  R                                
 444658 Flat field        9:13:48.03 +46:14:08.0 2000.00  20:00 1.109  WFC   22.2  180  B                                
 444659 Focus run         9:56:26.95 -00:23:09.4 2000.00  20:24 1.310  WFC   10.1  180  R                                
 444660 sa101 R 2         9:56:26.95 -00:23:09.4 2000.00  20:31 1.284  WFC    2.1  180  R                                
 444661 sa101 R 5         9:56:26.96 -00:23:09.4 2000.00  20:32 1.282  WFC    5.1  180  R                                
 444662 sa101 R 1         9:56:26.96 -00:23:09.5 2000.00  20:33 1.280  WFC    1.0  180  R                                
 444663 sa101 R 10        9:56:26.96 -00:23:09.5 2000.00  20:33 1.277  WFC   10.1  180  R                                
 444664 sa101 R 50        9:56:26.96 -00:23:09.5 2000.00  20:34 1.274  WFC   50.1  180  R                                
 444665 sa101 B 50        9:56:26.96 -00:23:09.5 2000.00  20:36 1.270  WFC   50.1  180  B                                
 444666 sa101 B 10        9:56:26.95 -00:23:09.5 2000.00  20:38 1.266  WFC   10.1  180  B                                
 444667 sa101 B 5         9:56:26.96 -00:23:09.5 2000.00  20:38 1.264  WFC    5.1  180  B                                
 444668 sa101 B 2         9:56:26.95 -00:23:09.4 2000.00  20:39 1.262  WFC    1.5  180  B                                
 444669 KVC47 R N        12:19:31.90 +43:25:29.2 2000.00  20:43 1.503  WFC  599.8  180  R                                
 444670 KVC47 B N        12:19:31.89 +43:25:29.1 2000.00  20:54 1.449  WFC  599.7  180  B                                
 444671 KVC47 B E        12:19:46.89 +43:25:29.2 2000.00  21:07 1.389  WFC  599.7  180  B                                
 444672 KVC47 R E        12:19:46.89 +43:25:29.1 2000.00  21:18 1.344  WFC  599.7  180  R                                
 444673 KVC47 R W        12:19:16.90 +43:25:29.0 2000.00  21:33 1.291  WFC  599.2  180  R                                
 444674 KVC47 B W        12:19:16.89 +43:25:29.1 2000.00  21:44 1.255  WFC  599.8  180  B                                
 444675 KVC52 B N        12:17:28.95 +44:49:48.1 2000.00  21:58 1.216  WFC  599.8  180  B                                
 444676 KVC52 R N        12:17:28.94 +44:49:47.9 2000.00  22:09 1.189  WFC  599.8  180  R                                
 444677 KVC52 R E        12:17:43.94 +44:48:47.6 2000.00  22:21 1.165  WFC  599.7  180  R                                
 444678 KVC52 B E        12:17:43.94 +44:48:48.0 2000.00  22:33 1.143  WFC  599.7  180  B                                
 444679 KVC52 B W        12:17:13.94 +44:48:47.9 2000.00  22:44 1.122  WFC  599.8  180  B                                
 444680 KVC52 R W        12:17:13.95 +44:48:48.0 2000.00  22:55 1.106  WFC  599.7  180  R                                
 444681 sa104 R 2        12:42:21.99 -00:33:09.6 2000.00  23:07 1.316  WFC    1.5  180  R                                
 444682 sa104 R 5        12:42:22.00 -00:33:09.4 2000.00  23:08 1.313  WFC    4.5  180  R                                
 444683 sa104 R 10       12:42:22.00 -00:33:09.4 2000.00  23:09 1.310  WFC   10.1  180  R                                
 444684 sa104 R 50       12:42:22.00 -00:33:09.4 2000.00  23:09 1.307  WFC   50.1  180  R                                
 444685 sa104 B 50       12:42:22.00 -00:33:09.3 2000.00  23:11 1.302  WFC    2.1  180  B                                
 444686 sa104 B 5        12:42:22.00 -00:33:09.4 2000.00  23:12 1.300  WFC    5.1  180  B                                
 444687 sa104 B 10       12:42:22.00 -00:33:09.3 2000.00  23:13 1.297  WFC   10.1  180  B                                
 444688 sa104 B 50       12:42:22.00 -00:33:09.4 2000.00  23:14 1.294  WFC   50.1  180  B                                
 444689 KVC28 B          12:21:27.73 +38:12:42.0 2000.00  23:17 1.060  WFC  599.7  180  B                                
 444690 KVC28 R          12:21:27.74 +38:12:42.1 2000.00  23:28 1.048  WFC  599.7  180  R                                
 444691 KVC28E R         12:21:37.74 +38:12:42.0 2000.00  23:40 1.040  WFC  150.0  180  R                                
 444692 KVC28E R         12:21:37.73 +38:12:42.1 2000.00  23:43 1.038  WFC  150.0  180  R                                
 444693 KVC28 R E        12:21:37.74 +38:12:42.1 2000.00  23:46 1.034  WFC  299.4  180  R                                
 444694 KVC28 B E        12:21:37.74 +38:12:42.1 2000.00  23:52 1.030  WFC  299.9  180  B                                
 444695 KVC28 B E        12:21:37.74 +38:12:42.1 2000.00  23:57 1.026  WFC  299.5  180  B                                
 444696 KVC28 B W        12:21:17.74 +38:12:42.0 2000.00  00:04 1.023  WFC  299.9  180  B                                
 444697 KVC28 B W        12:21:17.73 +38:12:42.1 2000.00  00:10 1.020  WFC  299.9  180  B                                
 444698 KVC28 R W        12:21:17.73 +38:12:42.1 2000.00  00:16 1.018  WFC  299.9  180  R                                
 444699 KVC28 R W        12:21:17.74 +38:12:42.1 2000.00  00:21 1.016  WFC  299.9  180  R                                
 444700 KVC45 R          12:47:23.86 +42:54:16.8 2000.00  00:28 1.039  WFC  599.8  180  R                                
 444701 KVC34 R          12:37:21.58 +38:45:02.5 2000.00  00:40 1.017  WFC  599.7  180  R                                
 444702 KVC34 B          12:37:21.57 +38:45:02.8 2000.00  00:52 1.015  WFC  599.7  180  B                                
 444703 KVC34 B E        12:37:36.56 +38:45:02.8 2000.00  01:06 1.016  WFC  599.8  180  B                                
 444704 KVC34 R E        12:37:36.56 +38:45:02.8 2000.00  01:17 1.019  WFC  599.7  180  R                                
 444705 sa104 R 2        12:42:21.99 -00:33:10.1 2000.00  01:29 1.154  WFC    2.1  180  R                                
 444706 sa104 R 5        12:42:21.99 -00:33:09.3 2000.00  01:29 1.154  WFC    5.1  180  R                                
 444707 sa104 R 10       12:42:22.00 -00:33:09.4 2000.00  01:30 1.155  WFC   10.1  180  R                                
 444708 sa104 R 50       12:42:22.00 -00:33:09.4 2000.00  01:31 1.155  WFC   50.0  180  R                                
 444709 sa104 B 2        12:42:22.00 -00:33:09.3 2000.00  01:33 1.156  WFC    2.1  180  B                                
 444710 sa104 B 5        12:42:21.99 -00:33:09.3 2000.00  01:33 1.156  WFC    5.1  180  B                                
 444711 sa104 B 10       12:42:21.99 -00:33:09.5 2000.00  01:34 1.157  WFC   10.1  180  B                                
 444712 sa104 B 50       12:42:22.00 -00:33:09.3 2000.00  01:35 1.158  WFC   49.6  180  B                                
 444713 sa107 B 2        15:39:35.02 -00:15:06.4 2000.00  01:37 1.411  WFC    2.1  180  B                                
 444714 sa107 B 5        15:39:35.03 -00:15:06.5 2000.00  01:38 1.408  WFC    5.1  180  B                                
 444715 sa107 B 10       15:39:35.03 -00:15:06.5 2000.00  01:39 1.404  WFC   10.0  180  B                                
 444716 sa107 B 50       15:39:35.03 -00:15:06.5 2000.00  01:40 1.398  WFC   50.1  180  B                                
 444717 sa107 R 2        15:39:35.03 -00:15:06.5 2000.00  01:42 1.393  WFC    2.1  180  R                                
 444718 sa107 R 5        15:39:35.02 -00:15:06.5 2000.00  01:42 1.390  WFC    4.0  180  R                                
 444719 sa107 R 10       15:39:35.03 -00:15:06.5 2000.00  01:43 1.386  WFC   10.1  180  R                                
 444720 sa107 R 50       15:39:35.02 -00:15:06.5 2000.00  01:44 1.382  WFC   50.0  180  R                                
 444721 KVC34 R 0 0      12:37:21.57 +38:45:02.7 2000.00  01:49 1.036  WFC  599.6  180  R                                
