INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 04 25 07:00

TELESCOPE             INT
DATE                  20050424
OBSERVER/S            P. Racticumtwee
PROGRAMME             Varied
PROPOSAL REF          N5
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    .

TEL STATION / FOCUS   Prime  / 44
INSTRUMENT/S          WFC

SUNSET (UT)           19:50
EVENING TWILIGHT (UT) 21:06
MORNING TWILIGHT (UT) 05:12
SUNRISE (UT)          06:29
%ILLUM. LUNAR DISK      1
DARK TIME (HRS)       08:06
TWILIGHT TIME (HRS)   02:33
MOONRISE (UT)         19:56
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00   9.0   17     7.1   7.5  327   767.2    9.0  12.9    12.4   17    14 
21:00   6.7   16     4.6   5.2  308   767.3    6.7   9.9    11.9   16    10 
22:00   6.4   14     2.8   3.2   49   767.7    6.4   8.6    11.8   14     9 
23:00   6.5   16     6.4   7.0   26   768.2    6.5   8.5    11.4   16    11 
00:00   6.6   15     7.4   7.8   30   768.4    6.6   8.4    11.1   15    10 
01:00   6.5   15     5.7   5.9  116   768.5    6.5   8.1    10.8   15    10 
02:00   6.4   15     4.2   4.3  117   768.3    6.4   7.8    10.5   15     9 
03:00   5.9   16     2.3   2.6   42   767.8    5.9   6.9    10.5   16    11 
04:00   5.7   16     4.9   5.1  160   767.4    5.7   7.0    10.3   16    12 
05:00   5.3   16     0.5   0.9  160   767.1    5.3   6.7    10.4   16    12 
06:00   5.7   14     3.7   4.3   16   767.1    5.7   7.1    10.3   14    10 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
partly cloudy

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 447292 Flat field        1:59:59.99 +19:59:59.9 2005.311 13:14 1.013  WFC    2.0  180  r                                
 447293 Bias              1:59:59.99 +20:00:00.0 2005.311 13:16 1.014  WFC    0.0  180  r                                
 447294 Bias              0:00:00.00 +00:00:00.0 2005.311 16:49 4.637  WFC    0.0  180  r                                
 447295 Bias              0:00:00.00 +00:00:00.0 2005.311 16:50 4.637  WFC    0.0  180  r                                
 447296 Bias              0:00:00.00 +00:00:00.0 2005.311 16:50 4.637  WFC    0.0  180  r                                
 447297 Bias              0:00:00.00 +00:00:00.0 2005.311 16:51 4.637  WFC    0.0  180  r                                
 447298 Bias              0:00:00.00 +00:00:00.0 2005.311 16:52 4.637  WFC    0.0  180  r                                
 447299 Bias              0:00:00.00 +00:00:00.0 2005.311 16:52 4.637  WFC    0.0  180  r                                
 447300 Bias              0:00:00.00 +00:00:00.0 2005.311 16:53 4.637  WFC    0.0  180  r                                
 447301 Bias              0:00:00.00 +00:00:00.0 2005.311 16:53 4.637  WFC    0.0  180  r                                
 447302 Bias              0:00:00.00 +00:00:00.0 2005.311 16:54 4.637  WFC    0.0  180  r                                
 447303 Bias              0:00:00.00 +00:00:00.0 2005.311 16:54 4.637  WFC    0.0  180  r                                
 447304 Bias              0:00:00.00 +00:00:00.0 2005.311 16:55 4.637  WFC    0.0  180  r                                
 447305 skyflat HA 10s    9:12:00.00 -07:50:46.9 2000.00  19:54 1.249  WFC   10.1  180  Halpha                           
 447306 skyflat HA 10s    9:12:00.00 -07:50:46.9 2000.00  19:55 1.249  WFC   10.1  180  Halpha                           
 447307 skyflat HA 10s    9:11:59.99 -07:50:47.0 2000.00  19:57 1.248  WFC    2.1  180  Halpha                           
 447308 skyflat HA 10s    9:12:00.00 -07:50:47.0 2000.00  19:58 1.248  WFC    1.6  180  Halpha                           
 447309 skyflat HA 10s    9:12:00.00 -07:50:47.0 2000.00  19:58 1.248  WFC   10.1  180  Halpha                           
 447310 skyflat O3 20s    9:12:00.00 -07:50:47.0 2000.00  20:00 1.247  WFC   19.5  180  [OIII]5007                       
 447311 skyflat O3 20s    9:12:00.00 -07:50:46.9 2000.00  20:01 1.247  WFC   20.1  180  [OIII]5007                       
 447312 skyflat I 5s      9:12:00.00 -07:50:47.0 2000.00  20:02 1.246  WFC    4.0  180  i                                
 447313 skyflat O3 25s    9:11:59.99 -07:50:47.0 2000.00  20:03 1.246  WFC   25.1  180  [OIII]5007                       
 447314 skyflat I 5s      9:11:59.99 -07:50:47.0 2000.00  20:04 1.246  WFC    4.5  180  i                                
 447315 skyflat I 5s      9:12:00.00 -07:50:47.0 2000.00  20:05 1.246  WFC    5.0  180  i                                
 447316 skyflat R 5s      9:12:00.00 -07:50:46.9 2000.00  20:06 1.246  WFC    5.1  180  r                                
 447317 skyflat R 5s      9:11:59.99 -07:50:46.9 2000.00  20:07 1.246  WFC    5.1  180  r                                
 447318 skyflat G 5s      9:12:00.00 -07:50:47.0 2000.00  20:08 1.246  WFC   10.1  180  g                                
 447319 skyflat G 10s     9:12:00.00 -07:50:46.9 2000.00  20:09 1.245  WFC   10.1  180  g                                
 447320 skyflat G         9:12:00.00 -07:50:47.0 2000.00  20:10 1.245  WFC   10.1  180  g                                
 447321 skyflat G 10s     9:11:59.99 -07:50:47.0 2000.00  20:11 1.245  WFC   10.1  180  g                                
 447322 skyflat B 10s     9:12:00.00 -07:50:47.0 2000.00  20:12 1.245  WFC   10.1  180  B                                
 447323 skyflat B 25s     9:11:59.99 -07:50:46.9 2000.00  20:14 1.245  WFC   24.5  180  B                                
 447324 skyflat B 45s     9:12:00.00 -07:50:47.0 2000.00  20:15 1.246  WFC   45.1  180  B                                
 447325 2004dw-24042005   9:25:19.38 -03:28:58.8 2000.00  20:18 1.183  WFC  180.0  180  r                                
 447326 2004dw-24042005   9:25:19.37 -03:28:58.7 2000.00  20:23 1.182  WFC  180.0  180  r                                
 447327 2004dw-24042005   9:25:19.38 -03:28:58.6 2000.00  20:26 1.182  WFC  180.0  180  r                                
 447328 qso1156 120s I   11:59:31.90 +29:14:43.7 2000.00  20:32 1.177  WFC  119.5  180  i                                
 447329 qso1156 120s I   11:59:31.90 +29:14:43.8 2000.00  20:34 1.169  WFC  120.0  180  i                                
 447330 tuboo 1s R       14:04:58.99 +29:59:59.9 2000.00  20:38 1.838  WFC    1.0  180  r                                
 447331 tuboo 1s G       14:04:58.99 +30:00:00.0 2000.00  20:39 1.829  WFC    1.6  180  g                                
 447332 qso1156 120s G   11:59:31.90 +29:14:43.7 2000.00  20:41 1.153  WFC  120.0  180  g                                
 447333 qso1156 120s G   11:59:31.89 +29:14:43.8 2000.00  20:43 1.147  WFC  120.0  180  g                                
