INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 06 02 05:44

TELESCOPE             INT
DATE                  20050601
OBSERVER/S            A. Rosenberg, G. Gomez
PROGRAMME             Service Night
PROPOSAL REF          CAT SD
TELESCOPE OPERATOR    None
SUPPORT ASTRONOMER    J. Furness

TEL STATION / FOCUS   Prime  / 43.90
INSTRUMENT/S          WFC

SUNSET (UT)           20:13
EVENING TWILIGHT (UT) 21:37
MORNING TWILIGHT (UT) 04:41
SUNRISE (UT)          06:06
%ILLUM. LUNAR DISK    24
DARK TIME (HRS)       07:04
TWILIGHT TIME (HRS)   02:49
MOONRISE (UT)         03:07
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  10.4   29    12.8  13.7   66   769.5   10.4  13.7    14.4   29    21 
22:00  11.1   18     7.4   8.4   52   769.8   11.1  12.7    14.1   18    14 
23:00  10.1   32     7.5   9.0  142   770.0   10.1  12.1    13.5   32    25 
00:00  10.4   29     6.8   7.8  141   770.2   10.4  11.7    13.2   29    23 
01:00  10.8   26     8.0   9.0   96   770.1   10.8  12.0    13.3   26    22 
02:00  10.2   29     6.7   7.4  113   769.8   10.2  11.6    13.2   29    23 
03:00   9.8   32     4.9   5.2  129   769.3    9.8  11.3    12.9   32    26 
04:00   9.5   32     3.1   4.0   21   769.1    9.5  10.9    12.3   32    28 
05:00   9.1   35     2.1   2.3  146   768.7    9.1  10.8    12.0   35    28 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Clear, some cirros

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 453284 Bias              0:00:00.00 +00:00:00.0 2005.415 13:15 1.143  WFC    0.0  180  i                                
 453285 Bias              0:00:00.00 +00:00:00.0 2000.00  14:28 1.056  WFC    0.0  180  i                                
 453286 Bias              6:00:00.67 +10:00:00.0 2000.00  14:31 1.056  WFC    0.0  180  i                                
 453287 Focus run         6:00:00.67 +09:59:59.6 2000.00  14:39 1.056  WFC    9.6  180  r                                
 453288 Flat field       12:28:43.00 -06:55:03.9 2000.00  20:15 1.255  WFC    7.1  180  U                                
 453289 AAOBLANK4        12:28:42.99 -06:55:04.0 2000.00  20:23 1.247  WFC    1.0  180  U                                
 453290 Flat field       12:28:43.00 -06:55:03.8 2000.00  20:24 1.246  WFC    3.6  180  U                                
 453291 Flat field       12:28:42.99 -06:55:04.0 2000.00  20:25 1.245  WFC    3.6  180  U                                
 453292 Flat field       12:28:42.99 -06:55:04.0 2000.00  20:27 1.243  WFC    5.5  180  U                                
 453293 Flat field       12:28:43.00 -06:55:03.9 2000.00  20:29 1.242  WFC    6.0  180  U                                
 453294 Flat field       12:28:42.99 -06:55:03.9 2000.00  20:30 1.241  WFC   11.0  180  U                                
 453295 Flat field       12:28:42.99 -06:55:03.9 2000.00  20:32 1.239  WFC   17.1  180  U                                
 453296 Flat field       12:28:42.99 -06:55:04.0 2000.00  20:34 1.238  WFC    5.8  180  B                                
 453297 Flat field       12:28:42.99 -06:55:03.9 2000.00  20:35 1.238  WFC    6.1  180  B                                
 453298 Flat field       12:28:43.00 -06:55:03.9 2000.00  20:37 1.237  WFC   12.1  180  B                                
 453299 Flat field       12:28:42.99 -06:55:03.9 2000.00  20:39 1.236  WFC   17.5  180  B                                
 453300 Flat field       12:28:43.00 -06:55:03.9 2000.00  20:40 1.235  WFC   24.7  180  B                                
 453301 Flat field       12:28:42.99 -06:55:04.0 2000.00  20:42 1.234  WFC   38.0  180  B                                
 453302 Flat field       12:28:43.00 -06:55:04.0 2000.00  20:44 1.233  WFC   72.8  180  r                                
 453303 Flat field       12:28:43.67 -06:54:54.1 2000.00  20:47 1.232  WFC  114.9  180  r                                
 453304 Flat field       12:28:42.32 -06:55:14.0 2000.00  20:50 1.231  WFC  215.8  180  r                                
 453305 Focus run        11:18:10.90 +48:02:12.9 2000.00  21:26 1.119  WFC   10.1  180  r                                
 453306 Focus run        11:18:10.90 +48:02:12.9 2000.00  21:36 1.133  WFC   20.1  180  r                                
 453307 J1118            11:18:10.89 +48:02:13.0 2000.00  21:50 1.164  WFC  299.9  180  U                                
 453308 J1118            11:18:10.90 +48:02:12.9 2000.00  21:56 1.174  WFC  299.9  180  U                                
 453309 J1118            11:18:10.89 +48:02:12.8 2000.00  22:01 1.185  WFC  299.9  180  U                                
 453311 J1118            11:18:10.90 +48:02:12.8 2000.00  22:20 1.232  WFC  599.8  180  U                                
 453312 J1118            11:18:10.90 +48:02:12.8 2000.00  22:30 1.259  WFC  599.7  180  U                                
 453313 J1118            11:18:10.90 +48:02:12.9 2000.00  22:41 1.290  WFC  599.7  180  U                                
 453314 J1118            11:18:10.90 +48:02:12.9 2000.00  22:52 1.323  WFC  599.8  180  U                                
