INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 06 24 06:00

TELESCOPE             INT
DATE                  20050623
OBSERVER/S            Walton/ Prema
PROGRAMME             IPHAS
PROPOSAL REF          INT/05A/C3
TELESCOPE OPERATOR    None
SUPPORT ASTRONOMER    None

TEL STATION / FOCUS   Prime  / 43.76
INSTRUMENT/S          WFC

SUNSET (UT)           20:21
EVENING TWILIGHT (UT) 21:47
MORNING TWILIGHT (UT) 04:40
SUNRISE (UT)          06:07
%ILLUM. LUNAR DISK    95
DARK TIME (HRS)       06:53
TWILIGHT TIME (HRS)   02:53
MOONRISE (UT)         21:55
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  18.2   25     3.8   4.2  161   777.0   18.2  19.8    19.3   25    20 
22:00  18.0   26     4.1   4.9  153   777.3   18.0  19.3    19.3   26    22 
23:00  18.0   28     3.6   4.6  144   777.7   18.0  19.0    19.0   28    24 
00:00  17.7   26     4.0   4.7  147   777.9   17.7  18.8    18.9   26    22 
01:00  17.8   27     6.9   8.4  154   777.5   17.8  18.6    19.0   27    23 
02:00  17.7   29     4.5   5.2  121   777.3   17.7  18.7    19.1   29    24 
03:00  17.6   31     4.8   5.6  146   776.9   17.6  18.5    18.9   31    27 
04:00  17.7   30     4.2   4.9  165   776.5   17.7  18.4    18.9   30    27 
05:00  17.8   30     2.6   3.1  248   776.3   17.8  18.5    18.9   30    27 
06:00  17.7   30     8.2   8.3  281   776.0   17.7  18.3    18.9   30    27 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
some high cirrus plus dust at start of night: cloud got worse during the night. much of this nights data will be of poor quality 

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 456016 Bias frame        0:00:00.00 +00:00:00.0 2005.475 12:55 1.958  WFC    0.0  180  Halpha                           
 456017 Bias              0:00:00.00 +00:00:00.0 2005.476 19:48 4.538  WFC    0.0  180  Halpha                           
 456018 Flat field       12:28:42.99 -06:55:03.9 2000.00  20:29 1.273  WFC    3.6  180  Halpha                           
 456019 Flat field       12:28:40.98 -06:54:33.8 2000.00  20:31 1.276  WFC    4.7  180  Halpha                           
 456020 Flat field       12:28:40.98 -06:54:54.0 2000.00  20:33 1.280  WFC    8.7  180  Halpha                           
 456021 Flat field       12:28:42.33 -06:54:54.0 2000.00  20:34 1.282  WFC    9.8  180  Halpha                           
 456022 Flat field       12:28:43.67 -06:54:54.0 2000.00  20:36 1.284  WFC   12.0  180  Halpha                           
 456023 Flat field       12:28:43.00 -06:55:04.0 2000.00  20:37 1.286  WFC    3.1  180  r                                
 456024 Flat field       12:28:45.01 -06:54:34.0 2000.00  20:38 1.288  WFC    3.2  180  r                                
 456025 Flat field       12:28:43.67 -06:54:34.0 2000.00  20:39 1.290  WFC    3.3  180  r                                
 456026 Flat field       12:28:43.66 -06:55:34.0 2000.00  20:40 1.293  WFC    4.6  180  r                                
 456027 Flat field       12:28:42.33 -06:55:34.0 2000.00  20:41 1.295  WFC    4.0  180  r                                
 456028 Flat field       12:28:43.00 -06:55:04.0 2000.00  20:42 1.297  WFC    6.1  180  i                                
 456029 Flat field       12:28:42.32 -06:55:34.0 2000.00  20:44 1.299  WFC    7.7  180  i                                
 456030 Flat field       12:28:43.67 -06:55:34.0 2000.00  20:45 1.302  WFC   12.5  180  i                                
 456031 Flat field       12:28:43.67 -06:54:34.0 2000.00  20:46 1.305  WFC   16.9  180  i                                
 456032 Flat field       12:28:43.67 -06:54:54.0 2000.00  20:48 1.308  WFC   19.4  180  i                                
 456033 Focus run        14:40:50.99 -00:23:36.9 2000.00  21:02 1.166  WFC    9.6  180  r                                focus 43.78 in r
 456034 Focus run        14:40:51.00 -00:23:36.9 2000.00  21:13 1.156  WFC   10.1  180  i                                
 456035 feige34 i        10:39:36.71 +43:06:09.4 2000.00  21:26 1.451  WFC    4.1  180  i                                
 456036 feige34 r        10:39:36.71 +43:06:09.3 2000.00  21:26 1.455  WFC    3.5  180  r                                
 456037 feige34 Ha       10:39:36.72 +43:06:09.5 2000.00  21:28 1.462  WFC   40.1  180  Halpha                           
 456038 BD+262606 Ha     14:49:02.40 +25:42:09.1 2000.00  21:31 1.005  WFC   10.1  180  Halpha                           
 456039 BD+262606 i      14:49:02.39 +25:42:09.3 2000.00  21:32 1.004  WFC    4.5  180  i                                
 456040 BD+262606 r      14:49:02.39 +25:42:09.3 2000.00  21:33 1.004  WFC    5.1  180  r                                
 456041 HZ21 r           12:13:56.40 +32:56:31.2 2000.00  21:35 1.153  WFC   30.1  180  r                                
