INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 07 03 07:53

TELESCOPE             INT
DATE                  20050702
OBSERVER/S            Stephen Lowry
PROGRAMME             WFC imaging of comet 9P/Tempel 1 for Deep Impact - [FILTERS UBV r' i' O+]
PROPOSAL REF          I/2005A/11
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    Mansura Jaigurdar

TEL STATION / FOCUS   Prime  / 43.70
INSTRUMENT/S          WFC

SUNSET (UT)           20:22
EVENING TWILIGHT (UT) 21:48
MORNING TWILIGHT (UT) 04:44
SUNRISE (UT)          06:10
%ILLUM. LUNAR DISK    11
DARK TIME (HRS)       06:56
TWILIGHT TIME (HRS)   02:52
MOONRISE (UT)         03:24
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  11.5   24    31.3  33.7  322   773.8   11.5  16.5    16.7   24    18 
22:00  11.2   20    31.0  34.2  355   774.5   11.2  13.1    16.3   20    15 
23:00  10.9   23    23.2  25.7    5   774.8   10.9  12.7    15.8   23    20 
00:00  11.2   25    27.5  30.0  339   774.7   11.2  12.4    15.2   25    21 
01:00  11.5   24    29.8  35.0    1   774.5   11.5  12.9    14.3   24    20 
02:00  11.9   20    27.5  31.8   11   774.0   11.9  12.9    15.0   20    16 
03:00  12.1   18    33.7  37.1   21   773.5   12.1  13.1    15.0   18    15 
04:00  11.9   15    29.0  31.3  328   773.0   11.9  12.8    14.9   15    11 
05:00  11.8   12    26.0  29.0  356   772.9   11.8  12.7    14.8   12     7 
06:00  11.9   17    22.5  28.2    1   772.9   11.9  12.6    14.8   17     9 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Photometric

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 458272 Bias              0:00:00.00 +00:00:00.0 2005.500 16:59 4.542  WFC    0.0  180  i                                
 458273 Bias              0:00:00.00 +00:00:00.0 2005.500 17:01 4.542  WFC    0.0  180  i                                
 458274 Bias              0:00:00.00 +00:00:00.0 2005.500 17:02 4.542  WFC    0.0  180  i                                
 458275 Bias              0:00:00.00 +00:00:00.0 2005.500 17:02 4.542  WFC    0.0  180  i                                
 458276 Bias              0:00:00.00 +00:00:00.0 2005.500 17:03 4.542  WFC    0.0  180  i                                
 458277 Bias              0:00:00.00 +00:00:00.0 2005.500 17:03 4.542  WFC    0.0  180  i                                
 458278 Bias              0:00:00.00 +00:00:00.0 2005.500 17:04 4.542  WFC    0.0  180  i                                
 458279 Bias              0:00:00.00 +00:00:00.0 2005.500 17:04 4.542  WFC    0.0  180  i                                
 458280 Bias              0:00:00.00 +00:00:00.0 2005.500 17:05 4.542  WFC    0.0  180  i                                
 458281 Bias              0:00:00.00 +00:00:00.0 2005.500 17:06 4.542  WFC    0.0  180  i                                
 458282 Bias              0:00:00.00 +00:00:00.0 2005.500 17:06 4.542  WFC    0.0  180  i                                
 458283 Bias              0:00:00.00 +00:00:00.0 2005.500 17:07 4.542  WFC    0.0  180  i                                
 458284 Bias              0:00:00.00 +00:00:00.0 2005.500 17:07 4.542  WFC    0.0  180  i                                
 458285 Bias              0:00:00.00 +00:00:00.0 2005.500 17:08 4.542  WFC    0.0  180  i                                
 458286 Bias              0:00:00.00 +00:00:00.0 2005.500 17:09 4.542  WFC    0.0  180  i                                
 458287 SKYFLAT V        15:02:00.00 +29:55:00.0 2000.00  20:43 1.016  WFC    5.1  180  V                                
 458288 SKYFLAT V        15:02:02.30 +29:55:30.1 2000.00  20:45 1.015  WFC   15.1  180  V                                
 458289 SKYFLAT V        15:02:02.30 +29:55:29.9 2000.00  20:46 1.014  WFC   20.1  180  V                                
 458290 SKYFLAT V        15:02:02.30 +29:55:30.0 2000.00  20:48 1.013  WFC   30.1  180  V                                
 458291 SKYFLAT V        15:02:02.30 +29:55:30.0 2000.00  20:49 1.012  WFC   40.1  180  V                                
 458292 SKYFLAT U        15:02:02.30 +29:55:30.0 2000.00  20:52 1.010  WFC  180.0  180  U                                
 458293 SKYFLAT U        15:02:02.31 +29:55:30.0 2000.00  20:55 1.007  WFC  399.8  180  U                                
 458294 pointing AP 9    14:40:50.99 -00:23:36.9 2000.00  21:21 1.147  WFC   70.1  180  r                                RA=90, AP 0 set [-251,326], yet centered on ch0!!!
 458295 pointing AP 9    14:40:51.00 -00:21:56.8 2000.00  21:25 1.148  WFC   70.0  180  r                                
 458296 pointing AP 9    14:40:51.00 -00:25:17.1 2000.00  21:28 1.150  WFC   70.0  180  r                                
 458297 pointing AP 0    14:40:51.00 -00:25:16.8 2000.00  21:37 1.155  WFC   69.5  180  r                                
 458298 pointing         14:40:51.00 -00:23:36.9 2000.00  21:41 1.157  WFC   35.1  180  r                                
 458299 pointing         14:40:51.00 -00:23:36.8 2000.00  21:49 1.164  WFC   35.1  180  r                                
 458300 pointing AP 12    0:00:00.00 +00:00:00.0 2000.00  21:54 1.169  WFC   35.1  180  r                                
 458301 pointing         14:40:50.99 -00:23:36.9 2000.00  21:59 1.175  WFC   35.1  180  r                                
 458302 pointing         14:42:21.00 -00:23:36.7 2000.00  22:02 1.176  WFC   34.5  180  r                                
 458303 pointing AP12     0:00:00.00 +00:00:00.0 2000.00  22:06 1.182  WFC   35.1  180  r                                
 458304 pointing AP11     0:00:00.00 +00:00:00.0 2000.00  22:08 1.187  WFC   35.1  180  r                                set apertures not working
 458305 Focus run        14:40:51.00 -00:23:36.9 2000.00  22:17 1.195  WFC   14.6  180  r                                
 458306 9P U             13:37:00.73 -09:02:44.4 2000.00  22:25 1.583  WFC   20.0  180  U                                manual offset working [1350 0]
 458307 9P B             13:37:00.73 -09:02:44.2 2000.00  22:29 1.603  WFC   20.1  180  B                                
 458308 9P r'            13:37:00.73 -09:02:44.4 2000.00  22:31 1.617  WFC   20.1  180  r                                
 458309 9P i'            13:37:00.73 -09:02:44.3 2000.00  22:35 1.640  WFC   20.1  180  i                                
 458310 9P O+            13:37:00.73 -09:02:44.3 2000.00  22:37 1.653  WFC   20.1  180  [OII]3727                        
 458311 9P V             13:37:00.73 -09:02:44.4 2000.00  22:40 1.672  WFC   20.1  180  V                                
 458313 9P U             13:36:57.36 -09:03:34.4 2000.00  22:43 1.691  WFC   20.1  180  U                                
 458314 9P B             13:36:57.35 -09:03:34.4 2000.00  22:45 1.705  WFC   20.1  180  B                                
 458315 9P r'            13:36:57.36 -09:03:34.4 2000.00  22:46 1.718  WFC   19.5  180  r                                
 458316 9P i'            13:36:57.35 -09:03:34.4 2000.00  22:48 1.728  WFC   20.1  180  i                                
 458317 9P O+            13:36:57.35 -09:03:34.6 2000.00  22:49 1.737  WFC   20.1  180  [OII]3727                        
 458318 9P V             13:36:57.36 -09:03:34.4 2000.00  22:50 1.745  WFC   20.1  180  V                                
 458319 9P U             13:37:04.10 -09:01:49.3 2000.00  22:53 1.769  WFC   20.1  180  U                                
 458320 9P B             13:37:04.10 -09:01:49.4 2000.00  22:56 1.788  WFC   20.1  180  B                                
