INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 07 04 05:07

TELESCOPE             INT
DATE                  20050703
OBSERVER/S            Stephen Lowry
PROGRAMME             WFC imaging of comet 9P/Tempel 1 for Deep Impact - [FILTERS UBV r' i' O+]
PROPOSAL REF          I/2005A/11
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    NONE

TEL STATION / FOCUS   Prime  / 43.80
INSTRUMENT/S          WFC

SUNSET (UT)           20:22
EVENING TWILIGHT (UT) 21:48
MORNING TWILIGHT (UT) 04:44
SUNRISE (UT)          06:10
%ILLUM. LUNAR DISK    6
DARK TIME (HRS)       06:56
TWILIGHT TIME (HRS)   02:52
MOONRISE (UT)         04:08
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  12.8   13    25.1  26.5   30   773.4   12.8  16.5    16.1   13    19 
22:00  13.5   10    19.9  22.9   43   773.7   13.5  14.6    15.7   10     6 
23:00  14.2    7    24.4  26.3   27   773.9   14.2  14.6    15.7    7     5 
00:00  14.0    8    25.3  28.0   33   774.0   14.0  14.8    15.5    8     5 
01:00  13.4    8    21.8  23.5   35   773.7   13.4  13.9    15.5    8     9 
02:00  14.2    6    20.8  21.8   39   773.4   14.2  13.7    15.1    6    10 
03:00  14.0    6    23.4  24.5   35   773.1   14.0  14.2    15.0    6     7 
04:00  14.0    6    20.3  22.4   36   772.7   14.0  14.5    15.2    6     3 
05:00  14.1    5    17.8  18.6   48   772.5   14.1  14.1    15.3    5     5 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Photometric

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 458458 Bias              6:59:59.99 +20:00:00.0 2005.503 15:01 1.091  WFC    0.0   90  i                                
 458459 Flat field        7:00:00.00 +20:00:00.0 2005.503 15:03 1.095  WFC    2.0   90  i                                
 458460 Bias              0:00:00.00 +00:00:00.0 2005.503 16:40 4.408  WFC    0.0   90  i                                
 458461 Bias              0:00:00.00 +00:00:00.0 2005.503 16:51 4.408  WFC    0.0   90  i                                
 458462 Bias              0:00:00.00 +00:00:00.0 2005.503 16:52 4.408  WFC    0.0   90  i                                
 458463 Bias              0:00:00.00 +00:00:00.0 2005.503 16:52 4.408  WFC    0.0   90  i                                
 458464 Bias              0:00:00.00 +00:00:00.0 2005.503 16:53 4.408  WFC    0.0   90  i                                
 458465 Bias              0:00:00.00 +00:00:00.0 2005.503 16:53 4.408  WFC    0.0   90  i                                
 458466 Bias              0:00:00.00 +00:00:00.0 2005.503 16:54 4.408  WFC    0.0   90  i                                
 458467 Bias              0:00:00.00 +00:00:00.0 2005.503 16:55 4.408  WFC    0.0   90  i                                
 458468 Bias              0:00:00.00 +00:00:00.0 2005.503 16:55 4.408  WFC    0.0   90  i                                
 458469 Bias              0:00:00.00 +00:00:00.0 2005.503 16:56 4.408  WFC    0.0   90  i                                
 458470 Bias              0:00:00.00 +00:00:00.0 2005.503 16:56 4.408  WFC    0.0   90  i                                
 458471 Bias              0:00:00.00 +00:00:00.0 2005.503 16:57 4.408  WFC    0.0   90  i                                
 458472 Bias              0:00:00.00 +00:00:00.0 2005.503 16:58 4.408  WFC    0.0   90  i                                
 458473 Bias              0:00:00.00 +00:00:00.0 2005.503 16:58 4.408  WFC    0.0   90  i                                
 458474 Bias              0:00:00.00 +00:00:00.0 2005.503 16:59 4.408  WFC    0.0   90  i                                
 458475 SKYFLAT V        15:02:00.00 +29:55:00.0 2000.00  20:40 1.015  WFC    5.1   90  V                                
 458476 SKYFLAT V        15:02:02.30 +29:55:29.8 2000.00  20:42 1.014  WFC    6.5   90  V                                
 458477 SKYFLAT V        15:02:04.61 +29:55:59.6 2000.00  20:44 1.013  WFC   12.1   90  V                                
 458478 SKYFLAT V        15:02:06.92 +29:56:30.3 2000.00  20:45 1.012  WFC   16.6   90  V                                
 458479 SKYFLAT V        15:02:09.23 +29:56:59.8 2000.00  20:46 1.011  WFC   25.1   90  V                                
 458480 SKYFLAT i'       15:01:59.99 +29:54:59.9 2000.00  20:48 1.010  WFC   25.1   90  i                                
 458481 SKYFLAT i'       15:02:02.31 +29:55:29.9 2000.00  20:50 1.009  WFC   35.1   90  i                                
 458482 SKYFLAT i'       15:02:04.61 +29:56:00.0 2000.00  20:52 1.008  WFC   50.0   90  i                                
 458483 SKYFLAT i'       15:02:06.92 +29:56:29.8 2000.00  20:54 1.007  WFC   69.5   90  i                                
 458484 SKYFLAT i'       15:02:09.22 +29:56:59.8 2000.00  20:56 1.006  WFC  100.0   90  i                                
 458485 SKYFLAT B        15:01:59.99 +29:54:59.9 2000.00  20:59 1.005  WFC  200.0   90  B                                
 458486 SKYFLAT B        15:02:04.61 +29:55:59.8 2000.00  21:03 1.003  WFC  299.9   90  B                                
 458488 pointing         14:40:50.99 -00:23:36.8 2000.00  21:11 1.146  WFC   35.1   90  r                                did not stop guider
 458489 pointing         14:40:50.99 -00:23:36.9 2000.00  21:15 1.146  WFC   35.1   90  r                                
 458490 pointing         14:41:36.00 -00:23:36.8 2000.00  21:17 1.147  WFC   35.1   90  r                                
 458491 pointing         14:41:37.33 -00:23:36.9 2000.00  21:19 1.147  WFC   35.1   90  r                                
 458492 Focus run        14:40:50.99 -00:23:36.9 2000.00  21:30 1.151  WFC   10.1   90  r                                
 458493 Focus run        14:40:50.99 -00:23:36.8 2000.00  21:39 1.157  WFC    9.6   90  r                                
 458494 9P r'            13:38:02.35 -09:25:45.8 2000.00  21:50 1.448  WFC   20.1   90  r                                
 458495 9P r'            13:38:02.36 -09:31:35.8 2000.00  21:56 1.475  WFC   20.1   90  r                                
 458496 9P i'            13:38:02.36 -09:31:35.9 2000.00  22:00 1.487  WFC   20.1   90  i                                
 458497 9P U             13:38:02.36 -09:31:35.8 2000.00  22:01 1.493  WFC   19.6   90  U                                
 458498 9P B             13:38:02.36 -09:31:35.8 2000.00  22:02 1.499  WFC   20.1   90  B                                
 458499 9P O+            13:38:02.36 -09:31:35.9 2000.00  22:04 1.505  WFC   20.1   90  [OII]3727                        removing from night3 programme
 458500 9P V             13:38:02.36 -09:31:35.9 2000.00  22:09 1.529  WFC   20.1   90  V                                
 458501 9P i'            13:38:02.36 -09:30:45.8 2000.00  22:12 1.542  WFC   20.1   90  i                                
 458502 9P U             13:38:02.36 -09:30:45.9 2000.00  22:13 1.548  WFC   20.1   90  U                                
 458503 9P B             13:38:02.36 -09:30:45.8 2000.00  22:15 1.555  WFC   20.1   90  B                                
 458504 9P V             13:38:02.35 -09:30:45.9 2000.00  22:16 1.562  WFC   20.1   90  V                                
 458505 9P r'            13:38:05.74 -09:31:35.9 2000.00  22:20 1.581  WFC   20.1   90  r                                
 458506 9P i'            13:38:05.74 -09:31:35.8 2000.00  22:21 1.588  WFC   20.1   90  i                                
 458507 9P U             13:38:05.74 -09:31:35.7 2000.00  22:22 1.596  WFC   20.1   90  U                                
 458508 9P B             13:38:05.74 -09:31:35.8 2000.00  22:24 1.603  WFC   20.1   90  B                                
 458509 9P V             13:38:05.74 -09:31:35.7 2000.00  22:25 1.611  WFC   19.5   90  V                                
