INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 07 07 06:38

TELESCOPE             INT
DATE                  20050706
OBSERVER/S            Stephen Lowry
PROGRAMME             WFC imaging of comet 9P/Tempel 1 for Deep Impact - [FILTERS UBV r' i' O+]
PROPOSAL REF          I/2005A/11
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS   Prime  / 43.75
INSTRUMENT/S          WFC

SUNSET (UT)           20:22
EVENING TWILIGHT (UT) 21:47
MORNING TWILIGHT (UT) 04:46
SUNRISE (UT)          06:11
%ILLUM. LUNAR DISK    0
DARK TIME (HRS)       06:59
TWILIGHT TIME (HRS)   02:50
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          20:47

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  15.9    5    25.0  26.4  318   773.2   15.9  19.2    18.5    5     8 
22:00  15.2    8    22.9  24.2  323   773.7   15.2  17.1    18.4    8     4 
23:00  14.6   16    24.3  25.6  344   773.7   14.6  15.9    17.8   16    12 
00:00  14.4   18    25.1  26.1  340   773.9   14.4  15.5    17.1   18    15 
01:00  14.2   19    27.4  28.8  335   773.7   14.2  15.4    17.6   19    14 
02:00  14.7   14    24.9  26.1  338   773.4   14.7  15.3    17.3   14     9 
03:00  14.6   12    19.5  21.0  350   773.0   14.6  15.0    17.3   12     9 
04:00  14.5   12    22.1  23.9  329   772.6   14.5  15.1    17.3   12     8 
05:00  14.4   13    23.9  25.2  324   772.2   14.4  14.6    17.1   13     9 
06:00  14.6   13    21.1  23.2  350   772.2   14.6  14.9    16.9   13     9 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Photometric

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 459020 Bias frame        0:00:00.00 +00:00:00.0 2005.511 12:58 4.719  WFC    0.0   90  V                                
 459021 Bias              0:00:00.00 +00:00:00.0 2005.511 19:15 4.719  WFC    0.0   90  V                                
 459022 Bias              0:00:00.00 +00:00:00.0 2005.511 19:15 4.719  WFC    0.0   90  V                                
 459023 Bias              0:00:00.00 +00:00:00.0 2005.511 19:16 4.719  WFC    0.0   90  V                                
 459024 Bias              0:00:00.00 +00:00:00.0 2005.511 19:17 4.719  WFC    0.0   90  V                                
 459025 Bias              0:00:00.00 +00:00:00.0 2005.511 19:17 4.719  WFC    0.0   90  V                                
 459026 Bias              0:00:00.00 +00:00:00.0 2005.511 19:18 4.719  WFC    0.0   90  V                                
 459027 Bias              0:00:00.00 +00:00:00.0 2005.511 19:18 4.719  WFC    0.0   90  V                                
 459028 Bias              0:00:00.00 +00:00:00.0 2005.511 19:19 4.719  WFC    0.0   90  V                                
 459029 Bias              0:00:00.00 +00:00:00.0 2005.511 19:20 4.719  WFC    0.0   90  V                                
 459030 Bias              0:00:00.00 +00:00:00.0 2005.511 19:20 4.719  WFC    0.0   90  V                                
 459031 Bias              0:00:00.00 +00:00:00.0 2005.511 19:21 4.719  WFC    0.0   90  V                                
 459032 Bias              0:00:00.00 +00:00:00.0 2005.511 19:21 4.719  WFC    0.0   90  V                                
 459033 Bias              0:00:00.00 +00:00:00.0 2005.511 19:22 4.719  WFC    0.0   90  V                                
 459034 Bias              0:00:00.00 +00:00:00.0 2005.511 19:22 4.719  WFC    0.0   90  V                                
 459035 Bias              0:00:00.00 +00:00:00.0 2005.511 19:23 4.719  WFC    0.0   90  V                                
 459036 SKYFLAT r'       15:02:00.00 +29:55:00.0 2000.00  20:42 1.007  WFC    4.5   90  r                                
 459037 SKYFLAT r'       15:02:02.30 +29:55:29.8 2000.00  20:44 1.007  WFC    6.5   90  r                                
 459038 SKYFLAT r'       15:02:04.61 +29:56:00.0 2000.00  20:45 1.006  WFC   10.1   90  r                                
 459039 SKYFLAT r'       15:02:06.91 +29:56:30.1 2000.00  20:46 1.006  WFC   13.1   90  r                                
 459040 SKYFLAT r'       15:02:09.23 +29:56:59.8 2000.00  20:47 1.005  WFC   20.1   90  r                                
 459041 SKYFLAT V        15:01:59.99 +29:54:59.9 2000.00  20:49 1.005  WFC   25.1   90  V                                
 459042 SKYFLAT V        15:02:04.61 +29:55:59.8 2000.00  20:50 1.004  WFC   40.1   90  V                                
 459043 SKYFLAT V        15:02:06.92 +29:56:30.0 2000.00  20:52 1.003  WFC   60.1   90  V                                
 459044 SKYFLAT V        15:02:09.23 +29:56:59.8 2000.00  20:54 1.003  WFC  100.0   90  V                                
 459045 SKYFLAT V        15:02:11.53 +29:57:30.0 2000.00  20:58 1.002  WFC  199.5   90  V                                
 459046 pointing         14:40:51.00 -00:23:36.9 2000.00  21:06 1.147  WFC   35.1   90  r                                
 459047 pointing         14:41:38.66 -00:29:02.0 2000.00  21:10 1.149  WFC   35.1   90  r                                
 459048 pointing         14:41:35.99 -00:28:37.0 2000.00  21:14 1.151  WFC   34.5   90  r                                
 459049 Focus run        14:40:51.00 -00:23:36.4 2000.00  21:23 1.153  WFC    9.6   90  r                                
 459050 TMO_apr04_CF r'  10:59:15.00 +20:02:02.4 2000.00  21:31 1.953  WFC   24.5   90  r                                wrong coords
 459051 TMO_apr04_CF r'  11:00:02.87 +19:57:02.0 2000.00  21:37 2.014  WFC   25.1   90  r                                
 459052 TMO_apr04_CF V   11:00:02.87 +19:57:02.0 2000.00  21:40 2.061  WFC   24.6   90  V                                
 459053 TMO_apr04_CF i'  11:00:02.87 +19:57:01.9 2000.00  21:42 2.084  WFC   25.1   90  i                                
 459054 9P r'            13:43:32.18 -10:41:31.5 2000.00  21:51 1.504  WFC   20.1   90  r                                
 459055 9P r'            13:43:32.19 -10:41:31.6 2000.00  21:53 1.516  WFC   20.1   90  r                                
 459056 9P i'            13:43:32.19 -10:41:31.5 2000.00  21:55 1.522  WFC   20.1   90  i                                
 459057 9P U             13:43:32.19 -10:41:31.5 2000.00  21:56 1.528  WFC   20.1   90  U                                
 459058 9P B             13:43:32.19 -10:41:31.6 2000.00  21:58 1.534  WFC   19.5   90  B                                
 459059 9P V             13:43:32.19 -10:41:31.6 2000.00  21:59 1.540  WFC   19.5   90  V                                
 459060 9P O+            13:43:32.19 -10:41:31.6 2000.00  22:00 1.546  WFC   20.1   90  [OII]3727                        
 459061 9P r' M1         13:45:25.56 -10:50:24.2 2000.00  22:02 1.549  WFC   20.1   90  r                                
 459062 9P r' M1         13:45:22.18 -10:51:14.3 2000.00  22:03 1.557  WFC   20.1   90  r                                
 459063 9P B M1          13:45:25.57 -10:50:24.2 2000.00  22:05 1.563  WFC   19.6   90  B                                
 459064 9P B M1          13:45:22.18 -10:51:14.3 2000.00  22:06 1.570  WFC   20.1   90  B                                
 459065 9P r' M2         13:47:18.20 -10:58:49.2 2000.00  22:08 1.572  WFC   20.1   90  r                                
 459066 9P r' M2         13:47:21.60 -10:59:39.0 2000.00  22:09 1.579  WFC   20.1   90  r                                
 459067 9P B M2          13:47:18.20 -10:58:49.2 2000.00  22:11 1.586  WFC   19.5   90  B                                
 459068 9P B M2          13:47:21.60 -10:59:39.0 2000.00  22:12 1.593  WFC   19.5   90  B                                
 459069 9P r' M3         13:49:09.96 -11:07:11.5 2000.00  22:14 1.596  WFC   19.5   90  r                                
