INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 08 09 05:30

TELESCOPE             INT
DATE                  20050808
OBSERVER/S            JBA 
PROGRAMME             C122
PROPOSAL REF          service
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:05
EVENING TWILIGHT (UT) 21:24
MORNING TWILIGHT (UT) 05:11
SUNRISE (UT)          06:30
%ILLUM. LUNAR DISK    13
DARK TIME (HRS)       07:47
TWILIGHT TIME (HRS)   02:38
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          22:08

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  17.2    5    18.3  20.3  243   772.5   17.2  19.4    20.5    5     1 
22:00  16.2    7    20.0  21.0  252   772.7   16.2  18.0    20.3    7     3 
23:00  16.5    6    18.5  19.9  253   773.2   16.5  17.8    20.0    6     1 
00:00  16.0    7    19.5  20.1  276   773.1   16.0  17.2    19.1    7     3 
01:00  16.1    6    16.9  17.4  261   772.9   16.1  17.4    19.3    6     3 
02:00  15.6    9    12.8  13.3  256   772.7   15.6  16.9    19.3    9     5 
03:00  15.6    9    10.0  11.4  256   772.6   15.6  16.9    19.1    9     5 
04:00  15.8    9    11.7  13.9  259   772.2   15.8  16.7    18.3    9     5 
05:00  15.4    9    15.5  17.1  252   772.0   15.4  16.4    17.9    9     5 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
OK

COMMENTS (causes of time lost, setup information eg CCD windows):
No problems



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 466115 Bias frame        0:00:00.00 +00:00:00.0 2005.601 13:40 2.469  WFC    0.0  180  R                                
 466116 Flat r 3.5       16:50:44.00 -15:22:48.0 2000.00  20:22 1.407  WFC    3.6  180  r                                
 466117 Flat r 4.5       16:50:43.99 -15:22:47.9 2000.00  20:23 1.406  WFC    4.6  180  r                                
 466118 Flat r 6         16:50:44.69 -15:22:37.9 2000.00  20:25 1.404  WFC    6.1  180  r                                
 466119 Flat r 9         16:50:44.68 -15:22:38.0 2000.00  20:26 1.403  WFC    9.1  180  r                                
 466120 Flat r 14        16:50:43.30 -15:22:57.9 2000.00  20:28 1.402  WFC   14.1  180  r                                
 466121 Flat r 21        16:50:43.31 -15:22:58.0 2000.00  20:30 1.400  WFC   21.1  180  r                                
 466122 Focus run        19:42:00.00 +48:00:00.0 2000.00  20:50 1.280  WFC   10.1  180  r                                
 466123 Prueba1          19:41:59.99 +48:00:00.0 2000.00  21:06 1.230  WFC   80.1  180  r                                
 466124 KEPLER           19:42:00.00 +47:59:59.9 2000.00  21:17 1.205  WFC   79.5  180  r                                
 466125 KEPLER           19:41:59.99 +48:00:00.0 2000.00  21:19 1.201  WFC   80.0  180  r                                
 466126 KEPLER           19:42:00.00 +47:59:59.9 2000.00  21:21 1.197  WFC   80.0  180  r                                
 466127 KEPLER           19:41:59.99 +48:00:00.0 2000.00  21:23 1.192  WFC   80.0  180  r                                
 466128 KEPLER           19:42:00.00 +48:00:00.0 2000.00  21:25 1.188  WFC   80.0  180  r                                
 466129 KEPLER           19:42:00.00 +48:00:00.0 2000.00  21:27 1.184  WFC   80.0  180  r                                
 466130 KEPLER           19:41:59.99 +48:00:00.0 2000.00  21:29 1.181  WFC   80.0  180  r                                
 466131 KEPLER           19:42:00.00 +47:59:59.9 2000.00  21:31 1.177  WFC   80.0  180  r                                
 466132 KEPLER           19:42:00.00 +48:00:00.0 2000.00  21:33 1.173  WFC   80.0  180  r                                
 466133 KEPLER           19:41:59.99 +48:00:00.0 2000.00  21:34 1.169  WFC   80.0  180  r                                
 466134 KEPLER           19:42:00.00 +47:59:59.9 2000.00  21:36 1.166  WFC   80.0  180  r                                
 466135 KEPLER           19:41:59.99 +48:00:00.0 2000.00  21:38 1.162  WFC   80.1  180  r                                
 466136 KEPLER           19:42:00.00 +48:00:00.0 2000.00  21:40 1.159  WFC   80.0  180  r                                
 466137 KEPLER           19:42:00.00 +47:59:59.9 2000.00  21:42 1.155  WFC   80.0  180  r                                
 466138 KEPLER           19:42:00.00 +47:59:59.9 2000.00  21:44 1.152  WFC   80.0  180  r                                
 466139 KEPLER           19:41:59.99 +48:00:00.0 2000.00  21:46 1.149  WFC   80.0  180  r                                
 466140 KEPLER           19:41:59.99 +48:00:00.0 2000.00  21:48 1.146  WFC   80.0  180  r                                
 466141 KEPLER           19:42:00.00 +47:59:59.9 2000.00  21:50 1.143  WFC   80.0  180  r                                
 466142 KEPLER           19:41:59.99 +47:59:59.9 2000.00  21:52 1.140  WFC   80.0  180  r                                
 466143 KEPLER           19:42:00.00 +47:59:59.9 2000.00  21:54 1.137  WFC   80.0  180  r                                
 466144 KEPLER           19:41:59.99 +48:00:00.0 2000.00  21:56 1.134  WFC   80.0  180  r                                
 466145 KEPLER           19:41:59.99 +48:00:00.0 2000.00  21:58 1.131  WFC   80.1  180  r                                
 466146 KEPLER           19:42:00.00 +48:00:00.0 2000.00  22:00 1.128  WFC   80.0  180  r                                
 466147 KEPLER           19:41:59.99 +48:00:00.0 2000.00  22:02 1.125  WFC   80.0  180  r                                
 466148 KEPLER           19:42:00.00 +47:59:59.9 2000.00  22:04 1.123  WFC   79.5  180  r                                
 466149 KEPLER           19:42:00.00 +48:00:00.0 2000.00  22:06 1.120  WFC   80.0  180  r                                
 466150 KEPLER           19:42:00.00 +47:59:59.9 2000.00  22:08 1.117  WFC   80.0  180  r                                
 466151 KEPLER           19:42:00.00 +48:00:00.0 2000.00  22:10 1.115  WFC   79.5  180  r                                
 466152 KEPLER           19:42:00.00 +48:00:00.0 2000.00  22:12 1.113  WFC   80.0  180  r                                
 466153 KEPLER           19:42:00.00 +47:59:59.9 2000.00  22:14 1.110  WFC   79.5  180  r                                
 466154 KEPLER           19:42:00.00 +48:00:00.0 2000.00  22:16 1.108  WFC   80.0  180  r                                
 466155 KEPLER           19:41:59.99 +48:00:00.0 2000.00  22:17 1.106  WFC   79.5  180  r                                
 466156 KEPLER           19:41:59.99 +47:59:59.9 2000.00  22:19 1.103  WFC   80.0  180  r                                
 466157 KEPLER           19:41:59.99 +48:00:00.0 2000.00  22:21 1.101  WFC   79.5  180  r                                
 466158 KEPLER           19:42:00.00 +47:59:59.9 2000.00  22:23 1.099  WFC   80.0  180  r                                
 466159 KEPLER           19:42:00.00 +48:00:00.0 2000.00  22:25 1.097  WFC   80.0  180  r                                
 466160 KEPLER           19:41:59.99 +48:00:00.0 2000.00  22:27 1.095  WFC   80.0  180  r                                
 466161 KEPLER           19:41:59.99 +47:59:59.9 2000.00  22:29 1.093  WFC   80.1  180  r                                
 466162 KEPLER           19:41:59.99 +47:59:59.9 2000.00  22:31 1.092  WFC   80.0  180  r                                
 466163 KEPLER           19:41:59.99 +48:00:00.4 2000.00  22:33 1.090  WFC   80.0  180  r                                
 466164 KEPLER           19:42:00.00 +48:00:00.0 2000.00  22:35 1.088  WFC   80.0  180  r                                
 466165 KEPLER           19:42:00.00 +47:59:59.9 2000.00  22:37 1.086  WFC   80.0  180  r                                
 466166 KEPLER           19:41:59.99 +47:59:59.9 2000.00  22:39 1.085  WFC   80.0  180  r                                
 466167 KEPLER           19:42:00.00 +47:59:59.9 2000.00  22:41 1.083  WFC   80.0  180  r                                
 466168 KEPLER           19:42:00.00 +48:00:00.0 2000.00  22:43 1.082  WFC   80.0  180  r                                
 466169 KEPLER           19:42:00.00 +47:59:59.9 2000.00  22:45 1.080  WFC   80.0  180  r                                
 466170 KEPLER           19:42:00.00 +48:00:00.0 2000.00  22:47 1.079  WFC   80.1  180  r                                
 466171 KEPLER           19:41:59.99 +47:59:59.9 2000.00  22:49 1.077  WFC   79.5  180  r                                
 466172 KEPLER           19:42:00.00 +48:00:00.0 2000.00  22:51 1.076  WFC   80.0  180  r                                
 466173 KEPLER           19:41:59.99 +47:59:59.9 2000.00  22:53 1.075  WFC   80.0  180  r                                
 466174 KEPLER           19:41:59.99 +48:00:00.0 2000.00  22:55 1.073  WFC   80.0  180  r                                
 466175 KEPLER           19:42:00.00 +47:59:59.9 2000.00  22:57 1.072  WFC   80.0  180  r                                
 466176 KEPLER           19:42:00.00 +48:00:00.0 2000.00  22:59 1.071  WFC   80.1  180  r                                
 466177 KEPLER           19:41:59.99 +47:59:59.9 2000.00  23:00 1.070  WFC   80.0  180  r                                
 466178 KEPLER           19:41:59.99 +48:00:00.0 2000.00  23:02 1.069  WFC   79.5  180  r                                
 466179 KEPLER           19:41:59.99 +47:59:59.9 2000.00  23:04 1.068  WFC   80.0  180  r                                
 466180 KEPLER           19:42:00.00 +48:00:00.0 2000.00  23:06 1.067  WFC   80.0  180  r                                
 466181 KEPLER           19:41:59.99 +48:00:00.0 2000.00  23:08 1.066  WFC   80.0  180  r                                
 466182 KEPLER           19:42:00.00 +48:00:00.0 2000.00  23:10 1.066  WFC   80.0  180  r                                
 466183 KEPLER           19:41:59.99 +47:59:59.9 2000.00  23:12 1.065  WFC   80.0  180  r                                
 466184 KEPLER           19:42:00.00 +47:59:59.9 2000.00  23:14 1.064  WFC   79.5  180  r                                
 466185 KEPLER           19:41:59.99 +48:00:00.0 2000.00  23:16 1.063  WFC   80.0  180  r                                
 466186 KEPLER           19:42:00.00 +48:00:00.0 2000.00  23:18 1.063  WFC   80.0  180  r                                
 466187 KEPLER           19:42:00.00 +48:00:00.0 2000.00  23:20 1.062  WFC   80.0  180  r                                
 466188 KEPLER           19:42:00.00 +47:59:59.9 2000.00  23:22 1.062  WFC   80.0  180  r                                
 466189 KEPLER           19:42:00.00 +48:00:00.0 2000.00  23:24 1.061  WFC   80.0  180  r                                
 466190 KEPLER           19:42:00.00 +48:00:00.0 2000.00  23:26 1.061  WFC   80.0  180  r                                
 466191 KEPLER           19:41:59.99 +48:00:00.0 2000.00  23:28 1.060  WFC   79.5  180  r                                
 466192 KEPLER           19:42:00.00 +48:00:00.0 2000.00  23:30 1.060  WFC   80.0  180  r                                
 466193 KEPLER           19:42:00.00 +48:00:00.0 2000.00  23:32 1.060  WFC   80.0  180  r                                
 466194 KEPLER           19:42:00.00 +48:00:00.0 2000.00  23:34 1.060  WFC   80.0  180  r                                
 466195 KEPLER           19:41:59.99 +47:59:59.9 2000.00  23:36 1.059  WFC   80.0  180  r                                
 466196 KEPLER           19:41:59.99 +47:59:59.9 2000.00  23:38 1.059  WFC   80.0  180  r                                
 466197 KEPLER           19:41:59.99 +48:00:00.0 2000.00  23:40 1.059  WFC   80.0  180  r                                
 466198 KEPLER           19:41:59.99 +48:00:00.0 2000.00  23:42 1.059  WFC   79.5  180  r                                
 466199 KEPLER           19:41:59.99 +48:00:00.0 2000.00  23:43 1.059  WFC   80.0  180  r                                
