INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 08 25 07:28

TELESCOPE             INT
DATE                  20050824
OBSERVER/S            I. Todd
PROGRAMME             P8
PROPOSAL REF          P8
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS   Prime  / 43.80
INSTRUMENT/S          WFC

SUNSET (UT)           19:50
EVENING TWILIGHT (UT) 21:05
MORNING TWILIGHT (UT) 05:23
SUNRISE (UT)          06:38
%ILLUM. LUNAR DISK    67
DARK TIME (HRS)       08:18
TWILIGHT TIME (HRS)   02:30
MOONRISE (UT)         22:46
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00  13.4   58    16.8  21.4  153   773.5   13.4  16.2    16.9   58    46 
21:00  13.1   49    12.8  18.6  163   773.9   13.1  16.2    17.0   49    39 
22:00  13.1   46    13.7  17.3  169   774.4   13.1  14.8    16.6   46    36 
23:00  13.5   34    17.1  24.6  110   774.3   13.5  14.9    16.5   34    22 
00:00  14.2   26    13.4  15.0  153   774.6   14.2  15.4    16.4   26    17 
01:00  15.3   17    18.6  23.5  171   774.9   15.3  16.1    16.5   17    11 
02:00  15.1   17    12.9  17.2  201   774.5   15.1  16.2    16.6   17    11 
03:00  15.1   18    19.0  23.4  190   774.2   15.1  16.2    16.7   18    14 
04:00  15.4   18    17.5  21.3  237   773.7   15.4  16.2    16.7   18    14 
05:00  15.1   19    17.6  21.4  211   773.7   15.1  16.2    16.6   19    14 
06:00  15.3   19    11.1  13.8  201   773.7   15.3  16.5    16.8   19    12 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
clear most of night, seeing around 2.5" at start, improving to 1.4" at end

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 468431 Bias              9:30:00.00 +19:59:59.9 2005.645 13:32 1.044  WFC    0.0  180  i                                
 468432 Bias              9:29:59.99 +19:59:59.9 2005.645 13:39 1.052  WFC    0.0  180  i                                
 468433 Bias              0:00:00.00 +00:00:00.0 2005.646 19:27 4.722  WFC    0.0  180  [OIII]5007                       
 468434 Bias              0:00:00.00 +00:00:00.0 2005.646 19:28 4.722  WFC    0.0  180  [OIII]5007                       
 468435 Sky background   15:01:59.99 +29:54:59.9 2000.00  20:06 1.125  WFC    4.1  180  B                                
 468436 Sky background   15:01:59.99 +29:55:10.1 2000.00  20:07 1.128  WFC    5.1  180  B                                
 468437 Sky background   15:02:00.76 +29:54:59.9 2000.00  20:08 1.130  WFC    5.6  180  B                                
 468438 Sky background   15:02:00.77 +29:55:10.0 2000.00  20:09 1.133  WFC    5.1  180  B                                
 468439 Sky background   15:02:00.00 +29:55:00.0 2000.00  20:11 1.136  WFC   10.1  180  V                                
 468440 Sky background   15:01:59.99 +29:55:10.0 2000.00  20:12 1.139  WFC   12.5  180  V                                
 468441 Sky background   15:02:00.77 +29:55:00.2 2000.00  20:13 1.142  WFC   18.1  180  V                                
 468442 Sky background   15:02:00.76 +29:55:09.9 2000.00  20:14 1.145  WFC   24.1  180  V                                
 468443 Sky background   15:01:59.99 +29:54:59.9 2000.00  20:16 1.149  WFC   45.1  180  r                                
 468444 Sky background   15:02:00.00 +29:55:10.0 2000.00  20:18 1.154  WFC   40.1  180  r                                
 468445 Sky background   15:02:00.77 +29:55:00.0 2000.00  20:20 1.158  WFC   59.5  180  r                                
 468446 Sky background   15:02:00.77 +29:55:10.0 2000.00  20:22 1.164  WFC   90.0  180  r                                
 468447 Sky background   15:01:59.99 +29:55:00.0 2000.00  20:24 1.172  WFC  115.0  180  i                                
 468448 Sky background   15:01:59.99 +29:55:10.2 2000.00  20:27 1.180  WFC  155.0  180  i                                
 468449 Sky background   15:02:00.77 +29:55:00.0 2000.00  20:31 1.196  WFC  349.9  180  i                                
 468450 Focus run        16:59:32.20 +07:43:31.9 2000.00  20:44 1.090  WFC   10.0  180  B                                
 468451 Focus run        16:59:32.20 +07:43:32.2 2000.00  20:53 1.098  WFC   10.1  180  B                                
 468452 PG1678+078 B 30s 16:59:32.20 +07:43:32.0 2000.00  20:57 1.105  WFC   29.5  180  B                                
 468453 PG1678+078 V 30s 16:59:32.19 +07:43:32.0 2000.00  20:58 1.107  WFC   30.1  180  V                                
 468454 PG1678+078 r 30s 16:59:32.20 +07:43:32.0 2000.00  21:00 1.109  WFC   30.1  180  r                                
 468455 PG1678+078 i 30s 16:59:32.19 +07:43:31.9 2000.00  21:01 1.111  WFC   30.1  180  i                                
 468456 NGC6822 B 300s   19:44:57.40 -14:47:24.0 2000.00  21:06 1.530  WFC  299.9  180  B                                
 468457 NGC6822 r 300s   19:44:57.40 -14:47:23.9 2000.00  21:11 1.510  WFC  299.4  180  B                                
 468458 NGC6822 B 300s   19:44:57.40 -14:47:23.9 2000.00  21:22 1.478  WFC  299.9  180  B                                
