INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 09 25 07:39

TELESCOPE             INT
DATE                  20050924
OBSERVER/S            Tanvir, Nial
PROGRAMME             M31 halo imaging survey
PROPOSAL REF          P18
TELESCOPE OPERATOR    AC
SUPPORT ASTRONOMER    IS

TEL STATION / FOCUS   Prime  / 43.84
INSTRUMENT/S          WFC

SUNSET (UT)           19:14
EVENING TWILIGHT (UT) 20:25
MORNING TWILIGHT (UT) 05:43
SUNRISE (UT)          06:54
%ILLUM. LUNAR DISK    53
DARK TIME (HRS)       09:18
TWILIGHT TIME (HRS)   02:22
MOONRISE (UT)         23:34
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00  12.2   27    16.9  19.6   51   773.7   12.2  13.9    15.2   27    20 
21:00  11.7   31    21.2  24.4   37   773.9   11.7  13.4    14.9   31    24 
22:00  11.3   30    16.2  18.7   37   774.2   11.3  13.1    14.8   30    24 
23:00  11.3   32    22.4  25.9   24   774.5   11.3  12.8    14.6   32    26 
00:00  11.0   34    24.0  27.1   47   774.5   11.0  12.6    14.2   34    28 
01:00  11.2   28    20.4  24.5   23   774.2   11.2  12.5    14.0   28    24 
02:00  10.9   30    24.7  26.7   15   773.8   10.9  12.4    14.1   30    26 
03:00  10.7   32    25.3  25.7    8   773.6   10.7  11.9    13.8   32    30 
04:00  10.0   37    28.2  29.4   21   773.2   10.0  11.2    13.8   37    32 
05:00  10.0   34    25.8  27.1   30   773.0   10.0  11.2    13.7   34    30 
06:00  11.7   18    23.0  25.9   23   772.7   11.7  12.3    13.2   18    16 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
appeared photometric, but seeing between 1 and 1.5 arcsec most of night.

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 472375 Bias frame       10:59:59.99 +30:00:00.1 2005.730 13:44 1.090  WFC    0.0  180  V                                
 472376 TEST             10:59:59.99 +29:59:59.9 2005.730 13:47 1.094  WFC    2.1  180  V                                
 472377 TEST             10:59:59.99 +29:59:59.9 2005.730 13:49 1.099  WFC    2.1  180  i                                
 472378 Bias              0:00:00.00 +00:00:00.0 2005.730 16:39 4.529  WFC    0.0  180  Halpha                           
 472379 Bias              0:00:00.00 +00:00:00.0 2005.730 19:07 1.000  WFC    0.0  180  Halpha                           
 472380 blank4 V         19:21:29.00 +12:27:48.9 2000.00  19:29 1.063  WFC    6.0  180  V                                
 472381 blank4 V         19:21:29.68 +12:27:58.9 2000.00  19:31 1.061  WFC    8.1  180  V                                
 472382 blank4 V         19:21:30.36 +12:28:09.0 2000.00  19:32 1.060  WFC   11.6  180  V                                
 472383 blank4 V         19:21:29.00 +12:28:09.0 2000.00  19:33 1.059  WFC   15.1  180  V                                
 472384 blank4 V         19:21:30.36 +12:27:48.9 2000.00  19:34 1.058  WFC   20.1  180  V                                
 472385 blank4 i         19:21:30.36 +12:27:49.5 2000.00  19:36 1.057  WFC   30.1  180  i                                
 472386 blank4 i         19:21:29.68 +12:27:59.0 2000.00  19:37 1.056  WFC   40.1  180  i                                
 472387 blank4 i         19:21:28.99 +12:28:08.9 2000.00  19:39 1.054  WFC   60.1  180  i                                
 472388 blank4 i          0:00:00.00 +00:00:00.0 2000.00  19:41 1.053  WFC   74.5  180  i                                
 472389 blank4 i         19:21:29.00 +12:27:49.1 2000.00  19:43 1.052  WFC  110.0  180  i                                
 472390 Focus run        19:21:29.00 +12:27:49.0 2000.00  20:04 1.044  WFC   10.1  180  V                                
 472391 Focus run        19:21:29.00 +12:27:49.2 2000.00  20:18 1.042  WFC   15.1  180  V                                
 472392 Focus run        19:21:28.99 +12:27:49.2 2000.00  20:29 1.042  WFC   10.1  180  V                                
 472393 Focus run        19:21:28.99 +12:27:49.3 2000.00  20:36 1.044  WFC   10.1  180  V                                
 472394 Focus run        19:21:29.00 +12:27:49.4 2000.00  20:43 1.047  WFC   10.1  180  V                                
 472395 grb050922c r 600 21:09:33.40 -08:45:30.9 2000.00  20:51 1.330  WFC  299.9  180  r                                retimed to 300s
 472396 grb050922c r 600 21:09:34.07 -08:45:21.2 2000.00  20:57 1.319  WFC  299.9  180  r                                
 472397 CepOB3 300 i     22:55:43.26 +62:40:13.6 2000.00  21:05 1.367  WFC  299.3  180  i                                
 472398 CepOB3 30 i      22:55:43.26 +62:40:13.5 2000.00  21:11 1.359  WFC   30.1  180  i                                
 472399 CepOB3 5 i       22:55:43.26 +62:40:13.5 2000.00  21:12 1.357  WFC    5.1  180  i                                
 472400 wfsjout_058 i     0:29:49.76 +42:51:15.1 2000.00  21:15 1.556  WFC  899.6  180  i                                
 472401 wfsjout_058 V     0:29:49.75 +42:51:15.2 2000.00  21:31 1.469  WFC  899.5  180  V                                
 472402 wfsjout_059 i     0:28:32.25 +43:45:36.0 2000.00  21:50 1.377  WFC  899.5  180  i                                
 472403 wfsjout_059 V     0:28:32.25 +43:45:36.0 2000.00  22:06 1.316  WFC  899.0  180  V                                
