INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 12 16 06:07

TELESCOPE             INT
DATE                  20051215
OBSERVER/S            J. Irwin
PROGRAMME             Searching for planetary transits and eclipsing binaries in the ONC
PROPOSAL REF          P17          
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    A. Cardwell

TEL STATION / FOCUS   Prime  / 43.6
INSTRUMENT/S          WFC

SUNSET (UT)           18:24
EVENING TWILIGHT (UT) 19:40
MORNING TWILIGHT (UT) 06:33
SUNRISE (UT)          07:50
%ILLUM. LUNAR DISK      1
DARK TIME (HRS)       10:53
TWILIGHT TIME (HRS)   02:33
MOONRISE (UT)         Moon up all night
MOONSET (UT)          Moon up all night

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00  -1.3   94     9.5  10.5   11   764.6   -1.3   7.7     6.7   94    54 
20:00  -0.9   96     8.6   9.2  138   765.0   -0.9   7.4     6.9   96    55 
21:00  -1.3   97     7.7   8.1  131   765.4   -1.3   7.1     6.9   97    56 
22:00  -1.1   90     5.9   6.8  142   765.6   -1.1   6.8     7.0   90    55 
23:00  -1.4   94     6.7   8.0   63   765.6   -1.4   6.7     7.0   94    56 
00:00  -1.1  100    10.4  11.1  144   765.4   -1.1   6.3     7.0  100    62 
01:00  -2.4  100     3.2   3.6  132   765.1   -2.4   6.1     7.1  100    63 
02:00  -1.9   73     0.0   0.3  333   765.0   -1.9   6.2     7.2   73    55 
03:00  -0.7   40     0.0   0.1    6   765.0   -0.7   6.7     7.1   40    49 
04:00  -0.6   52     5.2   5.5  133   764.9   -0.6   6.6     7.0   52    43 
05:00  -1.0   84     4.1   4.9  142   764.9   -1.0   6.1     7.1   84    47 
06:00  -1.1   85     7.0   7.8  165   765.1   -1.1   5.6     7.1   85    55 

TIME LOST weather           11:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Poor, very humid first half of night, cloudy

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 487448 Bias             16:32:12.00 +05:21:34.0 2000.00  14:20 1.293  WFC    0.0  180  B                                
 487449 Bias              0:00:00.00 +00:00:00.0 2000.00  15:32 4.760  WFC    0.0  180  Halpha                           
 487450 Bias              0:00:00.00 +00:00:00.0 2000.00  15:32 4.760  WFC    0.0  180  Halpha                           
 487451 Bias              0:00:00.00 +00:00:00.0 2000.00  15:33 4.760  WFC    0.0  180  Halpha                           
 487452 Bias              0:00:00.00 +00:00:00.0 2000.00  15:33 4.760  WFC    0.0  180  Halpha                           
 487453 Bias              0:00:00.00 +00:00:00.0 2000.00  15:34 4.760  WFC    0.0  180  Halpha                           
 487454 Bias              0:00:00.00 +00:00:00.0 2000.00  15:34 4.760  WFC    0.0  180  Halpha                           
 487455 Bias              0:00:00.00 +00:00:00.0 2000.00  15:35 4.760  WFC    0.0  180  Halpha                           
 487456 Bias              0:00:00.00 +00:00:00.0 2000.00  15:36 4.760  WFC    0.0  180  Halpha                           
 487457 Bias              0:00:00.00 +00:00:00.0 2000.00  15:36 4.760  WFC    0.0  180  Halpha                           
 487458 Bias              0:00:00.00 +00:00:00.0 2000.00  15:37 4.760  WFC    0.0  180  Halpha                           
 487459 Bias              0:00:00.00 +00:00:00.0 2000.00  15:37 4.760  WFC    0.0  180  Halpha                           
 487460 Bias              0:00:00.00 +00:00:00.0 2000.00  15:38 4.760  WFC    0.0  180  Halpha                           
 487461 Bias              0:00:00.00 +00:00:00.0 2000.00  15:39 4.760  WFC    0.0  180  Halpha                           
 487462 Bias              0:00:00.00 +00:00:00.0 2000.00  15:39 4.760  WFC    0.0  180  Halpha                           
 487463 Bias              0:00:00.00 +00:00:00.0 2000.00  15:40 4.760  WFC    0.0  180  Halpha                           
 487464 Dome flat 1       0:00:00.00 +00:00:00.0 2000.00  19:35 1.000  WFC    2.1  180  r                                
 487465 Dome flat 2       0:00:00.00 +00:00:00.0 2000.00  19:36 1.000  WFC    2.5  180  r                                
 487466 Dome flat 3       0:00:00.00 +00:00:00.0 2000.00  19:36 1.000  WFC    4.1  180  r                                
 487467 Dome flat 4       0:00:00.00 +00:00:00.0 2000.00  19:37 1.000  WFC    5.1  180  r                                
 487468 Dome flat 5       0:00:00.00 +00:00:00.0 2000.00  19:38 1.000  WFC    5.5  180  r                                
 487469 Dome flat 6       0:00:00.00 +00:00:00.0 2000.00  19:39 1.000  WFC    7.1  180  r                                
