INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2005 12 31 00:19

TELESCOPE             INT
DATE                  20051229
OBSERVER/S            J. Fabregat, J. Remis
PROGRAMME             Search of Be star in the COROT exoplanet fields
PROPOSAL REF          N2                 
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    Richard Parker

TEL STATION / FOCUS   Prime  / 43.63
INSTRUMENT/S          WFC

SUNSET (UT)           18:31
EVENING TWILIGHT (UT) 19:47
MORNING TWILIGHT (UT) 06:40
SUNRISE (UT)          07:56
%ILLUM. LUNAR DISK    2
DARK TIME (HRS)       10:53
TWILIGHT TIME (HRS)   02:32
MOONRISE (UT)         07:25
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00   7.8   15    22.7  28.0   39   773.5    7.8   8.5     8.2   15    13 
20:00   7.7   16    30.0  33.0   44   773.7    7.7   8.8     8.6   16    11 
21:00   7.0   20    25.4  27.8   44   774.2    7.0   7.8     8.3   20    19 
22:00   6.8   25     9.2  12.1   90   774.3    6.8   7.6     8.0   25    22 
23:00   7.1   25     9.5  14.6   47   774.3    7.1   8.0     8.2   25    21 
00:00   7.9   24    19.2  21.4   74   774.3    7.9   8.4     8.3   24    21 
01:00   8.7   20     8.8  10.1   74   774.1    8.7   8.8     8.3   20    20 
02:00   7.7   25     8.4  11.8  136   773.8    7.7   8.2     8.3   25    21 
03:00   7.9   24     7.4   8.8   95   773.8    7.9   8.5     8.4   24    20 
04:00   8.6   20     3.0   3.2   86   773.7    8.6   8.8     8.2   20    20 
05:00   8.4   21     7.3   8.4   20   773.7    8.4   8.5     7.9   21    19 
06:00   8.3   21     9.8  10.6   17   773.3    8.3   7.7     7.9   21    21 
07:00   7.7   23    14.9  16.9   42   773.5    7.7   8.7     8.3   23    19 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Good

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 488621 Bias              0:00:00.00 +00:00:00.0 2005.993 14:20 1.142  WFC    0.0  180  r                                
 488622 Bias frame        0:00:00.00 +00:00:00.0 2000.00  18:36 1.922  WFC    0.0  180  r                                
 488623 Bias              0:00:00.00 +00:00:00.0 2000.00  18:39 1.922  WFC    0.0  180  r                                
 488624 Bias              0:00:00.00 +00:00:00.0 2000.00  18:40 1.922  WFC    0.0  180  r                                
 488625 Bias              0:00:00.00 +00:00:00.0 2000.00  18:43 1.922  WFC    0.0  180  r                                
 488626 Bias              0:00:00.00 +00:00:00.0 2000.00  18:44 1.922  WFC    0.0  180  r                                
 488627 flat u 10s        0:59:59.99 +00:06:59.9 2000.00  18:54 1.160  WFC   10.1  180  stromgren u                      
 488628 flat v 30s        0:59:59.99 +00:07:00.0 2000.00  18:57 1.157  WFC   30.1  180  stromgren v                      
 488629 flat b 60         0:59:59.99 +00:07:00.0 2000.00  18:59 1.155  WFC   60.0  180  stromgren b                      
 488630 flat y 120        1:00:00.00 +00:07:00.0 2000.00  19:02 1.152  WFC  120.0  180  stromgren y                      
 488631 flat r 60         0:59:59.99 +00:06:59.9 2000.00  19:05 1.150  WFC   60.1  180  r                                
 488632 Focus run         1:00:00.00 +00:07:00.0 2000.00  19:15 1.145  WFC   10.1  180  r                                
 488633 ngc752 r 5        1:57:00.00 +37:47:00.0 2000.00  19:51 1.026  WFC    5.0  180  r                                
 488634 ngc752 ha 60      1:57:00.00 +37:46:59.8 2000.00  19:53 1.024  WFC   60.1  180  Halpha                           
 488635 ngc752 u 60       1:57:00.00 +37:47:00.0 2000.00  19:56 1.023  WFC   59.5  180  stromgren u                      
 488636 ngc752 v 30       1:56:59.99 +37:47:00.2 2000.00  19:59 1.021  WFC   30.1  180  stromgren v                      
 488637 ngc752 b 20       1:57:00.00 +37:46:59.8 2000.00  20:01 1.021  WFC   20.1  180  stromgren b                      
 488638 ngc752 y 20       1:56:59.99 +37:46:59.8 2000.00  20:02 1.020  WFC   20.1  180  stromgren y                      
 488639 ngc1039 r 5       2:42:00.00 +42:44:59.9 2000.00  20:09 1.064  WFC    5.1  180  r                                
 488640 ngc1039 ha 60     2:42:00.00 +42:45:00.0 2000.00  20:11 1.062  WFC   60.1  180  Halpha                           
 488641 ngc1039 u 80      2:42:00.00 +42:44:59.9 2000.00  20:13 1.060  WFC   80.0  180  stromgren u                      
 488642 ngc1039 v 40      2:42:00.00 +42:45:00.0 2000.00  20:16 1.057  WFC   39.5  180  stromgren v                      
