INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 01 03 07:20

TELESCOPE             INT
DATE                  20060102
OBSERVER/S            falony sarah
PROGRAMME             Dust Dynamics and Dark matter in ellipticals
PROPOSAL REF          N4              
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 43.6
INSTRUMENT/S          WFC

SUNSET (UT)           18:34
EVENING TWILIGHT (UT) 19:50
MORNING TWILIGHT (UT) 06:41
SUNRISE (UT)          07:57
%ILLUM. LUNAR DISK    11
DARK TIME (HRS)       10:51
TWILIGHT TIME (HRS)   02:32
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          21:23

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00   7.2   13    10.5  13.8   46   771.6    7.2   8.8     9.3   13    10 
20:00   7.1   11     8.9  15.9   84   771.6    7.1   8.3     9.0   11     8 
21:00   6.1   11    18.1  22.6   92   771.8    6.1   7.6     8.5   11     8 
22:00   6.0   10     8.2  13.4   70   771.9    6.0   7.7     8.7   10     9 
23:00   6.2   11    14.0  19.0   50   772.0    6.2   7.6     8.5   11     9 
00:00   6.2   12     8.4  12.3   73   771.7    6.2   7.2     8.3   12    10 
01:00   7.1   11    10.7  17.5   63   771.3    7.1   7.3     8.2   11     9 
02:00   7.2   10     8.8  11.5   95   771.0    7.2   7.7     8.5   10     9 
03:00   7.1   15    16.0  18.6   39   771.0    7.1   7.9     8.5   15    14 
04:00   7.2   13    19.9  21.1   17   770.7    7.2   8.3     8.6   13    12 
05:00   6.8   16    17.6  20.1   21   770.4    6.8   7.6     8.5   16    14 
06:00   6.7   13    12.3  13.2    6   770.5    6.7   7.7     8.5   13    13 
07:00   6.2   15    16.9  18.5  346   770.3    6.2   7.5     8.2   15    13 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):


COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 489287 Bias             19:30:00.00 +20:00:00.0 2006.004 14:46 1.035  WFC    0.0  180  B                                
 489288 AGB              19:29:59.99 +19:59:59.9 2006.004 14:51 1.040  WFC    2.0  180  B                                
 489289 AGB              19:29:59.99 +19:59:59.9 2006.004 14:53 1.041  WFC    2.1  180  B                                
 489290 AGB              19:30:00.00 +19:59:59.9 2006.004 14:54 1.042  WFC    5.1  180  B                                
 489291 Bias              0:00:00.00 +00:00:00.0 2006.004 17:53 1.000  WFC    0.0  180  Halpha                           
 489292 Bias              0:00:00.00 +00:00:00.0 2006.004 17:54 1.000  WFC    0.0  180  Halpha                           
 489293 Bias              0:00:00.00 +00:00:00.0 2006.004 17:54 1.000  WFC    0.0  180  Halpha                           
 489294 Bias              0:00:00.00 +00:00:00.0 2006.004 17:55 1.000  WFC    0.0  180  Halpha                           
 489295 Bias              0:00:00.00 +00:00:00.0 2006.004 17:55 1.000  WFC    0.0  180  Halpha                           
 489296 Bias              0:00:00.00 +00:00:00.0 2006.004 17:56 1.000  WFC    0.0  180  Halpha                           
 489297 Bias              0:00:00.00 +00:00:00.0 2006.004 17:57 1.000  WFC    0.0  180  Halpha                           
 489298 Bias              0:00:00.00 +00:00:00.0 2006.004 17:57 1.000  WFC    0.0  180  Halpha                           
 489299 skyflat V        23:48:19.99 +00:57:20.8 2000.00  18:30 1.134  WFC   10.0  180  V                                
 489300 skyflat B        23:48:20.66 +00:57:21.0 2000.00  18:38 1.138  WFC    3.1  180  B                                
 489301 skyflat B        23:48:20.66 +00:57:20.9 2000.00  18:44 1.142  WFC    8.6  180  B                                
 489302 skyflat B        23:48:20.66 +00:57:10.7 2000.00  18:45 1.142  WFC    8.6  180  B                                
 489303 skyflat B        23:48:20.66 +00:57:30.9 2000.00  18:46 1.143  WFC    6.1  180  B                                
 489304 skyflat B        23:48:20.00 +00:57:20.9 2000.00  18:52 1.148  WFC    4.1  180  B                                
 489305 skyfat B         23:48:20.66 +00:57:30.8 2000.00  18:52 1.149  WFC    7.1  180  B                                
 489306 skyfat B         23:48:20.66 +00:57:10.8 2000.00  18:53 1.150  WFC    7.1  180  B                                
 489307 skyfat B         23:48:19.33 +00:57:10.9 2000.00  18:54 1.151  WFC    6.6  180  B                                
 489308 skyflat B        23:48:19.99 +00:57:31.0 2000.00  18:55 1.152  WFC   10.1  180  B                                
 489309 skyflat B        23:48:20.66 +00:57:20.9 2000.00  18:56 1.153  WFC   15.1  180  B                                
 489310 skyflat B        23:48:20.33 +00:57:35.9 2000.00  18:57 1.154  WFC   20.1  180  B                                
 489311 skyflat V        23:48:20.32 +00:57:36.0 2000.00  18:59 1.155  WFC   20.1  180  V                                
 489312 skyflat V        23:48:20.66 +00:57:31.0 2000.00  19:00 1.156  WFC   25.1  180  V                                
 489313 skyflat V        23:48:20.66 +00:57:20.8 2000.00  19:01 1.158  WFC   32.1  180  V                                
 489314 skyflat V        23:48:19.99 +00:57:30.9 2000.00  19:02 1.159  WFC   45.1  180  V                                
 489315 skyflat R        23:48:20.00 +00:57:30.9 2000.00  19:04 1.161  WFC   60.1  180  R                                
 489316 skyflat R        23:48:20.66 +00:57:31.0 2000.00  19:06 1.163  WFC   60.1  180  R                                
 489317 skyflat R        23:48:20.66 +00:57:21.0 2000.00  19:07 1.166  WFC   80.1  180  R                                
 489318 skyflat R        23:48:19.99 +00:57:31.0 2000.00  19:09 1.169  WFC   90.0  180  R                                
 489319 skyflat R        23:48:20.00 +00:57:31.0 2000.00  19:12 1.172  WFC   90.0  180  R                                
 489320 Focus run         1:54:34.50 -06:46:00.0 2000.00  19:29 1.259  WFC   10.1  180  R                                
 489321 F-16 R            1:54:34.50 -06:46:00.0 2000.00  19:35 1.250  WFC   30.1  180  I                                this is F-16 I!
 489322 F-16 R            1:54:34.49 -06:46:00.0 2000.00  19:37 1.248  WFC   30.1  180  R                                landolt
 489323 F-16 V            1:54:34.49 -06:46:00.0 2000.00  19:40 1.245  WFC   60.0  180  V                                
 489324 F-16 B            1:54:34.49 -06:45:59.9 2000.00  19:42 1.243  WFC   60.0  180  B                                
 489325 F-16 U            1:54:34.50 -06:45:59.9 2000.00  19:44 1.241  WFC   60.1  180  U                                
 489326 92-322 U          0:53:46.89 +00:47:34.9 2000.00  19:47 1.142  WFC   60.0  180  U                                landolt
 489327 92-322 B          0:53:46.89 +00:47:35.0 2000.00  19:49 1.144  WFC   60.0  180  B                                
 489328 92-322 V          0:53:46.90 +00:47:35.0 2000.00  19:51 1.145  WFC   60.1  180  V                                
 489329 92-322 R          0:53:46.90 +00:47:35.0 2000.00  19:53 1.147  WFC   40.0  180  R                                saturated
 489330 92-322 I          0:53:46.89 +00:47:34.9 2000.00  19:56 1.149  WFC   15.1  180  I                                
