INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 01 19 07:59

TELESCOPE             INT
DATE                  20060118
OBSERVER/S            Richard Parker
PROGRAMME             Discretionary Night
PROPOSAL REF          Discretionary Night            
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 43.60
INSTRUMENT/S          WFC

SUNSET (UT)           18:46
EVENING TWILIGHT (UT) 20:01
MORNING TWILIGHT (UT) 06:42
SUNRISE (UT)          07:57
%ILLUM. LUNAR DISK    82
DARK TIME (HRS)       10:41
TWILIGHT TIME (HRS)   02:30
MOONRISE (UT)         22:16
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00   1.8   76     0.0   0.0  325   769.7    1.8   6.6     7.2   76    63 
20:00   0.1   93     0.0   0.0  324   770.0    0.1   4.6     6.9   93    76 
21:00   0.5   88     0.0   0.0  323   770.1    0.5   5.3     7.0   88    71 
22:00   1.6   73     0.0   0.0  323   770.0    1.6   4.3     6.6   73    62 
23:00   2.1   66     0.0   0.0  324   770.3    2.1   4.5     6.5   66    57 
00:00   2.3   67     0.0   0.0  325   769.5    2.3   3.3     5.7   67    62 
01:00   1.7   79     0.0   0.0  324   769.2    1.7   2.9     5.1   79    76 
02:00   1.9   82     0.0   0.0  321   769.1    1.9   3.8     5.7   82    75 
03:00   2.3   72     0.0   0.0  315   769.0    2.3   3.7     5.4   72    67 
04:00   2.8   58     0.0   0.0  311   768.7    2.8   4.3     5.4   58    51 
05:00   3.1   54     0.0   0.0  308   768.3    3.1   4.2     5.2   54    50 
06:00   1.9   67     0.0   0.0  307   768.1    1.9   2.7     5.4   67    71 
07:00   2.2   51     0.0   0.0  307   768.3    2.2   2.5     5.1   51    53 

TIME LOST weather           02:00
TIME LOST Technical         00:30
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
High humidity at start of night, poor seeing (2arcsec) all night

COMMENTS (causes of time lost, setup information eg CCD windows):
Time lost due to high humidity and the SYS> prompt screen froze before skyflats could be taken



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 490383 Bias                                              12:16        WFC    0.0                                        
 490384 aux               0:00:00.00 +00:00:00.0 2006.048 13:08 1.140  IDS    0.0  244                1.0  22.8 6000.6   
 490385 Bias             23:00:00.00 +00:00:00.0 2000.00  14:49 1.235  WFC    0.0  180  R                                
 490386 Bias              0:00:00.00 +00:00:00.0 2000.00  14:55 1.218  WFC    0.0  180  R                                
 490387 Bias              0:00:00.00 +00:00:00.0 2000.00  14:58 2.469  WFC    0.0  180  V                                
 490388 Bias              0:00:00.00 +00:00:00.0 2000.00  15:03 4.485  WFC    0.0  180  V                                
 490389 Bias              4:05:36.71 +00:10:56.5 2000.00  21:56 1.149  WFC    0.0  180  V                                
 490390 Focus run         5:57:07.49 +00:01:11.0 2000.00  22:50 1.148  WFC   20.1  180  r                                
 490391 GK_Per 60s Ha     3:31:11.82 +43:54:16.7 2000.00  23:46 1.270  WFC   59.5  180  Halpha                           
 490392 GK_Per 1800s Ha   3:31:11.82 +43:54:16.8 2000.00  23:52 1.341  WFC 1799.0  180  Halpha                           
 490393 GK_Per 1800s Ha   3:31:17.37 +43:55:16.7 2000.00  00:30 1.514  WFC 1799.0  180  Halpha                           
 490394 JLTNTO 90s r     12:20:01.50 +30:03:46.0 2000.00  01:25 1.712  WFC   90.0  180  r                                
 490395 JLTNTO 90s r     12:20:01.49 +30:03:45.9 2000.00  01:45 1.558  WFC   90.0  180  r                                
 490396 JLTNO 90s r      12:20:01.50 +30:03:46.0 2000.00  02:05 1.436  WFC   90.0  180  r                                
 490397 JLTNO 90s r      12:20:01.50 +30:03:45.9 2000.00  02:25 1.336  WFC   89.5  180  r                                
 490398 JLTNO 90s r      12:20:01.50 +30:03:45.9 2000.00  02:35 1.293  WFC   90.0  180  r                                
 490399 JLTNO 90s r      12:20:01.50 +30:03:46.0 2000.00  02:45 1.257  WFC   90.0  180  r                                
 490400 JLTNO 90s r      12:20:01.49 +30:03:45.9 2000.00  02:55 1.224  WFC   90.0  180  r                                
 490401 JLTNO 90s r      12:20:01.50 +30:03:46.0 2000.00  03:05 1.192  WFC   90.0  180  r                                
 490402 JLTNO 90s r      12:20:01.49 +30:03:45.9 2000.00  03:15 1.165  WFC   90.0  180  r                                
 490403 JLTNO 90s r      12:20:01.50 +30:03:45.9 2000.00  03:25 1.141  WFC   90.0  180  r                                
 490404 JLTNO 90s r      12:20:01.50 +30:03:45.9 2000.00  03:35 1.118  WFC   90.0  180  r                                
 490405 JLTNO 90s r      12:20:01.50 +30:03:46.0 2000.00  03:45 1.098  WFC   90.0  180  r                                
 490406 JLTNO 90s r      12:20:01.49 +30:03:45.9 2000.00  03:55 1.081  WFC   90.0  180  r                                
