INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 02 27 07:23

TELESCOPE             INT
DATE                  20060226
OBSERVER/S            M.T. Murphy
PROGRAMME             Host galaxies of the strong CaII quasar absorbers at low redshift
PROPOSAL REF          P9
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS   Prime  / 43.65
INSTRUMENT/S          WFC

SUNSET (UT)           19:16
EVENING TWILIGHT (UT) 20:27
MORNING TWILIGHT (UT) 06:21
SUNRISE (UT)          07:32
%ILLUM. LUNAR DISK    2
DARK TIME (HRS)       09:54
TWILIGHT TIME (HRS)   02:22
MOONRISE (UT)         07:17
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00   4.4   76     0.6   0.9   48   769.0    4.4   6.6     9.2   76    71 
21:00   4.3   77     1.0   1.4   88   769.3    4.3   6.7     9.0   77    72 
22:00   4.3   76     0.7   1.2   14   769.5    4.3   6.5     8.6   76    70 
23:00   4.8   69     0.7   0.9   18   769.8    4.8   6.3     8.2   69    70 
00:00   4.9   68     0.5   0.8    6   769.5    4.9   6.4     8.4   68    65 
01:00   4.5   71     0.3   0.5  356   769.1    4.5   6.1     8.3   71    66 
02:00   5.1   63     0.2   0.4  353   768.6    5.1   5.9     8.1   63    64 
03:00   4.9   57     0.5   1.0  355   767.9    4.9   6.1     8.1   57    57 
04:00   4.9   52     0.8   1.2  339   767.2    4.9   6.0     7.7   52    50 
05:00   4.5   53     0.8   1.3  352   767.0    4.5   5.8     7.6   53    50 
06:00   4.4   50     0.9   1.6    1   766.7    4.4   5.7     7.8   50    47 
07:00   3.5   61     1.2   2.1  333   766.3    3.5   4.9     6.7   61    56 

TIME LOST weather           03:00
TIME LOST Technical         01:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Night started transparent with some cirrus. Cloud got thicker between 1am and 4am. Percentage of data lost is ~30%.

COMMENTS (causes of time lost, setup information eg CCD windows):
Weather. Also, some (4 or 5) exposures were lost due to trailing of the star images. This occurred once while not guiding but the other times it was during guiding!



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 493177 Bias frame        0:00:00.00 +59:59:59.8 2006.155 14:02 1.180  WFC    0.0  180  B                                
 493178 bias              0:00:00.00 +00:00:00.0 2006.155 19:01 1.000  WFC    0.0  180  B                                
 493179 bias              0:00:00.00 +00:00:00.0 2006.155 19:01 1.000  WFC    0.0  180  B                                
 493180 bias              0:00:00.00 +00:00:00.0 2006.155 19:02 1.000  WFC    0.0  180  B                                
 493181 bias              0:00:00.00 +00:00:00.0 2006.155 19:03 1.000  WFC    0.0  180  B                                
 493182 bias              0:00:00.00 +00:00:00.0 2006.155 19:03 1.000  WFC    0.0  180  B                                
 493183 bias              0:00:00.00 +00:00:00.0 2006.155 19:04 1.000  WFC    0.0  180  B                                
 493184 bias              0:00:00.00 +00:00:00.0 2006.155 19:04 1.000  WFC    0.0  180  B                                
 493185 bias              0:00:00.00 +00:00:00.0 2006.155 19:05 1.000  WFC    0.0  180  B                                
 493186 bias              0:00:00.00 +00:00:00.0 2006.155 19:06 1.000  WFC    0.0  180  B                                
 493187 bias              0:00:00.00 +00:00:00.0 2006.155 19:06 1.000  WFC    0.0  180  B                                
 493188 bias              0:00:00.00 +00:00:00.0 2006.155 19:07 1.000  WFC    0.0  180  B                                
 493189 flat B 1          2:57:59.99 -00:06:00.0 2000.00  19:31 1.279  WFC    1.5  180  B                                
 493190 flat B 2          2:58:00.66 -00:05:49.9 2000.00  19:33 1.284  WFC    2.1  180  B                                
 493191 flat B 3          2:58:00.66 -00:06:10.0 2000.00  19:33 1.287  WFC    3.1  180  B                                
 493192 flat B 4          2:57:59.33 -00:05:49.9 2000.00  19:35 1.290  WFC    4.1  180  B                                
 493193 flat B 5          2:57:59.33 -00:06:09.9 2000.00  19:36 1.294  WFC    5.1  180  B                                
 493194 flat i 1          2:58:00.00 -00:05:59.9 2000.00  19:37 1.298  WFC    5.1  180  i                                
 493195 flat i 2          2:58:00.66 -00:05:50.0 2000.00  19:38 1.301  WFC    6.1  180  i                                
 493196 flat i 3          2:58:00.66 -00:06:10.0 2000.00  19:39 1.304  WFC    8.1  180  i                                
 493197 flat i 4          2:57:59.33 -00:05:50.1 2000.00  19:40 1.307  WFC   10.1  180  i                                
 493198 flat i 5          2:57:59.33 -00:06:10.0 2000.00  19:41 1.311  WFC   13.1  180  i                                
 493199 flat g 1          2:57:59.99 -00:05:59.9 2000.00  19:43 1.315  WFC   14.5  180  g                                
 493200 flat g 2          2:58:00.66 -00:05:50.0 2000.00  19:44 1.320  WFC   18.1  180  g                                
 493201 flat g 3          2:57:58.99 -00:06:14.8 2000.00  19:45 1.324  WFC   23.1  180  g                                
 493202 Focus run         4:53:18.80 -00:05:01.9 2000.00  19:53 1.143  WFC   14.6  180  r                                
 493203 Landolt g 5       6:51:56.00 -00:20:34.9 2000.00  20:02 1.251  WFC    5.1  180  g                                
 493204 Landolt B 5       6:51:56.00 -00:20:35.0 2000.00  20:03 1.247  WFC    5.1  180  B                                
 493205 Landolt r 5       6:51:55.99 -00:20:34.9 2000.00  20:04 1.245  WFC    4.5  180  r                                
 493206 Landolt i 5       6:51:55.99 -00:20:34.9 2000.00  20:06 1.241  WFC    5.1  180  i                                
 493207 0811+4220 i 600   8:11:59.70 +42:20:30.9 2000.00  20:09 1.227  WFC  599.1  180  i                                
 493208 0811+4220 i 600   8:11:54.30 +42:19:31.1 2000.00  20:21 1.195  WFC  599.7  180  i                                
 493209 0811+4220 g 500   8:11:54.29 +42:20:31.1 2000.00  20:34 1.167  WFC  499.9  180  g                                
 493210 0811+4220 B 500   8:11:54.29 +42:20:30.9 2000.00  20:44 1.147  WFC  499.2  180  B                                
 493211 0811+4220 B 500   8:11:56.99 +42:20:01.0 2000.00  20:54 1.127  WFC  499.9  180  B                                
 493212 Landolt B 5       6:51:56.00 -00:20:34.7 2000.00  21:05 1.156  WFC    4.6  180  B                                
 493213 Landolt g 5       6:51:55.99 -00:20:35.0 2000.00  21:06 1.155  WFC    5.1  180  g                                
 493214 Landolt r 5       6:51:55.99 -00:20:35.0 2000.00  21:07 1.154  WFC    5.1  180  r                                
 493215 Landolt i 5       6:51:56.00 -00:20:35.0 2000.00  21:08 1.153  WFC    5.1  180  i                                
 493216 0833+4401 i 600   8:33:52.21 +44:01:55.9 2000.00  21:11 1.140  WFC  599.8  180  i                                
 493217 0833+4401 i 600   8:33:54.99 +44:01:26.1 2000.00  21:23 1.121  WFC  599.8  180  i                                
 493218 Landolt i 5       6:51:56.00 -00:20:35.3 2000.00  21:35 1.144  WFC    5.1  180  i                                
 493219 Landolt r 5       6:51:56.00 -00:20:34.9 2000.00  21:36 1.144  WFC    5.1  180  r                                
 493220 Landolt g 5       6:51:55.99 -00:20:34.9 2000.00  21:37 1.144  WFC    5.1  180  g                                
