INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 04 26 06:45

TELESCOPE             INT
DATE                  20060425
OBSERVER/S            valdivielso
PROGRAMME             young brown dwarfs
PROPOSAL REF          C7             
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS   Prime  / 43.72
INSTRUMENT/S          WFC

SUNSET (UT)           19:50
EVENING TWILIGHT (UT) 21:07
MORNING TWILIGHT (UT) 05:11
SUNRISE (UT)          06:28
%ILLUM. LUNAR DISK    5
DARK TIME (HRS)       08:04
TWILIGHT TIME (HRS)   02:34
MOONRISE (UT)         05:25
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00   9.4   31    27.8  34.2  349   769.6    9.4  12.7    11.2   31    26 
21:00   8.0   45    30.0  31.5    7   769.8    8.0  12.5    11.3   45    33 
22:00   7.3   50    25.2  31.7   29   770.3    7.3   9.9    11.1   50    41 
23:00   7.3   49    35.9  40.6   35   770.5    7.3   9.1    10.9   49    43 
00:00   7.5   45    34.3  36.7   35   770.8    7.5   8.9    10.7   45    39 
01:00   7.3   42    28.8  31.9   26   770.7    7.3   9.1    10.4   42    37 
02:00   7.3   38    27.6  31.1   21   770.4    7.3   8.6    10.3   38    37 
03:00   8.5   15    31.2  33.4    0   770.1    8.5   9.1    10.2   15    16 
04:00   8.8   13    29.6  33.6   24   769.7    8.8   9.2    10.2   13    10 
05:00   8.2   19    22.5  30.1   35   769.5    8.2   9.1    10.3   19    14 
06:00   8.0   26    30.6  31.8   33   769.5    8.0   9.0    10.1   26    25 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
nice weather

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 499676 Bias                                              13:18        WFC    0.0       r                                
 499677 Bias frame                                        13:19        WFC    0.0       r                                
 499678 Bias                                              13:23        WFC    0.0       r                                
 499679 Bias                                              13:35        WFC    0.0       z                                
 499680 Bias frame                                        13:36        WFC    0.0       z                                
 499681 Bias frame                                        13:44        WFC    0.0       z                                
 499682 Bias                                              13:58        WFC    0.0       z                                
 499683 Bias frame                                        14:14        WFC    0.0       r                                
 499684 TEST                                              14:19        WFC    5.7       r                                
 499685 TEST                                              14:28        WFC    2.9       r                                
 499686 Bias frame        0:00:00.00 +05:43:46.4 1858.879 14:54 0.000  WFC    0.0    0  z                                
 499687 Bias frame        0:00:00.00 +05:43:46.4 1858.879 14:57 0.000  WFC    0.0    0  z                                
 499688 Bias              5:49:59.99 +15:00:00.1 2000.00  15:49 1.059  WFC    0.0  180  r                                
 499689 Bias              0:00:00.00 +00:00:00.0 2000.00  16:52 4.251  WFC    0.0  180  z                                
 499690 Focus run         6:09:39.99 +20:29:14.9 2000.00  20:36 1.482  WFC    9.5  180  z                                focus 43.7
 499691 ngc2175 Z         6:09:39.99 +20:29:14.9 2000.00  20:42 1.552  WFC  299.9  180  z                                
 499692 ngc2175 Z norte   0:00:00.00 +00:00:00.0 2000.00  20:51 1.619  WFC  299.9  180  z                                offset of 30arcsec
 499693 ngc2175 Z sur     6:09:39.99 +20:28:45.0 2000.00  20:59 1.684  WFC  299.9  180  z                                
 499694 ngc2175 Z este    6:09:41.99 +20:29:14.8 2000.00  21:06 1.744  WFC  299.9  180  z                                
 499695 ngc2175 Z oeste   6:09:37.99 +20:29:15.0 2000.00  21:13 1.820  WFC  299.9  180  z                                
 499696 Bias              8:53:36.00 -03:29:32.0 2000.00  21:22 1.288  WFC    0.0  180  z                                
 499697 Bias              8:53:36.00 -03:29:31.9 2000.00  21:23 1.290  WFC    0.0  180  z                                
 499698 Bias              8:53:36.00 -03:29:31.9 2000.00  21:23 1.291  WFC    0.0  180  z                                
 499699 Bias              8:53:36.00 -03:29:32.0 2000.00  21:24 1.293  WFC    0.0  180  z                                
 499700 Bias              8:53:36.00 -03:29:32.0 2000.00  21:24 1.294  WFC    0.0  180  z                                
 499701 Bias              8:53:35.99 -03:29:31.9 2000.00  21:25 1.296  WFC    0.0  180  z                                
 499702 Bias              8:53:36.00 -03:29:32.0 2000.00  21:26 1.297  WFC    0.0  180  z                                
 499703 Bias              8:53:35.99 -03:29:31.9 2000.00  21:26 1.299  WFC    0.0  180  z                                
 499704 Bias              8:53:35.99 -03:29:32.0 2000.00  21:27 1.300  WFC    0.0  180  z                                
 499705 Bias              8:53:35.99 -03:29:32.0 2000.00  21:27 1.302  WFC    0.0  180  z                                
 499706 Bias              8:53:36.00 -03:29:32.0 2000.00  21:28 1.304  WFC    0.0  180  z                                
 499707 Bias              8:53:35.99 -03:29:31.9 2000.00  21:29 1.305  WFC    0.0  180  z                                
 499708 Bias              8:53:35.99 -03:29:31.9 2000.00  21:29 1.307  WFC    0.0  180  z                                
 499709 Bias              8:53:36.00 -03:29:31.9 2000.00  21:30 1.308  WFC    0.0  180  z                                
 499710 Bias              8:53:36.00 -03:29:32.0 2000.00  21:30 1.310  WFC    0.0  180  z                                
 499711 lhs2065 Z         8:53:35.99 -03:29:31.8 2000.00  21:38 1.335  WFC  120.0  180  z                                
 499712 lhs2065 Z norte   8:53:35.99 -03:29:02.0 2000.00  21:42 1.349  WFC  120.0  180  z                                offset of 30arcsec
 499713 lhs2065 Z sur     8:53:35.99 -03:20:02.1 2000.00  21:46 1.360  WFC  120.0  180  z                                
