INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 05 08 07:24

TELESCOPE             INT
DATE                  20060507
OBSERVER/S            D. Faria
PROGRAMME             Disentagling the outer part of the Draco dSph 
PROPOSAL REF          P5                 
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    RP

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           19:58
EVENING TWILIGHT (UT) 21:17
MORNING TWILIGHT (UT) 04:58
SUNRISE (UT)          06:18
%ILLUM. LUNAR DISK    75
DARK TIME (HRS)       07:41
TWILIGHT TIME (HRS)   02:39
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          03:50

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00  11.7    4    10.9  12.5  106   769.2   11.7  13.4    11.4    4     6 
21:00  11.3    6     3.5   4.9  152   769.5   11.3  12.4    11.8    6     2 
22:00  10.0    0    12.0  12.5   29   769.8   10.0  11.6    11.4    0     0 
23:00  10.7    1     7.7   9.2   39   770.3   10.7  11.6    11.5    1     # 
00:00  11.3    1    17.7  19.3   59   770.5   11.3  11.5    11.2    1     0 
01:00  11.3    3    11.8  13.9   65   770.5   11.3  11.9    11.5    3     0 
02:00  11.7   11    14.4  15.2   64   770.3   11.7  12.2    11.9   11     6 
03:00  11.2    5    13.5  14.7   67   769.7   11.2  11.9    11.9    5     0 
04:00  11.0    2    10.2  11.6   65   769.2   11.0  11.4    11.6    2     0 
05:00  10.9    3    11.2  12.6   52   768.9   10.9  11.1    11.2    3     0 
06:00  11.1    7    11.7  12.4   36   768.5   11.1  10.9    11.3    7     3 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Clear all night, seeing fairly good and stable after a brief period of bad seeing early in the evening

COMMENTS (causes of time lost, setup information eg CCD windows):
no time lost



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 501144 Flat field        1:49:59.99 +19:59:59.9 2006.346 12:59 1.040  WFC    5.1  180  R                                
 501145 Bias              1:49:59.99 +20:00:00.0 2006.346 13:03 1.045  WFC    0.0  180  R                                
 501146 Bias              0:00:00.00 +00:00:00.0 2006.347 18:46 1.000  WFC    0.0  180  R                                
 501147 Bias              0:00:00.00 +00:00:00.0 2006.347 18:47 1.000  WFC    0.0  180  R                                
 501148 Bias              0:00:00.00 +00:00:00.0 2006.347 18:47 1.000  WFC    0.0  180  R                                
 501149 Bias              0:00:00.00 +00:00:00.0 2006.347 18:48 1.000  WFC    0.0  180  R                                
 501150 Bias              0:00:00.00 +00:00:00.0 2006.347 18:48 1.000  WFC    0.0  180  R                                
 501151 Bias              0:00:00.00 +00:00:00.0 2006.347 18:49 1.000  WFC    0.0  180  R                                
 501152 Bias              0:00:00.00 +00:00:00.0 2006.347 18:49 1.000  WFC    0.0  180  R                                
 501153 Bias              0:00:00.00 +00:00:00.0 2006.347 18:50 1.000  WFC    0.0  180  R                                
 501154 Bias              0:00:00.00 +00:00:00.0 2006.347 18:51 1.000  WFC    0.0  180  R                                
 501155 Bias              0:00:00.00 +00:00:00.0 2006.347 18:51 1.000  WFC    0.0  180  R                                
 501156 Flat field        9:12:00.00 -07:50:47.0 2000.00  19:49 1.256  WFC    0.9  180  stromgren u                      
 501157 Flat field        9:12:00.33 -07:50:42.0 2000.00  19:55 1.260  WFC    1.0  180  stromgren u                      
 501158 Flat field        9:12:00.67 -07:50:37.0 2000.00  19:56 1.261  WFC    1.6  180  stromgren u                      
 501159 Flat field        9:12:01.00 -07:50:32.0 2000.00  19:57 1.262  WFC    2.1  180  stromgren u                      
 501160 Flat field        9:12:01.34 -07:50:27.0 2000.00  19:59 1.263  WFC    2.6  180  stromgren u                      
 501161 Flat field        9:12:01.68 -07:50:22.0 2000.00  20:00 1.264  WFC    2.5  180  stromgren u                      
 501162 Flat field        9:12:02.01 -07:50:17.0 2000.00  20:01 1.266  WFC    3.6  180  stromgren u                      
 501163 Flat field        9:12:02.35 -07:50:11.9 2000.00  20:02 1.267  WFC    4.1  180  stromgren u                      
 501164 Flat field        9:12:02.69 -07:50:07.0 2000.00  20:04 1.269  WFC    5.1  180  stromgren u                      
 501165 Flat field        9:12:02.69 -07:50:06.9 2000.00  20:05 1.270  WFC    3.0  180  stromgren y                      
 501166 Flat field        9:12:00.33 -07:50:42.0 2000.00  20:06 1.272  WFC    4.1  180  stromgren y                      
 501167 Flat field        9:12:00.67 -07:50:37.0 2000.00  20:07 1.273  WFC    5.1  180  stromgren y                      
 501168 Flat field        9:12:01.01 -07:50:31.9 2000.00  20:09 1.275  WFC    6.1  180  stromgren y                      
 501169 Flat field        9:12:01.00 -07:50:32.0 2000.00  20:10 1.277  WFC    7.1  180  stromgren v                      
 501170 Flat field        9:12:01.34 -07:50:27.0 2000.00  20:12 1.279  WFC    9.1  180  stromgren v                      
 501171 Flat field        9:12:01.00 -07:50:32.0 2000.00  20:13 1.281  WFC   15.1  180  stromgren v                      
 501172 Flat field        9:12:01.00 -07:50:31.9 2000.00  20:14 1.283  WFC   13.1  180  stromgren b                      
 501173 Flat field        9:12:00.33 -07:50:41.9 2000.00  20:16 1.285  WFC   16.1  180  stromgren b                      
 501174 Flat field        9:12:00.67 -07:50:37.0 2000.00  20:17 1.287  WFC   20.1  180  stromgren b                      
 501175 Flat field        9:12:01.01 -07:50:32.0 2000.00  20:18 1.289  WFC   28.1  180  stromgren b                      
 501176 Focus run         8:53:18.40 -00:41:10.9 2000.00  20:29 1.232  WFC   10.1  180  stromgren v                      
 501177 G166-045         14:49:02.00 +25:42:08.9 2000.00  20:37 1.852  WFC    3.1  180  stromgren y                      
 501178 G166-045         14:49:01.99 +25:42:09.0 2000.00  20:38 1.838  WFC    5.1  180  stromgren y                      
 501179 G166-045         14:49:02.00 +25:42:09.0 2000.00  20:39 1.828  WFC    4.1  180  stromgren y                      
 501180 G166-045         14:49:01.99 +25:42:09.0 2000.00  20:41 1.814  WFC    6.1  180  stromgren b                      
 501181 G166-045         14:49:01.99 +25:42:08.9 2000.00  20:42 1.802  WFC   10.1  180  stromgren b                      
 501182 G166-045         14:49:02.00 +25:42:09.0 2000.00  20:43 1.787  WFC   24.5  180  stromgren v                      
 501183 G166-045         14:49:01.99 +25:42:09.0 2000.00  20:45 1.770  WFC   49.5  180  stromgren u                      
 501184 G166-045         14:49:01.99 +25:42:09.0 2000.00  20:50 1.725  WFC    4.1  180  stromgren y                      
 501185 G166-045         14:49:01.99 +25:42:09.0 2000.00  20:52 1.707  WFC   12.1  180  stromgren b                      
 501186 G166-045         14:49:02.00 +25:42:09.0 2000.00  20:53 1.694  WFC   20.1  180  stromgren v                      
