INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 05 17 06:44

TELESCOPE             INT
DATE                  20060516
OBSERVER/S            Amornrat Aungwerojwit
PROGRAMME             P6
PROPOSAL REF          P6
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:03
EVENING TWILIGHT (UT) 21:25
MORNING TWILIGHT (UT) 04:50
SUNRISE (UT)          06:12
%ILLUM. LUNAR DISK    85
DARK TIME (HRS)       07:25
TWILIGHT TIME (HRS)   02:44
MOONRISE (UT)         23:24
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  10.4   44    17.4  19.1  226   770.5   10.4  12.5    13.7   44    42 
00:00   9.3   39    21.3  21.8  271   772.4   n.a.  n.a.    n.a.  n.a.   n.a.
01:00   9.6   45    26.5  27.4  291   772.2   n.a.  n.a.    n.a.  n.a.   n.a.
02:00   9.7   50    18.1  19.1  270   771.7   n.a.  n.a.    n.a.  n.a.   n.a.
03:00   9.0   40     8.9  10.0  219   771.6   n.a.  n.a.    n.a.  n.a.   n.a.
04:00   9.9   55    15.1  16.7  282   771.5   n.a.  n.a.    n.a.  n.a.   n.a.
05:00   9.6   57     7.1   8.0  239   771.4   n.a.  n.a.    n.a.  n.a.   n.a.

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):


COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 502547 Bias frame        0:00:00.00 +00:00:00.0 2006.371 12:59 1.000  WFC    0.0  180  Unknown                          
 502548 TEST              4:00:00.00 +30:00:00.0 2006.371 13:06 1.006  WFC    2.0  180  Unknown                          
 502549 TEST              3:59:59.99 +30:00:00.0 2006.371 13:08 1.005  WFC    2.1  180  i                                
 502550 10                0:00:00.00 +00:00:00.0 2006.371 18:09 4.313  WFC    0.0  180  r                                
 502551 Bias              0:00:00.00 +00:00:00.0 2006.371 18:12 4.313  WFC    0.0  180  r                                
 502552 Bias              0:00:00.00 +00:00:00.0 2006.371 18:12 4.313  WFC    0.0  180  r                                
 502553 Bias              0:00:00.00 +00:00:00.0 2006.371 18:13 4.313  WFC    0.0  180  r                                
 502554 Bias              0:00:00.00 +00:00:00.0 2006.371 18:13 4.313  WFC    0.0  180  r                                
 502555 Bias              0:00:00.00 +00:00:00.0 2006.371 18:14 4.313  WFC    0.0  180  r                                
 502556 Bias              0:00:00.00 +00:00:00.0 2006.371 18:15 4.313  WFC    0.0  180  r                                
 502557 Bias              0:00:00.00 +00:00:00.0 2006.371 18:15 4.313  WFC    0.0  180  r                                
 502558 Bias              0:00:00.00 +00:00:00.0 2006.371 18:16 4.313  WFC    0.0  180  r                                
 502559 Bias              0:00:00.00 +00:00:00.0 2006.371 18:16 4.313  WFC    0.0  180  r                                
 502560 Bias              0:00:00.00 +00:00:00.0 2006.371 18:17 4.313  WFC    0.0  180  r                                
 502561 hs1857+5144 g     0:00:00.00 +00:00:00.0 2006.372 19:22 1.000  WFC    1.8  180  g                                test
 502562 hs1857+5144 r     0:00:00.00 +00:00:00.0 2006.372 19:23 1.000  WFC    1.0  180  r                                test
 502563 skyflati         10:34:59.99 +03:02:00.0 2000.00  20:13 1.110  WFC    3.1  180  i                                saturated
 502564 skyflati         10:35:00.00 +03:02:00.0 2000.00  20:17 1.111  WFC    3.1  180  i                                saturated
 502565 skyflati         10:35:00.66 +03:02:09.9 2000.00  20:18 1.111  WFC    3.1  180  i                                
 502566 skyflati         10:35:00.67 +03:02:10.0 2000.00  20:20 1.111  WFC    3.5  180  i                                
 502567 skyflati         10:35:00.66 +03:01:50.0 2000.00  20:21 1.112  WFC    6.1  180  i                                
 502568 skyflati         10:34:59.33 +03:01:49.9 2000.00  20:22 1.112  WFC    6.1  180  i                                
 502569 skyflati         10:34:59.33 +03:02:09.9 2000.00  20:24 1.112  WFC    8.1  180  i                                
 502570 skyflati         10:34:59.33 +03:02:09.9 2000.00  20:25 1.113  WFC    5.1  180  r                                low 
 502571 skyflati         10:34:59.33 +03:02:10.0 2000.00  20:26 1.113  WFC   14.6  180  r                                
 502572 skyflati         10:34:59.33 +03:01:50.0 2000.00  20:28 1.114  WFC   27.1  180  r                                
 502573 skyflati         10:35:00.66 +03:02:09.9 2000.00  20:30 1.115  WFC   55.1  180  g                                
 502574 skyflatg         10:35:00.66 +03:02:10.0 2000.00  20:33 1.116  WFC   33.1  180  g                                
 502575 skyflatg         10:35:00.66 +03:02:10.0 2000.00  20:34 1.117  WFC   35.1  180  g                                
 502576 skyflatg         10:35:00.66 +03:01:49.9 2000.00  20:36 1.118  WFC   60.0  180  g                                
 502577 skyflatc         10:35:00.66 +03:01:50.0 2000.00  20:39 1.120  WFC   36.1  180  Unknown                          
 502578 skyflatc         10:35:00.66 +03:01:49.9 2000.00  20:42 1.122  WFC   70.1  180  Unknown                          
 502579 skyflatc         10:34:59.33 +03:01:49.9 2000.00  20:45 1.124  WFC  110.1  180  Unknown                          
 502580 Focus run        10:31:57.00 +08:49:50.0 2006.00  21:01 1.091  WFC   10.1  180  r                                
 502581 sdss1031 45 c    10:31:56.99 +08:49:49.9 2006.00  21:13 1.109  WFC   45.1  180  Unknown                          
 502582 sdss1031 45 c    10:31:56.99 +08:49:49.9 2006.00  21:19 1.117  WFC   45.1  180  Unknown                          
 502583 sdss1031 45 c    10:31:56.99 +08:49:50.0 2006.00  21:21 1.119  WFC   45.1  180  Unknown                          
 502585 sdss1031 40 c    10:31:56.99 +08:49:49.9 2006.00  21:22 1.122  WFC   40.1  180  Unknown                          
 502586 sdss1031 40 c    10:31:56.99 +08:49:49.9 2006.00  21:24 1.124  WFC   40.0  180  Unknown                          
 502587 sdss1031 40 c    10:31:56.99 +08:49:50.0 2006.00  21:25 1.126  WFC   39.5  180  Unknown                          
 502588 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  21:26 1.128  WFC   40.1  180  Unknown                          
 502589 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  21:27 1.130  WFC   40.1  180  Unknown                          
 502590 sdss1031 40 c    10:31:57.00 +08:49:50.0 2006.00  21:29 1.133  WFC   40.1  180  Unknown                          
