INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 06 04 07:18

TELESCOPE             INT
DATE                  20060603
OBSERVER/S            Gyula Jozsa
PROGRAMME             warps in low surface-brightness galaxies
PROPOSAL REF          N4
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS   Prime  / 43.65
INSTRUMENT/S          WFC

SUNSET (UT)           20:14
EVENING TWILIGHT (UT) 21:39
MORNING TWILIGHT (UT) 04:40
SUNRISE (UT)          06:05
%ILLUM. LUNAR DISK    50
DARK TIME (HRS)       07:01
TWILIGHT TIME (HRS)   02:50
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          01:51

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  15.1    7    16.1  17.1  294   771.5   15.1  16.6    14.7    7    10 
22:00  13.5    5    14.7  15.8  277   771.6   13.5  15.3    14.7    5     2 
23:00  13.6    5    16.2  17.6  288   772.2   13.6  14.6    14.8    5     1 
00:00  14.5    4     7.6   7.8  274   772.5   14.5  15.4    14.4    4     1 
01:00  13.4    5    12.2  12.7  301   772.1   13.4  14.5    14.3    5     1 
02:00  14.4    3    10.8  11.0  270   772.0   14.4  14.9    14.5    3     0 
03:00  14.9   18    10.7  11.5  247   771.6   14.9  15.3    14.5   18    10 
04:00  14.4   10    12.3  13.7  196   771.3   14.4  14.8    14.8   10     4 
05:00  14.1    2    13.3  14.8  250   771.0   14.1  14.4    14.6    2     0 
06:00  13.3    2    17.1  18.0  270   770.7   13.3  13.7    14.6    2     0 

TIME LOST weather           00:45
TIME LOST Technical         00:15
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
partly cloudy varying through the night

COMMENTS (causes of time lost, setup information eg CCD windows):
restart of lpss79 during dusk caused loss of flatfields



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 505161 Bias              6:56:59.99 +00:00:00.0 2006.421 16:26 1.189  WFC    0.0  180  r                                
 505162 Bias              0:00:00.00 +00:00:00.0 2006.421 19:49 1.000  WFC    0.0  180  B                                
 505163 Bias              0:00:00.00 +00:00:00.0 2006.421 19:50 1.000  WFC    0.0  180  B                                
 505164 Bias              0:00:00.00 +00:00:00.0 2006.421 19:50 1.000  WFC    0.0  180  B                                
 505165 Bias              0:00:00.00 +00:00:00.0 2006.421 19:51 1.000  WFC    0.0  180  B                                
 505166 Bias              0:00:00.00 +00:00:00.0 2006.421 19:51 1.000  WFC    0.0  180  B                                
 505167 Bias              0:00:00.00 +00:00:00.0 2006.421 19:52 1.000  WFC    0.0  180  B                                after this one, system crashed
 505170 Bias              0:00:00.00 +00:00:00.0 2006.421 20:53 1.140  WFC    0.0  180  i                                system just restarted
 505171                   0:00:00.00 +00:00:00.0 2006.421 20:55 1.140  WFC    2.0  180  i                                test run after restart
 505172 calib I 5        12:43:06.09 -00:32:17.7 2000.00  21:03 1.147  WFC    5.1  180  i                                
 505173 calib I 20       12:43:06.09 -00:32:18.0 2000.00  21:04 1.147  WFC   20.1  180  i                                
 505174 calib I 3        12:43:06.09 -00:32:17.7 2000.00  21:05 1.147  WFC    3.1  180  i                                
 505175 calib B 3        12:43:06.09 -00:32:18.1 2000.00  21:06 1.147  WFC    3.0  180  B                                
 505176 calib B 5        12:43:06.09 -00:32:18.1 2000.00  21:07 1.147  WFC    5.1  180  B                                
 505177 calib B 20       12:43:06.09 -00:32:18.0 2000.00  21:07 1.147  WFC   20.1  180  B                                
 505178 calib B 2        12:43:06.09 -00:32:18.0 2000.00  21:09 1.147  WFC    2.1  180  B                                
 505179 calib I 2        12:43:06.09 -00:32:18.3 2000.00  21:09 1.147  WFC    1.5  180  i                                
 505180 calib2 I 5       15:40:05.30 -00:17:29.2 2000.00  21:11 1.562  WFC    5.1  180  i                                
 505181 calib2 I 20      15:40:05.29 -00:17:29.0 2000.00  21:12 1.556  WFC   20.1  180  i                                
 505182 calib2 I 2       15:40:05.30 -00:17:29.0 2000.00  21:13 1.551  WFC    2.1  180  i                                
 505183 calib2 I 3       15:40:05.29 -00:17:28.9 2000.00  21:14 1.545  WFC    3.1  180  i                                
 505184 calib2 B 3       15:40:05.30 -00:17:29.0 2000.00  21:15 1.540  WFC    3.1  180  B                                
 505185 calib2 B 2       15:40:05.30 -00:17:29.0 2000.00  21:15 1.535  WFC    2.1  180  B                                
 505186 calib2 B 20      15:40:05.29 -00:17:28.9 2000.00  21:16 1.530  WFC   20.1  180  B                                
 505187 calib2 B 5       15:40:05.30 -00:17:28.9 2000.00  21:17 1.525  WFC    5.1  180  B                                
 505188 calib3 B 20      16:35:33.30 +09:46:21.0 2000.00  21:20 1.713  WFC   20.1  180  B                                
 505189 calib3 B 5       16:35:33.30 +09:46:21.0 2000.00  21:21 1.705  WFC    5.1  180  B                                
 505190 calib3 B 3       16:35:33.29 +09:46:21.0 2000.00  21:22 1.697  WFC    2.5  180  B                                
 505191 calib3 B 2       16:35:33.30 +09:46:21.0 2000.00  21:23 1.689  WFC    1.5  180  B                                
 505192 calib3 I 2       16:35:33.29 +09:46:21.0 2000.00  21:23 1.683  WFC    2.1  180  i                                
 505193 calib3 I 3       16:35:33.30 +09:46:20.9 2000.00  21:24 1.677  WFC    3.1  180  i                                
 505194 calib5 I 5       16:35:33.30 +09:46:21.0 2000.00  21:25 1.670  WFC    5.1  180  i                                calib3, of course
 505195 calib3 I 20      16:35:33.29 +09:46:21.0 2000.00  21:26 1.663  WFC   20.1  180  i                                
 505196 calib3 I 20      13:25:39.39 -08:49:19.9 2000.00  21:32 1.265  WFC   20.1  180  i                                and this is calib4
