INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 06 18 07:15

TELESCOPE             INT
DATE                  20060617
OBSERVER/S            vd Besselaar/ Hammer/ Morales
PROGRAMME             UVEX
PROPOSAL REF          N1        
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 43.6
INSTRUMENT/S          WFC

SUNSET (UT)           20:19
EVENING TWILIGHT (UT) 21:46
MORNING TWILIGHT (UT) 04:39
SUNRISE (UT)          06:05
%ILLUM. LUNAR DISK    57
DARK TIME (HRS)       06:53
TWILIGHT TIME (HRS)   02:53
MOONRISE (UT)         00:54
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  10.8    4    25.2  29.6  293   772.9   10.8  13.4    13.6    4     3 
22:00   8.4   12    23.3  27.0  337   772.7    8.4  10.7    13.5   12     7 
23:00   9.2    4    36.0  40.2  272   772.8    9.2  10.7    13.2    4     1 
00:00   9.4    3    40.4  45.1  330   773.3    9.4  10.6    12.8    3     0 
01:00   9.7    2    34.4  40.3  351   773.2    9.7  11.2    12.8    2     0 
02:00   9.4    5    49.1  51.6    0   772.9    9.4  10.5    12.8    5     2 
03:00   9.0   25    41.0  42.6  353   772.5    9.0  10.2    12.6   25    10 
04:00   8.4   41    37.3  38.3  348   772.2    8.4   9.8    12.5   41    34 
05:00   8.9   54    33.6  37.1  342   771.9    8.9  10.3    12.5   54    49 
06:00   8.0   67    36.7  38.8  343   771.3    8.0   9.4    12.2   67    63 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
all good

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 507007 Bias frame        0:00:00.00 +00:00:00.0 2006.459 14:10 1.498  WFC    0.0  180  i                                
 507008 Bias frame        0:00:00.00 +00:00:00.0 2006.459 14:14 1.498  WFC    0.0  180  i                                
 507009                   0:00:00.00 +00:00:00.0 2006.459 14:15 1.498  WFC    2.0  180  i                                
 507010                   0:00:00.00 +00:00:00.0 2006.459 14:18 1.498  WFC    2.1  180  i                                
 507011                   0:00:00.00 +00:00:00.0 2006.459 14:31 1.498  WFC    2.1  180  i                                
 507012 Bias              0:00:00.00 +00:00:00.0 2006.459 19:20 4.432  WFC    0.0  180  HeI 5870                         
 507013 Bias              0:00:00.00 +00:00:00.0 2006.459 19:20 4.432  WFC    0.0  180  HeI 5870                         
 507014 Bias              0:00:00.00 +00:00:00.0 2006.459 19:21 4.432  WFC    0.0  180  HeI 5870                         
 507015 Bias              0:00:00.00 +00:00:00.0 2006.459 19:21 4.432  WFC    0.0  180  HeI 5870                         
 507016 Bias              0:00:00.00 +00:00:00.0 2006.459 19:22 4.432  WFC    0.0  180  HeI 5870                         
 507017 Bias              0:00:00.00 +00:00:00.0 2006.459 19:22 4.432  WFC    0.0  180  HeI 5870                         
 507018 Bias              0:00:00.00 +00:00:00.0 2006.459 19:23 4.432  WFC    0.0  180  HeI 5870                         
 507019 Bias              0:00:00.00 +00:00:00.0 2006.459 19:24 4.432  WFC    0.0  180  HeI 5870                         
 507020 Bias              0:00:00.00 +00:00:00.0 2006.459 19:24 4.432  WFC    0.0  180  HeI 5870                         
 507021 Bias              0:00:00.00 +00:00:00.0 2006.459 19:25 4.432  WFC    0.0  180  HeI 5870                         
 507022 flat Ha          15:02:00.00 +29:55:00.1 2000.00  20:12 1.154  WFC    0.0  180  Halpha                           
 507023 flat Ha          15:02:00.00 +29:54:59.9 2000.00  20:14 1.148  WFC    0.5  180  Halpha                           
 507024 flat Ha          15:02:00.76 +29:54:59.9 2000.00  20:15 1.146  WFC    0.0  180  Halpha                           
 507025 flat U           15:02:00.77 +29:55:00.0 2000.00  20:16 1.143  WFC    0.5  180  U                                saturated
 507026 flat HeI         15:02:00.76 +29:55:00.0 2000.00  20:18 1.139  WFC    0.5  180  HeI 5870                         
 507027 flat HeI         15:02:00.76 +29:54:59.7 2000.00  20:19 1.137  WFC    1.6  180  HeI 5870                         
 507028 flat HeI         15:01:59.99 +29:55:10.1 2000.00  20:20 1.134  WFC    4.5  180  HeI 5870                         saturated
 507029 flat HeI         15:02:00.76 +29:55:10.0 2000.00  20:22 1.130  WFC    5.1  180  HeI 5870                         
 507030 flat U           15:02:00.77 +29:55:10.2 2000.00  20:24 1.126  WFC    1.0  180  U                                
 507031 flat U           15:02:00.76 +29:54:59.6 2000.00  20:25 1.124  WFC    1.6  180  U                                
 507032 flat U           15:02:00.00 +29:55:09.9 2000.00  20:26 1.121  WFC    1.6  180  U                                
 507033 flat g           15:01:59.99 +29:55:10.0 2000.00  20:27 1.118  WFC    1.0  180  g                                saturated
 507034 flat g           15:01:59.99 +29:55:10.0 2000.00  20:29 1.115  WFC    0.5  180  g                                
 507035 flat g           15:02:00.76 +29:54:59.9 2000.00  20:30 1.113  WFC    0.5  180  g                                
 507036 flat g           15:01:59.99 +29:55:09.9 2000.00  20:31 1.111  WFC    0.7  180  g                                
 507037 flat r           15:01:59.99 +29:55:09.9 2000.00  20:32 1.108  WFC    0.8  180  r                                
 507038 flat r           15:02:00.76 +29:54:59.9 2000.00  20:33 1.106  WFC    1.0  180  r                                
 507039 flat r           15:02:00.00 +29:55:10.0 2000.00  20:34 1.104  WFC    2.1  180  r                                
 507040 flat i           15:01:59.99 +29:55:10.0 2000.00  20:35 1.102  WFC    1.0  180  i                                
 507041 flat i           15:02:00.77 +29:54:59.8 2000.00  20:37 1.099  WFC    4.1  180  i                                
 507042 flat i           15:01:59.99 +29:55:09.9 2000.00  20:38 1.097  WFC    4.5  180  i                                
 507043 flat i           15:02:00.76 +29:55:09.9 2000.00  20:39 1.095  WFC    6.5  180  i                                
 507044 Focus run        13:23:35.51 +36:07:59.9 2000.00  20:56 1.008  WFC   10.1  180  r                                
 507045 HZ44 U           13:23:35.52 +36:07:59.8 2000.00  21:04 1.009  WFC   10.1  180  U                                
 507046 HZ44 i           13:23:35.52 +36:07:59.9 2000.00  21:06 1.010  WFC    2.0  180  i                                
 507047 HZ44 Ha          13:23:35.51 +36:07:59.9 2000.00  21:07 1.010  WFC   10.1  180  Halpha                           
 507048 HZ44 g           13:23:35.51 +36:07:59.8 2000.00  21:08 1.010  WFC    2.1  180  g                                
 507049 HZ44 He1         13:23:35.52 +36:07:59.9 2000.00  21:09 1.011  WFC   29.6  180  HeI 5870                         
 507050 HZ44 r           13:23:35.52 +36:07:59.9 2000.00  21:10 1.011  WFC    1.5  180  r                                
 507051 st_PG1657 r      16:59:35.52 +07:42:30.9 2000.00  21:14 1.551  WFC    2.1  180  r                                too short
 507052 st_PG1657 U      16:59:35.52 +07:42:30.9 2000.00  21:15 1.542  WFC   30.1  180  U                                
 507053 st_PG1657 i      16:59:35.52 +07:42:31.0 2000.00  21:17 1.535  WFC   10.1  180  i                                
 507054 st_PG1657 Ha     16:59:35.51 +07:42:31.0 2000.00  21:18 1.527  WFC   30.0  180  Halpha                           
