INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 06 22 07:03

TELESCOPE             INT
DATE                  20060621
OBSERVER/S            Morales-Rueda/vd Besselaar
PROGRAMME             UVEX
PROPOSAL REF          N1        
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS   Prime  / 43.6
INSTRUMENT/S          WFC

SUNSET (UT)           20:21
EVENING TWILIGHT (UT) 21:47
MORNING TWILIGHT (UT) 04:39
SUNRISE (UT)          06:06
%ILLUM. LUNAR DISK    15
DARK TIME (HRS)       06:52
TWILIGHT TIME (HRS)   02:53
MOONRISE (UT)         03:08
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  13.4    3    26.9  28.6  343   771.4   13.4  16.3    14.6    3     5 
22:00  10.5    4    26.5  28.8  349   771.3   10.5  13.3    14.6    4     0 
23:00  10.0    2    26.8  29.7   24   771.6   10.0  12.0    14.2    2     0 
00:00  10.1    2    27.9  31.4   11   772.0   10.1  11.7    14.0    2     # 
01:00  11.2    0    30.1  33.3   27   771.9   11.2  11.8    13.7    0     # 
02:00  11.0    1    35.1  35.8   24   771.7   11.0  11.4    13.4    1     0 
03:00  11.8    0    30.9  32.3   26   771.5   11.8  11.7    13.0    0     # 
04:00  11.7    0    27.0  28.6   33   771.3   11.7  12.3    13.3    0     # 
05:00  11.9    0    31.6  32.6   27   770.5   11.9  12.2    13.4    0     # 
06:00  11.5    0    24.0  27.9   25   770.4   11.5  11.9    13.3    0     # 

TIME LOST weather           00:00
TIME LOST Technical         00:25
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):


COMMENTS (causes of time lost, setup information eg CCD windows):
Problem with DAS, WFC not responding. Telescope not reaching target



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 508150 Flat field        4:50:00.00 +20:00:00.0 2006.469 13:00 1.038  WFC   10.1  180  r                                
 508151 Bias              4:50:00.00 +19:59:59.9 2006.469 13:01 1.039  WFC    0.0  180  r                                
 508152 flat Ha          15:01:59.99 +29:54:59.9 2000.00  20:12 1.117  WFC    0.5  180  Halpha                           
 508153 flat Ha          15:02:00.77 +29:54:59.9 2000.00  20:15 1.111  WFC    0.5  180  Halpha                           
 508154 flat Ha          15:02:00.00 +29:55:10.0 2000.00  20:16 1.109  WFC    0.5  180  Halpha                           
 508155 flat HeI         15:01:59.99 +29:55:10.0 2000.00  20:17 1.107  WFC    0.5  180  HeI 5870                         
 508156 flat HeI         15:02:00.76 +29:55:10.0 2000.00  20:18 1.104  WFC    0.7  180  HeI 5870                         
 508157 flat HeI         15:02:00.77 +29:54:59.9 2000.00  20:19 1.103  WFC    1.0  180  HeI 5870                         
 508158 flat HeI         15:01:59.99 +29:55:10.0 2000.00  20:20 1.100  WFC    2.1  180  HeI 5870                         
 508159 flat U           15:02:00.00 +29:55:10.0 2000.00  20:21 1.098  WFC    0.8  180  U                                
 508160 flat U           15:02:00.76 +29:55:09.9 2000.00  20:23 1.096  WFC    0.7  180  U                                
 508161 flat U           15:02:00.76 +29:55:00.0 2000.00  20:24 1.094  WFC    0.8  180  U                                
 508162 flat g           15:02:00.76 +29:54:59.7 2000.00  20:25 1.092  WFC    0.5  180  g                                saturated
 508163 flat g           15:01:59.99 +29:55:10.0 2000.00  20:26 1.089  WFC    0.5  180  g                                saturated
 508164 flat g           15:02:00.76 +29:55:10.0 2000.00  20:29 1.084  WFC    0.5  180  g                                
 508165 flat g           15:02:00.77 +29:55:00.0 2000.00  20:30 1.083  WFC    0.5  180  g                                
 508166 flat g           15:02:00.00 +29:55:09.8 2000.00  20:31 1.081  WFC    0.5  180  g                                
 508167 flat r           15:01:59.99 +29:55:10.1 2000.00  20:32 1.080  WFC    0.5  180  r                                
 508168 flat r           15:02:00.77 +29:55:10.0 2000.00  20:33 1.078  WFC    0.7  180  r                                
 508169 flat r           15:02:00.77 +29:54:59.9 2000.00  20:34 1.077  WFC    1.0  180  r                                
 508170 flat i           15:02:00.77 +29:55:00.0 2000.00  20:35 1.075  WFC    0.7  180  i                                
 508171 flat i           15:02:00.77 +29:55:09.9 2000.00  20:36 1.073  WFC    1.0  180  i                                
 508172 flat i           15:01:59.99 +29:55:09.9 2000.00  20:37 1.071  WFC    1.6  180  i                                
