INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 06 30 11:55

TELESCOPE             INT
DATE                  20060628
OBSERVER/S            Simon Hodgkin
PROGRAMME             Kinematics of cool white dwarfs towards the Serpens Dark Cloud
PROPOSAL REF          P13
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 43.64
INSTRUMENT/S          WFC

SUNSET (UT)           20:22
EVENING TWILIGHT (UT) 21:48
MORNING TWILIGHT (UT) 04:42
SUNRISE (UT)          06:08
%ILLUM. LUNAR DISK    11
DARK TIME (HRS)       06:54
TWILIGHT TIME (HRS)   02:52
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          22:50

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  11.8   19    11.0  13.2  246   773.1   11.8  14.6    14.1   19    17 
22:00  10.7   21     9.7  11.1  232   773.2   10.7  12.6    13.8   21    10 
23:00  10.9   12    11.6  12.3  232   773.5   10.9  12.3    13.8   12     6 
00:00  11.4    8    13.5  13.7  269   773.7   11.4  12.7    13.6    8     4 
01:00  11.7    6     4.5   5.3  194   774.0   11.7  13.0    13.5    6     2 
02:00  11.9    4     7.2   7.3  276   773.7   11.9  12.0    13.4    4     4 
03:00  12.3    3     7.3   7.4  253   773.3   12.3  12.3    13.3    3     1 
04:00  12.1    3     9.0  10.7  209   773.1   12.1  12.8    13.4    3     0 
05:00  11.9    4     7.9   8.5  207   772.9   11.9  12.9    13.4    4     0 
06:00  11.8    5    13.8  15.9  170   772.7   11.8  12.7    13.2    5     1 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
thin cirrus around. seeing 0.8-1.3 arcsecs

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 510049 Bias              0:00:00.00 +00:00:00.0 2006.489 12:59 1.335  WFC    0.0  180  r                                
 510050 Bias              6:59:59.99 +40:00:00.0 2006.489 13:00 1.033  WFC    0.0  180  r                                
 510051 TEST              7:00:00.00 +39:59:59.9 2006.489 13:03 1.032  WFC    3.0  180  r                                
 510052 Bias              0:00:00.00 +00:00:00.0 2006.489 19:04 4.357  WFC    0.0  180  U                                
 510053 Bias              0:00:00.00 +00:00:00.0 2006.489 19:05 4.357  WFC    0.0  180  U                                
 510054 Bias              0:00:00.00 +00:00:00.0 2006.489 19:05 4.357  WFC    0.0  180  U                                
 510055 Bias              0:00:00.00 +00:00:00.0 2006.489 19:06 4.357  WFC    0.0  180  U                                
 510056 Bias              0:00:00.00 +00:00:00.0 2006.489 19:06 4.357  WFC    0.0  180  U                                
 510057 Flat field       15:02:00.00 +29:55:00.0 2000.00  20:39 1.033  WFC    2.5  180  g                                
 510058 Flat field       15:02:01.15 +29:55:14.8 2000.00  20:40 1.032  WFC    3.1  180  g                                
 510059 Flat field       15:02:01.15 +29:54:45.0 2000.00  20:41 1.031  WFC    4.1  180  g                                
 510060 Flat field       15:01:58.85 +29:55:15.2 2000.00  20:42 1.030  WFC    6.1  180  g                                
 510061 Flat field       15:02:00.00 +29:55:00.0 2000.00  20:44 1.029  WFC   13.6  180  r                                
 510062 Flat field       15:01:58.84 +29:55:15.3 2000.00  20:45 1.027  WFC   18.1  180  r                                
 510063 Flat field       15:02:01.15 +29:55:15.0 2000.00  20:46 1.026  WFC   28.1  180  r                                
 510064 Flat field       15:02:01.14 +29:54:44.9 2000.00  20:48 1.025  WFC   40.1  180  r                                
 510065 Flat field       15:02:00.00 +29:54:59.9 2000.00  20:49 1.024  WFC   40.1  180  i                                
 510066 Flat field       15:02:00.00 +29:55:15.0 2000.00  20:51 1.022  WFC   70.0  180  i                                
 510067 Flat field       15:01:58.84 +29:55:14.7 2000.00  20:53 1.020  WFC  120.0  180  i                                
 510068 Focus run        12:42:20.99 -00:40:27.9 2000.00  21:10 1.272  WFC   20.1  180  i                                
 510069 sa104-334 g      12:42:21.00 -00:40:27.9 2000.00  21:16 1.294  WFC    9.5  180  g                                
 510070 sa104-334 r      12:42:21.00 -00:40:27.9 2000.00  21:17 1.297  WFC   10.1  180  r                                
 510071 sa104-334 i      12:42:20.99 -00:40:27.9 2000.00  21:18 1.299  WFC    9.0  180  i                                
 510072 sa104-334 g      12:42:20.99 -00:40:28.0 2000.00  21:20 1.307  WFC   10.1  180  g                                
 510073 sa104-334 r      12:42:21.00 -00:40:28.0 2000.00  21:21 1.310  WFC   10.1  180  r                                
 510074 sa104-334 i      12:42:20.99 -00:40:27.9 2000.00  21:22 1.312  WFC    9.5  180  i                                
 510075 dot9-1           13:50:47.99 +08:39:36.0 2000.00  21:26 1.095  WFC  599.2  180  i                                
 510076 dot9-2           13:50:48.00 +08:39:36.0 2000.00  21:38 1.110  WFC  599.8  180  i                                again trailed image - guiding or focus ?
 510077 Focus run        13:50:48.00 +08:39:35.9 2000.00  21:55 1.125  WFC   10.1  180  i                                
 510078 dot9-1           13:50:48.00 +08:39:36.1 2000.00  22:00 1.147  WFC  599.2  180  i                                
 510079 dot9-2           13:50:47.99 +08:39:36.0 2000.00  22:12 1.171  WFC  599.8  180  i                                
 510080 dot9-3           13:50:47.99 +08:39:36.0 2000.00  22:24 1.198  WFC  599.7  180  i                                
 510081 dot9-1           13:50:48.04 +08:39:35.7 2000.00  22:46 1.266  WFC  599.1  180  g                                
 510082 dot9-2           13:50:48.00 +08:39:35.9 2000.00  22:59 1.314  WFC  599.7  180  g                                
 510083 dot9-3           13:50:47.99 +08:39:36.0 2000.00  23:12 1.369  WFC  599.8  180  g                                
 510084 sa107-602 g      15:39:18.99 -00:15:28.9 2000.00  23:24 1.186  WFC   10.1  180  g                                
 510085 sa107-602 r      15:39:18.99 -00:15:28.9 2000.00  23:25 1.187  WFC    9.6  180  r                                
 510086 sa107-602 i      15:39:18.99 -00:15:28.9 2000.00  23:26 1.189  WFC   10.1  180  i                                
 510087 serpens4-1       18:27:00.00 -03:50:00.1 2000.00  23:31 1.293  WFC  999.5  180  r                                
 510088 serpens4-2       18:26:59.99 -03:50:00.0 2000.00  23:49 1.253  WFC  999.6  180  r                                
 510089 serpens4-3       18:27:00.00 -03:50:00.0 2000.00  00:07 1.223  WFC  999.5  180  r                                
 510090 serpens4-4       18:27:00.00 -03:49:59.9 2000.00  00:26 1.203  WFC  999.5  180  r                                
 510091 serpens4-5       18:27:00.00 -03:50:00.0 2000.00  00:44 1.191  WFC  999.5  180  r                                
 510092 sa110-361 g      18:42:44.99 +00:08:04.0 2000.00  01:02 1.145  WFC   10.1  180  g                                
 510093 sa110-361 r      18:42:44.99 +00:08:03.9 2000.00  01:03 1.145  WFC   10.1  180  r                                
 510094 sa110-361 i      18:42:45.00 +00:08:03.9 2000.00  01:04 1.144  WFC   10.1  180  i                                
 510095 Focus run        18:42:45.00 +00:08:04.0 2000.00  01:17 1.140  WFC   10.1  180  i                                
 510096 serpens5-1       18:30:29.99 -02:54:59.8 2000.00  01:23 1.178  WFC  999.6  180  r                                
 510097 serpens5-2       18:30:30.00 -02:55:00.0 2000.00  01:41 1.190  WFC  999.4  180  r                                
 510098 serpens5-3       18:30:30.00 -02:54:59.9 2000.00  02:00 1.209  WFC  999.6  180  r                                
 510099 serpens5-4       18:30:29.99 -02:55:00.0 2000.00  02:18 1.238  WFC  999.6  180  r                                
 510100 serpens5-5       18:30:30.00 -02:54:59.9 2000.00  02:36 1.276  WFC  999.6  180  r                                
 510101 sa110-361 g      18:42:45.00 +00:08:03.9 2000.00  02:59 1.239  WFC   10.1  180  g                                
 510102 sa110-361 r      18:42:45.00 +00:08:03.9 2000.00  02:59 1.241  WFC   10.1  180  r                                
 510103 sa110-361 i      18:42:44.99 +00:08:03.9 2000.00  03:00 1.243  WFC   10.1  180  i                                
 510104 serpens1-1       18:28:59.99 -03:36:00.0 2000.00  03:05 1.378  WFC  999.5  180  r                                
 510105 serpens1-2       18:28:59.99 -03:36:00.0 2000.00  03:23 1.453  WFC  999.5  180  r                                
 510106 serpens1-3       18:29:00.00 -03:35:59.9 2000.00  03:41 1.548  WFC  999.5  180  r                                
 510107 serpens1-4       18:28:59.99 -03:35:59.9 2000.00  04:00 1.668  WFC  999.5  180  r                                
 510108 serpens1-5       18:28:59.99 -03:35:59.9 2000.00  04:18 1.820  WFC  999.5  180  r                                vignetted
 510109 sa110-361 g      18:42:45.00 +00:08:04.0 2000.00  04:37 1.693  WFC   10.1  180  g                                
 510110 sa110-361 r      18:42:45.00 +00:08:03.9 2000.00  04:38 1.700  WFC   10.0  180  r                                
 510111 sa110-361 i      18:42:44.99 +00:08:04.0 2000.00  04:39 1.707  WFC   10.1  180  i                                
 510112 sa113-163 g      21:42:34.99 +00:16:45.9 2000.00  04:46 1.142  WFC   10.1  180  g                                
 510113 sa113-163 r      21:42:34.99 +00:16:46.0 2000.00  04:47 1.142  WFC   10.1  180  r                                
 510114 sa113-163 i      21:42:34.99 +00:16:46.0 2000.00  04:48 1.142  WFC   10.1  180  i                                
 510115 sa92-335 g        0:55:00.00 +00:44:12.9 2000.00  04:53 1.497  WFC   10.1  180  g                                
 510116 sa92-335 r        0:55:00.00 +00:44:13.0 2000.00  04:54 1.492  WFC    9.5  180  r                                
 510117 sa92-335 i        0:55:00.00 +00:44:13.0 2000.00  04:55 1.486  WFC   10.1  180  i                                
 510118 sa92-335 g        0:55:00.00 +00:44:13.0 2000.00  04:57 1.474  WFC   10.1  180  g                                
 510119 sa92-335 r        0:55:00.00 +00:44:13.0 2000.00  04:58 1.469  WFC   10.1  180  r                                
 510120 sa92-335 i        0:55:00.00 +00:44:13.0 2000.00  04:59 1.464  WFC    9.5  180  i                                
 510121 sa92-335 g        0:54:59.99 +00:44:13.0 2000.00  05:05 1.435  WFC   10.1  180  g                                
 510122 sa92-335 r        0:54:59.99 +00:44:13.0 2000.00  05:06 1.430  WFC   10.1  180  r                                
 510123 sa92-335 i        0:54:59.99 +00:44:12.9 2000.00  05:07 1.426  WFC   10.1  180  i                                
 510124 Flat field       22:58:00.00 +00:04:59.9 2000.00  05:29 1.140  WFC  156.4  180  i                                
 510125 Flat field       22:58:00.33 +00:05:05.0 2000.00  05:34 1.140  WFC   59.5  180  i                                
 510126 Flat field       22:57:59.66 +00:05:15.0 2000.00  05:36 1.139  WFC   40.1  180  i                                
 510127 Flat field       22:57:59.66 +00:05:15.0 2000.00  05:38 1.139  WFC   39.8  180  r                                
 510128 Flat field       22:58:01.00 +00:05:14.9 2000.00  05:41 1.139  WFC   26.2  180  r                                
 510129 Flat field       22:58:00.99 +00:04:45.2 2000.00  05:42 1.139  WFC   16.9  180  r                                
 510130 Flat field       22:58:01.00 +00:04:45.0 2000.00  05:49 1.140  WFC    2.8  180  g                                
 510131 Flat field       22:57:59.99 +00:04:59.9 2000.00  05:50 1.140  WFC    2.5  180  g                                
