INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 10 07:19

TELESCOPE             INT
DATE                  20060709
OBSERVER/S            J Southworth
PROGRAMME             Eclipsing binaries in open clusters
PROPOSAL REF          P11         
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:21
EVENING TWILIGHT (UT) 21:46
MORNING TWILIGHT (UT) 04:48
SUNRISE (UT)          06:13
%ILLUM. LUNAR DISK    98
DARK TIME (HRS)       07:02
TWILIGHT TIME (HRS)   02:50
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          05:24

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for first half of night
No Met data available for second half of night


TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
perfect, with 1 arcsec seeing

COMMENTS (causes of time lost, setup information eg CCD windows):
focus 43.60



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 512652 Bias              9:17:00.00 +00:00:00.0 2006.519 16:26 1.192  WFC    0.0  180  r                                
 512653 Bias              0:00:00.00 +00:00:00.0 2006.520 19:57 4.306  WFC    0.0  180  r                                
 512654 Bias              0:00:00.00 +00:00:00.0 2006.520 19:57 4.306  WFC    0.0  180  r                                
 512655 Bias              0:00:00.00 +00:00:00.0 2006.520 19:58 4.306  WFC    0.0  180  r                                
 512656 Bias              0:00:00.00 +00:00:00.0 2006.520 19:59 4.306  WFC    0.0  180  r                                
 512657 Bias              0:00:00.00 +00:00:00.0 2006.520 19:59 4.306  WFC    0.0  180  r                                
 512658 Bias              0:00:00.00 +00:00:00.0 2006.520 20:00 4.306  WFC    0.0  180  r                                
 512659 Bias              0:00:00.00 +00:00:00.0 2006.520 20:00 4.306  WFC    0.0  180  r                                
 512660 Bias              0:00:00.00 +00:00:00.0 2006.520 20:01 4.306  WFC    0.0  180  r                                
 512661 Bias              0:00:00.00 +00:00:00.0 2006.520 20:02 4.306  WFC    0.0  180  r                                
 512662 Bias              0:00:00.00 +00:00:00.0 2006.520 20:02 2.472  WFC    0.0  180  r                                
 512663 skyflat u        14:36:09.99 +04:40:00.0 2000.00  20:22 1.098  WFC    3.1  180  stromgren u                      
 512664 skyflat u        14:36:10.00 +04:40:00.0 2000.00  20:23 1.097  WFC    5.1  180  stromgren u                      
 512665 skyflat u        14:36:09.99 +04:40:00.0 2000.00  20:24 1.097  WFC    4.6  180  stromgren u                      
 512666 skyflat v        14:36:09.99 +04:39:59.9 2000.00  20:25 1.097  WFC    6.1  180  stromgren v                      
 512667 skyflat v        14:36:10.33 +04:40:04.9 2000.00  20:27 1.097  WFC    3.1  180  stromgren v                      
 512668 skyflat v        14:36:11.00 +04:40:16.0 2000.00  20:28 1.096  WFC    3.1  180  stromgren v                      
 512669 skyflat v        14:36:10.33 +04:40:26.9 2000.00  20:29 1.096  WFC    3.0  180  stromgren v                      
 512670 skyflat b        14:36:10.33 +04:40:26.9 2000.00  20:30 1.096  WFC    2.0  180  stromgren b                      
 512671 skyflat b        14:36:11.53 +04:39:46.1 2000.00  20:31 1.096  WFC    3.1  180  stromgren b                      
 512672 skyflat b        14:36:09.19 +04:40:13.0 2000.00  20:32 1.096  WFC    4.1  180  stromgren b                      
 512673 skyflat y        14:36:09.19 +04:40:13.0 2000.00  20:33 1.096  WFC    6.1  180  stromgren y                      
 512674 skyflat y        14:36:11.60 +04:39:42.9 2000.00  20:34 1.096  WFC   12.1  180  stromgren y                      
 512675 skyflat y        14:36:10.27 +04:40:20.9 2000.00  20:35 1.095  WFC   17.5  180  stromgren y                      
 512676 skyflat g        14:36:10.26 +04:40:20.9 2000.00  20:37 1.095  WFC    2.5  180  g                                
 512677 skyflat g        14:36:10.79 +04:40:19.0 2000.00  20:38 1.095  WFC    2.5  180  g                                
 512678 skyflat g        14:36:13.00 +04:39:38.9 2000.00  20:39 1.096  WFC    3.1  180  g                                
 512679 skyflat g        14:36:11.61 +04:39:52.0 2000.00  20:40 1.096  WFC    4.1  180  g                                
 512680 skyflat r        14:36:11.61 +04:39:51.9 2000.00  20:41 1.096  WFC    6.1  180  r                                
 512681 skyflat r        14:36:09.99 +04:39:52.0 2000.00  20:42 1.096  WFC   15.1  180  r                                
 512682 skyflat r        14:36:10.00 +04:40:00.0 2000.00  20:43 1.096  WFC   25.1  180  r                                
 512683 Focus run        15:30:49.89 +06:00:57.0 2000.00  20:54 1.100  WFC   15.1  180  r                                
 512684 Ca               12:29:00.00 +10:38:00.2 2000.00  20:58 1.290  WFC  120.0  180  r                                
 512685 Ca               12:29:00.00 +10:37:59.9 2000.00  21:00 1.300  WFC  120.0  180  r                                
 512686 Ca               12:29:00.00 +10:38:00.0 2000.00  21:03 1.311  WFC  120.0  180  r                                
 512687 Ca               12:28:59.99 +10:38:00.0 2000.00  21:06 1.321  WFC  119.5  180  r                                
 512688 Ca               12:29:00.00 +10:37:59.9 2000.00  21:08 1.332  WFC  120.1  180  r                                
 512689 Ca               12:29:00.00 +10:38:00.0 2000.00  21:11 1.344  WFC  120.0  180  r                                
 512690 Ca               12:29:00.00 +10:38:00.0 2000.00  21:13 1.355  WFC  120.0  180  r                                
 512691 Ca               12:28:59.99 +10:38:00.0 2000.00  21:16 1.368  WFC  120.0  180  r                                
 512692 Ca               12:29:00.00 +10:38:00.0 2000.00  21:19 1.380  WFC  120.0  180  r                                
 512693 Ca               12:28:59.99 +10:37:59.9 2000.00  21:21 1.393  WFC  120.0  180  r                                
 512694 Ca               12:28:59.99 +10:37:59.9 2000.00  21:24 1.406  WFC  120.0  180  r                                
 512695 Ca               12:28:59.99 +10:38:00.0 2000.00  21:26 1.420  WFC  120.0  180  r                                
 512696 Ca               12:28:59.99 +10:37:59.9 2000.00  21:29 1.434  WFC  119.4  180  r                                
 512697 Ca               12:28:59.99 +10:38:00.0 2000.00  21:32 1.448  WFC  119.5  180  r                                
 512698 Ca               12:29:00.00 +10:38:00.0 2000.00  21:34 1.463  WFC  120.0  180  r                                
 512699 Ca               12:28:59.99 +10:38:00.0 2000.00  21:37 1.479  WFC  120.0  180  r                                
 512700 Ca               12:28:59.99 +10:37:59.9 2000.00  21:40 1.495  WFC  120.0  180  r                                
 512701 Ca               12:29:00.00 +10:38:00.0 2000.00  21:42 1.512  WFC  120.0  180  r                                
 512702 NGC7128 u        21:44:19.99 +53:44:00.2 2000.00  21:50 2.477  WFC   45.1  180  stromgren u                      
 512703 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  21:52 2.459  WFC   30.1  180  stromgren v                      
 512704 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  21:53 2.443  WFC   30.1  180  stromgren b                      
 512705 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  21:54 2.427  WFC   30.1  180  stromgren y                      
 512706 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  21:55 2.408  WFC   59.6  180  g                                
 512707 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  21:57 2.389  WFC   40.1  180  r                                
 512708 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  21:58 2.371  WFC   45.1  180  stromgren u                      
 512709 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  22:00 2.354  WFC   30.1  180  stromgren v                      
 512710 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  22:01 2.340  WFC   29.5  180  stromgren b                      
 512711 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  22:02 2.326  WFC   25.1  180  stromgren y                      
 512712 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  22:03 2.309  WFC   60.1  180  g                                
 512713 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  22:05 2.292  WFC   30.0  180  r                                
 512714 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  22:06 2.276  WFC   44.5  180  stromgren u                      
 512715 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  22:08 2.261  WFC   30.1  180  stromgren v                      
 512716 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  22:09 2.247  WFC   30.1  180  stromgren b                      
 512717 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  22:10 2.234  WFC   25.1  180  stromgren y                      
 512718 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  22:11 2.219  WFC   60.1  180  g                                
 512719 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  22:13 2.203  WFC   30.1  180  r                                
 512720 NGC7128 u        21:44:19.99 +53:43:59.9 2000.00  22:14 2.189  WFC   45.1  180  stromgren u                      
 512721 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  22:16 2.175  WFC   29.6  180  stromgren v                      
 512722 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  22:17 2.162  WFC   30.1  180  stromgren b                      
 512723 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  22:18 2.150  WFC   25.1  180  stromgren y                      
 512724 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  22:19 2.136  WFC   60.0  180  g                                
 512725 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  22:21 2.121  WFC   30.1  180  r                                
 512726 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  22:22 2.108  WFC   45.1  180  stromgren u                      
 512727 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  22:23 2.095  WFC   30.1  180  stromgren v                      
 512728 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  22:25 2.084  WFC   30.1  180  stromgren b                      
 512729 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  22:26 2.073  WFC   25.1  180  stromgren y                      
 512730 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  22:27 2.060  WFC   59.6  180  g                                
 512731 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  22:29 2.046  WFC   30.1  180  r                                
 512732 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  22:30 2.034  WFC   45.1  180  stromgren u                      
 512733 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  22:31 2.022  WFC   30.1  180  stromgren v                      
 512734 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  22:32 2.011  WFC   30.1  180  stromgren b                      
 512735 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  22:34 2.001  WFC   25.0  180  stromgren y                      
 512736 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  22:35 1.988  WFC   60.1  180  g                                
 512737 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  22:36 1.976  WFC   30.1  180  r                                
 512738 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  22:38 1.965  WFC   45.1  180  stromgren u                      
 512739 NGC7128 v        21:44:19.99 +53:43:59.9 2000.00  22:39 1.954  WFC   30.1  180  stromgren v                      
 512740 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  22:40 1.944  WFC   29.6  180  stromgren b                      
 512741 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  22:41 1.934  WFC   25.1  180  stromgren y                      
 512742 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  22:43 1.923  WFC   60.1  180  g                                
 512743 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  22:44 1.911  WFC   30.1  180  r                                
 512744 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  22:45 1.901  WFC   45.1  180  stromgren u                      
 512745 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  22:47 1.890  WFC   30.1  180  stromgren v                      
 512746 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  22:48 1.881  WFC   30.1  180  stromgren b                      
 512747 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  22:49 1.872  WFC   25.1  180  stromgren y                      
 512748 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  22:50 1.862  WFC   60.1  180  g                                
 512749 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  22:52 1.851  WFC   30.1  180  r                                
 512750 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  22:53 1.841  WFC   45.1  180  stromgren u                      
 512751 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  22:55 1.831  WFC   30.1  180  stromgren v                      
 512752 NGC7128 b        21:44:20.00 +53:43:59.9 2000.00  22:56 1.823  WFC   30.1  180  stromgren b                      
 512753 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  22:57 1.815  WFC   25.1  180  stromgren y                      
 512754 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  22:58 1.805  WFC   60.1  180  g                                
 512755 NGC7128 r        21:44:19.99 +53:43:59.9 2000.00  23:00 1.795  WFC   30.1  180  r                                
 512756 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  23:01 1.786  WFC   45.1  180  stromgren u                      
 512757 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  23:03 1.777  WFC   30.0  180  stromgren v                      
 512758 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  23:04 1.769  WFC   30.1  180  stromgren b                      
 512759 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  23:05 1.761  WFC   24.5  180  stromgren y                      
 512760 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  23:06 1.752  WFC   60.1  180  g                                
 512761 NGC7128 r        21:44:20.00 +53:43:59.9 2000.00  23:08 1.743  WFC   30.1  180  r                                
 512762 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  23:09 1.733  WFC   44.6  180  stromgren u                      
 512763 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  23:11 1.725  WFC   30.1  180  stromgren v                      
 512764 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  23:12 1.718  WFC   30.1  180  stromgren b                      
 512765 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  23:13 1.710  WFC   25.1  180  stromgren y                      
 512766 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  23:14 1.702  WFC   60.1  180  g                                
 512767 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  23:16 1.693  WFC   30.1  180  r                                
 512768 NGC7128 u        21:44:20.00 +53:43:59.9 2000.00  23:18 1.682  WFC   45.1  180  stromgren u                      
 512769 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  23:19 1.674  WFC   30.1  180  stromgren v                      
 512770 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  23:20 1.667  WFC   30.1  180  stromgren b                      
 512771 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  23:21 1.660  WFC   30.1  180  stromgren y                      
 512772 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  23:23 1.652  WFC   60.0  180  g                                
 512773 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  23:24 1.644  WFC   30.1  180  r                                
 512774 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  23:26 1.637  WFC   44.5  180  stromgren u                      
 512775 NGC7128 v        21:44:19.99 +53:44:00.0 2000.00  23:27 1.630  WFC   30.1  180  stromgren v                      
 512776 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  23:28 1.623  WFC   29.6  180  stromgren b                      
 512777 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  23:29 1.617  WFC   29.6  180  stromgren y                      
 512778 NGC7128 g        21:44:20.00 +53:43:59.9 2000.00  23:31 1.609  WFC   60.0  180  g                                
 512779 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  23:32 1.601  WFC   40.1  180  r                                
 512780 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  23:34 1.594  WFC   45.1  180  stromgren u                      
 512781 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  23:35 1.587  WFC   29.5  180  stromgren v                      
 512782 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  23:36 1.582  WFC   30.1  180  stromgren b                      
 512783 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  23:37 1.576  WFC   30.1  180  stromgren y                      
 512784 NGC7128 g        21:44:19.99 +53:43:59.9 2000.00  23:39 1.568  WFC   60.1  180  g                                
 512785 NGC7128 r        21:44:19.99 +53:43:59.9 2000.00  23:40 1.561  WFC   40.1  180  r                                
 512786 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  23:42 1.554  WFC   45.1  180  stromgren u                      
 512787 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  23:43 1.548  WFC   29.5  180  stromgren v                      
 512788 NGC7128 b        21:44:19.99 +53:43:59.9 2000.00  23:44 1.543  WFC   30.1  180  stromgren b                      
 512789 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  23:46 1.537  WFC   30.1  180  stromgren y                      
 512790 NGC7128 g        21:44:20.00 +53:44:00.0 2000.00  23:47 1.530  WFC   59.5  180  g                                
 512791 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  23:48 1.523  WFC   39.6  180  r                                
 512792 NGC7128 u        21:44:19.99 +53:44:00.0 2000.00  23:50 1.517  WFC   45.1  180  stromgren u                      
 512793 NGC7128 v        21:44:20.00 +53:43:59.9 2000.00  23:51 1.511  WFC   30.1  180  stromgren v                      
 512794 NGC7128 b        21:44:20.00 +53:44:00.0 2000.00  23:52 1.506  WFC   30.1  180  stromgren b                      
 512795 NGC7128 y        21:44:19.99 +53:44:00.0 2000.00  23:54 1.501  WFC   30.1  180  stromgren y                      
 512796 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  23:55 1.495  WFC   60.1  180  g                                
 512797 NGC7128 r        21:44:19.99 +53:44:00.0 2000.00  23:57 1.488  WFC   40.1  180  r                                
 512798 NGC7128 u        21:44:20.01 +53:44:00.0 2000.00  23:58 1.482  WFC   45.1  180  stromgren u                      
 512799 NGC7128 v        21:44:20.00 +53:44:00.0 2000.00  23:59 1.477  WFC   30.1  180  stromgren v                      
 512800 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  00:01 1.472  WFC   30.1  180  stromgren b                      
 512801 NGC7128 y        21:44:19.99 +53:43:59.9 2000.00  00:02 1.467  WFC   30.1  180  stromgren y                      
 512802 NGC7128 g        21:44:19.99 +53:44:00.0 2000.00  00:03 1.461  WFC   59.5  180  g                                
 512803 NGC7128 r        21:44:20.00 +53:44:00.0 2000.00  00:05 1.456  WFC   40.1  180  r                                
 512804 NGC7128 u        21:44:20.00 +53:44:00.0 2000.00  00:06 1.450  WFC   45.1  180  stromgren u                      
 512805 NGC7128 v        21:44:19.98 +53:44:00.0 2000.00  00:07 1.445  WFC   30.1  180  stromgren v                      
 512806 NGC7128 b        21:44:19.99 +53:44:00.0 2000.00  00:09 1.440  WFC   30.1  180  stromgren b                      
 512807 NGC7128 y        21:44:20.00 +53:44:00.0 2000.00  00:10 1.436  WFC   30.1  180  stromgren y                      
