INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 15 07:16

TELESCOPE             INT
DATE                  20060714
OBSERVER/S            J Southworth
PROGRAMME             Eclipsing binaries in open clusters
PROPOSAL REF          P11         
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:20
EVENING TWILIGHT (UT) 21:44
MORNING TWILIGHT (UT) 04:51
SUNRISE (UT)          06:15
%ILLUM. LUNAR DISK    80
DARK TIME (HRS)       07:07
TWILIGHT TIME (HRS)   02:48
MOONRISE (UT)         22:55
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for first half of night
No Met data available for second half of night


TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
humid (60%), bit windy (40 km/h) but often good seeing and no time lost

COMMENTS (causes of time lost, setup information eg CCD windows):
focus 43.52



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 514790 Bias frame        0:00:00.00 +00:00:00.0 2006.533 13:25 4.639  WFC    0.0  180  stromgren u                      
 514791 Bias frame        0:00:00.00 +00:00:00.0 2006.533 13:26 4.639  WFC    0.0  180  stromgren u                      
 514792 Bias frame        0:00:00.00 +00:00:00.0 2006.533 13:26 4.639  WFC    0.0  180  stromgren u                      
 514793 Bias frame        0:00:00.00 +00:00:00.0 2006.533 13:27 4.639  WFC    0.0  180  stromgren u                      
 514794 Bias frame        0:00:00.00 +00:00:00.0 2006.533 13:28 4.639  WFC    0.0  180  stromgren u                      
 514795 Bias              0:00:00.00 +00:00:00.0 2006.533 20:05 1.000  WFC    0.0  180  stromgren u                      
 514796 Bias              0:00:00.00 +00:00:00.0 2000.00  20:05 1.013  WFC    0.0  180  stromgren u                      
 514797 Bias              0:00:00.00 +00:00:00.0 2000.00  20:06 1.176  WFC    0.0  180  stromgren u                      
 514798 Bias             15:15:48.00 -00:42:50.1 2000.00  20:07 1.177  WFC    0.0  180  stromgren u                      
 514799 Bias             15:15:48.00 -00:42:49.9 2000.00  20:07 1.176  WFC    0.0  180  stromgren u                      
 514800 Bias             15:15:47.99 -00:42:50.0 2000.00  20:08 1.176  WFC    0.0  180  stromgren u                      
 514801 Bias             15:15:48.00 -00:42:50.0 2000.00  20:08 1.175  WFC    0.0  180  stromgren u                      
 514802 Bias             15:15:48.00 -00:42:49.9 2000.00  20:09 1.174  WFC    0.0  180  stromgren u                      
 514803 Bias             15:15:48.00 -00:42:50.0 2000.00  20:10 1.174  WFC    0.0  180  stromgren u                      
 514804 Bias             15:15:47.99 -00:42:49.9 2000.00  20:10 1.173  WFC    0.0  180  stromgren u                      
 514805 skyflat u        15:15:48.00 -00:42:49.9 2000.00  20:21 1.163  WFC    3.1  180  stromgren u                      
 514806 skyflat u        15:15:47.52 -00:42:54.6 2000.00  20:22 1.162  WFC    3.1  180  stromgren u                      
 514807 skyflat u        15:15:48.33 -00:42:46.0 2000.00  20:23 1.161  WFC    4.0  180  stromgren u                      
 514808 skyflat v        15:15:48.33 -00:42:46.0 2000.00  20:24 1.160  WFC    3.1  180  stromgren v                      
 514809 skyflat v        15:15:48.53 -00:42:32.0 2000.00  20:26 1.159  WFC    3.1  180  stromgren v                      
 514810 skyflat v        15:15:48.74 -00:43:01.9 2000.00  20:27 1.159  WFC    2.6  180  stromgren v                      
 514811 skyflat v        15:15:52.06 -00:42:16.0 2000.00  20:28 1.158  WFC    4.1  180  stromgren v                      
 514812 skyflat b        15:15:52.06 -00:42:15.9 2000.00  20:29 1.157  WFC    2.6  180  stromgren b                      
