INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 16 07:14

TELESCOPE             INT
DATE                  20060715
OBSERVER/S            J Southworth
PROGRAMME             Eclipsing binaries in open clusters
PROPOSAL REF          P11         
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:20
EVENING TWILIGHT (UT) 21:44
MORNING TWILIGHT (UT) 04:52
SUNRISE (UT)          06:16
%ILLUM. LUNAR DISK    70
DARK TIME (HRS)       07:08
TWILIGHT TIME (HRS)   02:48
MOONRISE (UT)         23:28
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for first half of night
No Met data available for second half of night


TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
slightly humid but good seeing

COMMENTS (causes of time lost, setup information eg CCD windows):
focus 43.6



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 515207 Bias              0:00:00.00 +00:00:00.0 2006.535 12:49 4.391  WFC    0.0  180  r                                
 515208 Bias              0:00:00.00 +00:00:00.0 2006.535 12:50 4.391  WFC    0.0  180  r                                
 515209 Bias             17:00:00.00 +41:00:00.0 2000.00  20:17 1.165  WFC    0.0  180  stromgren u                      
 515210 Bias             16:59:59.99 +41:00:00.0 2000.00  20:18 1.164  WFC    0.0  180  stromgren u                      
 515211 Bias             16:59:59.99 +41:00:00.0 2000.00  20:18 1.163  WFC    0.0  180  stromgren u                      
 515212 Bias             17:00:00.00 +41:00:00.0 2000.00  20:19 1.162  WFC    0.0  180  stromgren u                      
 515213 Bias             17:00:00.00 +40:59:59.9 2000.00  20:19 1.160  WFC    0.0  180  stromgren u                      
 515214 skyflat u        17:00:00.00 +41:00:00.0 2000.00  20:20 1.159  WFC    3.1  180  stromgren u                      
 515215 skyflat u        17:00:00.44 +41:00:07.0 2000.00  20:21 1.157  WFC    3.1  180  stromgren u                      
 515216 skyflat u        16:59:59.55 +40:59:53.9 2000.00  20:22 1.155  WFC    3.1  180  stromgren u                      
 515217 skyflat u        16:59:59.55 +40:59:53.9 2000.00  20:23 1.153  WFC    3.1  180  stromgren u                      
 515218 skyflat v        16:59:59.55 +40:59:53.9 2000.00  20:24 1.151  WFC    3.1  180  stromgren v                      
 515219 skyflat v        17:00:00.44 +41:00:06.9 2000.00  20:25 1.148  WFC    3.1  180  stromgren v                      
 515220 skyflat v        17:00:00.96 +41:00:13.1 2000.00  20:26 1.146  WFC    3.1  180  stromgren v                      
 515221 skyflat v        17:00:00.53 +41:00:22.3 2000.00  20:27 1.144  WFC    3.1  180  stromgren v                      
 515222 skyflat b        17:00:00.53 +41:00:21.9 2000.00  20:28 1.142  WFC    3.1  180  stromgren b                      
 515223 skyflat b        17:00:00.43 +40:59:39.0 2000.00  20:30 1.139  WFC    3.1  180  stromgren b                      
 515224 skyflat b        16:59:58.76 +41:00:11.0 2000.00  20:30 1.137  WFC    3.1  180  stromgren b                      
 515225 skyflat b        17:00:00.35 +41:00:03.9 2000.00  20:32 1.135  WFC    4.1  180  stromgren b                      
 515226 skyflat y        17:00:00.35 +41:00:03.9 2000.00  20:32 1.134  WFC    8.1  180  stromgren y                      
 515227 skyflat y        16:59:59.02 +40:59:52.0 2000.00  20:33 1.131  WFC   12.1  180  stromgren y                      
 515228 skyflat y        16:59:59.02 +41:00:07.9 2000.00  20:35 1.129  WFC   18.1  180  stromgren y                      
 515229 skyflat g        16:59:59.02 +41:00:07.9 2000.00  20:37 1.125  WFC    3.1  180  g                                
 515230 skyflat g        16:59:58.76 +41:00:10.5 2000.00  20:38 1.123  WFC    3.0  180  g                                
 515231 skyflat g        17:00:00.35 +41:00:04.1 2000.00  20:39 1.121  WFC    5.1  180  g                                
 515232 skyflat r        17:00:00.34 +41:00:04.0 2000.00  20:41 1.119  WFC    8.1  180  r                                
 515233 skyflat r        16:59:58.14 +41:00:34.0 2000.00  20:42 1.117  WFC   17.1  180  r                                
 515234 skyflat r        17:00:00.00 +40:59:59.9 2000.00  20:43 1.114  WFC   22.5  180  r                                
 515235 Focus run        15:30:49.89 +06:00:57.0 2000.00  20:54 1.087  WFC   20.1  180  r                                
 515236 CA               12:28:59.99 +10:40:00.0 2000.00  20:58 1.388  WFC   30.1  180  r                                
 515237 Ca               12:29:08.13 +10:40:00.0 2000.00  20:59 1.401  WFC  119.5  180  r                                
 515238 Ca               12:29:08.14 +10:40:00.0 2000.00  21:02 1.415  WFC  120.1  180  r                                
 515239 Ca               12:29:08.14 +10:40:00.0 2000.00  21:05 1.429  WFC  120.1  180  r                                
 515240 Ca               12:29:08.13 +10:39:59.9 2000.00  21:07 1.443  WFC  120.0  180  r                                
 515241 Ca               12:29:08.14 +10:40:00.0 2000.00  21:10 1.458  WFC  120.0  180  r                                
 515242 Ca               12:29:08.13 +10:39:59.9 2000.00  21:13 1.473  WFC  120.1  180  r                                
 515243 Ca               12:29:08.13 +10:39:59.9 2000.00  21:15 1.489  WFC  119.5  180  r                                
 515244 Ca               12:29:08.13 +10:39:59.9 2000.00  21:18 1.505  WFC  120.0  180  r                                
 515245 Ca               12:29:08.14 +10:40:00.0 2000.00  21:20 1.522  WFC  120.0  180  r                                
 515246 Ca               12:29:08.13 +10:39:59.8 2000.00  21:23 1.539  WFC  120.0  180  r                                
 515247 Ca               12:29:08.14 +10:39:59.9 2000.00  21:26 1.558  WFC  120.1  180  r                                
 515248 Ca               12:29:08.14 +10:39:59.9 2000.00  21:28 1.577  WFC  120.1  180  r                                
 515249 Ca               12:29:08.14 +10:40:00.0 2000.00  21:31 1.596  WFC  120.0  180  r                                
 515250 Ca               12:29:08.14 +10:40:00.0 2000.00  21:34 1.616  WFC  120.1  180  r                                
 515251 Ca               12:29:08.13 +10:39:59.9 2000.00  21:36 1.636  WFC  120.0  180  r                                
 515252 Ca               12:29:08.13 +10:40:00.0 2000.00  21:39 1.658  WFC  120.0  180  r                                
 515253 Ca               12:29:08.14 +10:40:00.0 2000.00  21:41 1.680  WFC  120.0  180  r                                
 515254 Ca               12:29:08.14 +10:40:00.0 2000.00  21:44 1.703  WFC  120.0  180  r                                
 515255 Ca               12:29:08.13 +10:40:00.0 2000.00  21:47 1.726  WFC  120.0  180  r                                
 515256 Ca               12:29:08.14 +10:40:00.0 2000.00  21:49 1.751  WFC  120.0  180  r                                
 515257 Ca               12:29:08.14 +10:39:59.9 2000.00  21:52 1.777  WFC  120.1  180  r                                
 515258 Ca               12:29:08.13 +10:39:59.8 2000.00  21:55 1.803  WFC  119.5  180  r                                
 515259 Ca               12:29:08.14 +10:39:59.9 2000.00  21:57 1.830  WFC  120.0  180  r                                
 515260 Ca               12:29:08.13 +10:39:59.9 2000.00  22:00 1.859  WFC  119.5  180  r                                
