INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 18 07:20

TELESCOPE             INT
DATE                  20060717
OBSERVER/S            J Southworth
PROGRAMME             Eclipsing binaries in open clusters
PROPOSAL REF          P11         
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 
INSTRUMENT/S          WFC

SUNSET (UT)           20:19
EVENING TWILIGHT (UT) 21:43
MORNING TWILIGHT (UT) 04:53
SUNRISE (UT)          06:17
%ILLUM. LUNAR DISK    48
DARK TIME (HRS)       07:10
TWILIGHT TIME (HRS)   02:48
MOONRISE (UT)         00:33
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for first half of night
No Met data available for second half of night


TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
occasional cloud but otherwise dry, low wind and good seeing (1-1.5'')

COMMENTS (causes of time lost, setup information eg CCD windows):
focus 43.6



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 515569 Bias              0:00:00.00 +00:00:00.0 2006.541 13:50 1.000  WFC    0.0  180  stromgren u                      
 515570 Bias              7:59:59.99 +19:59:59.8 2006.541 13:57 1.017  WFC    0.0  180  stromgren u                      
 515571 Bias              0:00:00.00 +00:00:00.0 2006.542 20:02 1.000  WFC    0.0  180  r                                
 515572 Bias              0:00:00.00 +00:00:00.0 2000.00  20:03 1.033  WFC    0.0  180  r                                
 515573 Bias              0:00:00.00 +00:00:00.0 2000.00  20:04 1.001  WFC    0.0  180  r                                
 515574 Bias              0:00:00.00 +00:00:00.0 2000.00  20:04 1.000  WFC    0.0  180  r                                
 515575 Bias              0:00:00.00 +00:00:00.0 2000.00  20:05 1.000  WFC    0.0  180  r                                
 515576 Bias              0:00:00.00 +00:00:00.0 2000.00  20:05 1.000  WFC    0.0  180  r                                
 515577 Bias              0:00:00.00 +00:00:00.0 2000.00  20:06 1.089  WFC    0.0  180  r                                
 515578 Bias             13:47:42.00 +05:37:35.9 2000.00  20:06 1.112  WFC    0.0  180  r                                
 515579 Bias             13:47:42.00 +05:37:35.9 2000.00  20:07 1.113  WFC    0.0  180  r                                
 515580 Bias             13:47:41.99 +05:37:36.0 2000.00  20:08 1.113  WFC    0.0  180  r                                
 515581 skyflat u        13:47:42.00 +05:37:36.0 2000.00  20:19 1.126  WFC    3.1  180  stromgren u                      
 515582 skyflat u        13:47:42.33 +05:37:40.0 2000.00  20:21 1.130  WFC    4.1  180  stromgren u                      
 515583 skyflat u        13:47:42.73 +05:37:23.9 2000.00  20:22 1.131  WFC    4.1  180  stromgren u                      
 515584 skyflat v        13:47:42.73 +05:37:24.0 2000.00  20:24 1.133  WFC    2.5  180  stromgren v                      
 515585 skyflat v        13:47:41.12 +05:37:22.0 2000.00  20:25 1.134  WFC    3.1  180  stromgren v                      
 515586 skyflat v        13:47:42.06 +05:37:13.9 2000.00  20:26 1.136  WFC    3.1  180  stromgren v                      
 515587 skyflat v        13:47:42.06 +05:37:24.0 2000.00  20:27 1.137  WFC    3.1  180  stromgren v                      
 515588 skyflat b        13:47:42.06 +05:37:24.0 2000.00  20:28 1.139  WFC    3.1  180  stromgren b                      
 515589 skyflat b        13:47:42.93 +05:37:38.9 2000.00  20:29 1.141  WFC    3.1  180  stromgren b                      
 515590 skyflat b        13:47:43.67 +05:37:22.1 2000.00  20:30 1.142  WFC    3.1  180  stromgren b                      
 515591 skyflat y        13:47:43.68 +05:37:21.4 2000.00  20:31 1.144  WFC    8.1  180  stromgren y                      
 515592 skyflat y        13:47:40.53 +05:37:47.0 2000.00  20:32 1.146  WFC   10.1  180  stromgren y                      
 515593 skyflat y        13:47:42.26 +05:38:20.1 2000.00  20:34 1.148  WFC   14.1  180  stromgren y                      
 515595 skyflat g        13:47:42.26 +05:38:19.9 2000.00  20:36 1.151  WFC    2.6  180  g                                
 515596 skyflat g        13:47:41.39 +05:37:26.9 2000.00  20:37 1.153  WFC    3.1  180  g                                
 515597 skyflat g        13:47:41.39 +05:37:07.1 2000.00  20:38 1.155  WFC    3.1  180  g                                
 515598 skyflat r        13:47:41.40 +05:37:06.9 2000.00  20:39 1.157  WFC    8.1  180  r                                
 515599 skyflat r        13:47:44.14 +05:37:17.9 2000.00  20:40 1.159  WFC   11.1  180  r                                
 515600 skyflat r        13:47:42.00 +05:37:36.0 2000.00  20:41 1.161  WFC   14.1  180  r                                
 515601 skyflat r        13:47:39.79 +05:37:31.0 2000.00  20:42 1.163  WFC   18.1  180  r                                
 515602 skyflat r        13:47:43.40 +05:37:48.0 2000.00  20:43 1.166  WFC   24.0  180  r                                
 515603 Focus run        15:30:49.90 +06:00:57.0 2000.00  20:52 1.085  WFC   14.6  180  r                                
 515604 3CVS             20:15:25.00 +37:06:00.0 2000.00  20:58 1.945  WFC   29.5  180  r                                
 515605 3CVs             20:15:25.00 +37:05:59.9 2000.00  21:00 1.919  WFC  120.0  180  r                                
 515606 3CVs             20:15:25.00 +37:06:00.0 2000.00  21:03 1.892  WFC  120.0  180  r                                
 515607 3CVs             20:15:25.00 +37:06:00.0 2000.00  21:05 1.860  WFC  180.0  180  r                                
 515608 3CVs             20:15:25.00 +37:06:00.0 2000.00  21:09 1.830  WFC  120.0  180  r                                
 515610 3CVs             20:15:25.00 +37:06:00.0 2000.00  21:12 1.803  WFC  120.0  180  r                                
 515611 3CVs             20:15:25.00 +37:05:59.9 2000.00  21:14 1.780  WFC  120.0  180  r                                
 515612 3CVs             20:15:24.99 +37:05:59.9 2000.00  21:17 1.757  WFC  120.0  180  r                                
 515613 3CVs             20:15:25.00 +37:06:00.0 2000.00  21:20 1.735  WFC  120.0  180  r                                
 515614 3CVs             20:15:25.00 +37:06:00.0 2000.00  21:22 1.713  WFC  120.0  180  r                                
 515615 3CVs             20:15:25.00 +37:06:00.0 2000.00  21:25 1.692  WFC  120.1  180  r                                
 515616 3CVs             20:15:25.00 +37:06:00.0 2000.00  21:28 1.672  WFC  120.0  180  r                                
 515617 3CVs             20:15:24.99 +37:06:00.0 2000.00  21:30 1.652  WFC  120.0  180  r                                
 515618 3CVs             20:15:25.00 +37:06:00.0 2000.00  21:33 1.633  WFC  119.5  180  r                                
 515619 3CVs             20:15:24.99 +37:06:00.0 2000.00  21:35 1.614  WFC  120.1  180  r                                
 515620 3CVs             20:15:25.00 +37:06:00.0 2000.00  21:38 1.596  WFC  120.1  180  r                                
 515621 3CVs             20:15:25.00 +37:06:00.0 2000.00  21:41 1.579  WFC  120.0  180  r                                
 515622 3CVs             20:15:25.00 +37:06:00.0 2000.00  21:43 1.562  WFC  120.0  180  r                                
 515623 3CVs             20:15:24.99 +37:05:59.9 2000.00  21:46 1.545  WFC  120.0  180  r                                
 515624 3CVs             20:15:24.99 +37:06:00.0 2000.00  21:48 1.529  WFC  120.0  180  r                                
 515625 3CVs             20:15:24.99 +37:05:59.9 2000.00  21:51 1.513  WFC  120.0  180  r                                
 515626 3CVs             20:15:24.99 +37:06:00.0 2000.00  21:54 1.498  WFC  120.0  180  r                                
 515627 3CVs             20:15:25.00 +37:06:00.0 2000.00  21:56 1.483  WFC  120.0  180  r                                
 515628 3CVs             20:15:24.99 +37:06:00.0 2000.00  21:59 1.469  WFC  120.0  180  r                                
 515629 3CVs             20:15:24.99 +37:06:00.0 2000.00  22:02 1.455  WFC  120.0  180  r                                
 515630 3CVs             20:15:25.00 +37:06:00.0 2000.00  22:04 1.440  WFC  120.0  180  r                                
 515631 3CVs             20:15:24.99 +37:06:00.0 2000.00  22:07 1.427  WFC  120.0  180  r                                
 515632 3CVs             20:15:25.00 +37:05:59.9 2000.00  22:09 1.414  WFC  120.0  180  r                                
 515633 3CVs             20:15:25.00 +37:05:59.9 2000.00  22:12 1.402  WFC  120.0  180  r                                
 515634 3CVs             20:15:24.99 +37:06:00.0 2000.00  22:15 1.389  WFC  120.0  180  r                                
 515635 3CVs             20:15:25.00 +37:05:59.9 2000.00  22:17 1.377  WFC  119.5  180  r                                
 515636 3CVs             20:15:24.99 +37:06:00.0 2000.00  22:20 1.366  WFC  120.0  180  r                                
 515637 3CVs             20:15:25.00 +37:06:00.0 2000.00  22:22 1.354  WFC  120.0  180  r                                
 515638 3CVs             20:15:25.00 +37:05:59.9 2000.00  22:25 1.343  WFC  119.5  180  r                                
 515639 3CVs             20:15:25.00 +37:05:59.9 2000.00  22:28 1.332  WFC  120.0  180  r                                
 515640 3CVs             20:15:25.00 +37:05:59.9 2000.00  22:30 1.322  WFC  120.0  180  r                                
 515641 3CVs             20:15:25.00 +37:06:00.0 2000.00  22:33 1.311  WFC  120.0  180  r                                
 515642 3CVs             20:15:24.99 +37:06:00.0 2000.00  22:36 1.302  WFC  120.0  180  r                                
 515643 3CVs             20:15:25.00 +37:06:00.0 2000.00  22:38 1.292  WFC  119.6  180  r                                
 515644 3CVs             20:15:25.00 +37:06:00.0 2000.00  22:41 1.282  WFC  120.0  180  r                                
 515645 3CVs             20:15:25.00 +37:06:00.0 2000.00  22:43 1.273  WFC  120.0  180  r                                
 515646 3CVs             20:15:24.99 +37:06:00.0 2000.00  22:46 1.264  WFC  120.0  180  r                                
 515647 3CVs             20:15:25.00 +37:05:59.9 2000.00  22:49 1.255  WFC  120.0  180  r                                
 515648 3CVs             20:15:25.00 +37:05:59.9 2000.00  22:51 1.247  WFC  120.0  180  r                                
 515649 3CVs             20:15:25.00 +37:06:00.0 2000.00  22:54 1.238  WFC  119.5  180  r                                
 515650 3CVs             20:15:25.00 +37:05:59.9 2000.00  22:57 1.230  WFC  120.1  180  r                                
 515651 3CVs             20:15:25.00 +37:06:00.0 2000.00  22:59 1.222  WFC  120.0  180  r                                
 515652 3CVs             20:15:25.00 +37:05:59.9 2000.00  23:02 1.214  WFC  120.1  180  r                                
 515653 3CVs             20:15:25.00 +37:06:00.0 2000.00  23:04 1.207  WFC  119.5  180  r                                
 515654 3CVs             20:15:25.00 +37:06:00.0 2000.00  23:07 1.199  WFC  120.0  180  r                                
 515655 3CVs             20:15:25.00 +37:05:59.9 2000.00  23:10 1.192  WFC  120.0  180  r                                
 515656 3CVs             20:15:24.99 +37:05:59.9 2000.00  23:12 1.185  WFC  120.0  180  r                                
 515657 3CVs             20:15:25.00 +37:06:00.0 2000.00  23:15 1.178  WFC  119.5  180  r                                
