INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 07 25 05:55

TELESCOPE             INT
DATE                  20060724
OBSERVER/S            P. Groot
PROGRAMME             UVEX: The UV Excess survey of the Galactic Plane
PROPOSAL REF          N01
TELESCOPE OPERATOR    -
SUPPORT ASTRONOMER    -

TEL STATION / FOCUS   Prime  / 43.57
INSTRUMENT/S          WFC

SUNSET (UT)           20:16
EVENING TWILIGHT (UT) 21:38
MORNING TWILIGHT (UT) 04:59
SUNRISE (UT)          06:21
%ILLUM. LUNAR DISK    0
DARK TIME (HRS)       07:21
TWILIGHT TIME (HRS)   02:44
MOONRISE (UT)         No Moon all night
MOONSET (UT)          No Moon all night

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
No Met data available for first half of night
No Met data available for second half of night


TIME LOST weather           01:00
TIME LOST Technical         00:30
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
calima all night, clouds at the end of the night. Seeing: beginning 0.8, end 1.5

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 517505 Bias frame        7:00:00.00 +60:00:00.0 2006.560 12:58 1.187  WFC    0.0  180  U                                
 517506 FRED              7:00:00.00 +59:59:59.9 2006.560 12:59 1.188  WFC   15.1  180  U                                
 517507 Bias             15:01:59.99 +29:54:59.5 2000.00  20:04 1.000  WFC    0.0  180  HeI 5870                         
 517508 Bias             15:02:00.00 +29:54:59.7 2000.00  20:05 1.000  WFC    0.0  180  HeI 5870                         
 517509 Bias             15:02:00.00 +29:54:59.9 2000.00  20:06 1.000  WFC    0.0  180  HeI 5870                         
 517510 Bias             15:01:59.99 +29:55:00.0 2000.00  20:06 1.000  WFC    0.0  180  HeI 5870                         
 517511 Bias             15:01:59.99 +29:54:59.9 2000.00  20:07 1.000  WFC    0.0  180  HeI 5870                         
 517512 Bias             15:01:59.99 +29:55:00.0 2000.00  20:07 1.000  WFC    0.0  180  HeI 5870                         
 517513 Bias             15:01:59.99 +29:54:59.9 2000.00  20:08 1.000  WFC    0.0  180  HeI 5870                         
 517514 Bias             15:01:59.99 +29:54:59.7 2000.00  20:08 1.000  WFC    0.0  180  HeI 5870                         
 517515 Bias             15:01:59.99 +29:55:00.0 2000.00  20:09 1.000  WFC    0.0  180  HeI 5870                         
 517516 skyflat He1 2s   15:01:59.99 +29:55:00.0 2000.00  20:12 1.001  WFC    2.1  180  HeI 5870                         
 517517 skyflat He1 2s   15:02:00.76 +29:55:00.0 2000.00  20:13 1.001  WFC    2.1  180  HeI 5870                         
 517518 skyflat He1 2s   15:02:01.53 +29:55:00.0 2000.00  20:14 1.001  WFC    2.1  180  HeI 5870                         
 517519 skyflat He1 2s   15:02:02.30 +29:55:00.1 2000.00  20:15 1.001  WFC    2.1  180  HeI 5870                         
 517520 skyflat He1 2s   15:02:03.08 +29:54:59.9 2000.00  20:16 1.001  WFC    2.0  180  HeI 5870                         
 517521 skyflat He1 3s   15:02:03.84 +29:54:59.9 2000.00  20:17 1.001  WFC    3.1  180  HeI 5870                         
 517522 skyflat He1 3s   15:02:04.61 +29:55:00.0 2000.00  20:17 1.002  WFC    3.1  180  HeI 5870                         
 517523 skyflat U 3s     15:02:04.61 +29:54:59.9 2000.00  20:18 1.002  WFC    2.6  180  U                                saturated
 517524 skyflat U 2s     15:02:03.84 +29:55:00.0 2000.00  20:19 1.002  WFC    1.5  180  U                                
 517525 skyflat U 2s     15:02:04.61 +29:54:59.9 2000.00  20:20 1.002  WFC    2.1  180  U                                
 517526 skyflat U 2s     15:02:03.07 +29:54:59.9 2000.00  20:21 1.002  WFC    2.1  180  U                                
 517527 skyflat U 2s     15:02:02.30 +29:54:59.9 2000.00  20:22 1.003  WFC    2.1  180  U                                
