INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 09 19 07:38

TELESCOPE             INT
DATE                  20060918
OBSERVER/S            Yogesh Joshi, Mark Crockett
PROGRAMME             Eclipsing Binary in nearby galaxies
PROPOSAL REF          P3
TELESCOPE OPERATOR    Yogesh Joshi
SUPPORT ASTRONOMER    -

TEL STATION / FOCUS   Prime  / 43.58
INSTRUMENT/S          WFC

SUNSET (UT)           19:21
EVENING TWILIGHT (UT) 20:33
MORNING TWILIGHT (UT) 05:39
SUNRISE (UT)          06:51
%ILLUM. LUNAR DISK    11
DARK TIME (HRS)       09:06
TWILIGHT TIME (HRS)   02:24
MOONRISE (UT)         04:06
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00  12.0   28    24.2  26.2  304   773.2   12.0  15.7    16.7   28    21 
21:00  12.0   28    20.2  27.8  311   773.4   12.0  13.5    16.4   28    24 
22:00  12.2   23    20.9  24.6  312   774.1   12.2  13.3    15.9   23    21 
23:00  12.1   19    17.9  20.5  300   774.3   12.1  12.9    15.9   19    18 
00:00  12.9   18    26.0  25.1  297   774.3   12.9  13.1    15.8   18    18 
01:00  13.2   12    15.3  20.7  292   774.2   13.2  13.5    15.8   12    12 
02:00  12.6   11    13.4  16.7  291   773.7   12.6  13.4    15.7   11    10 
03:00  13.0   10    21.5  25.3  293   773.3   13.0  13.2    15.5   10    10 
04:00  11.8   14    23.8  26.3  297   772.9   11.8  13.0    15.1   14    13 
05:00  11.8   16    26.3  28.8  301   772.3   11.8  12.6    14.7   16    15 
06:00  11.8   14    25.7  26.9  300   772.0   11.8  12.6    14.8   14    13 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
clear sky, typical seeing during the observations was 1.0"-1.3"

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 526359 Bias             11:00:00.00 +20:00:00.0 2006.713 13:13 1.033  WFC    0.0  180  V                                bad bias
 526360 Flat field       15:15:48.00 -00:42:50.0 2000.00  19:28 1.570  WFC    5.1  180  B                                bad flat
 526361 Flat field       15:15:48.00 -00:42:39.9 2000.00  19:33 1.602  WFC    5.1  180  B                                bad flat
 526362 Flat field       16:24:33.00 +55:43:58.9 2000.00  19:45 1.211  WFC   10.1  180  B                                
 526363 Flat field       16:24:34.18 +55:43:58.9 2000.00  19:47 1.214  WFC   20.1  180  B                                
 526364 Flat field       16:24:33.00 +55:44:08.9 2000.00  19:48 1.216  WFC   40.1  180  B                                
 526365 Flat field       16:24:34.18 +55:44:08.9 2000.00  19:50 1.220  WFC   60.0  180  B                                
 526366 NGC6822          19:44:56.75 -14:48:24.4 2000.00  20:23 1.402  WFC  499.8  180  B                                
 526367 Bias             19:44:56.75 -14:48:24.5 2000.00  20:32 1.396  WFC    0.0  180  B                                
 526368 Bias             19:44:56.74 -14:48:24.5 2000.00  20:33 1.396  WFC    0.0  180  B                                
 526369 Bias             19:44:56.74 -14:48:24.5 2000.00  20:33 1.395  WFC    0.0  180  B                                
 526370 Bias             19:44:56.75 -14:48:24.5 2000.00  20:34 1.394  WFC    0.0  180  B                                
 526371 Bias             19:44:56.75 -14:48:24.5 2000.00  20:34 1.394  WFC    0.0  180  B                                
 526372 Bias             19:44:56.75 -14:48:24.5 2000.00  20:35 1.393  WFC    0.0  180  B                                
 526373 Bias             19:44:56.75 -14:48:24.5 2000.00  20:36 1.393  WFC    0.0  180  B                                
 526374 Bias             19:44:56.74 -14:48:24.5 2000.00  20:36 1.392  WFC    0.0  180  B                                
 526375 Bias             19:44:56.75 -14:48:24.5 2000.00  20:37 1.392  WFC    0.0  180  B                                
 526376 Bias             19:44:56.75 -14:48:24.5 2000.00  20:37 1.391  WFC    0.0  180  B                                
 526377 NGC6822          19:44:56.75 -14:48:24.5 2000.00  20:39 1.387  WFC  399.9  180  B                                
 526378 NGC6822          19:44:56.75 -14:48:24.5 2000.00  20:46 1.383  WFC  399.8  180  B                                
 526379 NGC6822          19:44:56.74 -14:48:24.5 2000.00  20:54 1.380  WFC  399.8  180  B                                
 526380 NGC6822          19:44:56.74 -14:48:24.5 2000.00  21:01 1.379  WFC  399.9  180  B                                
