INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 09 21 08:20

TELESCOPE             INT
DATE                  20060920
OBSERVER/S            Francesc Vilardell
PROGRAMME             Direct distance determination to M31 from eclipsing binaries
PROPOSAL REF          38-INT12/06B
TELESCOPE OPERATOR    None
SUPPORT ASTRONOMER    Romano Corradi

TEL STATION / FOCUS   Prime  / 
INSTRUMENT/S          WFC

SUNSET (UT)           19:19
EVENING TWILIGHT (UT) 20:31
MORNING TWILIGHT (UT) 05:40
SUNRISE (UT)          06:52
%ILLUM. LUNAR DISK    2
DARK TIME (HRS)       09:09
TWILIGHT TIME (HRS)   02:24
MOONRISE (UT)         05:55
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00   7.7   72    34.3  35.3  303   770.1    7.7  12.1    14.7   72    54 
21:00   7.0   82    37.2  38.6  298   770.2    7.0   9.6    14.8   82    73 
22:00   7.8   55    38.2  40.6  308   770.5    7.8  10.1    14.7   55    39 
23:00   8.7   23    28.2  30.9  298   771.2    8.7  10.0    14.7   23    20 
00:00   8.2   68    26.6  32.4  343   771.1    8.2   9.8    14.5   68    68 
01:00   8.7   78    27.0  30.5  327   770.9    8.7  10.6    14.7   78    71 
02:00   9.4   69    32.6  35.0  304   770.8    9.4  10.5    14.6   69    71 
03:00   9.5   67    34.1  34.9  302   770.4    9.5  10.8    14.2   67    65 
04:00   9.5   65    30.9  35.3  299   770.1    9.5  10.7    13.8   65    64 
05:00   9.4   64    38.5  41.0  298   769.9    9.4  10.4    13.4   64    63 
06:00   9.4   48    37.1  44.3  304   769.7    9.4  10.3    13.4   48    49 

TIME LOST weather           02:30
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Very wet the first part of the night. Windy the whole night

COMMENTS (causes of time lost, setup information eg CCD windows):
Humidity over 90% during more than 2 hours



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 526561 Bias              0:00:00.00 +00:00:00.0 2006.719 12:26 1.483  WFC    0.0  180  V                                
 526562 Bias              0:00:00.00 +00:00:00.0 2000.00  12:30 1.019  WFC    0.0  180  V                                
 526563 BIGDON            0:00:00.00 +00:00:00.0 2000.00  12:32 1.002  WFC   15.1  180  V                                
 526564 Bias             12:15:00.00 +39:59:59.9 2000.00  12:35 1.039  WFC    0.0  180  V                                
 526565 Bias              0:00:00.00 +00:00:00.0 2000.00  13:15 4.538  WFC    0.0  180  V                                
 526566 Bias              0:00:00.00 +00:00:00.0 2000.00  14:50 4.538  WFC    0.0  180  V                                
 526567 Bias              0:00:00.00 +00:00:00.0 2000.00  15:01 4.538  WFC    0.0  180  V                                
 526568 domeflat          0:00:00.00 +00:00:00.0 2000.00  15:15 1.128  WFC    3.1  180  V                                
 526569 domeflat          0:00:00.00 +00:00:00.0 2000.00  15:16 1.128  WFC    3.0  180  V                                
 526570 Skyflat B        16:52:32.99 -15:25:56.9 2000.00  19:34 1.526  WFC    3.1  180  B                                
 526571 Skyflat B        16:52:33.69 -15:25:46.9 2000.00  19:36 1.530  WFC    4.1  180  B                                
 526572 Skyflat B        16:52:34.38 -15:25:36.9 2000.00  19:37 1.535  WFC    4.5  180  B                                
 526573 Skyflat B        16:52:35.08 -15:25:26.9 2000.00  19:38 1.539  WFC    5.1  180  B                                
 526574 Skyflat B        16:52:35.76 -15:25:16.9 2000.00  19:39 1.543  WFC    8.1  180  B                                
 526575 Skyflat V        16:52:35.76 -15:25:16.9 2000.00  19:41 1.547  WFC   13.1  180  V                                
 526576 Skyflat V        16:52:30.23 -15:26:36.9 2000.00  19:42 1.554  WFC   19.1  180  V                                
 526577 Skyflat V        16:52:30.92 -15:26:26.9 2000.00  19:43 1.558  WFC   25.1  180  V                                
 526578 Skyflat V        16:52:30.92 -15:26:27.0 2000.00  19:45 1.566  WFC   39.1  180  V                                Too many stars and no offset
 526579 Focus run        18:43:02.40 +00:30:57.0 2000.00  20:11 1.136  WFC   10.1  180  V                                
 526580 Focus run        18:43:02.40 +00:30:57.0 2000.00  20:22 1.141  WFC   10.1  180  V                                
 526581 M31 V             0:44:46.00 +41:38:19.9 2000.00  21:21 1.742  WFC  899.1  180  V                                
 526582 M31 B             0:44:46.00 +41:38:20.0 2000.00  21:39 1.612  WFC  899.5  180  B                                
 526583 M31 B             0:44:46.00 +41:38:19.9 2000.00  21:59 1.495  WFC  899.5  180  B                                
 526584 M31 V             0:44:45.99 +41:38:20.1 2000.00  22:14 1.416  WFC  899.5  180  V                                
 526585 M31 B             0:44:46.00 +41:38:20.1 2000.00  22:30 1.348  WFC  899.0  180  B                                
 526586 M31 V             0:44:46.00 +41:38:20.1 2000.00  22:46 1.290  WFC  899.5  180  V                                
 526588 Bias              0:00:00.00 +00:00:00.0 2000.00  23:27 1.000  WFC    0.0  180  V                                
 526589 Bias              0:00:00.00 +00:00:00.0 2000.00  23:28 1.000  WFC    0.0  180  V                                
 526590 Bias              0:00:00.00 +00:00:00.0 2000.00  23:29 1.000  WFC    0.0  180  V                                
 526591 Bias              0:00:00.00 +00:00:00.0 2000.00  23:29 1.000  WFC    0.0  180  V                                
 526592 Bias              0:00:00.00 +00:00:00.0 2000.00  23:30 1.000  WFC    0.0  180  V                                
 526593 Bias              0:00:00.00 +00:00:00.0 2000.00  23:30 1.000  WFC    0.0  180  V                                
 526594 Bias              0:00:00.00 +00:00:00.0 2000.00  23:31 1.000  WFC    0.0  180  V                                
 526595 Bias              0:00:00.00 +00:00:00.0 2000.00  23:32 1.000  WFC    0.0  180  V                                
 526596 Bias              0:00:00.00 +00:00:00.0 2000.00  23:32 1.000  WFC    0.0  180  V                                
 526597 Bias              0:00:00.00 +00:00:00.0 2000.00  23:33 1.000  WFC    0.0  180  V                                
 526598 M31 V             0:44:45.99 +41:38:19.9 2000.00  01:24 1.030  WFC  899.6  180  V                                
 526599 M31 B             0:44:46.00 +41:38:19.9 2000.00  01:40 1.027  WFC  899.5  180  B                                
 526600 M31 V             0:44:45.99 +41:38:20.0 2000.00  01:56 1.026  WFC  899.5  180  V                                
 526601 M31 B             0:44:46.00 +41:38:19.9 2000.00  02:12 1.029  WFC  899.6  180  B                                
 526602 M31 V             0:44:45.99 +41:38:19.9 2000.00  02:28 1.036  WFC  899.5  180  V                                
 526603 M31 B             0:44:45.99 +41:38:20.0 2000.00  02:44 1.046  WFC  899.5  180  B                                
 526604 M31 V             0:44:45.99 +41:38:20.0 2000.00  03:00 1.059  WFC  899.0  180  V                                
 526605 M31 B             0:44:46.00 +41:38:20.1 2000.00  03:16 1.077  WFC  899.5  180  B                                
 526606 M31 V             0:44:46.00 +41:38:20.2 2000.00  03:31 1.098  WFC  899.5  180  V                                
 526607 M31 B             0:44:45.99 +41:38:20.2 2000.00  03:47 1.124  WFC  899.5  180  B                                
 526608 M31 V             0:44:46.00 +41:38:20.0 2000.00  04:03 1.155  WFC  899.5  180  V                                
 526609 M31 B             0:44:46.00 +41:38:19.9 2000.00  04:19 1.191  WFC  899.5  180  B                                
 526610 M31 V             0:44:45.99 +41:38:20.1 2000.00  04:35 1.233  WFC  899.6  180  V                                
 526611 ToO V             2:12:16.99 +12:56:59.9 2000.00  04:54 1.119  WFC  239.9  180  V                                
 526612 ToO               2:12:16.99 +12:57:00.0 2000.00  05:02 1.133  WFC  240.0  180  V                                
 526613 ToO               2:12:17.00 +12:56:59.9 2000.00  05:07 1.143  WFC  239.4  180  V                                
 526614 M31 B             0:44:46.00 +41:38:19.8 2000.00  05:14 1.368  WFC  899.5  180  B                                
 526615 ToO V             2:12:17.00 +12:57:00.0 2000.00  05:49 1.263  WFC  239.4  180  V                                Twilight
 526616 ToO V             2:12:17.00 +12:56:59.9 2000.00  05:54 1.280  WFC  239.4  180  V                                Twilight
 526617 Skyflat V         2:58:00.00 -00:06:00.1 2000.00  06:27 1.384  WFC   26.1  180  V                                
 526618 Skyflat V         2:58:00.00 -00:05:59.9 2000.00  06:29 1.389  WFC   19.1  180  V                                
 526619 Skyflat V         2:57:59.99 -00:05:59.8 2000.00  06:30 1.395  WFC   14.1  180  V                                
 526620 Skyflat V         2:58:00.00 -00:05:59.9 2000.00  06:31 1.400  WFC   10.1  180  V                                
 526621 Skyflat V         2:58:00.00 -00:06:00.0 2000.00  06:32 1.405  WFC    8.1  180  V                                
 526622 Skyflat B         2:58:00.00 -00:05:59.9 2000.00  06:33 1.410  WFC    5.1  180  B                                
 526623 Skyflat B         2:57:59.99 -00:06:00.0 2000.00  06:35 1.415  WFC    4.1  180  B                                
 526624 Skyflat B         2:58:00.00 -00:06:00.0 2000.00  06:36 1.420  WFC    4.1  180  B                                
 526625 Skyflat B         2:57:59.99 -00:05:59.9 2000.00  06:37 1.425  WFC    3.1  180  B                                
 526626 Bias              0:00:00.00 +00:00:00.0 2000.00  07:08 4.252  WFC    0.0  180  B                                
 526627 Bias              0:00:00.00 +00:00:00.0 2000.00  07:08 4.252  WFC    0.0  180  B                                
 526628 Bias              0:00:00.00 +00:00:00.0 2000.00  07:09 4.252  WFC    0.0  180  B                                
 526629 Bias              0:00:00.00 +00:00:00.0 2000.00  07:09 4.252  WFC    0.0  180  B                                
 526630 Bias              0:00:00.00 +00:00:00.0 2000.00  07:10 4.252  WFC    0.0  180  B                                
