INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 09 27 08:10

TELESCOPE             INT
DATE                  20060926
OBSERVER/S            Yogesh Joshi
PROGRAMME             Eclipsing binaries in nearby galaxies
PROPOSAL REF          P3
TELESCOPE OPERATOR    -
SUPPORT ASTRONOMER    -

TEL STATION / FOCUS   Prime  / 43.60
INSTRUMENT/S          WFC

SUNSET (UT)           19:12
EVENING TWILIGHT (UT) 20:23
MORNING TWILIGHT (UT) 05:44
SUNRISE (UT)          06:55
%ILLUM. LUNAR DISK    18
DARK TIME (HRS)       09:21
TWILIGHT TIME (HRS)   02:22
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          21:17

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00   9.0   49    31.4  33.5  167   771.8   n.a.  n.a.    n.a.  n.a.   n.a.
21:00   8.8   50    31.7  32.7  165   772.1   n.a.  n.a.    n.a.  n.a.   n.a.
22:00   8.8   58    26.2  29.7  162   772.3   n.a.  n.a.    n.a.  n.a.   n.a.
23:00   8.5   63    28.3  29.3  172   772.7   n.a.  n.a.    n.a.  n.a.   n.a.
00:00   9.9   48    24.2  29.7  199   772.6    9.9  10.3    12.9   48    49 
01:00  11.1   31    29.3  37.4  207   772.4   11.1  11.7    13.3   31    29 
02:00  10.4   41    16.7  20.3  163   772.2   10.4  11.3    13.5   41    37 
03:00  10.6   38    20.0  23.7  172   772.0   10.6  11.5    13.2   38    35 
04:00  10.4   41    23.9  25.0  190   771.8   10.4  11.4    13.4   41    38 
05:00  11.0   32    25.1  35.5  221   771.6   11.0  11.9    13.5   32    29 
06:00  10.5   37    17.4  17.5  204   771.6   10.5  11.9    13.6   37    32 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
clear sky, partial clouds during early hours,  typical seeing about 1.4 arcsec

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 527171 Bias frame        0:00:00.00 +00:00:00.0 2006.735 12:56 2.192  WFC    0.0  180  V                                
 527172 Flat field       16:24:33.00 +55:43:59.0 2000.00  19:29 1.237  WFC    4.1  180  B                                
 527173 Flat field       16:24:34.18 +55:43:58.9 2000.00  19:30 1.238  WFC    5.1  180  B                                
 527174 Flat field       16:24:34.18 +55:44:09.3 2000.00  19:31 1.240  WFC    6.1  180  B                                
 527175 Flat field       16:24:32.99 +55:44:08.9 2000.00  19:32 1.242  WFC    9.0  180  B                                
 527176 Flat field       16:24:32.99 +55:43:49.1 2000.00  19:32 1.244  WFC   13.1  180  B                                
 527177 Flat field       16:24:31.81 +55:43:49.0 2000.00  19:34 1.246  WFC   20.1  180  B                                
 527178 Flat field       16:24:31.82 +55:43:59.1 2000.00  19:35 1.248  WFC   28.1  180  B                                
 527179 Flat field       16:24:31.81 +55:44:19.3 2000.00  19:36 1.251  WFC   35.1  180  B                                
 527180 Flat field       16:24:34.18 +55:44:19.0 2000.00  19:37 1.254  WFC   45.1  180  B                                
 527181 Flat field       16:24:34.18 +55:43:39.0 2000.00  19:39 1.257  WFC   60.1  180  B                                
 527182 Bias             19:44:56.75 -14:48:24.5 2000.00  20:02 1.395  WFC    0.0  180  B                                
 527183 Bias             19:44:56.74 -14:48:24.5 2000.00  20:02 1.394  WFC    0.0  180  B                                
 527184 Bias             19:44:56.75 -14:48:24.5 2000.00  20:03 1.394  WFC    0.0  180  B                                
 527185 Bias             19:44:56.74 -14:48:24.4 2000.00  20:04 1.393  WFC    0.0  180  B                                
 527186 Bias             19:44:56.75 -14:48:24.6 2000.00  20:04 1.393  WFC    0.0  180  B                                
 527187 NGC6822          19:44:56.75 -14:48:24.6 2000.00  20:05 1.389  WFC  499.8  180  B                                
 527188 NGC6822          19:44:56.74 -14:48:24.5 2000.00  20:14 1.383  WFC  499.8  180  B                                
 527189 NGC6822          19:44:56.75 -14:48:24.6 2000.00  20:25 1.379  WFC  499.2  180  B                                
 527190 NGC6822          19:44:56.75 -14:48:24.5 2000.00  20:34 1.379  WFC  499.8  180  B                                
 527191 NGC6822          19:44:56.75 -14:48:24.5 2000.00  20:42 1.381  WFC  499.9  180  B                                
 527192 NGC6822          19:44:56.74 -14:48:24.5 2000.00  20:51 1.386  WFC  499.8  180  B                                
 527193 NGC6822          19:44:56.75 -14:48:24.6 2000.00  21:00 1.393  WFC  499.7  180  B                                
 527194 NGC6822          19:44:56.75 -14:48:24.5 2000.00  21:09 1.403  WFC  499.8  180  B                                
 527195 NGC6822          19:44:56.75 -14:48:24.6 2000.00  21:18 1.415  WFC  499.8  180  B                                
 527196 NGC6822          19:44:56.74 -14:48:24.5 2000.00  21:27 1.430  WFC  499.7  180  B                                
 527197 NGC6822          19:44:56.75 -14:48:24.4 2000.00  21:36 1.449  WFC  499.7  180  B                                
 527198 NGC6822          19:44:56.75 -14:48:24.5 2000.00  21:45 1.470  WFC  499.8  180  B                                
 527199 NGC6822          19:44:56.75 -14:48:24.5 2000.00  21:57 1.502  WFC  499.8  180  B                                
 527200 NGC6822          19:44:56.75 -14:48:24.5 2000.00  22:06 1.532  WFC  499.8  180  B                                
 527201 NGC6822          19:44:56.75 -14:48:24.4 2000.00  22:15 1.566  WFC  499.8  180  B                                
 527202 IC1613            1:04:54.20 +02:07:59.9 2000.00  22:27 1.745  WFC  499.9  180  B                                seems thin clouds, seeing > 9 pixel, bad image
 527203 IC1613            1:04:54.20 +02:07:59.8 2000.00  22:36 1.662  WFC  499.8  180  B                                bad image, possible partial cloud
 527204 IC1613            1:04:54.19 +02:08:00.0 2000.00  22:45 1.595  WFC  499.8  180  B                                bad image, possibly partial cloud
 527205 IC1613            1:04:54.19 +02:07:59.9 2000.00  22:54 1.536  WFC  499.8  180  B                                
 527206 IC1613            1:04:54.20 +02:08:00.0 2000.00  23:03 1.483  WFC  499.8  180  B                                
 527207 IC1613            1:04:54.20 +02:08:00.0 2000.00  23:12 1.436  WFC  499.8  180  B                                
 527208 IC1613            1:04:54.19 +02:08:00.0 2000.00  23:21 1.394  WFC  499.8  180  B                                
 527209 IC1613            1:04:54.19 +02:08:00.0 2000.00  23:30 1.356  WFC  499.8  180  B                                
 527210 IC1613            1:04:54.19 +02:07:59.9 2000.00  23:39 1.322  WFC  499.8  180  B                                
 527211 IC1613            1:04:54.20 +02:07:59.9 2000.00  23:48 1.291  WFC  499.8  180  B                                
 527212 IC1613            1:04:54.20 +02:08:00.0 2000.00  23:57 1.264  WFC  499.8  180  B                                
 527213 IC1613            1:04:54.19 +02:08:00.0 2000.00  00:07 1.238  WFC  499.8  180  B                                
 527214 IC1613            1:04:54.19 +02:08:00.0 2000.00  00:16 1.217  WFC  499.8  180  B                                
 527215 IC1613            1:04:54.20 +02:08:00.0 2000.00  00:24 1.198  WFC  499.8  180  B                                
 527216 IC1613            1:04:54.20 +02:07:59.9 2000.00  00:33 1.181  WFC  499.7  180  B                                
 527217 IC1613            1:04:54.20 +02:08:00.0 2000.00  00:42 1.166  WFC  499.7  180  B                                
 527218 IC1613            1:04:54.19 +02:08:00.0 2000.00  00:51 1.154  WFC  499.8  180  B                                
 527219 IC1613            1:04:54.19 +02:08:00.0 2000.00  01:00 1.144  WFC  499.8  180  B                                
 527220 IC1613            1:04:54.20 +02:07:59.9 2000.00  01:09 1.135  WFC  499.8  180  B                                
 527221 IC1613            1:04:54.20 +02:07:59.9 2000.00  01:18 1.128  WFC  499.2  180  B                                
 527222 IC1613            1:04:54.20 +02:07:59.9 2000.00  01:27 1.123  WFC  499.8  180  B                                
 527223 IC1613            1:04:54.20 +02:08:00.0 2000.00  01:36 1.120  WFC  499.8  180  B                                
 527224 IC1613            1:04:54.19 +02:08:00.0 2000.00  01:45 1.118  WFC  499.7  180  B                                
 527225 IC1613            1:04:54.20 +02:08:00.0 2000.00  01:54 1.118  WFC  499.8  180  B                                
 527226 IC1613            1:04:54.20 +02:08:00.0 2000.00  02:03 1.120  WFC  499.7  180  B                                
 527227 IC1613            1:04:54.20 +02:07:59.9 2000.00  02:12 1.123  WFC  499.7  180  B                                
 527228 IC1613            1:04:54.20 +02:07:59.9 2000.00  02:21 1.129  WFC  499.8  180  B                                
 527229 IC1613            1:04:54.19 +02:08:00.0 2000.00  02:30 1.135  WFC  499.8  180  B                                
 527230 IC1613            1:04:54.20 +02:08:00.0 2000.00  02:39 1.144  WFC  499.9  180  B                                
 527231 IC1613            1:04:54.20 +02:07:59.9 2000.00  02:48 1.155  WFC  499.8  180  B                                
 527232 IC1613            1:04:54.19 +02:08:00.0 2000.00  02:57 1.167  WFC  499.8  180  B                                
 527233 IC1613            1:04:54.20 +02:07:59.8 2000.00  03:06 1.182  WFC  499.8  180  B                                
 527234 IC1613            1:04:54.20 +02:07:59.9 2000.00  03:14 1.199  WFC  499.8  180  B                                
 527235 IC1613            1:04:54.20 +02:07:59.9 2000.00  03:23 1.218  WFC  499.7  180  B                                
 527236 IC1613            1:04:54.20 +02:07:59.9 2000.00  03:32 1.239  WFC  499.8  180  B                                
 527237 IC1613            1:04:54.19 +02:08:00.0 2000.00  03:41 1.264  WFC  499.8  180  B                                
 527238 IC1613            1:04:54.20 +02:07:59.9 2000.00  03:50 1.291  WFC  499.8  180  B                                
 527239 IC1613            1:04:54.19 +02:07:59.9 2000.00  03:59 1.321  WFC  499.8  180  B                                
 527240 IC1613            1:04:54.20 +02:08:00.0 2000.00  04:08 1.355  WFC  499.9  180  B                                
 527241 IC1613            1:04:54.20 +02:07:59.9 2000.00  04:17 1.393  WFC  499.8  180  B                                
 527242 IC1613            1:04:54.20 +02:08:00.0 2000.00  04:26 1.435  WFC  499.8  180  B                                
 527243 IC1613            1:04:54.20 +02:08:00.0 2000.00  04:35 1.483  WFC  499.8  180  B                                
 527244 IC1613            1:04:54.20 +02:07:59.9 2000.00  04:44 1.535  WFC  499.8  180  B                                
 527245 IC1613            1:04:54.20 +02:07:59.9 2000.00  04:53 1.595  WFC  499.8  180  B                                
 527246 IC1613            1:04:54.20 +02:07:59.9 2000.00  05:02 1.661  WFC  499.8  180  B                                
 527247 IC1613            1:04:54.20 +02:08:00.0 2000.00  05:11 1.736  WFC  499.8  180  B                                
 527248 NGC2403           7:36:50.60 +65:36:09.6 2000.00  05:23 1.437  WFC  299.9  180  B                                
 527249 NGC2403           7:36:50.61 +65:36:09.5 2000.00  05:29 1.424  WFC  299.9  180  B                                
 527250 NGC2403           7:36:50.61 +65:36:09.6 2000.00  05:35 1.412  WFC  300.0  180  B                                
 527251 NGC2403           7:36:50.61 +65:36:09.6 2000.00  05:40 1.400  WFC  299.9  180  B                                
 527252 NGC2403           7:36:50.61 +65:36:09.5 2000.00  05:46 1.389  WFC  299.9  180  B                                
 527253 NGC2403           7:36:50.61 +65:36:09.6 2000.00  05:55 1.372  WFC  299.9  180  B                                
 527254 NGC2403           7:36:50.61 +65:36:09.5 2000.00  06:01 1.362  WFC  298.9  180  B                                trailed image, twilight period, non-usable
 527255 Bias              7:36:50.61 +65:36:09.6 2000.00  06:07 1.356  WFC    0.0  180  B                                
 527256 Bias              7:36:50.61 +65:36:09.5 2000.00  06:08 1.355  WFC    0.0  180  B                                
 527257 Bias              7:36:50.60 +65:36:09.5 2000.00  06:08 1.354  WFC    0.0  180  B                                
 527258 Bias              7:36:50.61 +65:36:09.6 2000.00  06:09 1.353  WFC    0.0  180  B                                
 527259 Bias              7:36:50.60 +65:36:09.5 2000.00  06:09 1.352  WFC    0.0  180  B                                
 527260 Bias              7:36:50.61 +65:36:09.6 2000.00  06:10 1.351  WFC    0.0  180  B                                
 527261 Bias              7:36:50.61 +65:36:09.5 2000.00  06:11 1.350  WFC    0.0  180  B                                
 527262 Bias              7:36:50.61 +65:36:09.5 2000.00  06:11 1.349  WFC    0.0  180  B                                
 527263 Bias              7:36:50.61 +65:36:09.5 2000.00  06:12 1.348  WFC    0.0  180  B                                
 527264 Bias              7:36:50.61 +65:36:09.6 2000.00  06:12 1.347  WFC    0.0  180  B                                
 527265 Flat field        5:55:59.99 +04:09:00.2 2000.00  06:29 1.102  WFC   49.6  180  B                                
 527266 Flat field        5:56:00.00 +04:09:09.8 2000.00  06:31 1.101  WFC   35.1  180  B                                
 527267 Flat field        5:56:00.66 +04:09:10.0 2000.00  06:32 1.101  WFC   20.1  180  B                                
 527268 Flat field        5:56:00.66 +04:08:59.8 2000.00  06:33 1.101  WFC   15.1  180  B                                
 527269 Flat field        5:56:00.67 +04:09:19.8 2000.00  06:34 1.100  WFC   10.1  180  B                                
 527270 Flat field        5:56:00.66 +04:08:40.2 2000.00  06:35 1.100  WFC    7.1  180  B                                
 527271 Flat field        5:55:59.33 +04:08:40.0 2000.00  06:36 1.100  WFC    5.1  180  B                                
 527272 Flat field        5:55:59.33 +04:09:19.8 2000.00  06:37 1.100  WFC    4.1  180  B                                
 527273 Flat field        5:56:00.66 +04:09:20.0 2000.00  06:38 1.100  WFC    4.1  180  B                                
