INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 12 06 07:14

TELESCOPE             INT
DATE                  20061205
OBSERVER/S            Hodgkin
PROGRAMME             Monitor: ONC
PROPOSAL REF          P17
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / 43.70
INSTRUMENT/S          WFC

SUNSET (UT)           18:22
EVENING TWILIGHT (UT) 19:38
MORNING TWILIGHT (UT) 06:27
SUNRISE (UT)          07:43
%ILLUM. LUNAR DISK    99
DARK TIME (HRS)       10:49
TWILIGHT TIME (HRS)   02:32
MOONRISE (UT)         18:28
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00   7.8   13    32.8  37.6  111   777.0    7.8   9.1    12.2   13    11 
20:00   7.2   10    33.1  34.4  111   777.2    7.2   8.7    11.9   10    10 
21:00   7.1   14    37.1  40.9  356   777.8    7.1   8.4    11.6   14    13 
22:00   6.6    9    36.0  39.0  356   777.9    6.6   8.2    11.1    9     9 
23:00   6.6   15    35.6  40.1  356   778.0    6.6   7.5    10.9   15    14 
00:00   6.6   15    45.3  47.9  356   777.9    6.6   7.5    10.8   15    15 
01:00   7.3    9    37.4  41.1  356   777.9    7.3   7.0    10.3    9    12 
02:00   6.0    8    31.7  32.4  356   777.6    6.0   6.7    10.5    8     9 
03:00   8.2    6    35.4  40.1  356   777.7    8.2   8.1    10.6    6     5 
04:00   6.6   15    39.5  43.8  356   777.3    6.6   7.4    10.4   15    12 
05:00   7.2   26    35.7  37.1  356   777.1    7.2   7.9    10.2   26    22 
06:00   7.3   29    35.6  39.0  356   776.9    7.3   7.9    10.4   29    27 
07:00   7.9   30    35.4  38.5  352   777.2    7.9   7.8    10.4   30    31 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Clear throughout. Seeing 1-1.5 arcsecs

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 539932 Bias             17:29:59.99 +19:59:59.9 2000.00  14:50 1.048  WFC    0.0  180  r                                
 539933 ha                0:00:00.00 +00:00:00.0 2000.00  15:02 4.576  WFC    6.1  180  Halpha                           
 539934 Bias              0:00:00.00 +00:00:00.0 2000.00  18:22 4.587  WFC    0.0  180  Halpha                           
 539935 Bias              0:00:00.00 +00:00:00.0 2000.00  18:23 4.587  WFC    0.0  180  Halpha                           
 539936 Bias              0:00:00.00 +00:00:00.0 2000.00  18:23 4.587  WFC    0.0  180  Halpha                           
 539937 Flat field       22:58:00.00 +00:04:59.8 2000.00  18:40 1.150  WFC    3.4  180  g                                
 539938 Flat field       22:58:01.33 +00:05:19.9 2000.00  18:41 1.149  WFC    4.0  180  g                                
 539939 Flat field       22:58:01.33 +00:04:40.1 2000.00  18:42 1.149  WFC    5.9  180  g                                
 539940 Flat field       22:57:58.67 +00:04:39.9 2000.00  18:44 1.148  WFC   10.7  180  V                                
 539941 Flat field       22:57:58.66 +00:05:20.0 2000.00  18:45 1.147  WFC   14.0  180  V                                
 539942 Flat field       22:57:58.66 +00:05:20.0 2000.00  18:46 1.146  WFC   19.6  180  V                                
 539943 Flat field       22:57:58.66 +00:04:39.9 2000.00  18:48 1.145  WFC   30.1  180  V                                increase expt a little as previous counts lowish
 539944 Flat field       22:57:58.66 +00:04:40.0 2000.00  18:49 1.145  WFC   22.3  180  i                                
 539945 Flat field       22:58:01.33 +00:04:40.1 2000.00  18:50 1.144  WFC   40.3  180  i                                
 539946 Flat field       22:58:01.33 +00:05:20.0 2000.00  18:52 1.143  WFC   40.1  180  i                                
 539947 Flat field        0:00:00.00 +00:00:00.0 2000.00  18:54 1.142  WFC   53.7  180  i                                
 539948 Focus run        21:42:35.00 +00:16:46.1 2000.00  19:11 1.195  WFC   20.1  180  i                                
 539949 SA113-163        21:42:34.99 +00:16:46.0 2000.00  19:17 1.211  WFC   10.1  180  g                                
 539950 SA113-163        21:42:35.00 +00:16:46.0 2000.00  19:18 1.213  WFC   10.0  180  V                                
 539951 SA113-163        21:42:35.00 +00:16:45.9 2000.00  19:19 1.215  WFC   10.1  180  i                                
 539952 hper              2:18:56.40 +57:08:25.1 2000.00  19:27 1.364  WFC   60.1  180  i                                
 539953 chiper            2:22:04.30 +57:08:34.9 2000.00  19:30 1.365  WFC   60.0  180  i                                
 539954 hper              2:18:56.40 +57:08:25.1 2000.00  19:33 1.348  WFC   60.1  180  i                                
