INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 12 27 08:11

TELESCOPE             INT
DATE                  20061226
OBSERVER/S            Land & van der Hulst
PROGRAMME             Service night NL
PROPOSAL REF          NL S
TELESCOPE OPERATOR    (at WHT)
SUPPORT ASTRONOMER    Ian Hunter

TEL STATION / FOCUS   Prime  / 43.68
INSTRUMENT/S          WFC

SUNSET (UT)           18:29
EVENING TWILIGHT (UT) 19:46
MORNING TWILIGHT (UT) 06:38
SUNRISE (UT)          07:55
%ILLUM. LUNAR DISK    43
DARK TIME (HRS)       10:52
TWILIGHT TIME (HRS)   02:34
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          00:45

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00   3.4   30    14.7  16.3  179   769.8    3.4   5.3     7.4   30    33 
20:00   3.6   26    16.2  18.3  173   770.2    3.6   4.8     7.1   26    23 
21:00   3.3   27    16.8  19.0  173   770.7    3.3   4.7     6.6   27    26 
22:00   2.8   30    18.7  20.4  174   771.0    2.8   4.3     6.4   30    29 
23:00   2.8   33    17.1  17.2  174   771.1    2.8   4.1     6.4   33    33 
00:00   2.3   42    16.3  19.6  173   771.1    2.3   3.7     5.9   42    42 
01:00   1.6   46    16.5  17.6  170   770.9    1.6   3.1     5.8   46    46 
02:00   1.6   46    18.1  19.0  181   770.6    1.6   3.1     5.6   46    46 
03:00   1.7   45    13.6  13.9  172   770.3    1.7   3.2     5.5   45    45 
04:00   3.0   28     9.9  12.9  226   770.3    3.0   3.9     5.3   28    29 
05:00   2.7   34    11.7  13.1  186   770.1    2.7   3.9     5.2   34    34 
06:00   2.9   32    15.1  18.7  187   770.2    2.9   4.1     5.5   32    32 
07:00   3.1   29    18.0  20.8  185   770.4    3.1   4.0     5.6   29    29 

TIME LOST weather           01:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
ok until UT 4:40 when clouds moved in, seeing medium: 1.5-1.9 arcsec

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 543547 Flat field        0:00:00.00 +00:00:00.0 2006.985 14:26 1.160  WFC    1.7  180  Halpha                           
 543548 Flat field       18:39:59.99 +19:59:59.8 2006.985 14:37 1.047  WFC    3.1  180  r                                
 543549 Bias             18:39:59.99 +20:00:00.0 2006.985 14:38 1.049  WFC    0.0  180  r                                
 543550 Bias              0:00:00.00 +00:00:00.0 2006.985 16:57 4.376  WFC    0.0  180  Halpha                           
 543551 Bias              0:00:00.00 +00:00:00.0 2006.985 18:20 4.289  WFC    0.0  180  Halpha                           
 543552 Bias              0:00:00.00 +00:00:00.0 2006.985 18:20 4.289  WFC    0.0  180  Halpha                           
 543553 Flat field        2:57:59.99 -00:06:00.0 2000.00  18:49 1.608  WFC   54.9  180  Halpha                           
 543554 Flat field        2:58:01.33 -00:05:39.9 2000.00  18:52 1.584  WFC  113.4  180  Halpha                           
 543555 Flat field        2:58:00.00 -00:06:00.1 2000.00  18:56 1.564  WFC   22.1  180  r                                
 543556 Skyflat II        2:58:01.33 -00:05:40.0 2000.00  18:57 1.554  WFC   25.1  180  r                                
 543557 Skyflat II        2:57:58.66 -00:06:20.0 2000.00  18:59 1.544  WFC   40.1  180  r                                
 543558 Skyflat III       2:58:00.00 -00:05:59.9 2000.00  19:01 1.530  WFC   82.0  180  B                                
 543559 Skyflat III       2:58:01.34 -00:05:39.9 2000.00  19:03 1.514  WFC  120.0  180  B                                
 543560 Skyflat III       2:57:58.67 -00:06:20.0 2000.00  19:06 1.494  WFC  180.0  180  B                                
 543561 Skyflat IV        2:58:00.00 -00:05:59.9 2000.00  19:10 1.469  WFC  257.9  180  V                                
 543562 Focus run         0:31:42.10 +02:37:45.0 2000.00  19:32 1.114  WFC   30.1  180  V                                run during twilight
 543563 Bias              0:31:42.09 +02:37:44.9 2000.00  19:43 1.117  WFC    0.0  180  V                                
 543564 Bias              0:31:42.09 +02:37:45.0 2000.00  19:43 1.118  WFC    0.0  180  V                                
 543565 Focus run         0:31:42.09 +02:37:44.9 2000.00  19:53 1.121  WFC   30.1  180  V                                
 543566 UGCA92            4:32:04.89 +63:36:49.0 2000.00  20:05 1.459  WFC   60.0  180  B                                
 543567 UGCA 92           4:32:04.90 +63:36:49.0 2000.00  20:13 1.426  WFC  599.8  180  B                                
 543569 UGCA 92           4:32:07.90 +63:37:08.9 2000.00  20:31 1.384  WFC  599.8  180  B                                
 543570 UGCA 92           4:32:04.90 +63:36:48.9 2000.00  21:01 1.327  WFC  599.7  180  i                                
 543571 UGCA 92           4:32:04.90 +63:36:49.0 2000.00  21:14 1.306  WFC  599.7  180  i                                
 543572 UGCA 92           4:32:01.90 +63:36:29.0 2000.00  21:36 1.277  WFC  599.8  180  i                                
 543573 UGCA 92           4:32:01.90 +63:36:28.9 2000.00  21:51 1.263  WFC  299.9  180  i                                
 543574 UGCA 92           4:32:01.90 +63:36:28.9 2000.00  22:00 1.254  WFC  299.9  180  i                                
 543575 STD, ZEROPOINT    3:54:00.00 -00:00:20.0 2000.00  22:16 1.147  WFC  299.8  180  i                                should be extinction instead of zeropoint
 543576 STD, EXTINCTION   3:53:59.99 -00:00:19.9 2000.00  22:24 1.144  WFC  300.0  180  i                                
 543577 STD, EXTINCTION   3:54:00.00 -00:00:19.9 2000.00  22:30 1.142  WFC  300.0  180  B                                
 543578 STD, EXTINCTION   3:53:59.99 -00:00:19.9 2000.00  22:38 1.141  WFC   60.0  180  B                                
 543579 STD, EXTINCTION   3:53:59.99 -00:00:20.0 2000.00  22:41 1.140  WFC   60.0  180  i                                
