INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2006 12 30 08:01

TELESCOPE             INT
DATE                  20061229
OBSERVER/S            Land et al.
PROGRAMME             Service night NL
PROPOSAL REF          NL S
TELESCOPE OPERATOR    (at WHT)
SUPPORT ASTRONOMER    Ian Hunter

TEL STATION / FOCUS   Prime  / 43.47
INSTRUMENT/S          WFC

SUNSET (UT)           18:31
EVENING TWILIGHT (UT) 19:47
MORNING TWILIGHT (UT) 06:40
SUNRISE (UT)          07:56
%ILLUM. LUNAR DISK    76
DARK TIME (HRS)       10:53
TWILIGHT TIME (HRS)   02:32
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          04:00

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00   4.6    8    17.5  20.3  104   774.3    4.6   7.2     8.4    8     9 
20:00   4.9    8    17.5  21.0  104   774.8    4.9   6.3     8.0    8     5 
21:00   5.2    7     9.2  10.6  118   775.2    5.2   6.2     7.8    7     7 
22:00   5.2   10     6.1   8.3  177   775.6    5.2   6.4     8.0   10     8 
23:00   4.4   15    14.7  17.2  154   775.7    4.4   5.6     7.9   15    14 
00:00   4.3   21    25.3  26.8  140   775.6    4.3   5.7     7.3   21    20 
01:00   3.4   40    21.7  22.9  153   775.5    3.4   5.2     7.6   40    38 
02:00   3.9   36    16.5  17.9  163   775.5    3.9   5.3     6.9   36    37 
03:00   4.8   32    24.9  24.3  138   775.5    4.8   5.6     7.1   32    34 
04:00   4.7   29    18.4  19.3  141   775.5    4.7   5.6     7.6   29    30 
05:00   4.9   27    23.6  28.6  169   775.4    4.9   5.8     7.6   27    27 
06:00   6.3   21    11.4  12.4  146   775.7    6.3   6.8     7.5   21    22 
07:00   7.7   18    22.3  26.4  149   775.9    7.7   8.2     8.2   18    19 

TIME LOST weather           00:05
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
for a few minuts a drop in seeing, further a perfect night. 

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 543897 Bias              0:00:00.00 +00:00:00.0 2006.993 13:26 4.718  WFC    0.0  180  Halpha                           
 543898 FLAT, SKY         2:57:59.99 -00:05:59.9 2000.00  18:45 1.560  WFC   10.1  180  B                                
 543899 FLAT, SKY         2:58:00.00 -00:05:59.9 2000.00  18:47 1.545  WFC   10.1  180  B                                
 543900 FLAT, SKY         2:58:01.33 -00:05:39.9 2000.00  18:48 1.539  WFC   10.1  180  B                                
 543901 FLAT, SKY         2:58:01.32 -00:05:40.0 2000.00  18:49 1.533  WFC    3.1  180  B                                
 543902 FLAT, SKY         2:57:58.67 -00:06:20.0 2000.00  18:50 1.525  WFC    5.1  180  B                                
 543903 FLAT, SKY         2:57:58.66 -00:06:20.0 2000.00  18:51 1.520  WFC   10.1  180  r                                
 543904 FLAT, SKY         2:57:58.66 -00:06:19.9 2000.00  18:53 1.514  WFC    5.1  180  r                                
 543905 FLAT,SKY          2:58:01.32 -00:05:40.1 2000.00  18:53 1.509  WFC   10.1  180  r                                
 543906 FLAT,SKY          2:58:01.33 -00:05:39.9 2000.00  18:54 1.504  WFC    7.1  180  r                                
 543907 FLAT,SKY          2:58:01.33 -00:05:40.0 2000.00  18:55 1.497  WFC   10.1  180  V                                
 543908 FLAT,SKY          2:57:58.66 -00:06:19.8 2000.00  18:57 1.488  WFC   15.1  180  V                                
 543909 FLAT,SKY          2:57:58.66 -00:06:20.0 2000.00  18:58 1.481  WFC   25.1  180  V                                
 543910 FLAT,SKY          2:57:58.67 -00:06:20.0 2000.00  18:59 1.475  WFC   20.1  180  i                                
 543911 FLAT,SKY          2:58:01.33 -00:05:40.1 2000.00  19:01 1.468  WFC   22.1  180  i                                
 543912 FLAT,SKY          2:58:01.33 -00:05:39.9 2000.00  19:02 1.461  WFC   28.1  180  i                                
 543913 FLAT,SKY          2:57:58.66 -00:06:19.9 2000.00  19:03 1.454  WFC   35.5  180  i                                
 543914 FLAT,SKY          2:58:01.33 -00:05:40.2 2000.00  19:05 1.444  WFC   95.0  180  B                                
 543915 FLAT,SKY          2:58:00.66 -00:06:09.8 2000.00  19:07 1.430  WFC  150.0  180  B                                
 543916 FLAT,SKY          2:58:00.66 -00:06:09.9 2000.00  19:12 1.402  WFC  300.0  180  B                                
 543917 Focus run         0:53:13.99 +00:46:02.0 2000.00  19:34 1.132  WFC   10.1  180  B                                
 543918 veld1a            3:09:49.30 +30:41:00.0 2000.00  19:49 1.112  WFC   59.5  180  r                                
 543919 veld1a            3:09:49.30 +30:41:00.0 2000.00  19:54 1.102  WFC   60.0  180  r                                
 543920 veld1a            3:09:49.29 +30:41:00.0 2000.00  19:55 1.099  WFC   60.0  180  r                                
 543921 veld1a            3:09:49.30 +30:41:00.0 2000.00  19:57 1.096  WFC   60.0  180  r                                
 543922 veld1a            3:09:49.30 +30:40:59.9 2000.00  19:58 1.093  WFC   59.6  180  r                                
