INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2007 01 05 08:38

TELESCOPE             INT
DATE                  20070104
OBSERVER/S            Marie Hrudkova
PROGRAMME             S/D night
PROPOSAL REF          S/D                
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS   Prime  / 43.57
INSTRUMENT/S          WFC

SUNSET (UT)           18:35
EVENING TWILIGHT (UT) 19:51
MORNING TWILIGHT (UT) 06:41
SUNRISE (UT)          07:58
%ILLUM. LUNAR DISK    98
DARK TIME (HRS)       10:50
TWILIGHT TIME (HRS)   02:33
MOONRISE (UT)         19:19
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00   6.9    8     9.9  10.2  114   778.5    6.9   8.8    10.6    8    11 
20:00   7.6    9     8.8   9.2  166   778.9    7.6   8.5    10.7    9    11 
21:00   7.0    9    13.5  14.1  173   779.1    7.0   8.3    10.7    9    16 
22:00   7.5   10    11.9  12.6  160   779.4    7.5   8.4    10.6   10    15 
23:00   7.7   10    14.0  15.3  170   779.3    7.7   8.6    10.4   10    13 
00:00   7.6    9    13.6  15.1  102   779.2    7.6   8.2    10.0    9    12 
01:00   7.0   10    13.5  15.8  100   778.7    7.0   7.8    10.1   10    14 
02:00   7.7    9    10.8  15.8  154   778.1    7.7   8.0     9.8    9    13 
03:00   7.4    8    13.1  12.9  146   778.0    7.4   7.8     9.6    8    11 
04:00   7.6    5    12.6  12.7  142   777.9    7.6   7.9     9.5    5     8 
05:00   6.3    6    14.3  16.0  152   777.4    6.3   7.2     9.8    6     8 
06:00   7.2    4    23.5  22.4  138   777.2    7.2   7.8     9.6    4     7 
07:00   7.8    4    16.7  18.3  166   777.3    7.8   8.4     9.8    4     5 

TIME LOST weather           02:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
clouds at the beginning of the night, then clear, low humidity, seeing between 0.8-1.8 arcsec

COMMENTS (causes of time lost, setup information eg CCD windows):
time lost because of clouds at the beginning of the night



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 545380 Bias              0:00:00.00 +00:00:00.0 2007.009 14:31 1.177  WFC    0.0  180  Halpha                           
 545381 Bias frame        0:00:00.00 +00:00:00.0 2007.009 14:36 2.469  WFC    0.0  180  Halpha                           
 545382 Flat field        0:00:00.00 +00:00:00.0 2007.009 14:38 2.469  WFC    6.1  180  Halpha                           
 545383 Bias              0:00:00.00 +00:00:00.0 2007.010 16:22 1.006  WFC    0.0  180  Halpha                           
 545384 Bias              0:00:00.00 +00:00:00.0 2007.010 16:23 1.006  WFC    0.0  180  Halpha                           
 545385 Flat field        0:00:00.00 +00:00:00.0 2007.010 16:31 1.006  WFC   16.1  180  Halpha                           
 545386 Flat field        0:00:00.00 +00:00:00.0 2007.010 16:32 1.006  WFC   16.0  180  Halpha                           
 545387 skyflat Ha       23:56:40.00 +59:45:00.0 2000.00  18:41 1.171  WFC    2.5  180  Halpha                           
 545388 skyflat Ha       23:56:40.00 +59:45:09.9 2000.00  18:43 1.172  WFC    4.1  180  Halpha                           
 545389 skyflat Ha       23:56:41.32 +59:45:00.0 2000.00  18:44 1.172  WFC    6.1  180  Halpha                           
 545390 skyflat Ha       23:56:41.32 +59:45:09.9 2000.00  18:45 1.173  WFC    7.1  180  Halpha                           
 545391 skyflat O3       23:56:41.31 +59:45:10.0 2000.00  18:46 1.173  WFC    4.1  180  [OIII]5007                       
 545392 skyflat O3       23:56:41.32 +59:44:59.9 2000.00  18:47 1.174  WFC    8.1  180  [OIII]5007                       
 545393 skyflat O3       23:56:39.99 +59:45:09.9 2000.00  18:49 1.174  WFC   18.1  180  [OIII]5007                       
 545394 skyflat O3       23:56:41.32 +59:45:10.0 2000.00  18:50 1.175  WFC   15.1  180  [OIII]5007                       
 545395 skyflat r        23:56:41.32 +59:45:09.9 2000.00  18:52 1.176  WFC    4.1  180  r                                
 545396 skyflat r        23:56:41.32 +59:44:59.9 2000.00  18:53 1.176  WFC    7.1  180  r                                
 545397 skyflat r        23:56:40.00 +59:45:10.0 2000.00  18:55 1.177  WFC    7.1  180  r                                
 545398 skyflat r        23:56:41.32 +59:45:10.0 2000.00  18:56 1.178  WFC   11.1  180  r                                
 545399 skyflat i        23:56:41.32 +59:45:09.9 2000.00  18:58 1.179  WFC   18.1  180  i                                
 545400 skyflat i        23:56:41.32 +59:45:00.0 2000.00  18:59 1.179  WFC   21.1  180  i                                
 545401 skyflat i        23:56:39.99 +59:45:10.0 2000.00  19:01 1.181  WFC   31.1  180  i                                
 545402 skyflat i        23:56:41.32 +59:45:09.9 2000.00  19:03 1.182  WFC   46.1  180  i                                
 545403 skyflat g        23:56:41.32 +59:45:10.0 2000.00  19:05 1.183  WFC   36.0  180  g                                
 545404 skyflat g        23:56:41.32 +59:44:59.9 2000.00  19:07 1.184  WFC   53.1  180  g                                
 545405 skyflat g        23:56:40.00 +59:45:10.0 2000.00  19:09 1.186  WFC   80.0  180  g                                
 545406 skyflat g        23:56:41.32 +59:45:09.9 2000.00  19:12 1.188  WFC  130.0  180  g                                
 545408 Focus run         0:53:13.99 +00:46:02.0 2000.00  19:41 1.142  WFC   10.1  180  r                                
 545409 intphas_3457o Ha  6:25:33.62 +22:35:00.0 2000.00  22:20 1.177  WFC  120.0  180  Halpha                           Tau2 Field
 545410 intphas_3457o r   6:25:33.62 +22:34:59.8 2000.00  22:23 1.171  WFC   30.1  180  r                                
 545411 intphas_3457o i   6:25:33.61 +22:34:59.8 2000.00  22:24 1.169  WFC   10.1  180  i                                
 545412 intphas_3466 Ha   6:25:37.07 +17:11:00.1 2000.00  22:25 1.190  WFC  120.0  180  Halpha                           
 545413 intphas_3466 r    6:25:37.06 +17:11:00.0 2000.00  22:28 1.184  WFC   30.1  180  r                                
 545414 intphas_3466 i    6:25:37.07 +17:10:59.9 2000.00  22:29 1.182  WFC   10.1  180  i                                
 545415 intphas_3466o Ha  6:25:58.01 +17:16:00.0 2000.00  22:30 1.177  WFC  120.0  180  Halpha                           
 545416 intphas_3466o r   6:25:58.00 +17:16:00.0 2000.00  22:33 1.172  WFC   30.0  180  r                                
 545417 intphas_3466o i   6:25:58.01 +17:16:00.0 2000.00  22:34 1.169  WFC   10.1  180  i                                
 545418 intphas_3469 Ha   6:25:40.31 +18:38:59.8 2000.00  22:35 1.156  WFC  120.0  180  Halpha                           
