INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2007 02 26 07:00

TELESCOPE             INT
DATE                  20070225
OBSERVER/S            Jose A. Caballero
PROGRAMME             Young stars
PROPOSAL REF          INT15
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    MSG

TEL STATION / FOCUS   Cassegrain  / 14.80
INSTRUMENT/S          IDS

SUNSET (UT)           19:15
EVENING TWILIGHT (UT) 20:27
MORNING TWILIGHT (UT) 06:22
SUNRISE (UT)          07:33
%ILLUM. LUNAR DISK    68
DARK TIME (HRS)       09:55
TWILIGHT TIME (HRS)   02:23
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          04:07

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00   4.0   25    49.1  52.7    0   773.9    4.0   5.7     9.2   25    29 
21:00   2.6   24    41.4  47.8    0   774.4    2.6   5.1     9.0   24    29 
22:00   4.3   12    33.6  43.7  100   774.6    4.3   5.6     8.7   12    18 
23:00   4.8   10    31.7  42.1  116   774.7    4.8   6.4     8.7   10    16 
00:00   4.7   11    22.7  25.6  126   774.6    4.7   6.5     8.3   11    16 
01:00   4.2    9    40.5  41.5  128   774.0    4.2   6.1     8.2    9    14 
02:00   4.3    6    27.8  38.3  117   774.3    4.3   5.8     8.0    6    11 
03:00   5.1    5    35.3  38.8  115   774.2    5.1   6.2     8.2    5    10 
04:00   4.9    5    22.1  24.1  135   774.2    4.9   6.3     8.3    5    11 
05:00   5.3    5     6.5   8.2  155   774.3    5.3   6.4     8.1    5     9 
06:00   5.1    5     8.9  12.2  153   774.5    5.1   6.3     8.6    5     9 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Clear of clouds, low hum., wind ~ 40 km/h at the beginning, seeing: variable between 2 and 5 arcsec (WOW!)

COMMENTS (causes of time lost, setup information eg CCD windows):
Window of SDSU Autoguider on AG0 has disappeared again.



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 550621 1                 0:00:00.00 +00:00:00.0 2000.00  18:28 1.000  IDS    0.0    0  Clear+Clear   1.5  48.6 6297.9   
 550622 40EriB CuAr+CuNe  4:12:54.72 -07:47:18.1 1950.00  19:44 1.261  IDS    2.0   15  Clear+Clear   1.5  48.6 6297.9   Focus 14.80, spatial direction ~4pix
 550623 40EriB 240s       4:12:54.75 -07:47:18.1 1950.00  19:45 1.264  IDS  240.0   15  Clear+Clear   1.5  48.6 6297.9   
 550624 LP655-23 CuAr+Cu  4:30:51.82 -08:49:18.5 2000.00  19:51 1.273  IDS    2.0   11  Clear+Clear   1.5  48.6 6297.9   
 550625 LP655-23 450s     4:30:51.74 -08:49:18.2 2000.00  19:52 1.277  IDS  450.0   11  Clear+Clear   1.5  48.6 6297.9   
 550626 591158 CuAr+CuNe  5:38:59.08 -02:45:11.8 2000.00  20:03 1.181  IDS    2.0  350  Clear+Clear   1.5  48.6 6297.9   
 550627 591158 300s       5:38:59.04 -02:45:11.5 2000.00  20:04 1.179  IDS  300.0  350  Clear+Clear   1.5  48.6 6297.9   
 550628 344337 CuAr+CuNe  5:38:35.31 -02:30:47.7 2000.00  20:11 1.173  IDS    2.0  355  Clear+Clear   1.5  48.6 6297.9   
 550629 344337 450s       5:38:35.23 -02:30:47.3 2000.00  20:13 1.171  IDS  450.0  355  Clear+Clear   1.5  48.6 6297.9   
 550630 397060 CuAr+CuNe  5:39:06.94 -02:32:42.9 2000.00  20:22 1.170  IDS    2.0  358  Clear+Clear   1.5  48.6 6297.9   
 550631 397060 450s       5:39:06.94 -02:32:43.7 2000.00  20:24 1.170  IDS  450.0  358  Clear+Clear   1.5  48.6 6297.9   
 550632 285331 CuAr+CuNe  5:38:34.90 -02:31:56.4 2000.00  20:33 1.170  IDS    2.0    3  Clear+Clear   1.5  48.6 6297.9   
 550633 285331 450s       5:38:34.77 -02:31:56.8 2000.00  20:34 1.171  IDS  450.0    3  Clear+Clear   1.5  48.6 6297.9   
 550634 622103 CuAr+CuNe  5:39:24.36 -02:38:27.7 2000.00  20:43 1.173  IDS    2.0    7  Clear+Clear   1.5  48.6 6297.9   
