INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2007 03 16 07:28

TELESCOPE             INT
DATE                  20070315
OBSERVER/S            Anderson, James, Percival
PROGRAMME             Imaging of SN host galaxies
PROPOSAL REF          P1
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS    / n/a
INSTRUMENT/S          WFC

SUNSET (UT)           19:26
EVENING TWILIGHT (UT) 20:38
MORNING TWILIGHT (UT) 06:02
SUNRISE (UT)          07:14
%ILLUM. LUNAR DISK    13
DARK TIME (HRS)       09:24
TWILIGHT TIME (HRS)   02:24
MOONRISE (UT)         05:29
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00   1.7   39     0.0   0.0    0   770.7    1.7   4.1     8.3   39    41 
21:00   1.3   40     0.0   0.0    0   771.4    1.3   3.9     7.0   40    41 
22:00   1.2   42     0.0   0.0    0   772.0    1.2   3.4     7.6   42    42 
23:00   1.9   41     0.0   0.0    0   772.1    1.9   3.8     6.7   41    44 
00:00   1.6   47     0.0   0.0    0   771.9    1.6   3.7     6.6   47    43 
01:00   1.2   49     0.0   0.0    0   771.8    1.2   3.4     6.9   49    47 
02:00   1.2   49     0.0   0.0    0   771.5    1.2   3.8     6.5   49    43 
03:00   0.9   50     0.0   0.0    0   770.9    0.9   2.9     6.4   50    48 
04:00   0.3   53     0.0   0.0    0   770.7    0.3   2.5     6.1   53    50 
05:00   0.0   55     0.0   0.0    0   770.3    0.0   2.2     5.2   55    52 
06:00  -0.1   55     0.0   0.0    0   770.4   -0.1   1.7     6.6   55    53 
07:00   0.1   53     0.0   0.0    0   770.6    0.1   2.3     5.8   53    52 

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Dust at low levels, did not effect observing

COMMENTS (causes of time lost, setup information eg CCD windows):
Observed all night with reasonable seeing conditions



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 554614 Bias              0:00:00.00 +00:00:00.0 2007.201 14:24 1.139  WFC    0.0  180  V                                
 554615 Bias             21:00:00.00 +00:00:00.1 2000.00  14:28 2.085  WFC    0.0  180  V                                
 554616 TEST              0:00:00.00 +00:00:00.0 2000.00  14:37 2.469  WFC    2.0  180  R                                
 554617 Bias              0:00:00.00 +00:00:00.0 2000.00  18:42 1.000  WFC    0.0  180  R                                
 554618 Bias              0:00:00.00 +00:00:00.0 2000.00  18:45 1.000  WFC    0.0  180  Ha 6657                          
 554619 Bias              0:00:00.00 +00:00:00.0 2000.00  18:48 1.000  WFC    0.0  180  Ha 6657                          
 554620 skyflat h666      4:09:59.99 +03:50:00.0 2000.00  19:33 1.221  WFC   10.1  180  Ha 6657                          
 554621 skyflat h666      4:09:59.99 +03:49:59.9 2000.00  19:39 1.236  WFC   10.1  180  Ha 6657                          saturated
 554622 skyflat halpha    4:10:00.00 +03:49:59.9 2000.00  19:41 1.240  WFC    9.5  180  Halpha                           should be OK
 554623 skyflat R         4:10:00.00 +03:50:00.0 2000.00  19:49 1.264  WFC   20.1  180  R                                
 554624 skyflat R         4:10:01.33 +03:50:20.0 2000.00  19:52 1.275  WFC   10.1  180  R                                
 554625 skyflat R         4:09:59.99 +03:49:59.9 2000.00  19:54 1.280  WFC   15.1  180  R                                
 554626 skyflat R         4:09:58.66 +03:49:39.9 2000.00  19:56 1.286  WFC   20.1  180  R                                last 3 OK
 554627 Focus run         6:51:39.70 -00:26:41.9 2000.00  20:19 1.148  WFC   20.1  180  R                                
 554628 ngc1961 R         5:42:04.80 +69:22:43.0 2000.00  20:50 1.360  WFC  349.9  180  R                                
 554629 ngc1961 h666      5:42:04.80 +69:22:43.1 2000.00  20:59 1.372  WFC  749.7  180  Ha 6657                          
 554630 ngc2415 R         7:36:56.70 +35:14:30.9 2000.00  21:22 1.007  WFC  349.9  180  R                                
 554631 ngc2415 h666      7:36:56.70 +35:14:31.0 2000.00  21:31 1.010  WFC  749.7  180  Ha 6657                          
 554632 Focus run         9:21:28.30 +02:46:04.1 2000.00  21:52 1.165  WFC   20.1  180  R                                
 554633 pg0918+029 R      9:21:28.30 +02:46:04.0 2000.00  21:56 1.156  WFC   15.1  180  R                                standard
 554634 ugc3829 R         7:23:44.10 +33:26:41.0 2000.00  22:03 1.032  WFC  349.3  180  R                                trailed
