INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2007 05 28 06:38

TELESCOPE             INT
DATE                  20070527
OBSERVER/S            Corral-Santana/Rodriguez-Gil
PROGRAMME             UVEX
PROPOSAL REF          C3       
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    M. Santander

TEL STATION / FOCUS   Prime  / 43.55
INSTRUMENT/S          WFC

SUNSET (UT)           20:10
EVENING TWILIGHT (UT) 21:33
MORNING TWILIGHT (UT) 04:43
SUNRISE (UT)          06:07
%ILLUM. LUNAR DISK    85
DARK TIME (HRS)       07:10
TWILIGHT TIME (HRS)   02:47
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          03:52

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00   5.6   39    28.4  29.9   35   772.1   n.a.  n.a.    n.a.  n.a.   n.a.
22:00   6.2   36    31.6  35.1   49   772.5   n.a.  n.a.    n.a.  n.a.   n.a.
23:00   6.8   25    34.1  39.3   56   772.8   n.a.  n.a.    n.a.  n.a.   n.a.
00:00   6.8   25    40.2  42.5   44   773.2   n.a.  n.a.    n.a.  n.a.   n.a.
01:00   7.2   23    38.9  43.3   56   773.1   n.a.  n.a.    n.a.  n.a.   n.a.
02:00   6.2   17    34.1  37.6   60   772.7   n.a.  n.a.    n.a.  n.a.   n.a.
03:00   6.2   11    39.7  44.4   44   772.2   n.a.  n.a.    n.a.  n.a.   n.a.
04:00   7.1    7    37.2  39.1   66   771.9   n.a.  n.a.    n.a.  n.a.   n.a.
05:00   7.0   18    27.3  35.4   69   771.7   n.a.  n.a.    n.a.  n.a.   n.a.
06:00   7.5   16    27.8  30.3   79   771.7   n.a.  n.a.    n.a.  n.a.   n.a.

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Clear. Highly variable seeing around 1.3 arcsec.

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 561944 Bias              0:00:00.00 +00:00:00.0 2007.401 13:02 4.528  WFC    0.0  180  HeI 5870                         
 561945 Bias              0:00:00.00 +00:00:00.0 2007.401 13:03 4.528  WFC    0.0  180  HeI 5870                         
 561946 Flat field        0:00:00.00 +00:00:00.0 2007.401 13:06 4.528  WFC    6.1  180  HeI 5870                         
 561947 Bias              0:00:00.00 +00:00:00.0 2007.402 19:41 1.000  WFC    0.0  180  HeI 5870                         First useful frame
 561948 Bias              0:00:00.00 +00:00:00.0 2007.402 19:41 1.000  WFC    0.0  180  HeI 5870                         
 561949 Bias              0:00:00.00 +00:00:00.0 2007.402 19:42 1.000  WFC    0.0  180  HeI 5870                         
 561950 Bias              0:00:00.00 +00:00:00.0 2007.402 19:42 1.000  WFC    0.0  180  HeI 5870                         
 561951 Bias              0:00:00.00 +00:00:00.0 2007.402 19:43 1.000  WFC    0.0  180  HeI 5870                         
 561952 Sky HeI          10:59:09.99 +03:30:00.0 2000.00  20:06 1.108  WFC    2.0  180  HeI 5870                         
 561953 Sky HeI          10:59:10.00 +03:30:00.0 2000.00  20:06 1.108  WFC    2.6  180  HeI 5870                         
 561954 Sky HeI          10:59:09.99 +03:29:59.9 2000.00  20:07 1.109  WFC    2.6  180  HeI 5870                         
 561955 Sky Ha           10:59:09.99 +03:30:00.0 2000.00  20:11 1.110  WFC    2.1  180  Halpha                           >40000 counts
 561956 Sky Ha           10:59:10.66 +03:30:10.0 2000.00  20:12 1.111  WFC    2.1  180  Halpha                           
 561957 Sky Ha           10:59:10.66 +03:29:50.2 2000.00  20:13 1.111  WFC    2.1  180  Halpha                           
 561958 Sky Ha           10:59:09.33 +03:29:49.9 2000.00  20:14 1.111  WFC    2.1  180  Halpha                           
 561959 Sky U            10:59:09.33 +03:29:49.9 2000.00  20:16 1.112  WFC    2.1  180  U                                
 561960 Sky U            10:59:10.66 +03:30:00.0 2000.00  20:16 1.113  WFC    1.6  180  U                                
 561961 Sky U            10:59:10.67 +03:29:55.0 2000.00  20:17 1.113  WFC    3.1  180  U                                
 561962 Sky g            10:59:10.67 +03:29:54.9 2000.00  20:25 1.118  WFC    2.1  180  g                                
 561963 Sky g            10:59:10.67 +03:29:55.0 2000.00  20:26 1.119  WFC    1.5  180  g                                
 561964 Sky g            10:59:09.99 +03:30:10.0 2000.00  20:27 1.120  WFC    2.6  180  g                                
 561965 Sky r            10:59:10.00 +03:30:10.0 2000.00  20:29 1.121  WFC    3.6  180  r                                
 561966 Sky r            10:59:09.99 +03:30:09.9 2000.00  20:30 1.122  WFC    8.1  180  r                                
 561967 Sky r            10:59:10.66 +03:29:49.9 2000.00  20:31 1.123  WFC   11.1  180  r                                
 561968 Sky i            10:59:10.67 +03:29:49.9 2000.00  20:32 1.123  WFC    9.1  180  i                                
 561969 Sky i            10:59:10.66 +03:30:10.0 2000.00  20:33 1.124  WFC   12.1  180  i                                
 561970 Sky i            10:59:09.33 +03:30:10.0 2000.00  20:34 1.125  WFC   15.6  180  i                                
 561971 Focus run        12:13:56.39 +32:56:30.7 2000.00  21:01 1.003  WFC   19.5  180  r                                
 561972 ST_PAL4 HeI      11:29:14.88 +28:58:01.8 2000.00  21:15 1.023  WFC  120.0  180  HeI 5870                         Now 3 standards at different airmasses
 561973 ST_PAL4 r        11:29:14.87 +28:58:01.9 2000.00  21:19 1.026  WFC   30.1  180  r                                
 561974 ST_PAL4 U        11:29:14.88 +28:58:01.8 2000.00  21:20 1.027  WFC  120.0  180  U                                
 561975 ST_PAL4 g        11:29:14.87 +28:58:01.9 2000.00  21:23 1.030  WFC   30.1  180  g                                
 561976 ST_PG1047 HeI    10:50:10.80 -00:01:35.8 2000.00  21:27 1.277  WFC  119.5  180  HeI 5870                         
 561978 ST_PG1047 r      10:50:10.80 -00:01:35.9 2000.00  21:31 1.285  WFC   30.2  180  r                                
 561979 ST_PG1047 U      10:50:10.79 -00:01:35.9 2000.00  21:33 1.294  WFC  120.0  180  U                                
 561980 ST_PG1047 g      10:50:10.80 -00:01:35.8 2000.00  21:36 1.302  WFC   30.0  180  g                                
 561981 ST_L107 HeI      15:39:20.88 -00:20:25.7 2000.00  21:43 1.534  WFC  120.1  180  HeI 5870                         
 561982 ST_L107 r        15:39:20.87 -00:20:25.8 2000.00  21:46 1.518  WFC   30.1  180  r                                
 561983 ST_L107 U        15:39:20.88 -00:20:25.9 2000.00  21:48 1.503  WFC  119.4  180  U                                
 561984 ST_L107 g        15:39:20.88 -00:20:25.9 2000.00  21:52 1.487  WFC   30.1  180  g                                
 561985 SDSS1528+0349 g1 15:29:06.53 +03:49:11.6 2000.00  21:58 1.339  WFC  149.9  180  g                                
 561986 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  22:21 1.347  WFC   60.0  180  g                                
 561987 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  22:23 1.348  WFC   60.0  180  g                                
 561988 SDSS1146+67 g60  11:46:47.49 +67:59:09.7 2000.00  22:24 1.350  WFC   60.0  180  g                                
 561989 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  22:26 1.352  WFC   60.0  180  g                                
 561990 SDSS1146+67 g60  11:46:47.50 +67:59:09.6 2000.00  22:27 1.354  WFC   60.0  180  g                                
 561991 SDSS1146+67 g60  11:46:47.49 +67:59:09.6 2000.00  22:29 1.356  WFC   59.6  180  g                                
 561992 SDSS1146+67 g60  11:46:47.50 +67:59:09.6 2000.00  22:30 1.357  WFC   60.1  180  g                                
 561993 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  22:32 1.359  WFC   60.1  180  g                                
 561994 SDSS1146+67 g60  11:46:47.49 +67:59:09.7 2000.00  22:33 1.361  WFC   60.0  180  g                                
 561995 SDSS1146+67 g60  11:46:47.49 +67:59:09.7 2000.00  22:35 1.363  WFC   60.0  180  g                                
 561996 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  22:36 1.365  WFC   60.0  180  g                                
 561997 SDSS1146+67 g60  11:46:47.50 +67:59:09.6 2000.00  22:38 1.367  WFC   59.5  180  g                                
 561998 SDSS1146+67 g60  11:46:47.50 +67:59:09.6 2000.00  22:39 1.369  WFC   60.0  180  g                                
 561999 SDSS1146+67 g60  11:46:47.50 +67:59:09.6 2000.00  22:41 1.371  WFC   59.5  180  g                                
 562000 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  22:42 1.373  WFC   60.1  180  g                                
 562001 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  22:44 1.375  WFC   60.1  180  g                                
 562002 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  22:45 1.378  WFC   60.0  180  g                                
 562003 SDSS1146+67 g60  11:46:47.49 +67:59:09.7 2000.00  22:47 1.380  WFC   60.0  180  g                                
 562004 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  22:48 1.382  WFC   60.1  180  g                                
 562005 SDSS1146+67 g60  11:46:47.49 +67:59:09.7 2000.00  22:50 1.384  WFC   60.1  180  g                                
 562006 SDSS1146+67 g60  11:46:47.50 +67:59:09.6 2000.00  22:51 1.386  WFC   60.1  180  g                                
 562007 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  22:53 1.389  WFC   60.1  180  g                                
 562008 SDSS1146+67 g60  11:46:47.49 +67:59:09.6 2000.00  22:54 1.391  WFC   60.1  180  g                                
 562009 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  22:56 1.393  WFC   60.0  180  g                                
 562010 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  22:57 1.396  WFC   60.0  180  g                                
 562011 SDSS1146+67 g60  11:46:47.49 +67:59:09.7 2000.00  22:59 1.398  WFC   60.0  180  g                                
 562012 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  23:00 1.401  WFC   60.0  180  g                                
 562013 SDSS1146+67 g60  11:46:47.50 +67:59:09.6 2000.00  23:02 1.403  WFC   60.0  180  g                                
 562014 SDSS1146+67 g60  11:46:47.50 +67:59:09.6 2000.00  23:03 1.406  WFC   59.5  180  g                                
 562015 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  23:05 1.408  WFC   60.0  180  g                                
 562016 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  23:06 1.411  WFC   60.1  180  g                                
 562017 SDSS1146+67 g60  11:46:47.49 +67:59:09.7 2000.00  23:08 1.413  WFC   60.1  180  g                                
 562018 SDSS1146+67 g60  11:46:47.49 +67:59:09.6 2000.00  23:09 1.416  WFC   60.1  180  g                                
 562019 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  23:11 1.419  WFC   60.0  180  g                                
 562020 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  23:12 1.421  WFC   60.1  180  g                                
 562021 SDSS1146+67 g60  11:46:47.49 +67:59:09.7 2000.00  23:14 1.424  WFC   60.0  180  g                                
 562022 SDSS1146+67 g60  11:46:47.50 +67:59:09.6 2000.00  23:15 1.427  WFC   60.0  180  g                                
 562023 SDSS1146+67 g60  11:46:47.50 +67:59:09.7 2000.00  23:17 1.430  WFC   60.1  180  g                                
 562024 SDSS1146+67 g60  11:46:47.50 +67:59:09.6 2000.00  23:18 1.433  WFC   60.1  180  g                                
