INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2007 06 20 05:58

TELESCOPE             INT
DATE                  20070619
OBSERVER/S            G Ramsay, D Vande Putte
PROGRAMME             Determining the space density of ultra-compact binaries
PROPOSAL REF          P8
TELESCOPE OPERATOR    -
SUPPORT ASTRONOMER    -

TEL STATION / FOCUS   Prime  / 43.55
INSTRUMENT/S          WFC

SUNSET (UT)           20:20
EVENING TWILIGHT (UT) 21:46
MORNING TWILIGHT (UT) 04:39
SUNRISE (UT)          06:06
%ILLUM. LUNAR DISK    26
DARK TIME (HRS)       06:53
TWILIGHT TIME (HRS)   02:53
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          00:03

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00   9.4   45    27.5  29.0  334   771.1   n.a.  n.a.    n.a.  n.a.   n.a.
22:00   8.4   49    23.3  25.8  312   771.6   n.a.  n.a.    n.a.  n.a.   n.a.
23:00   8.1   48    21.5  23.8  315   772.3   n.a.  n.a.    n.a.  n.a.   n.a.
00:00   8.1   34    23.6  26.4  327   772.7   n.a.  n.a.    n.a.  n.a.   n.a.
01:00   8.1   46    32.3  32.8  333   772.6   n.a.  n.a.    n.a.  n.a.   n.a.
02:00   8.2   44    25.9  31.8  332   772.4   n.a.  n.a.    n.a.  n.a.   n.a.
03:00   8.1   45    23.1  25.8  344   772.2   n.a.  n.a.    n.a.  n.a.   n.a.
04:00   7.7   41    27.5  28.2  344   771.8   n.a.  n.a.    n.a.  n.a.   n.a.
05:00   8.2   55    27.1  28.9  331   772.0   n.a.  n.a.    n.a.  n.a.   n.a.

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
good

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 567929 Bias              5:29:59.99 +20:00:00.0 2007.464 13:55 1.045  WFC    0.0  180  [SII]6725                        
 567930 Flat field        5:29:59.99 +20:00:00.0 2007.464 14:06 1.058  WFC    6.1  180  U                                
 567931 Bias              0:00:00.00 +00:00:00.0 2007.464 15:24 4.746  WFC    0.0  180  U                                
 567932 Bias              0:00:00.00 +00:00:00.0 2007.464 15:24 4.746  WFC    0.0  180  U                                
 567933 Bias              0:00:00.00 +00:00:00.0 2007.464 15:25 4.746  WFC    0.0  180  U                                
 567934 Bias              0:00:00.00 +00:00:00.0 2007.464 15:25 4.746  WFC    0.0  180  U                                
 567935 Bias              0:00:00.00 +00:00:00.0 2007.464 15:26 4.746  WFC    0.0  180  U                                
 567936 Bias              0:00:00.00 +00:00:00.0 2007.464 15:26 4.746  WFC    0.0  180  U                                
 567937 Bias              0:00:00.00 +00:00:00.0 2007.464 15:27 4.746  WFC    0.0  180  U                                
 567938 Bias              0:00:00.00 +00:00:00.0 2007.464 15:27 4.746  WFC    0.0  180  U                                
 567939 Bias              0:00:00.00 +00:00:00.0 2007.464 15:28 4.746  WFC    0.0  180  U                                
 567940 Bias              0:00:00.00 +00:00:00.0 2007.464 15:28 4.746  WFC    0.0  180  U                                
 567941 flat U           10:35:00.00 +03:01:59.9 2000.00  20:28 1.398  WFC    2.2  180  U                                
 567942 flat U           10:35:01.33 +03:02:19.8 2000.00  20:30 1.406  WFC    2.1  180  U                                
 567943 flat U           10:35:01.33 +03:01:40.1 2000.00  20:31 1.411  WFC    2.6  180  U                                
 567944 flat U           10:34:58.66 +03:01:40.0 2000.00  20:32 1.416  WFC    2.0  180  U                                
 567945 flat U           10:34:58.66 +03:02:19.8 2000.00  20:32 1.420  WFC    3.1  180  U                                
 567946 flat g           10:34:59.99 +03:01:59.9 2000.00  20:38 1.449  WFC    2.1  180  g                                
 567947 flat g           10:35:00.00 +03:02:00.0 2000.00  20:39 1.454  WFC    2.1  180  g                                
 567948 flat g           10:35:01.33 +03:02:20.0 2000.00  20:40 1.459  WFC    2.1  180  g                                
 567949 flat g           10:35:01.33 +03:01:39.9 2000.00  20:41 1.464  WFC    2.0  180  g                                
 567950 flat r           10:35:00.00 +03:02:00.0 2000.00  20:44 1.480  WFC    7.5  180  r                                
 567951 flat r           10:35:01.34 +03:02:19.9 2000.00  20:45 1.487  WFC   10.1  180  r                                
 567952 flat r           10:34:58.66 +03:01:39.9 2000.00  20:46 1.495  WFC   14.1  180  r                                
 567953 flat r           10:34:58.66 +03:02:20.0 2000.00  20:48 1.502  WFC   18.1  180  r                                
 567954 flat clear       10:35:00.00 +03:01:59.9 2000.00  20:52 1.529  WFC    8.1  180  CLEAR                            
 567955 flat clear       10:35:01.33 +03:02:19.9 2000.00  20:53 1.536  WFC   10.1  180  CLEAR                            
 567956 flat clear       10:35:01.34 +03:01:39.9 2000.00  20:55 1.544  WFC   12.1  180  CLEAR                            
 567957 flat clear       10:34:58.67 +03:01:40.0 2000.00  20:56 1.552  WFC   14.1  180  CLEAR                            
 567958 Focus run        12:33:20.00 +09:01:08.1 2000.00  21:06 1.110  WFC   10.1  180  g                                
 567959 nhc4216 U        12:33:19.99 +09:01:08.0 2000.00  21:16 1.132  WFC  240.0  180  U                                
 567960 NGC4216 g        12:33:19.99 +09:01:07.9 2000.00  21:22 1.141  WFC  180.0  180  g                                
 567961 NGC4216 r        12:33:20.00 +09:01:07.9 2000.00  21:26 1.149  WFC  180.0  180  r                                
 567962 NGC4216 r        12:15:54.00 +13:09:00.0 2000.00  21:34 1.176  WFC  179.4  180  r                                
 567963 NGC4216 g        12:15:54.00 +13:08:59.9 2000.00  21:38 1.185  WFC  180.1  180  g                                
 567964 NGC4216 u        12:15:54.00 +13:09:00.0 2000.00  21:42 1.197  WFC  240.0  180  U                                
 567965 field23          18:17:58.99 +07:35:41.0 2000.00  21:57 1.785  WFC   29.6  180  CLEAR                            
 567966 field23          18:17:58.99 +07:35:41.0 2000.00  21:58 1.775  WFC   30.1  180  CLEAR                            
 567967 field23          18:17:58.99 +07:35:41.0 2000.00  21:59 1.765  WFC   30.1  180  CLEAR                            
 567968 field23          18:17:59.00 +07:35:41.0 2000.00  22:00 1.756  WFC   30.1  180  CLEAR                            
 567969 field23          18:17:59.00 +07:35:41.0 2000.00  22:01 1.746  WFC   30.1  180  CLEAR                            
 567970 field23          18:17:59.00 +07:35:41.0 2000.00  22:02 1.737  WFC   30.1  180  CLEAR                            
 567971 field23          18:17:59.00 +07:35:41.0 2000.00  22:03 1.728  WFC   30.1  180  CLEAR                            
