INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2008 03 01 06:54

TELESCOPE             INT
DATE                  20080229
OBSERVER/S            Eelco de Groot and Paul Groot
PROGRAMME             Identification of AMCVn stars from SDSS photometry
PROPOSAL REF          P24
TELESCOPE OPERATOR    de Groot / Groot
SUPPORT ASTRONOMER    -

TEL STATION / FOCUS   Cassegrain  / 14.87
INSTRUMENT/S          IDS

SUNSET (UT)           19:18
EVENING TWILIGHT (UT) 20:29
MORNING TWILIGHT (UT) 06:18
SUNRISE (UT)          07:29
%ILLUM. LUNAR DISK    42
DARK TIME (HRS)       09:49
TWILIGHT TIME (HRS)   02:22
MOONRISE (UT)         02:58
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00   7.1   37    28.3  30.3  112   773.5    7.1    8.     10.   37     40
21:00   7.3   36    22.0  22.5  106   774.2    7.3    7.     10.   36     39
22:00   7.6   34    24.3  26.6  192   774.4    7.6    8.     10.   34     38
23:00   7.8   34    19.0  19.2  196   774.6    7.8    8.     10.   34     40
00:00   8.3   31    15.1  16.0  193   774.5    8.3    8.     10.   31     35
01:00   8.2   34    22.2  23.3  202   774.1    8.2    8.     10.   34     38
02:00   8.5   34    21.4  23.6  195   773.7    8.5    8.     10.   34     38
03:00   8.7   37    23.0  25.3  198   773.2    8.7    9.     10.   37     40
04:00   8.1   39    16.5  17.7  194   772.9    8.1    8.     10.   39     42
05:00   7.8   42    23.5  26.1  200   772.8    7.8    8.     10.   42     45
06:00   7.7   37    35.7  39.2  189   772.6    7.7    8.     10.   37     40

TIME LOST weather           00:30
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Good seeing, high cirrus clouds around 4 am. 

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 608958 Bias             22:00:00.00 +59:59:59.9  2008.16 14:11 1.222  IDS    0.0    0  Clear+Clear   2.0  67.1 5389.4   
 608959 Arc               0:00:00.00 +00:00:00.0  2008.16 14:37 1.000  IDS   10.0    0  Clear+Clear   2.0  69.5 5383.1   
 608960 Bias              0:00:00.00 +00:00:00.0  2008.16 14:40 1.000  IDS    0.0    0  Clear+Clear   2.0  69.5 5383.1   
 608961 Bias              0:00:00.00 +00:00:00.0  2008.16 14:42 1.000  IDS    0.0    0  Clear+Clear   2.0  69.5 5383.1   
 608962 Arc               0:00:00.00 +00:00:00.0  2008.16 14:43 1.000  IDS   10.0    0  Clear+Clear   1.0  69.5 5383.1   
 608963 lampflat 1s       0:00:00.00 +00:00:00.0  2008.16 14:55 1.000  IDS    1.0    0  Clear+Clear   1.0  69.5 5383.1   
 608964 lampflat 1s       0:00:00.00 +00:00:00.0  2008.16 15:02 1.000  IDS    1.0    0  Clear+Clear   1.0  69.5 5383.1   
 608965 lampflat 1s       0:00:00.00 +00:00:00.0  2008.16 15:10 1.000  IDS    1.0    0  Clear+Clear   1.0  69.5 5383.1   
 608966 lampflat 1s       0:00:00.00 +00:00:00.0  2008.16 15:10 1.000  IDS    1.0    0  Clear+Clear   1.0  69.5 5383.1   
 608967 lampflat 1s       0:00:00.00 +00:00:00.0  2008.16 15:10 1.000  IDS    1.0    0  Clear+Clear   1.0  69.5 5383.1   
 608968 lampflat 1s       0:00:00.00 +00:00:00.0  2008.16 15:10 1.000  IDS    1.0    0  Clear+Clear   1.0  69.5 5383.1   
 608969 lampflat 1s       0:00:00.00 +00:00:00.0  2008.16 15:10 1.000  IDS    1.0    0  Clear+Clear   1.0  69.5 5383.1   
 608970 lampflat 1s       0:00:00.00 +00:00:00.0  2008.16 15:10 1.000  IDS    1.0    0  Clear+Clear   1.0  69.5 5383.1   
 608971 lampflat 1s       0:00:00.00 +00:00:00.0  2008.16 15:10 1.000  IDS    1.0    0  Clear+Clear   1.0  69.5 5383.1   
 608972 lampflat 1s       0:00:00.00 +00:00:00.0  2008.16 15:11 1.000  IDS    1.0    0  Clear+Clear   1.0  69.5 5383.1   
 608973 lampflat 1s       0:00:00.00 +00:00:00.0  2008.16 15:11 1.000  IDS    1.0    0  Clear+Clear   1.0  69.5 5383.1   
 608974 lampflat 1s       0:00:00.00 +00:00:00.0  2008.16 15:11 1.000  IDS    1.0    0  Clear+Clear   1.0  69.5 5383.1   
 608975 lampflat 1s       0:00:00.00 +00:00:00.0  2008.16 15:11 1.000  IDS    1.0    0  Clear+Clear   1.0  69.5 5383.1   
 608976 lampflat 1s       0:00:00.00 +00:00:00.0  2008.16 15:11 1.000  IDS    1.0    0  Clear+Clear   1.0  69.5 5383.1   
 608977 lampflat 1s       0:00:00.00 +00:00:00.0  2008.16 15:11 1.000  IDS    1.0    0  Clear+Clear   1.0  69.5 5383.1   
 608978 lampflat 1s       0:00:00.00 +00:00:00.0  2008.16 15:11 1.000  IDS    1.0    0  Clear+Clear   1.0  69.5 5383.1   
 608979 lampflat 1s       0:00:00.00 +00:00:00.0  2008.16 15:11 1.000  IDS    1.0    0  Clear+Clear   1.0  69.5 5383.1   
 608980 lampflat 1s       0:00:00.00 +00:00:00.0  2008.16 15:11 1.000  IDS    1.0    0  Clear+Clear   1.0  69.5 5383.1   
 608981 lampflat 1s       0:00:00.00 +00:00:00.0  2008.16 15:12 1.000  IDS    1.0    0  Clear+Clear   1.0  69.5 5383.1   
 608982 lampflat 1s       0:00:00.00 +00:00:00.0  2008.16 15:12 1.000  IDS    1.0    0  Clear+Clear   1.0  69.5 5383.1   
 608983 lampflat 1s       0:00:00.00 +00:00:00.0  2008.16 15:12 1.000  IDS    1.0    0  Clear+Clear   1.0  69.5 5383.1   
 608984 lampflat 1s       0:00:00.00 +00:00:00.0  2008.16 15:12 1.000  IDS    1.0    0  Clear+Clear   1.0  69.5 5383.1   
 608985 lampflat 1s       0:00:00.00 +00:00:00.0  2008.16 15:12 1.000  IDS    1.0    0  Clear+Clear   1.0  69.5 5383.1   
 608986 lampflat 1s       0:00:00.00 +00:00:00.0  2008.16 15:12 1.000  IDS    1.0    0  Clear+Clear   1.0  69.5 5383.1   
 608987 lampflat 1s       0:00:00.00 +00:00:00.0  2008.16 15:12 1.000  IDS    1.0    0  Clear+Clear   1.0  69.5 5383.1   
 608988 lampflat 1s       0:00:00.00 +00:00:00.0  2008.16 15:12 1.000  IDS    1.0    0  Clear+Clear   1.0  69.5 5383.1   
 608989 lampflat 1s       0:00:00.00 +00:00:00.0  2008.16 15:12 1.000  IDS    1.0    0  Clear+Clear   1.0  69.5 5383.1   
 608990 lampflat 1s       0:00:00.00 +00:00:00.0  2008.16 15:13 1.000  IDS    1.0    0  Clear+Clear   1.0  69.5 5383.1   
 608991 lampflat 1s       0:00:00.00 +00:00:00.0  2008.16 15:13 1.000  IDS    1.0    0  Clear+Clear   1.0  69.5 5383.1   
 608992 lampflat 1s       0:00:00.00 +00:00:00.0  2008.16 15:13 1.000  IDS    1.0    0  Clear+Clear   1.0  69.5 5383.1   
 608993 lampflat 1s       0:00:00.00 +00:00:00.0  2008.16 15:13 1.000  IDS    1.0    0  Clear+Clear   1.0  69.5 5383.1   
 608994 CuAr+CuNe         0:00:00.00 +00:00:00.0  2008.16 15:15 1.000  IDS   10.0    0  Clear+Clear   1.0  69.5 5383.1   
 608995 Bias              0:00:00.00 +00:00:00.0  2008.16 15:17 1.000  IDS    0.0    0  Clear+Clear   1.0  69.5 5383.1   
 608996 Bias              0:00:00.00 +00:00:00.0  2008.16 15:17 1.000  IDS    0.0    0  Clear+Clear   1.0  69.5 5383.1   
 608997 Bias              0:00:00.00 +00:00:00.0  2008.16 15:18 1.000  IDS    0.0    0  Clear+Clear   1.0  69.5 5383.1   
 608998 Bias              0:00:00.00 +00:00:00.0  2008.16 15:18 1.000  IDS    0.0    0  Clear+Clear   1.0  69.5 5383.1   
 608999 Bias              0:00:00.00 +00:00:00.0  2008.16 15:18 1.000  IDS    0.0    0  Clear+Clear   1.0  69.5 5383.1   
