INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2008 03 21 10:25

TELESCOPE             INT
DATE                  20080320
OBSERVER/S            Copperwheat
PROGRAMME             Subdwarf-B stars: tracers of binary evolution
PROPOSAL REF          D11
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    Liimets

TEL STATION / FOCUS    / 14.8
INSTRUMENT/S          IDS

SUNSET (UT)           19:30
EVENING TWILIGHT (UT) 20:41
MORNING TWILIGHT (UT) 05:55
SUNRISE (UT)          07:07
%ILLUM. LUNAR DISK    99
DARK TIME (HRS)       09:14
TWILIGHT TIME (HRS)   02:23
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          06:59

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00   1.3   55    26.9  32.2   96   766.0    1.3    4.      9.   55     50
21:00  -0.8   99    39.5  38.2   75   766.0   -0.8    2.      8.   99     79
22:00  -0.8  100    38.6  41.3    3   766.1   -0.8    4.      8.  100     74
23:00  -1.8   92    38.9  41.2   76   766.0   -1.8    3.      8.   92     71
00:00  -1.3  100    50.8  57.3   12   765.5   -1.3    3.      8.  100     75
01:00  -1.6  100    41.0  44.3    9   765.1   -1.6    3.      8.  100     75
02:00  -1.6  100    36.2  39.2    9   765.0   -1.6    3.      8.  100     77
03:00  -1.6  100    28.8  35.3    8   764.7   -1.6    2.      8.  100     78
04:00  -3.1   98    28.0  33.3    8   763.8   -3.1    3.      8.   98     71
05:00  -3.1  100    35.4  40.0    7   763.2   -3.1    3.      8.  100     70
06:00  -2.4  100    33.4  38.0    8   763.4   -2.4    3.      8.  100     72
07:00  -3.9   75    26.5  32.5    8   764.1   -3.9    3.      8.   75     65

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
High humidity throughout night. Low temperatures and icy conditions

COMMENTS (causes of time lost, setup information eg CCD windows):
Almost the entire night lost due to high humidity. Left early because of icy conditions
CCD readout slow, binning 1 1, window [675:1095,1:4200]


 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 610759 Bias             19:59:59.99 +20:00:00.0  2008.22 11:36 1.187  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610760 Bias             20:00:00.00 +20:00:00.0  2008.22 11:37 1.189  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610761 Arc              20:00:00.00 +19:59:59.9  2008.22 11:46 1.217  IDS    5.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610762 Bias              0:00:00.00 +00:00:00.0  2008.22 19:14 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610763 Bias              0:00:00.00 +00:00:00.0  2008.22 19:14 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610764 Bias              0:00:00.00 +00:00:00.0  2008.22 19:14 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610765 Bias              0:00:00.00 +00:00:00.0  2008.22 19:14 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610766 Bias              0:00:00.00 +00:00:00.0  2008.22 19:14 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610767 Bias              0:00:00.00 +00:00:00.0  2008.22 19:15 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610768 Bias              0:00:00.00 +00:00:00.0  2008.22 19:15 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610769 Bias              0:00:00.00 +00:00:00.0  2008.22 19:15 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610770 Bias              0:00:00.00 +00:00:00.0  2008.22 19:15 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610771 Bias              0:00:00.00 +00:00:00.0  2008.22 19:15 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610772 Bias              0:00:00.00 +00:00:00.0  2008.22 19:16 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610773 Bias              0:00:00.00 +00:00:00.0  2008.22 19:16 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610774 Bias              0:00:00.00 +00:00:00.0  2008.22 19:16 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610775 Bias              0:00:00.00 +00:00:00.0  2008.22 19:16 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610776 Bias              0:00:00.00 +00:00:00.0  2008.22 19:16 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610777 Bias              0:00:00.00 +00:00:00.0  2008.22 19:17 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610778 Bias              0:00:00.00 +00:00:00.0  2008.22 19:17 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610779 Bias              0:00:00.00 +00:00:00.0  2008.22 19:17 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610780 Bias              0:00:00.00 +00:00:00.0  2008.22 19:17 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
 610781 Bias              0:00:00.00 +00:00:00.0  2008.22 19:18 1.000  IDS    0.0   -0  Clear+Clear   1.0  55.5 4504.8   
