INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2008 07 09 07:58

TELESCOPE             INT
DATE                  20080708
OBSERVER/S            Pim Schellart, Kars Verbeek
PROGRAMME             06B/N2 UVEX
PROPOSAL REF          06B/N2
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    M. Valentini

TEL STATION / FOCUS   Prime  / 43.79
INSTRUMENT/S          WFC

SUNSET (UT)           20:21
EVENING TWILIGHT (UT) 21:46
MORNING TWILIGHT (UT) 04:47
SUNRISE (UT)          06:12
%ILLUM. LUNAR DISK    38
DARK TIME (HRS)       07:01
TWILIGHT TIME (HRS)   02:50
MOONRISE (UT)         No moonrise within sunset-sunrise
MOONSET (UT)          00:06

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00  13.3   13    25.2  28.5  252   772.2   13.3  14.6    16.2   13    18 
22:00  12.7   10    25.4  26.9  254   772.5   12.7  14.0    15.9   10    15 
23:00  12.7   11    24.2  25.9  279   773.1   12.7  13.6    16.0   11    17 
00:00  12.6    8    24.5  26.4  268   773.5   12.6  13.5    15.6    8    14 
01:00  13.9   11    26.3  27.5  255   773.4   13.9  13.8    15.7   11    16 
03:00  15.3   11    17.5  22.2  241   772.9   15.3  15.4    15.9   11    15 
04:00  15.5    9    21.5  27.9  198       N   15.5  15.6    16.2    9    14 
05:00  15.9    7    21.3  25.4  242       N   15.9  16.2    16.3    7    11 
06:00  16.2    6    29.7  32.0  259   772.4   16.2  16.4    16.5    6    11 

TIME LOST weather           00:00
TIME LOST Technical         00:15
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
clear sky, low humidity, low wind, seeing between 1.0 and 1.6 arcsec

COMMENTS (causes of time lost, setup information eg CCD windows):
Noise bands appeared on images at the beginning of the night, dasreset in WFC das window solved the problem. 
At 23:35UT the autoguider was launched spontaneously. Bad field was re-observed later this night.


 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 623221 Dark frame        0:00:00.00 +00:00:00.0  2000.00 09:44 4.617  WFC 1200.0  180  HeI 5870                         
 623222 Dark frame        0:00:00.00 +00:00:00.0  2000.00 10:05 4.617  WFC 1200.0  180  HeI 5870                         
 623223 Dark frame        0:00:00.00 +00:00:00.0  2000.00 10:25 4.617  WFC 1200.0  180  HeI 5870                         
 623224 Dark frame        0:00:00.00 +00:00:00.0  2000.00 10:46 4.617  WFC 1200.0  180  HeI 5870                         
 623225 Dark frame        0:00:00.00 +00:00:00.0  2000.00 11:06 4.617  WFC 1200.0  180  HeI 5870                         
 623226 Dark frame        0:00:00.00 +00:00:00.0  2000.00 11:27 4.617  WFC 1200.0  180  HeI 5870                         
 623227 Dark frame        0:00:00.00 +00:00:00.0  2000.00 11:47 4.617  WFC 1200.0  180  HeI 5870                         
 623228 Dark frame        0:00:00.00 +00:00:00.0  2000.00 12:08 4.617  WFC 1200.0  180  HeI 5870                         
 623229 Dark frame        0:00:00.00 +00:00:00.0  2000.00 12:28 4.617  WFC 1200.0  180  HeI 5870                         
 623230 Dark frame        0:00:00.00 +00:00:00.0  2000.00 12:49 4.617  WFC 1200.0  180  HeI 5870                         
 623231 Bias              0:00:00.00 +00:00:00.0  2000.00 13:11 4.617  WFC    0.0  180  HeI 5870                         
 623232 Bias frame        0:00:00.00 +00:00:00.0  2000.00 18:28 4.617  WFC    0.0  180  HeI 5870                         
 623233 Bias frame        0:00:00.00 +00:00:00.0  2000.00 18:29 4.617  WFC    0.0  180  HeI 5870                         
 623234 Bias frame        0:00:00.00 +00:00:00.0  2000.00 18:29 4.617  WFC    0.0  180  HeI 5870                         
 623235 Bias frame        0:00:00.00 +00:00:00.0  2000.00 18:30 4.617  WFC    0.0  180  HeI 5870                         
 623236 Bias frame        0:00:00.00 +00:00:00.0  2000.00 18:30 4.617  WFC    0.0  180  HeI 5870                         
 623237 Bias frame        0:00:00.00 +00:00:00.0  2000.00 18:30 4.617  WFC    0.0  180  HeI 5870                         
 623238 Bias frame        0:00:00.00 +00:00:00.0  2000.00 18:31 4.617  WFC    0.0  180  HeI 5870                         
 623239 Bias frame        0:00:00.00 +00:00:00.0  2000.00 18:31 4.617  WFC    0.0  180  HeI 5870                         
 623240 Bias frame        0:00:00.00 +00:00:00.0  2000.00 18:32 4.617  WFC    0.0  180  HeI 5870                         
 623241 Bias frame        0:00:00.00 +00:00:00.0  2000.00 18:32 4.617  WFC    0.0  180  HeI 5870                         
 623242 Bias frame        0:00:00.00 +00:00:00.0  2000.00 18:33 4.617  WFC    0.0  180  HeI 5870                         
 623243 Bias frame        0:00:00.00 +00:00:00.0  2000.00 18:33 4.617  WFC    0.0  180  HeI 5870                         
 623244 Bias frame        0:00:00.00 +00:00:00.0  2000.00 18:34 4.617  WFC    0.0  180  HeI 5870                         
 623245 Bias frame        0:00:00.00 +00:00:00.0  2000.00 18:34 4.617  WFC    0.0  180  HeI 5870                         
 623246 Bias frame        0:00:00.00 +00:00:00.0  2000.00 18:35 4.617  WFC    0.0  180  HeI 5870                         
 623247 Bias frame        0:00:00.00 +00:00:00.0  2000.00 18:35 4.617  WFC    0.0  180  HeI 5870                         
 623248 Bias frame        0:00:00.00 +00:00:00.0  2000.00 18:36 4.617  WFC    0.0  180  HeI 5870                         
 623249 Bias frame        0:00:00.00 +00:00:00.0  2000.00 18:36 4.617  WFC    0.0  180  HeI 5870                         
 623250 Bias frame        0:00:00.00 +00:00:00.0  2000.00 18:37 4.617  WFC    0.0  180  HeI 5870                         
 623251 Bias frame        0:00:00.00 +00:00:00.0  2000.00 18:37 4.617  WFC    0.0  180  HeI 5870                         
 623252 Flat field       15:01:59.99 +29:54:59.9  2000.00 20:19 1.016  WFC    1.0  180  HeI 5870                         
 623253 Flat field       15:02:00.00 +29:55:00.0  2000.00 20:20 1.015  WFC    3.1  180  HeI 5870                         
 623254 Flat field       15:02:01.53 +29:55:20.0  2000.00 20:21 1.014  WFC    3.1  180  HeI 5870                         
 623255 Flat field       15:02:03.07 +29:55:39.8  2000.00 20:21 1.014  WFC    4.6  180  HeI 5870                         
 623256 Flat field       15:01:59.22 +29:54:50.0  2000.00 20:22 1.013  WFC    5.1  180  HeI 5870                         
 623257 Flat field       15:01:57.69 +29:54:30.0  2000.00 20:23 1.013  WFC    5.2  180  HeI 5870                         
 623258 Flat field       15:01:58.84 +29:55:15.0  2000.00 20:24 1.012  WFC    6.1  180  HeI 5870                         
