INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2008 12 26 07:25

TELESCOPE             INT
DATE                  20081225
OBSERVER/S            P Maxted, P Wood
PROGRAMME             Testing models for the progenitors of Type Ia Sne
PROPOSAL REF          P1                 
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    Florencia

TEL STATION / FOCUS   Cassegrain  / 14.7
INSTRUMENT/S          IDS

SUNSET (UT)           18:29
EVENING TWILIGHT (UT) 19:45
MORNING TWILIGHT (UT) 06:38
SUNRISE (UT)          07:55
%ILLUM. LUNAR DISK    2
DARK TIME (HRS)       10:53
TWILIGHT TIME (HRS)   02:33
MOONRISE (UT)         07:10
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00   1.4   43    22.7  24.1  261   762.8    1.4    4.      7.   43     50
20:00   2.8   27    19.3  20.8  250   763.4    2.8    4.      7.   27     34
21:00   2.6   30     8.6  10.5  240   763.9    2.6    4.      6.   30     42
22:00   3.1   27    12.0  12.8  239   764.1    3.1    4.      6.   27     36
23:00   3.0   26     8.0   9.6  229   764.2    3.0    4.      6.   26     34
00:00   3.6   17    18.7  22.4  246   763.9    3.6    4.      6.   17     26
01:00   2.6   23     2.5   4.7  189   763.6    2.6    4.      6.   23     28
02:00   4.4    4    21.6  24.7  243   763.1    4.4    5.      6.    4     16
03:00   4.7    4    26.6  30.9  261   763.1    4.7    5.      6.    4     16
04:00   3.9    6    17.6  25.3  245   762.9    3.9    5.      6.    6     18
05:00   3.7    7    19.2  23.0  237   762.7    3.7    4.      6.    7     18
06:00   3.7   10    17.9  21.3  235   762.8    3.7                 10      #
07:00   3.7   11    15.8  22.1  244   762.8    3.7                 11      #

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Perfect

COMMENTS (causes of time lost, setup information eg CCD windows):
Focus was a long way from nominal value of 14.85 used on previous nights



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 652603 Arc               0:00:00.00 +00:00:00.0  2000.00 18:28 1.000  IDS   30.0   35  Clear+Clear   1.2  31.8 5120.8   
 652604 Arc               0:40:50.88 +40:11:09.9  2000.00 18:54 1.031  IDS   30.0   35  Clear+Clear   1.2  31.8 5120.8   
 652605 HD003765          0:40:50.92 +40:11:09.6  2000.00 18:58 1.029  IDS   60.0   35  Clear+Clear   1.2  31.8 5120.8   
 652606 HD003765          0:40:50.91 +40:11:09.7  2000.00 18:59 1.028  IDS   60.0   35  Clear+Clear   1.2  31.8 5120.8   
 652607 HD003765          0:40:50.92 +40:11:09.6  2000.00 19:00 1.028  IDS   60.0   35  Clear+Clear   1.2  31.8 5120.8   
 652608 Arc               0:40:50.96 +40:11:09.5  2000.00 19:02 1.027  IDS   30.0   35  Clear+Clear   1.2  31.8 5120.8   
 652609 Arc              21:04:01.38 +00:26:54.2  2000.00 19:05 1.659  IDS   30.0   53  Clear+Clear   1.2  31.8 5120.8   
 652610 J2104+0026       21:04:02.74 +00:27:04.5  2000.00 19:14 1.830  IDS 1200.0   53  Clear+Clear   1.2  31.8 5120.8   
 652611 Arc              21:04:02.74 +00:27:04.2  2000.00 19:35 1.944  IDS   30.0   53  Clear+Clear   1.2  31.8 5120.8   
 652613 Arc              21:13:16.24 +11:07:47.9  2000.00 19:37 1.629  IDS   30.0   62  Clear+Clear   1.2  31.8 5120.8   
 652614 J2113+1107       21:13:18.07 +11:07:43.8  2000.00 19:40 1.743  IDS 1200.0   62  Clear+Clear   1.2  31.8 5120.8   
 652615 Arc              21:13:18.07 +11:07:44.1  2000.00 20:01 1.851  IDS   30.0   62  Clear+Clear   1.2  31.8 5120.8   
 652616 Arc               0:00:00.00 +00:00:00.0  2000.00 20:03 1.478  IDS   30.0   34  Clear+Clear   1.2  31.8 5120.8   
 652617 J2320-1045       23:20:42.02 -10:45:02.6  2000.00 20:06 1.511  IDS  600.0   34  Clear+Clear   1.2  31.8 5120.8   
