INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2009 03 21 06:49

TELESCOPE             INT
DATE                  20090320
OBSERVER/S            Copperwheat
PROGRAMME             The space density of ultra-compact white dwarf binaries
PROPOSAL REF          P10
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    Jimenez

TEL STATION / FOCUS   Cassegrain  / 14.7
INSTRUMENT/S          IDS

SUNSET (UT)           19:30
EVENING TWILIGHT (UT) 20:41
MORNING TWILIGHT (UT) 05:56
SUNRISE (UT)          07:07
%ILLUM. LUNAR DISK    29
DARK TIME (HRS)       09:15
TWILIGHT TIME (HRS)   02:22
MOONRISE (UT)         03:56
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
20:00   4.5   15    34.1  36.7   74   767.2    4.5    7.     10.   15     23
21:00   4.6   11    30.4  34.3  217   767.9    4.6    6.     10.   11     19
22:00   3.9   35    38.4  41.4   78   768.7    3.9    5.      9.   35     43
23:00   3.7   32    46.0  49.5   27   768.1    3.7    4.      9.   32     41
00:00   2.3   49    44.7  42.1   25   768.2    2.3    4.      8.   49     54
01:00  -0.3   99    49.2  51.3   20   767.2   -0.3    3.      8.   99     82
02:00   1.1   99    38.3  44.5  148   767.2    1.1    4.      8.   99     86
03:00  -0.7   99    44.9  48.7   31   766.7   -0.7    4.      8.   99     80
04:00   0.1   67    46.9  52.8   35   766.5    0.1    4.      8.   67     72
05:00  -1.1   99    43.0  49.4   21   766.5   -1.1    4.      8.   99     71
06:00  -0.5   98    52.0  53.5   24   766.4   -0.5    4.      8.   98     78

TIME LOST weather           06:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Good conditions at beginning of night; humidity shot up around 1230 UT. Lost rest of night.

COMMENTS (causes of time lost, setup information eg CCD windows):
Binning 2 2, readout slow, window [660:1150,1:4200]. 



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 663436 Bias             21:59:59.99 +60:00:00.1  2009.22 11:56 1.177  IDS    0.0   30  Clear+Clear   1.5  66.7 5808.7   
 663437 Arc              21:59:59.99 +59:59:59.9  2009.22 11:59 1.179  IDS    3.0   30  Clear+Clear   1.5  66.7 5808.7   
 663438 Bias              0:00:00.00 +00:00:00.0  2009.22 19:16 1.002  IDS    0.0   30  Clear+Clear   1.5  66.7 5808.7   
 663439 Bias              0:00:00.00 +00:00:00.0  2009.22 19:16 1.002  IDS    0.0   30  Clear+Clear   1.5  66.7 5808.7   
 663440 Bias              0:00:00.00 +00:00:00.0  2009.22 19:16 1.002  IDS    0.0   30  Clear+Clear   1.5  66.7 5808.7   
 663441 Bias              0:00:00.00 +00:00:00.0  2009.22 19:16 1.002  IDS    0.0   30  Clear+Clear   1.5  66.7 5808.7   
 663442 Bias              0:00:00.00 +00:00:00.0  2009.22 19:16 1.002  IDS    0.0   30  Clear+Clear   1.5  66.7 5808.7   
 663443 Bias              0:00:00.00 +00:00:00.0  2009.22 19:17 1.002  IDS    0.0   30  Clear+Clear   1.5  66.7 5808.7   
 663444 Bias              0:00:00.00 +00:00:00.0  2009.22 19:17 1.002  IDS    0.0   30  Clear+Clear   1.5  66.7 5808.7   
 663445 Bias              0:00:00.00 +00:00:00.0  2009.22 19:17 1.002  IDS    0.0   30  Clear+Clear   1.5  66.7 5808.7   
 663446 Bias              0:00:00.00 +00:00:00.0  2009.22 19:17 1.002  IDS    0.0   30  Clear+Clear   1.5  66.7 5808.7   
 663447 Bias              0:00:00.00 +00:00:00.0  2009.22 19:17 1.002  IDS    0.0   30  Clear+Clear   1.5  66.7 5808.7   
 663448 Bias              0:00:00.00 +00:00:00.0  2009.22 19:17 1.002  IDS    0.0   30  Clear+Clear   1.5  66.7 5808.7   
 663449 Bias              0:00:00.00 +00:00:00.0  2009.22 19:17 1.002  IDS    0.0   30  Clear+Clear   1.5  66.7 5808.7   
 663450 Bias              0:00:00.00 +00:00:00.0  2009.22 19:17 1.002  IDS    0.0   30  Clear+Clear   1.5  66.7 5808.7   
 663451 Bias              0:00:00.00 +00:00:00.0  2009.22 19:18 1.002  IDS    0.0   30  Clear+Clear   1.5  66.7 5808.7   
 663452 Bias              0:00:00.00 +00:00:00.0  2009.22 19:18 1.002  IDS    0.0   30  Clear+Clear   1.5  66.7 5808.7   
