INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2009 05 15 15:36

TELESCOPE             INT
DATE                  20090514
OBSERVER/S            Cardwell
PROGRAMME             Calibrating the HII region luminosity function as a new standard candle.
PROPOSAL REF          CAT DDT
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    none

TEL STATION / FOCUS   Prime  / 43.8
INSTRUMENT/S          WFC

SUNSET (UT)           20:02
EVENING TWILIGHT (UT) 21:23
MORNING TWILIGHT (UT) 04:52
SUNRISE (UT)          06:13
%ILLUM. LUNAR DISK    71
DARK TIME (HRS)       07:29
TWILIGHT TIME (HRS)   02:42
MOONRISE (UT)         00:25
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
21:00   9.5   22    35.4  42.6   18   772.3    9.5   11.     12.   22     31
22:00   9.3   20    33.4  36.6   81   772.2    9.3   10.     12.   20     29
23:00   9.4   22    41.7  44.3  142   772.7    9.4   10.     11.   22     28
00:00   9.0   18    40.8  44.1    0   772.6    9.0   10.     11.   18     27
01:00   9.2   31    40.6  43.5   24   772.5    9.2   10.     11.   31     37
02:00   9.5   42    41.9  45.2   32   772.4    9.5   10.     11.   42     50
03:00   9.4   46    41.1  44.9   23   771.3    9.4   10.     11.   46     53
04:00   9.9   42    40.1  42.9   41   771.3    9.9   10.     11.   42     51
05:00   9.9   44    41.8  45.3   39   770.7    9.9   10.     11.   44     51
06:00   9.6   45    37.0  44.0   44   770.9    9.6   10.     11.   45     51

TIME LOST weather           00:00
TIME LOST Technical         01:30
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
Clear

COMMENTS (causes of time lost, setup information eg CCD windows):
Time lost due to a failure in lpss20



 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 669090 Flat field                                        13:15        WFC    6.1       Halpha                           
 669091 Bias                                              13:16        WFC    0.0       Halpha                           
 669092 Bias              3:00:00.00 +19:59:59.9  2000.00 13:35 1.035  WFC    0.0  180  stromgren y                      
 669093 Bias              3:00:00.00 +20:00:00.0  2000.00 13:50 1.050  WFC    0.0  180  Halpha                           
 669094 Bias              0:00:00.00 +00:00:00.0  2000.00 19:17 1.000  WFC    0.0  180  Hbeta narro                      
 669095 Bias              0:00:00.00 +00:00:00.0  2000.00 19:18 1.000  WFC    0.0  180  Hbeta narro                      
 669096 Bias              0:00:00.00 +00:00:00.0  2000.00 19:18 1.000  WFC    0.0  180  Hbeta narro                      
 669097 Bias              0:00:00.00 +00:00:00.0  2000.00 19:19 1.000  WFC    0.0  180  Hbeta narro                      
 669098 Bias              0:00:00.00 +00:00:00.0  2000.00 19:20 1.000  WFC    0.0  180  Hbeta narro                      
 669099 Bias              0:00:00.00 +00:00:00.0  2000.00 19:21 1.000  WFC    0.0  180  Hbeta narro                      
 669100 Bias              0:00:00.00 +00:00:00.0  2000.00 19:21 1.000  WFC    0.0  180  Hbeta narro                      
 669101 Bias              0:00:00.00 +00:00:00.0  2000.00 19:22 1.000  WFC    0.0  180  Hbeta narro                      
 669102 Bias              0:00:00.00 +00:00:00.0  2000.00 19:23 1.000  WFC    0.0  180  Hbeta narro                      
 669103 Bias              0:00:00.00 +00:00:00.0  2000.00 19:24 1.000  WFC    0.0  180  Hbeta narro                      
 669104 Bias              0:00:00.00 +00:00:00.0  2000.00 19:24 1.000  WFC    0.0  180  Hbeta narro                      
 669105 Bias              0:00:00.00 +00:00:00.0  2000.00 19:25 1.000  WFC    0.0  180  Hbeta narro                      
 669106 Bias              0:00:00.00 +00:00:00.0  2000.00 19:26 1.000  WFC    0.0  180  Hbeta narro                      
 669107 Bias              0:00:00.00 +00:00:00.0  2000.00 19:27 1.000  WFC    0.0  180  Hbeta narro                      
 669108 Bias              0:00:00.00 +00:00:00.0  2000.00 19:28 1.000  WFC    0.0  180  Hbeta narro                      
 669109 Bias              0:00:00.00 +00:00:00.0  2000.00 19:28 1.000  WFC    0.0  180  Hbeta narro                      
 669110 Bias              0:00:00.00 +00:00:00.0  2000.00 19:29 1.000  WFC    0.0  180  Hbeta narro                      
 669111 Bias              0:00:00.00 +00:00:00.0  2000.00 19:30 1.000  WFC    0.0  180  Hbeta narro                      
 669112 Bias              0:00:00.00 +00:00:00.0  2000.00 19:31 1.000  WFC    0.0  180  Hbeta narro                      
 669113 Bias              0:00:00.00 +00:00:00.0  2000.00 19:31 1.000  WFC    0.0  180  Hbeta narro                      
 669114 Bias              0:00:00.00 +00:00:00.0  2000.00 19:32 1.000  WFC    0.0  180  Hbeta narro                      
 669115 Bias              0:00:00.00 +00:00:00.0  2000.00 19:33 1.000  WFC    0.0  180  Hbeta narro                      
 669116 Bias              0:00:00.00 +00:00:00.0  2000.00 19:34 1.000  WFC    0.0  180  Hbeta narro                      
 669117 Bias              0:00:00.00 +00:00:00.0  2000.00 19:35 1.000  WFC    0.0  180  Hbeta narro                      
 669118 Bias              0:00:00.00 +00:00:00.0  2000.00 19:35 1.000  WFC    0.0  180  Hbeta narro                      
 669119 skyflat Ha6657   13:06:56.00 +29:34:48.0  2000.00 20:10 1.208  WFC    2.1  180  Ha 6657                          
 669120 skyflat Ha6657   13:06:56.76 +29:34:58.1  2000.00 20:11 1.205  WFC    3.1  180  Ha 6657                          
 669121 skyflat Ha6657   13:06:55.22 +29:34:37.8  2000.00 20:12 1.202  WFC    4.1  180  Ha 6657                          
 669122 skyflat Ha6657   13:06:56.76 +29:34:37.9  2000.00 20:14 1.197  WFC    5.1  180  Ha 6657                          
 669123 skyflat Ha6657   13:06:55.23 +29:34:57.8  2000.00 20:16 1.191  WFC    7.7  180  Ha 6657                          
 669124 skyflat Ha6657   13:06:57.14 +29:35:02.3  2000.00 20:17 1.188  WFC   11.1  180  Ha 6657                          
 669125 skyflat Ha       13:06:56.00 +29:34:48.0  2000.00 20:19 1.183  WFC   16.1  180  Halpha                           
 669126 skyflat Ha       13:06:56.76 +29:34:58.0  2000.00 20:21 1.178  WFC   25.1  180  Halpha                           
 669127 skyflat Ha       13:06:55.23 +29:34:38.2  2000.00 20:22 1.174  WFC   36.5  180  Halpha                           
 669128 skyflat Ha       13:06:56.77 +29:34:38.0  2000.00 20:23 1.169  WFC   58.1  180  Halpha                           
 669129 skyflat Ha       13:06:55.23 +29:34:58.0  2000.00 20:26 1.162  WFC  100.0  180  Halpha                           
 669130 Focus run        11:20:18.91 +12:29:30.4  2000.00 20:42 1.046  WFC   10.0  180  Halpha                           
 669131 Focus run        11:20:12.08 +12:34:30.5  2000.00 20:51 1.043  WFC   10.1  180  Halpha                           
 669132 n3627h Ha6657    11:20:18.90 +12:59:30.5  2000.00 21:00 1.042  WFC 1799.1  180  Ha 6657                          1".1
 669133 n3627g Ha6657    11:20:14.90 +12:58:30.5  2000.00 21:34 1.060  WFC 1799.0  180  Ha 6657                          1".1
 669135 n4535f Ha        12:34:20.36 +08:12:52.2  2000.00 22:12 1.070  WFC 1799.0  180  Halpha                           1".2
 669137 n4535f Ha6657    12:34:20.35 +08:12:52.3  2000.00 22:44 1.088  WFC 1799.2  180  Ha 6657                          1".1
 669138 n4535e Ha6657    12:34:16.36 +08:12:52.3  2000.00 23:20 1.134  WFC 1798.6  180  Ha 6657                          1".1
 669139 n4321h Ha        12:22:58.95 +15:49:21.0  2000.00 00:00 1.193  WFC 1799.1  180  Halpha                           1".0
