INT OBSERVING LOG (ISAAC NEWTON GROUP, LA PALMA) generated 2009 12 09 18:18

TELESCOPE             INT
DATE                  20091208
OBSERVER/S            Gavin Ramsay
PROGRAMME             RATS- a search for ultra compact binaries
PROPOSAL REF          P3
TELESCOPE OPERATOR    none
SUPPORT ASTRONOMER    -

TEL STATION / FOCUS    / 43.85
INSTRUMENT/S          WFC

SUNSET (UT)           18:22
EVENING TWILIGHT (UT) 19:38
MORNING TWILIGHT (UT) 06:29
SUNRISE (UT)          07:45
%ILLUM. LUNAR DISK    50
DARK TIME (HRS)       10:51
TWILIGHT TIME (HRS)   02:32
MOONRISE (UT)         00:58
MOONSET (UT)          No moonset within sunset-sunrise

 UT     AirT  Hum   Wspd  Gust  Wdir  Press   LocT  int.T   Mirr  LocRH int.RH
        degC   %    km/s  km/s  deg   mbar    degC   degC   degC    %     %
19:00   6.1   24     4.3   4.7  149   771.5    6.1    7.     10.   24     29
20:00   6.6    7     7.1   8.7  190   772.1    6.6    7.     10.    7     14
21:00   6.2    8     5.0   8.3  199   771.1    6.2    7.      9.    8     14
22:00   5.8    9    11.5  14.3  189   772.2    5.8    7.      9.    9     15
23:00   5.8    7    11.1  13.7  198   772.1    5.8    7.      9.    7     14
00:00   5.3    8    12.1  13.9  185   772.4    5.3    6.      9.    8     14
01:00   5.6    7    13.6  21.3  179   771.1    5.6    7.      9.    7     14
02:00   4.5    8    16.9  23.8  177   771.2    4.5    6.      8.    8     14
03:00   4.7    8    16.4  24.9  177   771.7    4.7    6.      9.    8     14
04:00   4.5   11    20.9  31.1  176   771.4    4.5                 11      #
05:00   4.8   20    23.2  29.6  188   771.5    4.8                 20      #
06:00   4.7   25    14.2  18.9  173   771.4    4.7                 25      #
07:00   4.7   25    17.3  30.4  195   771.7    4.7                 25      #

TIME LOST weather           00:00
TIME LOST Technical         00:00
TIME LOST Other             00:00

WEATHER CONDITIONS (eg transparancy, dust, %cloud cover, seeing):
excellent for time of year. photometric. seeing 0.7-1.0 first half. more 1.1-1.5 second half.

COMMENTS (causes of time lost, setup information eg CCD windows):




 Run     Object              RA           Dec    Equinox   UT    Airm Instr  Texp  Sky  Filters      Slit  Grat CenwA   Comments
                                                                              sec  PA   etc. 
 711167 Bias frame       15:59:59.99 +35:00:00.0  2009.94 12:56 1.027  WFC    0.0  180  [SII]6725                        
 711168 TEST             15:59:59.99 +34:59:59.9  2009.94 12:59 1.029  WFC    2.0  180  i                                
 711169 Bias              0:00:00.00 +00:00:00.0  2009.94 14:19 4.605  WFC    0.0  180  CLEAR                            
 711170 Bias              0:00:00.00 +00:00:00.0  2009.94 14:44 4.605  WFC    0.0  180  CLEAR                            
 711171 Bias              0:00:00.00 +00:00:00.0  2009.94 14:45 4.605  WFC    0.0  180  CLEAR                            
 711172 Bias              0:00:00.00 +00:00:00.0  2009.94 14:45 4.605  WFC    0.0  180  CLEAR                            
 711173 Bias              0:00:00.00 +00:00:00.0  2009.94 14:46 4.605  WFC    0.0  180  CLEAR                            
 711174 Bias              0:00:00.00 +00:00:00.0  2009.94 14:47 4.605  WFC    0.0  180  CLEAR                            
 711175 Bias              0:00:00.00 +00:00:00.0  2009.94 14:48 4.605  WFC    0.0  180  CLEAR                            
 711176 Bias              0:00:00.00 +00:00:00.0  2009.94 14:48 4.605  WFC    0.0  180  CLEAR                            
 711177 Bias              0:00:00.00 +00:00:00.0  2009.94 14:49 4.605  WFC    0.0  180  CLEAR                            
 711178 Bias              0:00:00.00 +00:00:00.0  2009.94 14:50 4.605  WFC    0.0  180  CLEAR                            
 711179 Bias              0:00:00.00 +00:00:00.0  2009.94 14:51 4.605  WFC    0.0  180  CLEAR                            
 711180 Bias              0:00:00.00 +00:00:00.0  2009.94 14:51 4.605  WFC    0.0  180  CLEAR                            
 711181 Bias              0:00:00.00 +00:00:00.0  2009.94 17:53 4.605  WFC    0.0  180  CLEAR                            
 711182 Bias              0:00:00.00 +00:00:00.0  2009.94 17:54 4.605  WFC    0.0  180  CLEAR                            
 711183 Bias              0:00:00.00 +00:00:00.0  2009.94 17:55 4.605  WFC    0.0  180  CLEAR                            
 711184 Bias              0:00:00.00 +00:00:00.0  2009.94 17:55 4.605  WFC    0.0  180  CLEAR                            
 711185 Bias              0:00:00.00 +00:00:00.0  2009.94 17:56 4.605  WFC    0.0  180  CLEAR                            
 711186 BLANK5           21:29:34.00 -08:38:30.0  2000.00 18:29 1.303  WFC    1.0  180  Halpha                           
 711187 BLANK5           21:29:35.34 -08:38:10.1  2000.00 18:30 1.305  WFC    0.9  180  Halpha                           
 711188 BLANK5            0:00:00.00 +00:00:00.0  2000.00 18:32 1.310  WFC    1.0  180  Halpha                           
